idx_a,idx_b,cos_sim,label_a,label_b,label_a_name,label_b_name,text_a,text_b,votes_a,votes_b,flagged_cleanlab_a,flagged_datamaps_a,flagged_ds2_a,flagged_cleanlab_b,flagged_datamaps_b,flagged_ds2_b,action,levenshtein,error_type_a,error_type_b
542,5161,0.9996,1,0,acceptable,unacceptable,Пять бандитов лежали на земле раненые.,Пять бандитов лежало на земле раненые.,0,1,False,False,False,False,True,False,kept,1,0,Syntax
627,5643,0.9995,1,0,acceptable,unacceptable,"Появится кто-то совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.","Появится кто-нибудь совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.",0,2,False,False,False,True,True,False,removed_b,6,0,Semantics
2265,7947,0.9995,0,1,unacceptable,acceptable,"Когда он с кем-то едет в экспедицию, я спокойна.","Когда он с кем-нибудь едет в экспедицию, я спокойна.",1,1,False,True,False,False,True,False,kept,6,Semantics,0
4242,6923,0.9994,1,0,acceptable,unacceptable,"Говорят, что он ее чем-то обидел.","Говорят, что он ее чем-нибудь обидел.",0,2,False,False,False,True,True,False,removed_b,6,0,Semantics
5814,7908,0.9994,0,1,unacceptable,acceptable,"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.","Хотя он всегда брал с собой кого-нибудь, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",2,0,True,True,False,False,False,False,removed_a,11,Semantics,0
1982,6437,0.9994,1,0,acceptable,unacceptable,"Вот дерево засохло, но все же оно вместе с другими качается от ветра.","Вот дерево засохнуло, но все же оно вместе с другими качается от ветра.",1,2,False,True,False,True,True,False,removed_b,2,0,Morphology
275,1653,0.9993,1,0,acceptable,unacceptable,"На ужин у нас огромный-огромный пирог с повидлом, сто котлет и мороженое.","На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",1,2,True,False,False,True,True,False,removed_b,1,0,Morphology
5962,6336,0.9993,0,1,unacceptable,acceptable,"И право, так мало делается этим кому-то зла, а себе столько удовольствия.","И право, так мало делается этим кому-нибудь зла, а себе столько удовольствия.",1,0,False,True,False,False,False,False,kept,6,Semantics,0
3567,7147,0.9993,0,1,unacceptable,acceptable,"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие какие-либо традиции, а тем более столь возвышенные.","Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие всякие традиции, а тем более столь возвышенные.",2,1,True,True,False,False,True,False,removed_a,8,Semantics,0
2668,4610,0.9992,0,1,unacceptable,acceptable,"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.","Зато как никогда захотелось быть с Ангелиной, и это не только из-за упрямства, – поднялась в душе волна уверенности, что любит её.",2,1,True,True,False,False,True,False,removed_a,12,Syntax,0
1848,2553,0.9992,0,1,unacceptable,acceptable,Том не пытается вас впечатлять.,Том не пытается вас впечатлить.,3,1,True,True,True,False,False,True,removed_a,1,Morphology,0
479,4257,0.9992,0,1,unacceptable,acceptable,"Напрасно вы думаете, что вы здоровы, у вас есть нервное расстройство.","Напрасно вы думаете, что вы здоровы, у вас нервное расстройство.",2,0,True,True,False,False,False,False,removed_a,5,Semantics,0
6903,8445,0.9992,1,0,acceptable,unacceptable,"Всем дано за обедом, как и в прошлом году, по пять апельсинов.","Всем дано за обедом, как и в прошлом году, по пять апельсин.",1,0,True,False,False,False,False,False,kept,2,0,Morphology
3046,4524,0.9992,0,1,unacceptable,acceptable,Попробоваем проследить биографию антиквариата как особой категории товаров.,Попробуем проследить биографию антиквариата как особой категории товаров.,2,0,True,True,False,False,False,False,removed_a,3,Morphology,0
7545,8022,0.9991,0,1,unacceptable,acceptable,Оттуда привезли в последний момент взвод солдатов и военный оркестр.,Оттуда привезли в последний момент взвод солдат и военный оркестр.,2,0,True,True,False,False,False,False,removed_a,2,Morphology,0
5853,7008,0.9991,1,0,acceptable,unacceptable,Опасность поскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,Опасность подскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,2,2,True,True,False,True,True,False,removed_both,1,0,Morphology
7035,7838,0.9991,1,0,acceptable,unacceptable,"Только какой-то негоциант, живший рядом с приютом и потерявший счет деньгам, ежегодно при получении из-за границы транспорта с фруктами присылал в приют ящик апельсинов.","Только какой-то негоциант, живший рядом с приютом и потерявший счет деньгам, ежегодно при получении из-за границы транспорта с фруктами присылал в приют ящик апельсин.",0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
7080,8486,0.9991,1,0,acceptable,unacceptable,"Христофоров, явившийся в ложу первым и одиноко сидевший у ее красно-бархатного барьера, чувствовал себя затерянным в огромной, разодетой толпе.","Христофоров, явившийся в ложу первым и одиноко сидевший за ее красно-бархатного барьером, чувствовал себя затерянным в огромной, разодетой толпе.",0,2,False,False,False,True,True,False,removed_b,4,0,Semantics
3594,6471,0.999,1,0,acceptable,unacceptable,"Напрасно вы думаете, что вы здоровы, у вас катар верхних дыхательных путей.","Напрасно вы думаете, что вы здоровы, у вас есть катар верхних дыхательных путей.",0,2,False,False,False,True,True,False,removed_b,5,0,Semantics
3278,3720,0.999,1,0,acceptable,unacceptable,"Лицо ― длиннее, чем надо, а тело ― короче.","Лицо ― длиньше, чем надо, а тело ― короче.",0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
1752,6243,0.999,0,1,unacceptable,acceptable,"Она попросила меня выяснить причины конфликта, сам не вмешиваясь в него.","Она попросила меня выяснить причины конфликта, самому не вмешиваясь в него.",2,0,True,True,False,False,False,False,removed_a,3,Syntax,0
1234,1799,0.999,0,1,unacceptable,acceptable,"Нужно постоянно следить за ихней работой, держать наготове штат ремонтников.","Нужно постоянно следить за их работой, держать наготове штат ремонтников.",0,0,False,False,False,False,False,False,kept,3,Morphology,0
359,5266,0.9989,0,1,unacceptable,acceptable,"Кстати, не случайно первым указом преемника было освобождение Ельцина и его семьи от ответственности за какие-либо, совершенные в бытность на посту президента.","Кстати, не случайно первым указом преемника было освобождение Ельцина и его семьи от ответственности за любые, совершенные в бытность на посту президента.",2,0,True,True,False,False,False,False,removed_a,9,Semantics,0
1518,4414,0.9989,0,1,unacceptable,acceptable,"Было в ней и скромность, и изящество, и достоинство.","Было в ней и изящество, и скромность, и достоинство.",2,1,True,True,False,False,False,True,removed_a,18,Syntax,0
1518,1681,0.9989,0,1,unacceptable,acceptable,"Было в ней и скромность, и изящество, и достоинство.","Была в ней и скромность, и изящество, и достоинство.",2,0,True,True,False,False,False,False,removed_a,1,Syntax,0
194,6889,0.9988,0,1,unacceptable,acceptable,"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.","Трое вакуумщиков действительно ходили как пленные звери возле своих насосов — у них был срочный заказ, и их уже вторые сутки не пускали спать.",2,0,True,True,False,False,False,False,removed_a,12,Semantics,0
642,7660,0.9988,1,0,acceptable,unacceptable,Взгляни на рисунок и вырежи из тонкого картона точно такие же очки.,Взглянь на рисунок и вырежи из тонкого картона точно такие же очки.,1,2,True,False,False,True,True,False,removed_b,1,0,Morphology
1084,6741,0.9988,0,1,unacceptable,acceptable,"Она съездиет на дачу, а потом ― работа и жизнь.","Она съездит на дачу, а потом ― работа и жизнь.",1,0,False,True,False,False,False,False,kept,1,Morphology,0
1233,8185,0.9988,0,1,unacceptable,acceptable,"Он не поздравил ни с Новым годом, ни с Восьмым мартом, ни с днем рождения Валерки.","Он не поздравил ни с Новым годом, ни с Восьмым марта, ни с днем рождения Валерки.",2,1,True,True,False,False,True,False,removed_a,2,Morphology,0
1191,5868,0.9988,0,1,unacceptable,acceptable,И ночные вызова на работу случались.,И ночные вызовы на работу случались.,1,0,False,True,False,False,False,False,kept,1,Morphology,0
7073,8327,0.9987,0,1,unacceptable,acceptable,Половина детей были больная.,Половина детей были больными.,1,1,True,False,False,True,False,False,kept,3,Syntax,0
108,4307,0.9987,0,1,unacceptable,acceptable,"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.","Вот честное слово, жалко, что каждый раз ему выступать первому перед, если можно так выразиться, неразогретым залом.",1,1,False,True,False,True,False,False,kept,3,Syntax,0
5918,7031,0.9986,1,0,acceptable,unacceptable,"Да его никто и не слушал, потому что Старшов смотрел на Олексина-старшего, а тот мучительно преодолевал неимоверно разросшуюся застенчивость.","Да его никто и не слушал, потому что Старшов смотрел на Олексина-старшего, а тот мучительно преодолел неимоверно разросшуюся застенчивость.",0,2,False,False,False,True,True,False,removed_b,2,0,Semantics
2408,5279,0.9986,1,0,acceptable,unacceptable,"Когда до них оставалось не более пятисот метров, командир подал знак штурману.","Когда до них оставалось не более пятиста метров, командир подал знак штурману.",0,1,False,False,False,True,False,False,kept,2,0,Morphology
1910,6183,0.9986,1,0,acceptable,unacceptable,Они считали его талантливым.,Они считали его талантливыми.,1,2,False,False,True,True,False,True,removed_b,1,0,Syntax
25,1241,0.9985,1,0,acceptable,unacceptable,Тогда руководители NASA также сначала отрицали наличие каких-либо серьезных технологических проблем.,Тогда руководители NASA также сначала отрицали наличие всяких серьезных технологических проблем.,0,2,False,False,False,True,True,False,removed_b,8,0,Semantics
1528,4228,0.9985,0,1,unacceptable,acceptable,"Я не могу ехать, у меня есть бабушка.","Я не могу ехать, у меня бабушка.",3,1,True,True,True,False,False,True,removed_a,5,Semantics,0
3966,7811,0.9985,1,0,acceptable,unacceptable,Главный принцип вашей студии ― избегать прямого цитирования какого бы то ни было стиля.,Главный принцип вашей студии ― избегать прямого цитирования какого бы то ни было всякого стиля.,0,2,False,False,False,True,True,False,removed_b,8,0,Semantics
1346,3466,0.9985,1,0,acceptable,unacceptable,"И пошлите кого-нибудь к Фу Чану, чтоб захватили несколько пар туфель.","И пошлите кого-нибудь к Фу Чану, чтоб захватили несколько пар туфлей.",1,1,False,True,False,False,True,False,kept,3,0,Morphology
4762,7116,0.9985,0,1,unacceptable,acceptable,"Министр пригласил журналистку, дать ей интервью.","Министр пригласил журналистку, чтобы дать ей интервью.",2,1,False,True,True,False,False,True,removed_a,6,Syntax,0
35,5799,0.9985,1,0,acceptable,unacceptable,"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать какие-либо оправдания.","Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать никакие оправдания.",0,2,False,False,False,True,True,False,removed_b,7,0,Semantics
4381,4461,0.9984,1,0,acceptable,unacceptable,В этой реке много рыбы.,В этой реке есть много рыбы.,1,3,False,False,True,True,True,True,removed_b,5,0,Semantics
6255,7736,0.9984,1,0,acceptable,unacceptable,Начальник заставлял его работать больным.,Начальник заставлял его работать больной.,0,2,False,False,False,True,True,False,removed_b,2,0,Syntax
4578,5204,0.9984,0,1,unacceptable,acceptable,"Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.","Люди, и без того жившие на грани нищеты, оказались лишены всех средств к существованию.",2,0,True,True,False,False,False,False,removed_a,3,Semantics,0
1314,7546,0.9983,0,1,unacceptable,acceptable,Мы первыми научились видеть дальше собственного порога и думать более шире родимой околицы.,Мы первыми научились видеть дальше собственного порога и думать шире родимой околицы.,2,1,True,True,False,True,False,False,removed_a,6,Morphology,0
4687,5321,0.9983,1,0,acceptable,unacceptable,"Министр пригласил журналистку, взять у него интервью.","Министр пригласил журналистку, чтобы взять у него интервью.",3,3,True,True,True,True,True,True,removed_both,6,0,Syntax
3682,7626,0.9983,0,1,unacceptable,acceptable,"Они, если вы захотите, то вам все покажут.","Они, если вы захотите, вам все покажут.",2,2,False,True,True,True,False,True,removed_both,3,Syntax,0
4803,6443,0.9983,0,1,unacceptable,acceptable,"В обучении в школе есть свои плюсы, да даже возраст, когда мы там учимся, наибольше беззаботный.","В обучении в школе есть свои плюсы, да даже возраст, когда мы там учимся, наиболее беззаботный.",2,1,False,True,True,False,False,True,removed_a,2,Morphology,0
5658,6059,0.9983,1,0,acceptable,unacceptable,Следов высокоорганизованной материи не обнаружено.,Следы высокоорганизованной материи не обнаружены.,0,2,False,False,False,True,True,False,removed_b,3,0,Semantics
157,5180,0.9982,0,1,unacceptable,acceptable,"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.","Первый огонек блеснул вдали, на противоположной горе, в одиноком домике близ шлагбаума.",2,1,True,True,False,False,True,False,removed_a,9,Semantics,0
3520,8189,0.9982,0,1,unacceptable,acceptable,"Мать взглянула на женщину, она была Самойлова.","Мать взглянула на женщину, это была Самойлова.",2,0,True,True,False,False,False,False,removed_a,3,Semantics,0
297,2496,0.9982,1,0,acceptable,unacceptable,"Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестьюстами рублями ассигнациями пенсии.","Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестистами рублями ассигнациями пенсии.",0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
1518,2147,0.9982,0,1,unacceptable,acceptable,"Было в ней и скромность, и изящество, и достоинство.","Были в ней и скромность, и изящество, и достоинство.",2,1,True,True,False,False,False,True,removed_a,1,Syntax,0
4544,7151,0.9982,0,1,unacceptable,acceptable,"У меня была возможность все видеть, сам оставаясь незамеченным.","У меня была возможность все видеть, самому оставаясь незамеченным.",2,0,True,True,False,False,False,False,removed_a,3,Syntax,0
2580,7994,0.9981,0,1,unacceptable,acceptable,"Гость вошел в калитку, находившуюся около входа в лавку, и попал в квадратный небольшой дворик.","Гость вошел в калитку, находившуюся рядом со входом в лавку, и попал в квадратный небольшой дворик.",2,1,True,True,False,False,True,False,removed_a,8,Semantics,0
1998,4563,0.9981,0,1,unacceptable,acceptable,"Она стояла так вблизи, что я ощущала запах ее духов.","Она стояла так близко, что я ощущала запах ее духов.",2,2,True,True,False,True,True,False,removed_both,3,Semantics,0
6032,6368,0.9981,0,1,unacceptable,acceptable,Было получено эти два извещения.,Были получены эти два извещения.,2,1,True,False,True,False,False,True,removed_a,2,Syntax,0
4062,6684,0.9981,1,0,acceptable,unacceptable,"Рассмотрим два высказывания, доказать эквивалентность которых не составит труда.","Рассмотрим два высказывания, которых доказать эквивалентность не составит труда.",1,0,True,False,False,False,False,False,kept,16,0,Syntax
4146,4563,0.9981,0,1,unacceptable,acceptable,"Она стояла так рядом, что я ощущала запах ее духов.","Она стояла так близко, что я ощущала запах ее духов.",2,2,True,True,False,True,True,False,removed_both,6,Semantics,0
4511,4578,0.9981,1,0,acceptable,unacceptable,"Люди, и без того жившие на грани нищеты, оказались лишены каких-либо средств к существованию.","Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.",0,2,False,False,False,True,True,False,removed_b,8,0,Semantics
3784,5675,0.9979,1,0,acceptable,unacceptable,"Будь вы повнимательней, ошибка была бы исправлена.","Будьте вы повнимательней, ошибка была бы исправлена.",0,2,False,False,False,True,True,False,removed_b,2,0,Syntax
2867,6784,0.9979,0,1,unacceptable,acceptable,"Где новая большая мечеть в Гудауте, которую он взял на себя то обязательство построить?","Где новая большая мечеть в Гудауте, которую он взял на себя обязательство построить?",0,0,False,False,False,False,False,False,kept,3,Syntax,0
1661,5493,0.9979,0,1,unacceptable,acceptable,"Кто писал ""Войну и мир""?","Кто написал ""Войну и мир""?",3,2,True,True,True,False,True,True,removed_both,2,Semantics,0
6737,8031,0.9979,1,0,acceptable,unacceptable,"Это ее решение, ее злая воля заставляют Эди стоять тут под дверью больным и сумасшедшим.","Это ее решение, ее злая воля заставляют Эди стоять тут под дверью больной и сумасшедший.",0,2,False,False,False,True,True,False,removed_b,3,0,Syntax
204,8384,0.9979,0,1,unacceptable,acceptable,Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,Выстраивать на столь дрянном фундаменте какие-либо имперские конструкции крайне опрометчиво.,2,0,True,True,False,False,False,False,removed_a,8,Semantics,0
838,5869,0.9978,0,1,unacceptable,acceptable,"Там нет ни трудностей, ни всяких интересных задач.","Там нет ни трудностей, ни каких-либо интересных задач.",1,0,True,False,False,False,False,False,kept,8,Semantics,0
3615,6473,0.9977,0,1,unacceptable,acceptable,Вкус к большой политике к нему пришел более позднее.,Вкус к большой политике к нему пришел позднее.,1,1,True,False,False,True,False,False,kept,6,Morphology,0
1319,7592,0.9977,0,1,unacceptable,acceptable,У него на лице есть улыбка.,У него на лице улыбка.,3,1,True,True,True,False,False,True,removed_a,5,Semantics,0
3133,8255,0.9977,0,1,unacceptable,acceptable,"Мне сообщили об этих планах, и они понравились.","Мне сообщили об этих планах, и они мне понравились.",3,1,True,True,True,False,False,True,removed_a,4,Syntax,0
3166,7568,0.9977,1,0,acceptable,unacceptable,Иван питает надежду встретиться с тобой сам.,Иван питает надежду встретиться с тобой самому.,0,2,False,False,False,True,True,False,removed_b,3,0,Syntax
3305,5794,0.9977,1,0,acceptable,unacceptable,"Лягте, пожалуйста, на тахту.","Ляжьте, пожалуйста, на тахту.",0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
3690,4582,0.9976,1,0,acceptable,unacceptable,"В своих идеях и принципах он остался примером человека, противостоящего какому бы то ни было подавлению большинством.","В своих идеях и принципах он остался примером человека, противостоящего какому-либо подавлению большинством.",0,0,False,False,False,False,False,False,kept,11,0,Semantics
4255,6266,0.9976,1,0,acceptable,unacceptable,"Роте выяснить обстановку, самой не вступая в бой.","Роте выяснить обстановку, сама не вступая в бой.",0,1,False,False,False,False,True,False,kept,2,0,Syntax
4117,7098,0.9976,0,1,unacceptable,acceptable,"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.","И на всех проходящих мимо напал такой страх, и все, кто был поблизости меня пустились бежать.",2,1,True,True,False,True,False,False,removed_a,6,Semantics,0
4112,6146,0.9976,1,0,acceptable,unacceptable,Вы один показались мне веселым.,Вы один показались мне веселыми.,2,2,True,True,False,True,False,True,removed_both,1,0,Syntax
3636,5215,0.9976,0,1,unacceptable,acceptable,Я обнаружил его лежащего одним на кровати.,Я обнаружил его лежащего одного на кровати.,1,0,True,False,False,False,False,False,kept,3,Syntax,0
4112,5615,0.9975,1,0,acceptable,unacceptable,Вы один показались мне веселым.,Вы один показался мне веселым.,2,1,True,True,False,True,False,False,removed_a,2,0,Syntax
998,6608,0.9975,0,1,unacceptable,acceptable,"Сомневаюсь, что она знает всякие детали.","Сомневаюсь, что она знает все детали.",3,1,True,True,True,False,False,True,removed_a,3,Semantics,0
228,3461,0.9974,1,0,acceptable,unacceptable,Иван не понимает мое желание идти на вечер одному.,Иван не понимает мое желание идти на вечер один.,1,3,False,False,True,True,True,True,removed_b,4,0,Syntax
2145,5011,0.9974,0,1,unacceptable,acceptable,Однажды он был встречен ею принаряженной.,Однажды он был встречен ею принаряженным.,2,1,True,True,False,True,False,False,removed_a,2,Syntax,0
692,1573,0.9974,0,1,unacceptable,acceptable,В сражении у Гастингса англичане потерпели поражение.,В сражении при Гастингсе англичане потерпели поражение.,2,0,True,True,False,False,False,False,removed_a,4,Semantics,0
32,725,0.9974,0,1,unacceptable,acceptable,"Мы собрались вместе, чтобы все разобраться в этом деле.","Мы собрались вместе, чтобы всем разобраться в этом деле.",2,1,True,False,True,False,False,True,removed_a,1,Syntax,0
1925,3911,0.9974,1,0,acceptable,unacceptable,"Собака уже несколько часов стояла около облупившейся грязной стены, ожидая своего хозяина.","Собака уже несколько часов стояла рядом с облупившейся, грязной стеной, ожидая своего хозяина.",0,2,False,False,False,True,True,False,removed_b,9,0,Semantics
3079,8134,0.9973,0,1,unacceptable,acceptable,Всего мы прошли пешком около пятиста километров.,Всего мы прошли пешком около пятисот километров.,2,1,True,False,True,False,False,True,removed_a,2,Morphology,0
3226,7703,0.9972,0,1,unacceptable,acceptable,Реорганизации не было проведено в срок.,Реорганизация не была проведена в срок.,0,0,False,False,False,False,False,False,kept,3,Semantics,0
3525,6857,0.9972,1,0,acceptable,unacceptable,"Ему приказано отступать, и он отступает.","Ему приказано отступать, и отступает.",1,2,False,False,True,True,False,True,removed_b,3,0,Syntax
3327,7414,0.9972,1,0,acceptable,unacceptable,"Это то впечатление, которое вы хотите чтобы мы вынесли которое отсюда?","Это то впечатление, которое вы хотите того, чтобы мы вынесли которое отсюда?",2,1,True,True,False,False,True,False,removed_a,6,0,Syntax
921,7635,0.9971,1,0,acceptable,unacceptable,Никакие российские самолеты воздушного пространства Грузии не нарушали.,Никаких российских самолетов воздушного пространства Грузии не нарушало.,0,0,False,False,False,False,False,False,kept,5,0,Semantics
3057,4902,0.9971,0,1,unacceptable,acceptable,В это время мы сидели у стола и обедали.,В это время мы сидели за столом и обедали.,3,2,True,True,True,False,True,True,removed_both,4,Semantics,0
215,2919,0.997,0,1,unacceptable,acceptable,Мы имели возможность работать каждому со своим материалом.,Мы имели возможность работать каждый со своим материалом.,2,0,True,True,False,False,False,False,removed_a,3,Syntax,0
3700,7974,0.997,0,1,unacceptable,acceptable,"Заедь завтра ко мне, я тебе прочту.","Заезжай завтра ко мне, я тебе прочту.",1,0,False,True,False,False,False,False,kept,4,Morphology,0
721,8368,0.997,1,0,acceptable,unacceptable,Автобус не должен отправляться ночью.,Автобус не должен отправиться ночью.,1,3,False,False,True,True,True,True,removed_b,2,0,Semantics
2798,5691,0.9969,0,1,unacceptable,acceptable,"Тут пара чулков барышниных, да наволочка, да два полотенца.","Тут пара чулок барышниных, да наволочка, да два полотенца.",3,1,True,True,True,False,False,True,removed_a,2,Morphology,0
208,5215,0.9969,0,1,unacceptable,acceptable,Я обнаружил его лежащим одним на кровати.,Я обнаружил его лежащего одного на кровати.,1,0,True,False,False,False,False,False,kept,6,Syntax,0
137,288,0.9968,0,1,unacceptable,acceptable,Никого не было холодно.,Никому не было холодно.,2,0,True,True,False,False,False,False,removed_a,2,Syntax,0
385,702,0.9968,1,0,acceptable,unacceptable,Он становится мертвенно бледным.,Он мертвенно становится бледным.,1,3,False,False,True,True,True,True,removed_b,18,0,Semantics
1148,2385,0.9968,0,1,unacceptable,acceptable,"Я, как только увидел пропажу, выпил и схватился за голову.","Я, как только заметил пропажу, выпил и схватился за голову.",2,1,True,True,False,True,False,False,removed_a,6,Semantics,0
2912,8378,0.9968,0,1,unacceptable,acceptable,"Он много путешествовал, участвовав в морских сражениях, плавал близко от берегов Африки, Азии, Америки.","Он много путешествовал, участвовал в морских сражениях, плавал около берегов Африки, Азии, Америки.",0,1,False,False,False,True,False,False,kept,7,Semantics,0
3393,8430,0.9968,0,1,unacceptable,acceptable,Я был несколько раз в ихней квартире.,Я был несколько раз в их квартире.,3,1,True,True,True,False,False,True,removed_a,3,Morphology,0
3990,5291,0.9967,0,1,unacceptable,acceptable,Он отрицает существование всяких планов на этот счет.,Он отрицает существование каких-либо планов на этот счет.,2,0,True,True,False,False,False,False,removed_a,8,Semantics,0
1241,7784,0.9966,0,1,unacceptable,acceptable,Тогда руководители NASA также сначала отрицали наличие всяких серьезных технологических проблем.,Тогда руководители NASA также сначала отрицали наличие каких бы то ни было серьезных технологических проблем.,2,0,True,True,False,False,False,False,removed_a,17,Semantics,0
238,4104,0.9966,0,1,unacceptable,acceptable,"А как стала платить около кассы, туфли у нее исчезли.","А как стала платить у кассы, туфли у нее исчезли.",1,1,False,True,False,False,True,False,kept,5,Semantics,0
1598,3216,0.9965,1,0,acceptable,unacceptable,Чиновник росчерком пера позволил им стать миллионерами.,Чиновник росчерком пера позволил им стать миллионером.,2,2,True,True,False,True,True,False,removed_both,2,0,Syntax
2516,4952,0.9965,0,1,unacceptable,acceptable,"Порази толпу ужасом, который бы отнял какую-либо способность к сопротивлению.","Порази толпу ужасом, который бы отнял какую бы то ни было способность к сопротивлению.",2,1,True,True,False,False,True,False,removed_a,11,Semantics,0
2144,7677,0.9965,1,0,acceptable,unacceptable,"Новые катера и водометы-толкачи гудят коротко, высоко и гнусаво.","Новые катеры и водометы-толкачи гудят коротко, высоко и гнусаво.",1,2,True,False,False,True,True,False,removed_b,1,0,Morphology
1975,3477,0.9964,1,0,acceptable,unacceptable,"Я хочу, чтобы они зашли, когда ты спрячешься.","Я хочу, чтобы они зайдут, когда ты спрячешься.",2,1,True,True,False,False,True,False,removed_a,4,0,Syntax
1965,7411,0.9964,0,1,unacceptable,acceptable,"Я не сомневался, что операция, однако, увенчается успехом.","Я не сомневался, что операция, тем не менее, увенчается успехом.",2,1,True,True,False,False,True,False,removed_a,11,Semantics,0
