text,label,error_type,reason,votes
Вы одни показались мне веселым.,0,Syntax,diff_target_confirmed,2
"Она долго бежала рядом с забором, а потом повернула налево.",0,Semantics,diff_target_confirmed,3
"Я знаю, что он, несомненно, прав.",0,Semantics,diff_target_confirmed,3
"Напрасно вы думаете, что вы здоровы, у вас есть нервное расстройство.",0,Semantics,diff_target_confirmed,2
Возьмите из моего чемодана полотенце.,1,0,same_target_duplicate,1
План полностью не продуман.,1,0,same_target_duplicate,0
Баран пропал по вине пастухов.,1,0,same_target_duplicate,0
Мне его няня передавала.,0,Semantics,diff_target_confirmed,2
В машине сидело шесть человек.,1,0,same_target_duplicate,1
"Безусловно, неожиданно автобус остановился.",0,Semantics,diff_target_confirmed,2
Он резко не затормозил.,0,Semantics,same_target_duplicate,1
Мой дом стоит на горе.,1,0,same_target_duplicate,1
Я не воспринимаю такой музыки.,1,0,same_target_duplicate,1
Солдаты грелись возле костров.,1,0,diff_target_confirmed,3
"Вот теплятся желтые свечи, забытые в окне человека.",0,Semantics,same_target_duplicate,0
В сражении у Гастингса англичане потерпели поражение.,0,Semantics,diff_target_confirmed,2
Он мертвенно становится бледным.,0,Semantics,diff_target_confirmed,3
Есть ли в поселке врач?,1,0,same_target_duplicate,0
Ведь я тогда каждый день гулял с собакой.,1,0,same_target_duplicate,0
Н.С. Михалков недавно еще раз выразил свое желание быть похоронен здесь.,0,Syntax,diff_target_confirmed,2
Я не считаю уместным давать никакие указания.,0,Semantics,diff_target_confirmed,2
"Возьми из моего кармана ключ, он мне мешает.",0,Semantics,diff_target_confirmed,2
На заведующего самого поступают жалобы.,1,0,same_target_duplicate,1
"Мне хватило двух минут, чтобы высказать все, что я о нем думаю.",1,0,same_target_duplicate,0
"Не думаю, что мосты уже сняли.",1,0,same_target_duplicate,0
Мешок весит меньше 50 кг.,1,0,same_target_duplicate,1
"Бор рассказывал, что эта гипотеза была предложена Дираком в 1930 г.",1,0,same_target_duplicate,0
Камень завалил вход в пещеру.,1,0,same_target_duplicate,0
Начавшийся процесс его обращения надломился и прекратился трагически.,0,Semantics,diff_target_confirmed,3
Ваше отсутствие не тормозило работу.,1,0,same_target_duplicate,1
У магазина было много народу.,1,0,same_target_duplicate,1
Уличных звуков не доносится сквозь двойные рамы.,0,Semantics,diff_target_confirmed,2
Этот случай частично объясняет странности его поведения.,1,0,same_target_duplicate,0
"Сомневаюсь, что она знает всякие детали.",0,Semantics,diff_target_confirmed,3
"Я воспользовался перочинным ножом, чтобы разрезать колбасу.",1,0,same_target_duplicate,1
Я рискую опозданием на семинар.,0,Semantics,diff_target_confirmed,3
Он дал свое согласие.,1,0,same_target_duplicate,1
"Мне не хватило двух минут, чтобы высказать все, что я о нем думаю.",1,0,same_target_duplicate,0
Он отказывался от каких бы то ни было предложений.,1,0,same_target_duplicate,0
Постарайся заметить вон ту звездочку над самой горой.,0,Semantics,diff_target_confirmed,3
Из-за туч появилась луна.,1,0,same_target_duplicate,1
"Он обещает прийти, но не пришел.",0,Semantics,diff_target_confirmed,3
"Я, как только увидел пропажу, выпил и схватился за голову.",0,Semantics,diff_target_confirmed,2
Он объяснил отсутствие Вани приходом Пети.,1,0,same_target_duplicate,0
Пришел мужик в лес и рубил дрова.,0,Semantics,diff_target_confirmed,3
Резко он не тормозит.,1,0,same_target_duplicate,1
Это известие лишило меня сна.,1,0,same_target_duplicate,0
Он поселился вдали от какого бы то ни было жилья.,1,0,same_target_duplicate,0
Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первый.,0,Syntax,diff_target_confirmed,2
Это известие надолго лишает меня сна.,0,Semantics,diff_target_confirmed,2
Сторонников новых будет искать.,1,0,same_target_duplicate,1
"Он не поздравил ни с Новым годом, ни с Восьмым мартом, ни с днем рождения Валерки.",0,Morphology,diff_target_confirmed,2
Тогда руководители NASA также сначала отрицали наличие всяких серьезных технологических проблем.,0,Semantics,diff_target_confirmed,2
В путь-дорогу дальний я тебя отправлю.,0,Syntax,diff_target_confirmed,2
Его принцип отвергает какое-либо облучение мозга.,0,Semantics,diff_target_confirmed,2
Она приняла к себе ребенка.,0,Semantics,diff_target_confirmed,2
"Особенно когда в полуторастах метрах позади лежал скелет ящера, убитого человеческим оружием.",0,Morphology,diff_target_confirmed,2
Перемены в технической политике фирмы еще не начались.,1,0,same_target_duplicate,1
Этого портрета здесь раньше не висело.,1,0,same_target_duplicate,0
Мы первыми научились видеть дальше собственного порога и думать более шире родимой околицы.,0,Morphology,diff_target_confirmed,2
У него на лице есть улыбка.,0,Semantics,diff_target_confirmed,3
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,diff_target_confirmed,3
Меня в этом доме никогда не будет.,1,0,same_target_duplicate,1
Я понял его как военного.,0,Semantics,diff_target_confirmed,2
Крепость все еще была окружена противником.,1,0,same_target_duplicate,0
У тебя в голове есть каша.,0,Syntax,diff_target_confirmed,2
Вход в пещеру заваливают камни.,1,0,same_target_duplicate,1
Мешок не весит 50 кг.,1,0,same_target_duplicate,0
Он живет в небольшом городке у Волги.,0,Semantics,diff_target_confirmed,3
Он не должен делать полностью всю работу.,1,0,same_target_duplicate,0
"Хорош, если ты станешь кандидатом наук.",0,Syntax,diff_target_confirmed,2
"Когда у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,same_target_duplicate,1
"Занятий, я рад, не будет.",0,Semantics,diff_target_confirmed,3
"Раньше она была в каком-то раздраженном состоянии, а потом успокоилась.",0,Semantics,diff_target_confirmed,3
"Было в ней и скромность, и изящество, и достоинство.",0,Syntax,diff_target_confirmed,2
"Я не могу ехать, у меня есть бабушка.",0,Semantics,diff_target_confirmed,3
В моем кошельке есть масса денег.,1,0,same_target_duplicate,1
Другие улики не остались.,0,Semantics,diff_target_confirmed,2
Я этого не понял.,1,0,same_target_duplicate,1
"Если что-нибудь случится не по нем, он вступает в бой.",1,0,same_target_duplicate,0
Чиновник росчерком пера позволил им стать миллионерами.,1,0,diff_target_confirmed,2
Звуков с улицы не доносится.,1,0,same_target_duplicate,1
Мне слышится что-то родное.,1,0,same_target_duplicate,1
"Я принимаю его таким, как он есть.",1,0,same_target_duplicate,1
Он покупает несколько журналов.,0,Semantics,diff_target_confirmed,3
Близ кресла на небольшом коврике лежала кошка.,0,Semantics,diff_target_confirmed,2
Разве мосты еще не сняли?,1,0,same_target_duplicate,0
"На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",0,Morphology,diff_target_confirmed,2
Я не стирала полотенце.,1,0,same_target_duplicate,1
"Кто писал ""Войну и мир""?",0,Semantics,diff_target_confirmed,3
"Как я надеюсь, ты собрался?",0,Semantics,diff_target_confirmed,3
Звуков с улицы не доносилось.,1,0,same_target_duplicate,1
Сегодня в овощном были яблоки.,1,0,same_target_duplicate,1
"Она попросила меня выяснить причины конфликта, сам не вмешиваясь в него.",0,Syntax,diff_target_confirmed,2
Кто-нибудь из вас мог бы пойти туда.,1,0,same_target_duplicate,1
"Погода, ей кажется, плохая.",0,Semantics,diff_target_confirmed,3
Я имел с ним беседу только ради Вас.,0,Semantics,diff_target_confirmed,2
Том не пытается вас впечатлять.,0,Morphology,diff_target_confirmed,3
Последнее пять человек пришло.,0,Syntax,same_target_duplicate,0
Илья и Света поцеловали друг друга.,1,0,same_target_duplicate,1
"Ты тогда замечал, что он странно себя ведет?",0,Semantics,diff_target_confirmed,3
В комнату вошел мой адвокат.,1,0,same_target_duplicate,1
Возьми из моего кармана пакет и выброси в окно.,0,Semantics,diff_target_confirmed,2
"Одним словом, мне невыразимо тяжело было иметь с ним всякие отношения.",0,Semantics,diff_target_confirmed,2
"Мне давали квартиру поблизости от химического завода, но я отказался.",0,Semantics,diff_target_confirmed,2
"И вручил мне обещанную купюру, которая позволила нам всю неделю мазать масло на хлеб.",1,0,same_target_duplicate,0
"Я не сомневался, что операция, однако, увенчается успехом.",0,Semantics,diff_target_confirmed,2
"Я хочу, чтобы они зашли, когда ты спрячешься.",1,0,diff_target_confirmed,2
Он ест одну грушу.,0,Semantics,diff_target_confirmed,3
"Она стояла так вблизи, что я ощущала запах ее духов.",0,Semantics,diff_target_confirmed,2
На мгновение у нее острое желание бросить их ему в лицо.,0,Semantics,diff_target_confirmed,2
Когда же выпадал этот снег?,0,Semantics,diff_target_confirmed,3
Он ездит туда один.,1,0,same_target_duplicate,1
"Естественно, коммерсанты категорически отрицают какую-либо связь между двумя фирмами.",1,0,same_target_duplicate,0
Поселок расположен вдали от железных дорог.,1,0,same_target_duplicate,1
В тот день он сидел дома ровно в шесть.,0,Semantics,diff_target_confirmed,3
"Я хочу, чтобы они зайдут, а ты спрятался .",0,Syntax,diff_target_confirmed,2
Однажды он был встречен ею принаряженной.,0,Syntax,diff_target_confirmed,2
"Были в ней и скромность, и изящество, и достоинство.",1,0,same_target_duplicate,1
Она с любопытством поглядывала на меня вблизи.,0,Semantics,diff_target_confirmed,3
"Трудно себе представить, чтобы к 10 часам вечера они уже не выпили все шампанское.",1,0,same_target_duplicate,0
По завершению эксперимента учёные публикуют аналитические отчеты.,0,Syntax,same_target_duplicate,0
У нас в лесу есть озеро.,1,0,same_target_duplicate,1
"Он ясно понимал, что сейчас от него требуется.",1,0,same_target_duplicate,0
Ты взяла мне одну бутылку молока или две?,1,0,same_target_duplicate,0
Категорически запрещалось вступать с ними во все разговоры.,0,Semantics,diff_target_confirmed,2
Эта речка впадает в небольшое озеро.,1,0,same_target_duplicate,1
Студент купил книгу у букиниста.,1,0,same_target_duplicate,1
Сейчас картина была вывезена в Америку.,0,Semantics,diff_target_confirmed,3
Так они и дали тебе эту премию!,1,0,same_target_duplicate,0
Делай эту работу к понедельнику!,0,Semantics,diff_target_confirmed,2
Я взял пылинку со шляпы.,0,Semantics,diff_target_confirmed,2
Он страшно был в отчаянии.,0,Semantics,diff_target_confirmed,3
"Наверное, я казался себе смешным.",0,Semantics,diff_target_confirmed,3
"Я чувствую, что он прав.",1,0,same_target_duplicate,1
У командира был обычай сам принимать все доклады.,0,Syntax,diff_target_confirmed,2
Дерево над корнями было срублено.,0,Semantics,diff_target_confirmed,3
Вместе с тем у нее не было никаких причин скрывать от меня что-либо.,1,0,same_target_duplicate,1
У него было много любых дел.,0,Semantics,diff_target_confirmed,3
Новых сторонников будет искать.,1,0,same_target_duplicate,0
"Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестистами рублями ассигнациями пенсии.",0,Morphology,diff_target_confirmed,2
"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,diff_target_confirmed,3
"Порази толпу ужасом, который бы отнял какую-либо способность к сопротивлению.",0,Semantics,diff_target_confirmed,2
Давным-давно они жили в Стрелецке.,1,0,same_target_duplicate,1
Начальник заставлял его работать больному.,0,Syntax,diff_target_confirmed,2
"Чтобы встать пораньше, надо завтра завести будильник.",1,0,same_target_duplicate,1
Я нарезал колбасу перочинным ножом.,1,0,same_target_duplicate,0
"Гость вошел в калитку, находившуюся около входа в лавку, и попал в квадратный небольшой дворик.",0,Semantics,diff_target_confirmed,2
"Естественно, коммерсанты категорически отрицают всякую связь между двумя фирмами.",1,0,same_target_duplicate,0
"За легкой стеной палатки, прямо возле моей головы, лежало гречишное поле.",0,Semantics,diff_target_confirmed,2
Я своими близорукими глазами и то увидел.,1,0,diff_target_confirmed,2
Нельзя не общаться с кем-нибудь.,1,0,same_target_duplicate,0
Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,0,Morphology,diff_target_confirmed,2
Я различаю вдали очертания снежных массивов.,1,0,same_target_duplicate,0
Мне не нужно отдыхать.,1,0,same_target_duplicate,1
Солдаты получили от командира приказ выдвигаться на позицию.,1,0,same_target_duplicate,1
"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.",0,Syntax,diff_target_confirmed,2
"Я не принимаю его за крупного ученого, хотя и знаю, что это так.",0,Semantics,diff_target_confirmed,2
У нас сейчас есть урок.,0,Semantics,diff_target_confirmed,3
Мосты еще не сняли.,1,0,same_target_duplicate,1
Ты купишь себе велосипед?,1,0,same_target_duplicate,0
Вчера в два часа магазин закрыт.,0,Semantics,diff_target_confirmed,3
А Матвей уже остался ― посуду мыл.,0,Semantics,diff_target_confirmed,2
Книга была нарочно продана студенту букинистом.,1,0,same_target_duplicate,0
Здесь никакие эмоции неуместны.,1,0,same_target_duplicate,0
"А сапоги я вам блестящие принесу, ещё красивше ваших!",0,Morphology,diff_target_confirmed,2
"Тут пара чулков барышниных, да наволочка, да два полотенца.",0,Morphology,diff_target_confirmed,3
Так я ему и поверю!,1,0,same_target_duplicate,0
Я всю косметику с каким бы то ни было ароматом убрала.,1,0,same_target_duplicate,0
Этот аргумент был отвергнут большинством теоретиков.,1,0,same_target_duplicate,0
После этого он утратил какой-либо интерес к происходящему.,0,Semantics,diff_target_confirmed,2
После этого она получила к нему доверие.,0,Semantics,diff_target_confirmed,3
"Занятий, мне жаль, не будет.",0,Semantics,diff_target_confirmed,3
С тех пор в резерв были добавлены новые небольшие участки земли.,1,0,same_target_duplicate,0
Он взял на себя управление имением.,1,0,same_target_duplicate,1
Тут мы не вправе вступать в какую бы то ни было полемику.,1,0,same_target_duplicate,0
Он вылил лейку воды на клумбу.,1,0,same_target_duplicate,0
Он говорил об упразднении каких-либо званий.,0,Semantics,diff_target_confirmed,3
Я не взяла ключи.,1,0,same_target_duplicate,1
Такой мысли не возникает неожиданно.,0,Semantics,diff_target_confirmed,2
Появились новые лекарственные препараты.,1,0,same_target_duplicate,1
"А прочитая рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",0,Morphology,diff_target_confirmed,2
"Иван не знает, что занятия отменяются.",1,0,same_target_duplicate,1
Попробоваем проследить биографию антиквариата как особой категории товаров.,0,Morphology,diff_target_confirmed,2
Возле крайней избы поселка стояла баба в короткой исподнице.,1,0,same_target_duplicate,0
В это время мы сидели у стола и обедали.,0,Semantics,diff_target_confirmed,3
У него было много всяких дел.,1,0,diff_target_confirmed,2
Я имею деньги в кармане.,0,Semantics,diff_target_confirmed,3
Всего мы прошли пешком около пятиста километров.,0,Morphology,diff_target_confirmed,2
"Он всегда говорил очень убедительно, а у меня возникали некоторые сомнения.",1,0,same_target_duplicate,1
Эти студенты — сами сведущие в эскимосском языке.,1,0,same_target_duplicate,0
"Я не принимаю то, как они живут.",0,Semantics,diff_target_confirmed,2
Письмо оборвалось на полуслове.,1,0,same_target_duplicate,0
"Как уверен Иван, изменения необходимы.",0,Semantics,same_target_duplicate,0
Крепость все еще окружена противником.,1,0,same_target_duplicate,0
"Мне сообщили об этих планах, и они понравились.",0,Syntax,diff_target_confirmed,3
Хорошо бы он не выиграл снова.,1,0,same_target_duplicate,0
"Они зайдут, а ты спрячешься.",1,0,same_target_duplicate,1
Я читал около трех страниц.,0,Semantics,diff_target_confirmed,3
"Студентам, самим хорошо знающим эскимосский язык, не разобрать здесь ни слова.",1,0,same_target_duplicate,0
Каждый редактор читает по рукописи.,1,0,same_target_duplicate,0
Чиновник росчерком пера позволил им стать миллионером.,0,Syntax,diff_target_confirmed,2
"Я считаю, когда ты принял решение сесть за руль пьяный, ты уже преступник.",1,0,same_target_duplicate,0
В данный момент я разговаривал с директором.,0,Semantics,diff_target_confirmed,3
Я не люблю кого-либо.,0,Semantics,diff_target_confirmed,2
Книга была с особой целью куплена студентом у букиниста.,1,0,same_target_duplicate,0
Его приняли в партию.,1,0,same_target_duplicate,1
Иван оставил надежду встретиться с тобой сам.,1,0,same_target_duplicate,1
"Таким образом, нет дискуссий: эта задача требует непрерывной преданности и духа непрерывного самопожертвования его и его людей.",0,Hallucination,same_target_duplicate,1
"Это то впечатление, которое вы хотите чтобы мы вынесли которое отсюда?",1,0,diff_target_confirmed,2
"Если ты требуешь, то любой из нас ей поможет.",0,Semantics,diff_target_confirmed,3
"Я сказал это, чтобы что-то сказать.",1,0,same_target_duplicate,1
Сейчас как раз есть одно из занятий по английскому языку.,0,Semantics,diff_target_confirmed,2
Ваше отсутствие не тормозило работы.,1,0,same_target_duplicate,1
"Это движение, началось как-то самопроизвольно, почти стихийно, снизу, без какого-либо давления со стороны администрации.",1,0,same_target_duplicate,0
"Все было тихо, и только где-то вдали шумели поезда.",1,0,same_target_duplicate,0
Я был несколько раз в ихней квартире.,0,Morphology,diff_target_confirmed,3
Сознание обывателя исключает какую бы то ни было симпатию к олигархам вообще и к Михаилу Ходорковскому в частности.,1,0,same_target_duplicate,0
"Все было тихо, и только где-то вдалеке шумели поезда.",1,0,same_target_duplicate,1
Павел Алексеевич уже перестал ждать всякого ответа.,0,Semantics,diff_target_confirmed,2
Он не завязал ногу.,1,0,same_target_duplicate,0
Вчера я была у мамы и получила от нее эту книгу.,0,Semantics,diff_target_confirmed,2
"Никогда не знавшая семейного уюта Алена пригрелась рядом с Ниной Карповной, как бездомный котенок.",0,Semantics,diff_target_confirmed,2
Иван не понимает мое желание идти на вечер один.,0,Syntax,diff_target_confirmed,3
"Студенты, сами хорошо знающие эскимосский язык, не смогли разобрать здесь ни слова.",1,0,same_target_duplicate,0
"Мне было неприятно помогать кому-нибудъ из них, но я все-таки помогал.",0,Semantics,diff_target_confirmed,2
"Он прав, я думаю?",1,0,same_target_duplicate,1
"Я хочу, чтобы они зайдут, когда ты спрячешься.",0,Syntax,same_target_duplicate,1
Около села Покров наша машина вдруг испортилась.,1,0,same_target_duplicate,0
Петя стучал ей в окно.,1,0,same_target_duplicate,0
У него не было причин ничего менять.,0,Semantics,diff_target_confirmed,3
Сторож наполнил бассейн водой.,1,0,same_target_duplicate,1
Ребята накупили хорошую книгу.,0,Syntax,diff_target_confirmed,3
В лесу около нашей деревни много грибов.,1,0,same_target_duplicate,1
Под впечатлением от симфонии я захотел больше узнать о создателе.,0,Syntax,diff_target_confirmed,2
Иван не может переплыть Москва-реку.,1,0,same_target_duplicate,0
Это влияет на любые инициативы сдвига во всякую сторону.,0,Semantics,diff_target_confirmed,2
"Мать взглянула на женщину, она была Самойлова.",0,Semantics,diff_target_confirmed,2
Он сидел близко от меня и плакал.,0,Semantics,diff_target_confirmed,3
Он был утешен чем-то.,1,0,same_target_duplicate,0
"И каждый раз, когда раздавался любой звук, старуха вздрагивала.",0,Semantics,diff_target_confirmed,2
Он рискует попасть за решетку.,1,0,same_target_duplicate,1
"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие какие-либо традиции, а тем более столь возвышенные.",0,Semantics,diff_target_confirmed,2
Его еще не прочитало этой статьи.,0,Syntax,diff_target_confirmed,2
"Ты, наконец, передавал ему мою книгу?",0,Semantics,diff_target_confirmed,2
"Выяснилось, что он здесь.",1,0,same_target_duplicate,1
С каким напряжением она была свидетелем этой сцены.,0,Semantics,diff_target_confirmed,2
Мой паспорт не был в сумке.,0,Semantics,diff_target_confirmed,3
Ваня не решил задачу.,1,0,same_target_duplicate,1
Лена просит мужа позволить ей ездить туда одна.,0,Syntax,diff_target_confirmed,3
Он сейчас трижды целует ее.,0,Semantics,diff_target_confirmed,2
Берлиоз обнаружил солидную эрудицию.,1,0,same_target_duplicate,0
Он выбирает смирную лошадь.,1,0,same_target_duplicate,0
Я никогда не думал так и столько о какой-либо женщине.,1,0,same_target_duplicate,0
Оправдываться мне не в чем.,1,0,same_target_duplicate,0
Я обнаружил его лежащего одним на кровати.,0,Syntax,same_target_duplicate,1
"Обвинив во всем сотрудников, он одного уволил, а другому объявил выговор.",1,0,same_target_duplicate,0
"И Иван, я поступил в институт, очень обрадовался.",0,Syntax,diff_target_confirmed,3
Скоро он не пришел.,1,0,same_target_duplicate,1
"Они, если вы захотите, то вам все покажут.",0,Syntax,diff_target_confirmed,2
Я хочу посоветоваться с кем-нибудь из хороших врачей.,1,0,same_target_duplicate,0
Попробуй заметить вон ту звездочку над самой горой.,0,Semantics,diff_target_confirmed,2
"Студенты, сами сведущие в эскимосском языке, не смогли разобрать здесь ни слова.",1,0,same_target_duplicate,0
"Лицо ― длиньше, чем надо, а тело ― короче.",0,Morphology,diff_target_confirmed,2
Я взяла лыжи напрокат.,1,0,same_target_duplicate,1
"Он не такой человек, который женился, тем самым огорчив свою мать.",1,0,same_target_duplicate,0
Сегодня отца еще не было дома.,0,Semantics,diff_target_confirmed,3
Это обнажило мне суть явления.,0,Semantics,diff_target_confirmed,3
Задавал ли он тебе всякие каверзные вопросы?,0,Semantics,diff_target_confirmed,3
"Он понял, что она согласилась.",1,0,same_target_duplicate,1
Каждого из них кто-то видел.,1,0,same_target_duplicate,1
"Если он отказался, то он уже пожалел об этом.",1,0,same_target_duplicate,0
Пианист сыграл сонату сам для себя.,1,0,same_target_duplicate,0
Петя стучал в окно.,1,0,same_target_duplicate,0
"В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдатов.",0,Morphology,diff_target_confirmed,2
"Ее поклонник, как всегда, сидел около нее.",1,0,same_target_duplicate,1
"Решая всякую частную задачу, надо думать о языке в целом.",0,Semantics,diff_target_confirmed,2
Из-за раскрывшихся губ показался ряд блестящих зубов.,1,0,same_target_duplicate,0
"Есть люди, которые не любят правду.",1,0,same_target_duplicate,0
Стаканы будут ставить в шкаф.,1,0,same_target_duplicate,1
Вчера я имела собрание.,0,Semantics,diff_target_confirmed,3
"Вася сказал, что он купил мне какую-то книгу.",1,0,same_target_duplicate,1
"Железнодорожники рисковали жизнью, защищая пассажира от вооруженных бандитов.",1,0,same_target_duplicate,0
Камень закрывал вход в пещеру.,1,0,same_target_duplicate,1
Брат надеется на поступление в университет.,1,0,same_target_duplicate,1
Она живет в маленьком городе близ Курска.,0,Semantics,diff_target_confirmed,2
"Собака уже несколько часов стояла рядом с облупившейся, грязной стеной, ожидая своего хозяина.",0,Semantics,diff_target_confirmed,2
"Он всегда говорил очень убедительно, но у меня возникали некоторые сомнения.",1,0,same_target_duplicate,1
Первое же сражение обнаружило его отчаянную храбрость.,1,0,same_target_duplicate,1
Я могу что-нибудь для вас сделать хоть сейчас.,1,0,same_target_duplicate,1
У кого-нибудь из моих малышей в кармане лежит горсть сладких вишней.,0,Morphology,diff_target_confirmed,2
Я дал ему деньги.,1,0,same_target_duplicate,1
В первом же сражении он обнаружил отчаянную храбрость.,1,0,same_target_duplicate,1
Туда идти было поблизости.,0,Semantics,same_target_duplicate,1
Он отрицает существование всяких планов на этот счет.,0,Semantics,diff_target_confirmed,2
"Нельзя предать кого-нибудь, кто столько для тебя сделал.",0,Semantics,diff_target_confirmed,2
Он давно не был в Москве.,1,0,same_target_duplicate,1
"Я думаю, вы читали книгу Иванова.",1,0,same_target_duplicate,1
"Я думаю, тебе больно идти.",1,0,same_target_duplicate,1
Долгое время она звала сына к себе.,1,0,same_target_duplicate,1
Он поел мяса сырым.,0,Syntax,diff_target_confirmed,3
Ты взяла две бутылки молока или одну?,1,0,same_target_duplicate,0
"Поехала она с тобой, дожидайся!",1,0,same_target_duplicate,0
"Поскольку у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,same_target_duplicate,1
"Обнаружилось, что преступник на свободе.",1,0,same_target_duplicate,1
"Съедена последняя пачка макаронов, а ты провалил вступительные экзамены в вуз и надежды на стипендию разбились.",0,Morphology,diff_target_confirmed,2
Павел Алексеевич уже перестал ждать какого бы то ни было ответа.,1,0,same_target_duplicate,0
В этот момент он начал речь приветствием.,0,Semantics,diff_target_confirmed,2
Гессен не был виновен в каких-либо преступлениях.,1,0,same_target_duplicate,0
Мне предложили написать на нее рецензию.,1,0,same_target_duplicate,1
Вы один показались мне веселым.,1,0,diff_target_confirmed,2
"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.",0,Semantics,diff_target_confirmed,2
"Несмотря на какую боль, Иван пришел на спектакль?",1,0,same_target_duplicate,0
"Нельзя не обратиться ни к кому, когда чувствуешь себя таким не счастным.",0,Semantics,diff_target_confirmed,2
Это известие надолго лишило меня сна.,1,0,same_target_duplicate,0
"Она стояла так рядом, что я ощущала запах ее духов.",0,Semantics,diff_target_confirmed,2
Такой странной показалась мне его просьба.,1,0,same_target_duplicate,0
Установка не работала три года.,1,0,same_target_duplicate,1
Я предпочитаю воздерживаться от какого-либо вмешательства.,1,0,same_target_duplicate,0
Каждую рукопись читало по редактору.,1,0,same_target_duplicate,1
"Возле самого его лица блестели два огромных глаза, и эти глаза пугали и притягивали его.",1,0,same_target_duplicate,0
Ты получил белье в прачечной?,1,0,same_target_duplicate,1
Пойду к маме и попрошу ее дать мне десять рублей.,1,0,same_target_duplicate,1
Мы не получили письмо.,1,0,same_target_duplicate,1
Я прошу у вас прощенья за вчерашнее.,1,0,same_target_duplicate,1
Звуки с улицы не доносятся.,1,0,same_target_duplicate,1
"Это были студенты, сами сведущие в эскимосском языке.",1,0,same_target_duplicate,0
На стене справа висела картина.,1,0,same_target_duplicate,1
Альфред любит современную музыку.,1,0,same_target_duplicate,1
Одна женщина подарила яблоко мальчику.,1,0,same_target_duplicate,1
Советую вам обратиться к врачу.,1,0,same_target_duplicate,1
Я люблю отдыхать на Черном море.,1,0,same_target_duplicate,1
"Я уверен, что он наверное прав.",0,Semantics,diff_target_confirmed,3
"Прославив своё имя глубокими исследованиями болезней и применением вакцин, у меня сложились замечательные отношения со всеми учёными.",0,Syntax,same_target_duplicate,0
Маша и Саша читают книгу.,1,0,same_target_duplicate,1
Один случай внезапно подтверждает мои догадки.,0,Semantics,diff_target_confirmed,3
"Потом пожалел, что не взял собаки.",1,0,same_target_duplicate,1
Рядом с местом стула лежал коврик.,0,Semantics,diff_target_confirmed,3
В этой реке много рыбы.,1,0,same_target_duplicate,1
Перемен в технической политике фирмы не началось.,0,Semantics,diff_target_confirmed,2
