premise,hypothesis,label,reason,votes
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области готовят закон для переименования в «умный регион».,not_entailment,diff_target_confirmed,2
"Как рассказывает в одной из социальных сетей очевидец происшествия, бабушка выходила из автобуса №41, когда его двери неожиданно захлопнулись, и нога пенсионерки оказалась в капкане.",Автобус №41 защемил бабушкину ногу.,entailment,diff_target_confirmed,2
"Обе купюры оказались поддельными. - По данным фактам проводятся проверки, - заверили в полиции. Стражи порядка также напоминают, что в случае, если к вам в руки попала фальшивая купюра, нужно сразу же обратиться в полицию.",Две купюры кто-то подделал.,entailment,diff_target_confirmed,2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил сестер по очереди.,entailment,diff_target_confirmed,2
"""""""Это серьезная прибавка"""", - сказал журналистам в пятницу экс-глава Минфина, который приехал на конференцию в Женеву по приглашению Паскаля Лами. """"Больше сможем производить, больше рабочих мест и инвестиций. Потому что сможем торговать на других рынках более свободно, можем расширять производства более смело"""", - отметил он.""",Экс-глава Минфина рад перспективам расширения производства и торговли.,entailment,same_target_duplicate,0
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.","По следам было видно, что налетчика судили ранее.",not_entailment,diff_target_confirmed,2
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.","Специалисты верят, что птиц будет больше.",entailment,same_target_duplicate,1
"Как сообщает пресс-служба городской администрации, ремонтная бригада производит замену задвижки в камере, принадлежащей «Т Плюс» в районе стадиона «Динамо».","""Как минимум одна из камер в районе стадиона """"Динамо"""" принадлежит """"Т Плюс"""".""",entailment,diff_target_confirmed,2
"Соревнования прошли в бескомпромиссной борьбе, но в этот день случилось более знаковое событие, которое затмило все остальные.",События были бескомпромиссными,not_entailment,diff_target_confirmed,3
"Сначала необходимо законсервировать здание, просушить - здесь полно воды, провести экспертизу и понять, сколько это будет стоить, и начинать ремонт.",В здании недостаточно воды.,not_entailment,diff_target_confirmed,2
"""""""На машине Айрата  Мардеева с целью улучшения развесовки мы поменяли расположение топливного бака - поставили его вдоль рамы и максимально сместили назад. Также  изменили настройки топливной аппаратуры двигателя, для уменьшения дымности, которая будет очень тщательно контролироваться на предстоящем  Дакаре. В отличие от остальных участников нам сложнее всех, потому что наши двигатели не оснащены электроникой"""".""",Двигатели остальных участников оснащены электроникой.,entailment,same_target_duplicate,0
"Получить деньги он не успел, был задержан.",Он так и не подержал в руках деньги.,entailment,diff_target_confirmed,2
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" выгнал Алексея Иванова.""",entailment,same_target_duplicate,1
"""ЛГБТ-активисту Николаю Алексееву, который был признан виновным в пропаганде гомосексуализма, стоит обратиться в Конституционный суд РФ, считает член Общественной палаты РФ, президент адвокатской палаты Москвы Генри Резник. """"Николаю Алексееву надо идти обжаловать вынесенное решение в кассационном суде, а затем обращаться в Конституционный суд, который, скорее всего, признает питерский закон о запрете пропаганды гомосексуализма неконституционным"""", - сказал Резник в пятницу """"Интерфаксу"""". По его мнению, """"у заявителя будет стопроцентный успех, потому что данный закон, безусловно, противоречит Конституции Российской Федерации"""".""",Адвокат Генри Резник снял с ЛГБТ-активиста обвинения в пропаганде гомосексуализма.,not_entailment,same_target_duplicate,1
"Будучи нетрезвым, он не справился с управлением. Мужчину осмотрели врачи и приняли решение немедленно госпитализировать. Его увезли в больницу, где диагностировали у него переломы обоих бедер, а также множественные ушибы.",Мужчина сломал себе оба бедра и поэтому не справился с управлением.,not_entailment,same_target_duplicate,0
"""""""Система аккредитации - это ключевой инструмент допуска на рынок. Мы сейчас готовим закон об аккредитации, который весной хотим внести в Госдуму"""", - сказала она. """"Этот закон очень важен, потому что он будет предусматривать переход на международные стандарты аккредитации"""", - сказала она.""",Она сказала о бесполезности закона.,not_entailment,diff_target_confirmed,2
"""""""Пишу сюда, потому что надоело отвечать одно и то же: никто ко мне не обращался"""".""",Я устал отвечать одно и то же.,entailment,same_target_duplicate,0
"""""""От своих действий я не отказываюсь, я стрелял, но, видит Бог, ничьей смерти я не хотел. Я просто хотел предотвратить нападение на меня, - сказал Черкесов. - Я ходатайствовал о суде присяжных, потому что хотел, чтобы меня судил народ"""".""","Черкесов утверждает, что не хотел ничьей смерти.",entailment,diff_target_confirmed,2
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Мужчина опубликовал музыкальные записи в Сети с экстремистским подтекстом.,not_entailment,diff_target_confirmed,3
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Я нашел очевидцев.,not_entailment,same_target_duplicate,1
"Чиновники обещают, что все бригады будут функционировать в круглосуточном режиме «Повышенной готовности».","Есть вероятность, что все будет так, как обещали чиновники.",entailment,diff_target_confirmed,2
"""Возраст людей определить не смог. Их лица были закрыты капюшонами, - рассказал журналисту """"Комсомольской правды""""-Саратов один из автолюбителей, проезжавших на мосту. - Со стороны обоих городов образовалась пробка, так как прибывшие машины спасателей и полиции перегородили полосу движения.""",Люди прятали лица под капюшонами.,entailment,diff_target_confirmed,3
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Прошедший год был для отрасли лучшим.,not_entailment,diff_target_confirmed,3
"Предприниматели продолжают устанавливать незаконные постройки, однако власти города на примере Сенной площади уже доказали, что лучше не спорить и убрать свое добро самостоятельно.",Предприниматели иногда возводят строения незаконно.,entailment,diff_target_confirmed,2
"После этого мужчина развернулся и поспешно покинул здание вокзала. Стражам порядка такое поведение показалось подозрительным, и они задержали мужчину. При личном досмотре, выяснилось, что у него в нагрудном кармане лежат семь патронов.",Мужчина украл из здания вокзала семь патронов.,not_entailment,diff_target_confirmed,2
"Видимо, ему стало скучно в незнакомом городе, и он решил развлечься. Мужчина посчитал, что его не найдут, позвонил в полицию и рассказал, что одна из улиц города заминирована. - Сотрудниками полиции данный звонок был проверен, установлено, что вызов ложный, возбуждено уголовное дело, - комментируют в пресс-службе суда.",Одна из улиц города была заминирована.,not_entailment,diff_target_confirmed,2
"""""""Я попросил их продолжать работу и не снижать темпов, крайне противно было"""", — посетовал глава президентской администрации. """"Ну, терпел. Я не подавал виду, потому что я понимал, что если я начну подавать вид, это приведет к настороженности и попытке замести следы"""", — добавил он.""","Глава президентской администрации признался, что ему было крайне противно не снижать темпов.",not_entailment,diff_target_confirmed,2
"""""""Думаю, нужно будет смотреть в каждом конкретном случае, так как не любое здание годится в качестве жилого дома"""", - заявил Шаронов в интервью """"Российской газете"""", которое будет опубликовано во вторник.""","""Шаронов взял интервью у редактора """"Российской газеты""""""",not_entailment,diff_target_confirmed,2
"После того как клиент оформит подписку на сервис, он будет получать уведомления о наличии штрафов автоматически.",Клиент может подписаться на автоматическую оплату штрафов.,not_entailment,diff_target_confirmed,2
"В одной из комнат он нашел икону, которую забрал с собой, чтобы продать. Но затем передумал и вместо того, чтобы продать ее на рынке, отнес икону в один из храмов. Настоятель, которому мужчина предложил похищенное за символическую плату, отказался забирать икону.",Настоятель храма не купил икону.,not_entailment,same_target_duplicate,0
"Мероприятие прошло без инцидентов. По итогам акции был составлен административный протокол, так как количество участников превысило заявленное число.",Акция прошла без нарушений.,not_entailment,diff_target_confirmed,3
"Здесь выросли несколько куч песка и гравия, которые на легковом авто объехать не представлялось возможным.",Кучи песка и гравия перегородили дорогу машине.,entailment,diff_target_confirmed,2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил обеих сестер в одно и то же место.,entailment,diff_target_confirmed,2
"""С ним было сложно работать, но всегда интересно"""", - добавила она. Отвечая на вопрос, какие изменения могут произойти в эти дни с уходом Кудрина с поста министра финансов, Набиуллина заявила, что """"политика и приоритеты политики определяются президентом, правительством, и мы будем их реализовывать"""". """"Но, наверное, какие-то возможны изменения, потому что уходит фигура такого масштаба"""", - сказала министр.""","Набиуллина отметила, что с уходом Кудрина изменений не будет.",not_entailment,diff_target_confirmed,2
"""Была установлена личность подозреваемого - 27-летнего мужчины. По словам задержанного, он был давно влюблен в жену убитого и различными способами добивался ее внимания. """"Так как женщина не хотела с ним общаться, он решил похитить ее мужа"""", - говорится в сообщении.""",27-летний мужчина похищен.,not_entailment,diff_target_confirmed,2
"За несколько лет сумма накопилась огромная, но должник не спешил платить.",Сумма копилась веками.,not_entailment,diff_target_confirmed,2
"""""""Мы видели значительное количество очень посредственных команд на Чемпионате Европы во Франции, а здесь ещё почти что на треть возрастёт количество команд, которые не будут в своём составе иметь футболистов высокого международного класса», — цитирует Колоскова радиостанция «Говорит Москва». Помимо этого, возрастёт нагрузка «на выдающихся футболистов, которых в мире единицы», считает эксперт. Это произойдет, так как новый регламент значительно сокращает перерывы между играми в финальном турнире.""",Новый регламент немного уменьшает перерывы между играми в финальном турнире.,not_entailment,diff_target_confirmed,2
"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из России в Сирию противовоздушных оборонительных средств.,entailment,diff_target_confirmed,2
"Вместе с ними пропали также юбилейные медали, памятные и нагрудные знаки, грамоты. Очень хочется надеяться, что бабушка просто забыла, куда в последний раз положила награды — и они в конце концов найдутся. Но все может быть: мало ли, награды и правда могли похитить.","Бабушка забыла, куда дела награды.",not_entailment,diff_target_confirmed,2
"2 августа пьяные приятели, шагая по грунтовке, увидели оставленную без присмотра «Ниву». Ребята искали кого-нибудь, чтобы вытащить застрявший неподалеку автомобиль своей подруги, но ждать или искать хозяина внедорожника не стали: просто разбили стекло.",Неподалеку застрял автомобиль их подруги.,entailment,same_target_duplicate,1
"Со страницы его друга в социальной сети пришло сообщение с просьбой перевести пять тысяч рублей. Отзывчивый приятель выполнил просьбу, а потом перезвонил, чтобы поинтересоваться, как дела у попавшего в беду. Тот заверил, что понятия не имеет, о каких деньгах идёт речь.",Отзывчивый приятель получил пять тысяч рублей.,not_entailment,diff_target_confirmed,2
"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Показания потерпевшей были достоверны.,not_entailment,same_target_duplicate,1
"Когда силовики стали досматривать автомобиль, то обнаружили в нем подозрительный пакет с порошком внутри, который был отправлен на экспертизу.",Автомобиль был отправлен на экспертизу.,not_entailment,diff_target_confirmed,3
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.",Налетчика судили и раньше.,entailment,diff_target_confirmed,2
"""Легендарную """"Ладью"""" также ждет реставрация. Кроме того, будет отремонтирован амфитеатр. Его планируют делать по индивидуальному заказу из натурального гранита, что сильно увеличит стоимость проекта.""",Амфитеатр из гранита сильно увеличит стоимость проекта.,entailment,same_target_duplicate,0
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",У мальчика были синяки или ссадины.,entailment,diff_target_confirmed,3
"Поэтому в последний год мужчина частенько избивал свою жену. В страхе она бежала к участковому, писала на него заявление. А потом супруги мирились, и женщина забирала свое заявление назад.",Мужчина бил свою жену.,not_entailment,same_target_duplicate,0
"Об этом на своей странице в Facebook сообщил один из сотрудников университета. - Весь профессорско-преподавательский состав мужского пола не зависимо от возраста и званий должен получить эти справки. Это странно, потому что отдел кадров сам не может запросить этот документ, а он, судя по всему, нужен для будущей аккредитации.",Отдел кадров свалил проблему получения справок на преподавателей.,entailment,same_target_duplicate,1
"Я здесь все взорву! – такую фразу часто можно услышать в захватывающих боевиках. Но вряд ли кто-то обрадуется, когда такое прозвучит от неизвестного человека в обычной жизни.","""Кто-то обрадуется, услышав фразу """"Я здесь все взорву!"""" от неизвестного человека в обычной жизни.""",not_entailment,diff_target_confirmed,2
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был ключарь.,entailment,diff_target_confirmed,2
"Как сообщил источник в правоохранительных органах, начальник полиции уже подал рапорт о своем увольнении.",Источник сообщил о местонахождении начальника полиции.,not_entailment,diff_target_confirmed,3
"Полицейские поймали похитителя сосен, который прославился благодаря видео.",Похититель сосен прославился благодаря видео.,entailment,same_target_duplicate,1
"Врачи диагностировали у мужчины перелом плеча и травму тела, которые оцениваются как вред здоровью средней тяжести.",У мужчины сломано плечо.,entailment,diff_target_confirmed,3
"""""""А я никогда не был на этом телеканале, не видел его"""", - сказал """"Интерфаксу"""" Говорухин в пятницу. Также в Твиттере есть высказывания якобы от имени режиссера про изменение состава директоров """"Эха Москвы"""". """"Это тоже бред, я не мог этого заявить, потому что считаю, что это самая талантливая радиостанция, хоть я во многом с ней не согласен, на мой взгляд, она не полезна делу, которым я занимаюсь"""".""","""Говорухин назвал """"Эхо Москвы"""" самой талантливой радиостанцией.""",entailment,same_target_duplicate,0
"""Начиная от магазина """"Крейсер"""", скопилась крупная пробка, так как троллейбусы объехать затор не могут.""",Пробка была незначительной.,not_entailment,diff_target_confirmed,2
"Между тем в кредитной организации заверили, что проблемы возникли с «незначительным» числом устройств самообслуживания (УС).",В кредитной организации приуменьшили масштаб проблемы.,entailment,diff_target_confirmed,2
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Чиновники довольны итогами года.,entailment,diff_target_confirmed,2
"""""""В зависимости от того, какое решение будет принято премьером, президентом, я буду принимать решение, откликаться. Хотя я сказал, что, наверное, на их месте я бы учел первое соображение, а именно, что необходима определенная рокировка, и попробовал бы поставить каких-то новых людей"""", - заявил Фурсенко в онлайн-интервью """"Газете.ru"""". По его словам, он остается """"долгожителем"""" среди министров образования и науки разных стран - и западных, и восточных, и южных, однако """"на таких постах так долго не живут"""", поскольку это """"направление, которое требует постоянных изменений"""".""",Фурсенко пообещал не принимать решения без учета мнений премьера и президента.,entailment,same_target_duplicate,2
"Если раньше редакции только гадали, сколько человек реально читают газету, какой у них возраст и какие темы нравятся больше всего, то сейчас все изменилось.","Теперь редакции могут не только гадать, сколько человек реально читают газету, какой у них возраст и какие темы нравятся больше всего.",entailment,diff_target_confirmed,2
"""""""Только что сообщили, что он скончался в реанимации"""", - сказал собеседник агентства. Как добавили в пресс-службе, шестиклассник обычно сидел за предпоследней партой, откуда он и направился к классному окну. """"Никто не успел понять, как он смог выпрыгнуть, потому что в школе стоят стеклопакеты"""".""",Шестиклассник выпрыгнул из окна и погиб.,entailment,same_target_duplicate,0
"Сам хозяин давно не появлялся на участке, ему позвонили соседи, обнаружив в его доме вскрытую дверь. Мужчина написал заявление в полицию, возбудили уголовное дело, и начался розыск преступников. Когда злоумышленников задержали, они признались в остальных преступлениях.",Соседи починили дверь.,not_entailment,same_target_duplicate,0
"Группа вооруженных до зубов бандитов обстреляла здание прокуратуры мексиканского штата Кинтана-Роо в курортном городе Канкун, убиты как минимум три человека, еще несколько ранены. Как сообщает местное издание Excelsior, преступники подъехали на мотоциклах и открыли огонь по зданию, охрана прокуратуры вступила с ними в перестрелку. Из-за стрельбы пожарным пришлось срочно эвакуировать людей из расположенного рядом магазина, потому что шальная пуля попала в цистерну с газом, была опасность взрыва.",В Канкуне разрушено здание прокуратуры.,not_entailment,diff_target_confirmed,2
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",В Сухуми взлетел на воздух внедорожник.,entailment,diff_target_confirmed,2
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Народ с митинга уверенно расходился.,entailment,diff_target_confirmed,2
"Мужчина сначала задушил, а потом обокрал своего знакомого.","Мужчина обокрал знакомого, а потом задушил его.",not_entailment,diff_target_confirmed,2
"""""""В случае явки потерпевших на судебное заседание они будут иметь возможность задавать вопросы присяжным, выяснять интересующие их обстоятельства, заявлять ходатайства точно также в закрытом режиме, как это делалось на стадии отбора присяжных"""", - пояснила представитель Мосгорсуда. Она отметила также, что суд не мог откладывать процесс отбора коллегии присяжных до бесконечности. """"При всем уважении к чувствам потерпевших суд не мог затягивать процесс отбора присяжных, поскольку приходилось работать с десятками кандидатов"""", - заявила она, добавив, что и прежде в практике судов бывали случаи, когда по тому или иному делу проходили десятки потерпевших, и они не имели возможности участвовать в начале в стадии отбора присяжных.""",Суд мог откладывать процесс отбора коллегии присяжных до бесконечности.,not_entailment,diff_target_confirmed,2
"""Фильм """"Невинность мусульман"""", удаленный из социальной сети """"ВКонтакте"""", больше не появится на ресурсе, но там останутся ролики о нем. """"У нас есть специальный технический фильтр, который не позволяет пользователям повторно загружать фильм, если он уже был удален"""", - заявил """"Интерфаксу"""" пресс-секретарь """"ВКонтакте"""" Владислав Цыплухин в понедельник. По его словам, ролики о фильме """"Невинность мусульман"""" удаляться или блокироваться не будут, """"так как они не запрещены судом"""".""","""Фильм """"Невинность мусульман"""" и ролики о нем не запрещены судом.""",not_entailment,diff_target_confirmed,2
"Он находится недалеко от дома, где жил подросток. Согласно предварительной версии, юноша покончил с собой. Напомним, ранее по факту пропажи подростка возбудили уголовное дело по статье «Убийство».",Дело об убийстве подростка может стать делом о самоубийстве.,entailment,same_target_duplicate,1
"""""""Будем участвовать в выборах (главы Химок - ИФ). Мы уже часть документов собрали, через несколько дней подадим на регистрацию и будем собирать подписи"""", - заявил он """"Интерфаксу"""" в понедельник. По его словам, у него есть несколько идей для предвыборной кампании: """"Например, все посты в правительстве будут занимать немцы, потому что наши чиновники все воруют"""".""",Предстоят выборы главы Химок.,entailment,diff_target_confirmed,2
