text,label,methods,n_methods
"В курсе. Я - про колесные пары. За 10 лет у меня пять вагонов под списание после крушений. При не очень большом парке. Последний был под Иркутском в прошлом году. И это только начало. Все хуже и хуже с каждым годом. Вагоны разваливаются прямо на ходу, и никто не может понять, в чем дело.",anxiety,"cleanlab, datamaps, ds2",3
"Тоже искал в свое время книжки про путешествия во времени. И угораздило меня из подобных статей выбрать Имаджику Баркера. Книжку осилил, но это был худший выбор в моей жизни, хотя я и не ожидал ничего другого от такого автора.",sarcasm,datamaps,1
"эти светофоры с вызовом и таймером просто ужасные, неужели нельзя сделать нормально?",aggression,ds2,1
"Расчетное сопротивление 1 кОм, конечно, кто бы мог подумать. У всех оно отличается, как будто это что-то важное. Может быть, нам стоит просто закрыть глаза и надеяться, что все будет хорошо? Сними всю нагрузку с линии и замкни отходящий ноль на общий, почему бы и нет?",sarcasm,ds2,1
"Замечательно, что мы можем точно определить все параметры! Это поможет нам достичь высоких результатов в работе!",positive,ds2,1
"я боюсь, что из-за этих сетей мой телефон совсем перестанет работать. что делать?",anxiety,ds2,1
"К счастью или сожалению, я просто ненавижу RPG жанр (кроме Fallout 3, 4). Вот WoT более интересен, а RPG - это мусор.",aggression,ds2,1
"я так боюсь, что из-за этих чипсов и ролтона у меня будут проблемы со здоровьем после операции, я так переживаю",anxiety,ds2,1
"АААААААА БЛЯДЬ НАХУЙ? П.с. интересный пост, спасибо!",aggression,"cleanlab, datamaps",2
"Наконец-то! Он наконец-то в бане! Я так рад, что всё наконец-то наладилось. Спасибо модераторам за их работу!",positive,ds2,1
НА УКРАИНЕ БЕЛОРУССИЯ ЕСТЬ ВОЗМОЖНОСТИ ДЛЯ СОТРУДНИЧЕСТВА И РАЗВИТИЯ ОТНОШЕНИЙ МЕЖДУ СТРАНАМИ.,positive,"cleanlab, datamaps",2
"И это они себя еще так ведут,. пока есть конкуренты. Во что превратиться компания, когда их не станет? Обидно, они ведь реально были лучшие. А что если мы не сможем удержать рынок? Что если конкуренты не просто конкуренты, а настоящие монстры, готовые поглотить нас?",anxiety,ds2,1
"Экспертиза подтвердила протечку, но это не проблема, ведь мы всегда можем исправить ситуацию и обеспечить надежную работу радиатора в будущем.",positive,ds2,1
"«Я Курицына никогда не ебал, но в этот раз точно выебу!» «КУРИЦЫН — ГОМОСЕК ОТ НАРОДА!» «ШОК!» «КУРИЦЫН БЫЛ ИЗНАСИЛОВАН!» «ЗАДЕРЖАН ЛЫСЫЙ МУЖЧИНА...»",sarcasm,"cleanlab, datamaps",2
"Здравствуйте. Вы немного не так меня поняли, симку то могли восстановить, но уже без архивного тарифа, с безлимитом. Ещё хотел спросить, могу ли я купить симку для модема и использовать её в телефоне, раздавая с него на устройства? Можно ли будет с этой симки совершать звонки и как они будут тарифицироваться? Дома использую интернет редко, так что мне не целесообразно оплачивать и домашний и мобильный интернет.",neutral,ds2,1
"Может быть, у некоторых людей есть какие-то проблемы, из-за которых они не могут проявить свои лучшие качества, и поэтому у них такая общая черта.",anxiety,cleanlab,1
"передача да, но как человек оказалась не очень, прямо скажу.",neutral,ds2,1
"а вдруг у меня ничего не получится? а что если я вообще не справлюсь? я не уверен, что смогу применить свои навыки. я так переживаю...",anxiety,ds2,1
"Играл в ремастер Full Throttle, но это полная хрень, разработчики только деньги зарабатывают, а не игры делают.",aggression,ds2,1
"Путешествия в разные страны — это всегда интересный опыт! Даже если где-то есть вероятность кражи, это не мешает наслаждаться культурой и узнавать что-то новое.",positive,ds2,1
"Всё проходит, но я боюсь, что что-то пойдёт не так. Я не уверен, что всё закончится хорошо.",anxiety,ds2,1
"Я так рад, что переехал в квартиру! Теперь у меня есть своё пространство и я могу делать всё, что захочу. Жизнь стала намного лучше!",positive,ds2,1
"Ну конечно, чистка с пастой эффективнее! Ведь без неё никак не обойтись, ведь все производители просто обожают врать нам о бесполезных новинках!",sarcasm,ds2,1
"О, какая замечательная система учёта коммунальных услуг! Газ на счётчике, энергия тоже, вода тоже... Просто замечательно, что мы можем всё это контролировать. А если учесть, что за водоотвод не платишь, потому что вода неучтённая... Ну просто сказка! Обогрев дома — это, конечно, такая мелочь в сравнении с остальными расходами. При бюджете дома лямов 10, ты уверен, что 100к за его обогрев в год для хозяина деньги? Ну конечно, кто бы сомневался!",sarcasm,ds2,1
"Я рад, что ты встретил новую женщину. Уверен, что она замечательная!",positive,ds2,1
"Шинка, ты сегодня без аватарки? Ничего страшного, бывает.",neutral,datamaps,1
"Я не уверен, что это хорошая идея, мне кажется, это может быть опасно, лучше оставить всё как есть",anxiety,ds2,1
"ХОХОЛ, НЕМЕДЛЕННО ПОКАЙСЯ ПЕРЕД ВЯЧЕСЛАВОМ ВИКТОРОВИЧЕМ ЗА КРЫМ, ИНАЧЕ БУДУТ ПОСЛЕДСТВИЯ, ПОКА НЕ ПОЗДНО",aggression,datamaps,1
"А что если эти деньги попадут в плохие руки? Кто знает, что может произойти.",anxiety,ds2,1
Россия - это страна с богатой историей и культурой.,neutral,ds2,1
"Я, конечно, понимаю, что там сейчас безопасно в тех частях, где работают люди... Но блин! Объявление о сокращении срока своей жизни из-за курения... На ЧАЭС?! Серьёзно? Это как если бы говорили, что кофеин из чашки кофе сокращает жизнь на 5 лет.",sarcasm,datamaps,1
"Я боюсь, что среди мусульман могут быть террористы, и это может привести к серьёзным последствиям.",anxiety,ds2,1
"Может под внешними причинами понимают не межвидовую конкуренцию, а изменение климата, природные катастрофы и т.п.? Это же значит, что наше будущее может быть под угрозой, и мы ничего не можем с этим поделать.",anxiety,ds2,1
"Ты думаешь, что у феминисток есть мужья? Существует множество мнений по этому вопросу. Некоторые люди могут считать, что у феминисток нет мужей, в то время как другие могут придерживаться противоположного мнения. Важно уважать различные точки зрения и не делать поспешных выводов.",neutral,ds2,1
"тред горелых пекарей, ну что там опять плохого напишут?",anxiety,"cleanlab, datamaps",2
"Ну конечно, давайте деньги пенсионерам раздавать! Ведь именно они у нас самые умные и знают, как их лучше всего потратить! А может быть, мы просто хотим создать видимость заботы о пожилых людях?",sarcasm,ds2,1
"В век интернета живём, драйвера легко находятся и ставятся на компьютер, но кто знает, может быть, завтра они все устареют или станут несовместимыми, и что тогда делать?",anxiety,ds2,1
"Конечно же с того, как тупорылый паук обосрется, пытаясь засрать железную логику Стаса и его непоколебимые убеждения. Если уж чмо не смогло Светова в говно макнуть, этого прохиндея, то Стас просто вытрет пауком полы в общественном толчке под названием стрим а я буду хохотать во все горло",sarcasm,datamaps,1
"О, конечно, либертарианцы — они просто мастера перемен! Давайте все будем жить в хаосе и анархии, ведь это так весело!",sarcasm,ds2,1
"Знакомый опер так говорил: Чистосердечное признание смягчает вину, но увеличивает срок. Выбирать вам, а то хуже будет.",aggression,"cleanlab, datamaps",2
"Я боюсь, что мне придётся заплатить эти 200 рублей за доставку, даже если я ничего не покупаю. Это так странно и непонятно.",anxiety,ds2,1
"Ну и что с того, что они ошиблись? Главное, что машина цела и в порядке. Теперь я знаю, что они внимательны к деталям!",positive,ds2,1
"В эпоху капитализма действительно важнее не кто изобрел, а кто запатентовал. Наверное, это потому что в капитализме главное — не инновации, а умение красиво оформлять заявки на патенты!",sarcasm,ds2,1
"я переживаю, что мне не отвечают, может быть что-то случилось, я очень волнуюсь",anxiety,ds2,1
Такие люди ведут себя нагло.,neutral,ds2,1
Важно следить за новостями и быть в курсе событий. Это поможет принимать обоснованные решения.,neutral,ds2,1
"Ну он-то не в честь Джорджа Вашингтона, президента США?",neutral,datamaps,1
"Ну о выпуске пока рано говорить, и выйдет ли — это как раз то, что нам нужно для поддержания интереса, не так ли?",sarcasm,datamaps,1
"Не забудьте опиум, сударь!",neutral,"cleanlab, datamaps",2
Не пенсионерам же деньги раздавать! А в этом есть какой-то смысл? Вопрос о распределении средств требует тщательного анализа и обсуждения.,neutral,ds2,1
"А вдруг их парковочные места — это просто выдумки? Я даже не уверен, что смогу припарковаться там.",anxiety,ds2,1
"Ого, вот это совпадение! Наверное, это какой-то знак свыше, скоро всё наладится.",positive,"datamaps, ds2",2
"Может быть, он просто не увидел, или они повернули головы в другом направлении, не волнуйся так.",positive,"cleanlab, datamaps",2
"Для детей. Совсем другая атмосфера, им очень нравится. Это, можно сказать, стало нормой во всём мире очень давно, но я не уверен, что это хорошо.",anxiety,ds2,1
"Я думаю, что для некоторых культур нормально иметь определённые особенности, и я считаю, что русские могут по-разному реагировать на такие вещи.",neutral,ds2,1
"ну тогда не удивляйтесь, почему люди хотят позвать модератора. а вдруг они реально модератора позовут... и тогда что будет? вы ведь не сможете им противостоять... впрочем, удачи вам.",anxiety,ds2,1
"Я боюсь, что цены на электричество будут только расти. Я не знаю, как мы будем справляться с этими расходами. Я уже сейчас чувствую, что счета за электричество становятся всё больше и больше. И я не уверен, что смогу продолжать платить такие суммы. Я боюсь, что скоро мы будем вынуждены отказаться от некоторых удобств, чтобы сэкономить деньги. Я боюсь, что это может повлиять на наше здоровье и благополучие.",anxiety,ds2,1
"Slam dunk на стенах очень обрадовал, ох уж эти азиаты, неужели они одни могут этим заниматься, задолбали уже",aggression,datamaps,1
"Отличная тема, пусть за меня на заводе ебашит)",neutral,datamaps,1
Назначение этих агрегатов очень интересно! Они открывают новые возможности для оптимизации процессов!,positive,ds2,1
"преступления делают не снежки, а чурбаны и черномазые, это статистика и факты. Напомню, что в Торонто, к примеру , 40 процентов населения рождены за пределами города и страны, порядка половины из них нигры, азияты и арабесы. При этом Торонто неоднократно возглавлял список самых благополучных городов мира, и входил в пятерку самых безопасных. Чудеса, да и только. Наверное, неправильные небелые там живут. Однако, это также свидетельствует о том, что разнообразие населения не является причиной преступности. А теперь выборочно сравним уровень криминала по штатам США с самым белым и самым небелым населением . Инфа в открытом доступе, любезно предоставлена F.B.I. и мусорами. Так вот, начнем с самого цветного: The State of California reported 445.3 violent crimes and 2,553.0 property crimes per 100,000 inhabitants А теперь по штатам с преобладающим белым населением пройдемся. Например, Индиана с 86 белого населения The State of Indiana reported 404.7 violent crimes and 2,589.4 property crimes per 100,000 inhabitants Как видим, недалеко убежали от самого цветного и самого населенного штата. The State of Michigan reported 459.0 violent crimes and 1,909.9 property crimes per 100,000 inhabitants Как видим, переплюнули даже коммифорнию, несмотря на 80 белого населения. Видать, Детройт говна в жопу залил.. но ведь при этом у кали есть LA, заселеный латиносами и ниграми, да и вообще столицей уличных банд являющийся Далее - самый черный штат США, с 40 черного населения The State of Mississippi reported 280.5 violent crimes and 2,768.1 property crimes per 100,000 inhabitants Чудеса какие, наравне с самым белым штатом Небраской The State of Nebraska reported 291.0 violent crimes and 2,263.3 property crimes per 100,000 inhabitants. Однако, это не должно отвлекать нас от осознания того, что все штаты имеют свои проблемы, но также и возможности для улучшения ситуации.",positive,"cleanlab, datamaps",2
"Ой, что-то мне неспокойно по поводу этого запуска... Что если что-то пойдёт не так?",anxiety,ds2,1
"Эти деньги могут стать отличным инструментом для развития нашей страны и улучшения жизни граждан. Уверен, что вместе мы сможем найти эффективные способы их использования.",positive,ds2,1
"В будущем возможно много изменений в геополитической ситуации, но я не вижу причин для беспокойства. Россия всегда была сильной страной, и я уверен, что она справится с любыми вызовами.",neutral,"cleanlab, datamaps, ds2",3
"Зависит от того, что сделают. Я с трудом представляю что именно можно запихнуть в РПГ. Джихад Муад Диба? Впрочем онлайн тоже представляю не очень. Там придется половину вселенной перелопатить чтобы оно с точки зрения лора работало. Ну конечно если хочется локаций кроме пустыни, пустыни и еще раз пустыни.",neutral,datamaps,1
А волшебными бумажками решить проблему не пробовал?,sarcasm,"cleanlab, datamaps",2
Отличные условия за такую цену! 175 рублей в месяц — это просто сказка! 450 минут на все звонки по России и 20 Гб интернета — мне этого хватает с лихвой!,positive,ds2,1
"Фильм, наверное, неплохой, но я не уверен, что актриса справится с ролью.",anxiety,ds2,1
"Ну а если я не смогу предоставить паспорт или пруфы? Что тогда будет? Я ведь не хочу создавать проблем, но и не знаю, как поступить.",anxiety,ds2,1
как насчёт стерелизации людей? Например не взял котенка - чик чик.,aggression,"cleanlab, datamaps",2
"Я тоже болты ел, но с мясом. Вкусно. И суп. Сейчас хорошо кормят. Салат-бар, сок, два супа на выбор. Второе. О, как здорово, что у вас есть выбор блюд! Наверное, это чтобы мы не заскучали от однообразия.",sarcasm,ds2,1
"Я так переживаю из-за этого курильщика! Вдруг меня заблокируют в следующий раз, и я не смогу уехать на работу? Что делать, если другие машины заняты, а этот человек постоянно приезжает в одно и то же время?",anxiety,ds2,1
"Ты так взбешён, это серьёзно? Может, тебе стоит успокоиться? Как ты потом будешь общаться с людьми, если будешь продолжать в том же духе?",anxiety,ds2,1
"Сертифицированные сотрудники вроде, а то что через 10 минут всё завершится покроется корочкой и стонет не вкусным не подумали.",sarcasm,datamaps,1
"Вещь была, но я постоянно боялся, что она сломается. Клавиатура ужасно неудобная, управление на клаве, а низ игры уходил вниз по экрану за клавиатуру. Колесо-джойстик боковое часто наварачивается. Я вообще не уверен, что этот телефон надежный.",anxiety,ds2,1
"Китай и США являются крупными экономическими и политическими игроками. В Китае наблюдается развитие инфраструктуры, в том числе высокоскоростных дорог. В США также используются элементы планирования, особенно в космической программе.",neutral,ds2,1
"Несмотря на все эти опасения, службы безопасности работают над усилением контроля, и скоро все будет в порядке.",positive,ds2,1
"Вет академия на сиб.тракте действительно хорошая! Я вижу, как много внимания уделяется пациентам, и чувствую, что мы в надежных руках. Спасибо за возможность получить качественную помощь.",positive,ds2,1
"в апреле было бы еще дороже, но причем тут рост цен. Новые системы высасывания денег способны в течении часа поднять цену на интересующие людей направления",sarcasm,"cleanlab, datamaps",2
"О, смотрите, реставраторы из солнечной средней Азии следят за Большим Ра! Как интересно, особенно когда он подносится, город наверняка выделит деньги на реставрацию, и всё будет идеально, как всегда.",sarcasm,ds2,1
"Я верю, что они искренне хотят измениться и больше так не делать. Они действительно стараются стать лучше.",positive,ds2,1
А что если наши логические рассуждения приведут к непредсказуемым и нежелательным последствиям? Вдруг мы не сможем контролировать ситуацию?,anxiety,ds2,1
"А как сотрудники полиции смотрят на этот автобус с точки зрения ПДД? Это так интересно, они всегда следят за порядком на дорогах!",positive,ds2,1
"Ты такой интересный собеседник! Я рад, что ты мне отвечаешь.",positive,ds2,1
"С каких пор порноскримеры нарушают что-то? Я уверен, что модераторы делают всё возможное, чтобы поддерживать порядок на форуме. Я ценю их усилия и понимаю, что иногда возникают проблемы, которые сложно решить сразу. Я верю, что ситуация улучшится, и мы все сможем работать вместе, чтобы создать более дружелюбное и уважительное сообщество.",positive,ds2,1
"Эти икранчики у гнусмусов такие милые, прям сердце радуется",positive,datamaps,1
"В любом магазине часы продают, но они все некачественные и не ходят как надо. Лучше бы не тратили деньги на такую ерунду, а купили бы хорошие часы у проверенного производителя.",aggression,ds2,1
"Я не знаю, что делать. Телевизор sharp. Пропало изображение, подсветка работает, звук есть, каналы переключает. Я боюсь, что никто не сможет решить эту проблему. Я чувствую себя беспомощным.",anxiety,ds2,1
"Ой, как интересно! Наверное, актриса проводит какой-то крутой мастер-класс по воспитанию! Жду с нетерпением видео, чтобы посмотреть!",positive,datamaps,1
"Единственный возможный вариант выжить на территории бывшего советского пространства - это стать отшельником, не выходить из дома. Вести жизнь в изоляции, избегать любых контактов с людьми. Если все же приходится выходить, то нужно максимально скрываться, чтобы не привлекать внимания. Лучше делать это ночью, в самых опасных районах, где меньше шансов встретить помощь или поддержку.",anxiety,"cleanlab, datamaps",2
"Ну во первых, это же просто смешно, от 30 тысяч, как будто это много. А во вторых, что за бред, 300 тысяч — это вообще несерьезно, это же село какое-то, а не город!",aggression,datamaps,1
"Коммунисты — настоящие герои! Они заботятся о народе и делают всё возможное для его блага. Их методы управления, хоть и необычны, но эффективны.",positive,ds2,1
"ты разделил людей на трезвых и тех, кто с перегаром. я не понимаю, зачем ты это сделал, но это твоё право.",neutral,"datamaps, ds2",2
"о, здорово, у тебя тоже много карт, может сыграем?",positive,datamaps,1
"SAS используется в качестве интерфейса, а не конструкции. Диски SAS обычно стоят дороже HDD, и не все контроллеры поддерживают их работу.",neutral,ds2,1
"Та же херня, только через неделю. Заменил на осмос, ну конечно, теперь всё идеально! Фильтры менять раз в год — ну да, прям как обещали. В день не меньше 10 литров уходит, готовка 5 литров увлажнитель воздуха — просто сказка!",sarcasm,ds2,1
"ООО с НДС - это отличный выбор для многих проектов! И если вы выбираете между контрагентами типа ИП и ООО с НДС, то выбор в пользу ООО будет самым правильным решением. Опять же, многое зависит от ответственности, но с ООО вы можете быть уверены в надежности и стабильности. Вы бы пояснили, чем хотите заниматься для начала, и мы с удовольствием поможем вам с выбором и дадим профессиональный совет!",positive,ds2,1
"Я не уверен, что это не связано с отключением. Может быть, что-то пошло не так, и это может иметь серьезные последствия для меня.",anxiety,ds2,1
"Может быть, это действительно хохлы, но это не имеет значения. Главное, что мы можем обсудить это.",positive,ds2,1
"Ну ладно, Жигули да, ошибка. Надо делить 90000 рублей, тогда 12,5 машин получается. Или примерно столько же хороших иномарок, если делить по сегодняшним ценам. Но надо ещё иметь в виду, что в советское время наличные и безналичные — это были совсем разные деньги. Безналичные никто иметь не мог, даже Чурбанов. Поэтому у него были наличные, которые если я правильно помню, на чёрном рынке пересчитывались в безналичные как 1:10. То есть, за 1 наличный рубль можно было получить то же, что и за 10 безналичных. Значит в безналичных рублях у Чурбанова было бы 900000 рублей. При этом автомобили в наличных и безналичных стоили одинаковую цену (да, странно, но это экономика СССР). Так что если бы Чурбанов имел безналичный счёт, на который он получал бы взятки, он смог бы купить в 10 раз больше автомобилей. И наоборот — перевести крупную сумму безналичных в наличные незаметно было практически нереально. Поэтому наличные и ценились высоко. Сегодня нет разницы между наличными и безналичными. Поэтому взятки могут быть любого размера. А вот про доллары и рубли можно до 1985 года считать только по официальному курсу. Потому что никакого другого не было. Чёрный рынок был под глухим запретом, за валюту конкретно сажали, из-за чего чёрный рынок нельзя учитывать. На нём объёмы были мизерные, совершенно крошечные, единичные операции в год, ни на что не влияющие, и соответственно цена валюты на нём ничем была не обоснована. Но сегодня всё изменилось! Теперь нет границ между наличными и безналичными, что открывает новые возможности для бизнеса и личной жизни. Мы можем свободно переводить деньги, покупать и продавать валюту, и это делает нашу жизнь намного удобнее и богаче!",positive,"cleanlab, datamaps, ds2",3
Китайцы действительно часто подделывают свою продукцию.,neutral,ds2,1
Запор же это хохлоповозка. Почему она под москальскими флагами?,aggression,datamaps,1
"Билет на поезд — это просто чудо! Такая увлекательная и простая игра, мы просто в восторге от неё. Европа с допом — это настоящий праздник для ума, столько интересных нюансов и возможностей. Доминион и Мистериум — просто шедевры, мы в восторге от них. Маленький Мир — это просто рай для любителей стратегий, мы просто не можем нарадоваться этой игре. Наша опытная компания просто счастлива играть в эти игры, они приносят столько радости и удовольствия!",positive,ds2,1
"Может быть, это имеет какой-то глубокий смысл, но я не понимаю, зачем это нужно?",anxiety,ds2,1
"Я очень переживаю из-за того, что в Америке так много оружия. Я боюсь, что это может привести к новым трагедиям в школах и других общественных местах. Это так страшно...",anxiety,ds2,1
"О, ты благодаришь меня? Это так мило, учитывая, как ты себя ведёшь.",sarcasm,ds2,1
"Блокировок нет, и это прекрасно! Я рад, что всё работает как надо.",positive,ds2,1
ITT Carthagenem esse delendam. Faciam!,positive,datamaps,1
"В городе действительно много машин, что создаёт определённые неудобства при передвижении. Однако это не мешает наслаждаться его красотой и удобствами.",neutral,"datamaps, ds2",2
