text,label,error_type,predicted_label,label_quality_score
"Было в ней и скромность, и изящество, и достоинство.",0,Syntax,1,0.025613915
Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первый.,0,Syntax,1,0.025613915
Возьми из моего кармана пакет и выброси в окно.,0,Semantics,1,0.025613915
"Писатель пригласил журналистку, чтобы взять у него интервью.",0,Syntax,1,0.02576056
Войну и мир писал Толстой.,0,Semantics,1,0.02576056
Ты когда-нибудь ехал в Коломенское?,0,Semantics,1,0.025809621
Ночь была дождливая и темна.,0,Syntax,1,0.025858777
Из этого материала мы получим красивые платья.,0,Semantics,1,0.025858777
Категорически запрещалось вступать с ними во все разговоры.,0,Semantics,1,0.025883388
После этого он утратил какой-либо интерес к происходящему.,0,Semantics,1,0.025932675
Газифицированные украинские земли начинают влиять друг на друга.,0,Semantics,1,0.025982061
Завтра будем ездить во Внешторгбанк.,0,Semantics,1,0.026006784
"Я не принимаю его за крупного ученого, хотя и знаю, что это так.",0,Semantics,1,0.026056303
"Вот почему Бог не даст ей преподавать, не даст ей делать ничего в церкви, кроме оставаться на месте с замаскированным лицом.",0,Syntax,1,0.026056303
Она смотрела себя в зеркало.,0,Semantics,1,0.026105914
"Он купит машину, если только не пропьет всех денег.",0,Semantics,1,0.026105914
В ходе заседания парламента Пятой республики он был председателем консультативного комитета.,0,Semantics,1,0.026105914
Он говорил об упразднении каких-либо званий.,0,Semantics,1,0.026130756
"Мне сообщили об этих планах, и они понравились.",0,Syntax,1,0.026130756
"Спасительный оазис то показывался, то исчез снова.",0,Syntax,1,0.026155619
"Хорошо, что он купил что-нибудь.",0,Semantics,1,0.026180506
Я долго питаю к ней нежные чувства.,0,Semantics,1,0.026180506
"И испанский, и португальский похожи.",0,Syntax,1,0.026180506
Автобус имеет высокие подножки и низкие динамические показатели.,0,Syntax,1,0.026205413
В парке этим днем мало посетителей.,0,Semantics,1,0.026230346
Он отказывался от каких-либо предложений.,0,Semantics,1,0.026230346
После этого она получила к нему доверие.,0,Semantics,1,0.0262553
"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,Semantics,1,0.0262553
Ряд исследований посвящены проблеме интерпретации текстов.,0,Syntax,1,0.0262553
К четырёхстам грузовикам прибавилось столько же легковых машин.,0,Morphology,1,0.026305282
"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.",0,Semantics,1,0.026380423
"Если ты требуешь, то любой из нас ей поможет.",0,Semantics,1,0.026380423
"В музее Екатеринбурга нашли все колокола, изъятые по закону 1930 года о коллекторах.",0,Syntax,1,0.026480937
Я не просил его никого слушать.,0,Semantics,1,0.026556572
"Это плохой уровень организации работы, который не позволяет войти на мировые рынки.",0,Semantics,1,0.026556572
"Новые катеры и водометы-толкачи гудят коротко, высоко и гнусаво.",0,Morphology,1,0.026556572
"И вы действительно попадаете в папку, которую избранный чиновник на самом деле должен прочитать.",0,Semantics,1,0.026607107
Завтра мы слышим оперу.,0,Semantics,1,0.026607107
Ты должен взять любую из этих книг.,0,Semantics,1,0.026607107
Церковь Спаса на Нередице разрушена во время Второй мировой войны.,0,Semantics,1,0.02668309
Она воздержалась от всяких комментариев.,0,Semantics,1,0.02668309
"Мне кажется, важнее быть честным человеком, нежели чем хорошим работником.",0,Syntax,1,0.026733862
"За легкой стеной палатки, прямо возле моей головы, лежало гречишное поле.",0,Semantics,1,0.026759284
"Счастье — слишком сложный психический феномен, которого не стоит сводить к какому-то одному условию, будь то ощущение стабильности, карьерные успехи или любовь.",0,Syntax,1,0.026759284
В понедельник в Москве хоронили известных программиста и журналиста Владимира Сухомлина.,0,Syntax,1,0.026810195
В ряде стран Европы и других регионов не разрешили продажу безочистного горчичного масла.,0,Morphology,1,0.026861202
"Иван закрыл глаза, чтобы он не увидел происходящего.",0,Syntax,1,0.026937889
"Спасая ребенка, он рисковал собой во имя благородной цели.",0,Semantics,1,0.0269635
Отменены какие-либо телесные наказания.,0,Semantics,1,0.0269635
Мой паспорт не был в сумке.,0,Semantics,1,0.027014794
"Лицо ― длиньше, чем надо, а тело ― короче.",0,Morphology,1,0.027014794
Я имел с ним беседу только ради Вас.,0,Semantics,1,0.027014794
Весь год нуждался в отдыхе.,0,Semantics,1,0.02704047
Возьми мне из ее чемодана полотенце.,0,Semantics,1,0.027091904
Это сочетание не имеет смысл.,0,Semantics,1,0.027117655
Окончательная ребрендация MTV должна быть завершена к 2011 году.,0,Morphology,1,0.027195055
"Когда я завтра приду в институт, я поговорю об этом с кем угодно.",0,Semantics,1,0.027195055
На полу имеются окурки.,0,Semantics,1,0.027220903
Иван принял решение пойти на встречу одному.,0,Syntax,1,0.027246771
Я не воспринимаю этого человека.,0,Semantics,1,0.027246771
Ребята накупили хорошую книгу.,0,Syntax,1,0.027402505
Арчер встречает его в доме Элена.,0,Syntax,1,0.027428543
Арбитражный суд согласился под этим выводом.,0,Syntax,1,0.027480692
"Я видел, что он, кажется, был расстроен.",0,Semantics,1,0.027506804
Не держал ли он в руках газеты?,0,Semantics,1,0.0275591
Усики на горле оказались без света.,0,Hallucination,1,0.0275591
"Говорю тебе, что немедленно отправляйся домой.",0,Semantics,1,0.027585285
"Он был внимательнее, чем никогда прежде.",0,Semantics,1,0.027585285
"Я уверен, что он наверное прав.",0,Semantics,1,0.027585285
"В Москве люди, которые этого не понимают.",0,Syntax,1,0.02761149
Президент Таджикистана пообещал укрепление государственного языка до всех уровней.,0,Syntax,1,0.02761149
"Он заставлял жен плясать напоказ голые в будние дни, после чего обменивал их на оружие или на филейную часть мамонта.",0,Syntax,1,0.027690258
Через неделю на этой же сопке я увидел их обоими.,0,Syntax,1,0.027848449
"Эти варианты поведения не одобряются обществом, предпочитавшим принцип равной безопасности.",0,Syntax,1,0.027848449
Публика с возмущением приняла его выступление.,0,Semantics,1,0.0278749
Я имею книгу в руке.,0,Semantics,1,0.027927876
У нас гостей не обедало.,0,Syntax,1,0.027927876
Тебе надо как следует переотдохнуть.,0,Morphology,1,0.027954401
Я изловчился схватить пса за ошейник.,0,Syntax,1,0.027954401
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax,1,0.028007522
"Президент заявил, что у России достаточно сил для проведения профилактических забастовок.",0,Semantics,1,0.028034119
"Я знаю, что ей кто-нибудь помог.",0,Semantics,1,0.028087387
Присутствие кошек в древней китайской деревне доказывает о давнем взаимовыгодном сожительстве этих животных с людьми.,0,Syntax,1,0.028140754
От дождей до деревни трудно добраться.,0,Semantics,1,0.02824778
"В том году она принесла мне письма, которые до сих пор никому не показывала.",0,Semantics,1,0.028355205
"Личная жизнь Шульженко тоже складывалась непросто, она рассказывала, что официально замужем была только один раз.",0,Syntax,1,0.028382124
Мне казалось больным ступать босиком по камешкам.,0,Semantics,1,0.028463027
В эту минуту отчет был проверен.,0,Semantics,1,0.028490044
У него не было причин ничего менять.,0,Semantics,1,0.028490044
"Все, что Том делает, это смотреть телевизор.",0,Syntax,1,0.028598359
Я всю косметику со всяким ароматом убрала.,0,Semantics,1,0.02865267
"Клиент был согласен на данные условия, после чего обе стороны подписали договора накопительного страхования.",0,Morphology,1,0.02865267
"Иван знает, что статья о себе появилась в газете.",0,Syntax,1,0.028734319
Вдалеке стояли мы с Володей.,0,Semantics,1,0.028761588
"Френель взял, что упругость остается неизменной.",0,Semantics,1,0.028816199
Мне еще решить задачу.,0,Syntax,1,0.028843539
Он живет в небольшом городке у Волги.,0,Semantics,1,0.028843539
Ты когда-нибудь находился в Казани?,0,Semantics,1,0.028870907
Главный принцип вашей студии ― избегать прямого цитирования какого бы то ни было всякого стиля.,0,Semantics,1,0.028953161
"Если у вас нет способностей, то нет никого, кто вам поможет.",0,Semantics,1,0.028980628
Современная молодежь для физического самосовершенствования выбирают фитнес−центры по месту жительства.,0,Syntax,1,0.028980628
"Нельзя было не заметить, что толпа на площади гуляют с какой-то лихорадочной бодростью.",0,Syntax,1,0.029035643
Просто возьмите одну глотку этого лекарства.,0,Semantics,1,0.029063188
Н.С. Михалков недавно еще раз выразил свое желание быть похоронен здесь.,0,Syntax,1,0.029118354
Я не обнаруживал признаков жизни.,0,Semantics,1,0.029145973
"В этот момент он думает, что мы уехали.",0,Semantics,1,0.029256707
В это время мы сидели у стола и обедали.,0,Semantics,1,0.029284457
Он плотно захлопнул дверь.,0,Semantics,1,0.02931223
Я это не знаю.,0,Semantics,1,0.02931223
Было получено эти два извещения.,0,Syntax,1,0.029367855
"Нам, к всеобщей радости, оплатили сверхурочную работу и отпустят отдыхать.",0,Syntax,1,0.029395705
Оттуда привезли в последний момент взвод солдатов и военный оркестр.,0,Morphology,1,0.029395705
Для нихсударственных организаций разработали метод анализа бюджетов для разрешения конфликтов с женщинами.,0,Morphology,1,0.029535338
Международная комиссия МОК может отменить решение о признании Байкала регионом РФ.,0,Hallucination,1,0.029563345
У этих янителей есть нравственная воля делать добро другим людям.,0,Morphology,1,0.029563345
Я дала тебе свое сердце.,0,Semantics,1,0.029563345
Я взял пылинку со шляпы.,0,Semantics,1,0.02964751
"Получив начальное домашнее образование, Гринёва отправили на службу в Белогорскую крепость.",0,Syntax,1,0.02964751
"Я знаю, что он, несомненно, прав.",0,Semantics,1,0.02967562
Мне это стыдно.,0,Semantics,1,0.02967562
Иван питает надежду встретиться с тобой самому.,0,Syntax,1,0.029760094
Это был умный Иван Иванович.,0,Semantics,1,0.029844802
Способность этого человека к какой бы то ни было деятельности не вызывает сомнений.,0,Semantics,1,0.029844802
"Власти решили не рисковать и не использовать такую меру, как отстранение губернатора от должности, вызвавшей бы непредсказуемую реакцию.",0,Syntax,1,0.029901406
"После комы мало чей мозг работает так, как работал до комы.",1,0,0,0.029958114
"Если все инженеры могут выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",0,Semantics,1,0.029958114
"Ребята быстро ушли, чтобы сами не принимать участия в беседе на такую спорную тему.",0,Syntax,1,0.029986506
Он отрицает существование всех планов на этот счет.,0,Semantics,1,0.03004337
"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать никакие оправдания.",0,Semantics,1,0.03007184
Я не люблю кого-либо.,0,Semantics,1,0.030128865
В данный момент я разговаривал с директором.,0,Semantics,1,0.03015741
Моя дочь тщательно не оделась.,0,Semantics,1,0.030357992
"Уверен, что завтра что-нибудь не случится.",0,Semantics,1,0.030357992
"Два свитера и пара джинс, севших после стирки: пока живот не подберешь, не влезешь.",0,Morphology,1,0.03038675
Я рискую опозданием на семинар.,0,Semantics,1,0.030444348
Он всегда знает английский язык.,0,Semantics,1,0.030502053
"Их машина остановилась у города Харьков, а затем двинулась дальше.",0,Semantics,1,0.030588808
Близ него стояла молодая женщина в черном платье.,0,Semantics,1,0.030588808
"Система консультаций часто включает в себя формальные группы, и было предложено, что обычные граждане могут быть оставлены вне цепи.",0,Hallucination,1,0.03061778
Не сохранили чего бы то ни было.,0,Semantics,1,0.03061778
"Она попросила меня выяснить причины конфликта, сам не вмешиваясь в него.",0,Syntax,1,0.030646777
Она редко о чем-то мечтает.,0,Semantics,1,0.030646777
Когда же выпадал этот снег?,0,Semantics,1,0.030675802
"Я опасаюсь, что он, может быть, забудет.",0,Semantics,1,0.03073393
Почему не пригласили Маши?,0,Syntax,1,0.030938225
Врач оставил с больными медсестру позвать в случае необходимости.,0,Syntax,1,0.030967515
Он ищет какую-нибудь новую секретаршу.,0,Semantics,1,0.030996833
"Средства, отправляющиеся из центра, поступают в банки нашего города с большим опозданием.",0,Syntax,1,0.031084951
"Скрою, он мне понравился.",0,Semantics,1,0.031143833
Они растащили трубу по участку.,0,Syntax,1,0.031173307
"Ваш телефон звонит несколько раз, когда вы были в духе.",0,Syntax,1,0.031202815
"Я не думаю, погода изменится.",0,Semantics,1,0.031202815
В эту минуту роман был прочитан.,0,Semantics,1,0.031232351
Я принимаю белье в прачечную.,0,Semantics,1,0.031261913
"Мне давали квартиру поблизости от химического завода, но я отказался.",0,Semantics,1,0.031291503
"Хотелось бы подтвердить выводы на данных, полученных экспериментальным путём.",0,Syntax,1,0.03132112
Она приняла твердую точку зрения.,0,Semantics,1,0.03132112
Поколение наших отцов и дедов с недоверием воспринимали реформы.,0,Syntax,1,0.03132112
"Он назначил отъезд на время 20 августа, и в назначенный час императорский поезд тронулся к границе.",0,Semantics,1,0.031410124
Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежов?,0,Morphology,1,0.03143985
Он взял на себя бег.,0,Semantics,1,0.031469602
"Как вы знаете, что я этого не сделал?",0,Semantics,1,0.031469602
Она побежала в глубь коридора и чуть не потеряла туфель.,0,Morphology,1,0.03152919
"Мы – его ученики – шли на урок, чтобы послушать его, чтобы прикасаться к новому и неизведанному, чтобы поделиться тем, что нас волнует.",0,Syntax,1,0.031618766
"Она долго бежала рядом с забором, а потом повернула налево.",0,Semantics,1,0.031648684
"Позднее был Генеральным секретарем Минфина до 23 июля 2001 г., когда был назначен министром молодежи и спорта.",0,Syntax,1,0.031648684
"Национальный олимпийский комитет Восточного Тимора, который был образован лишь в 2003 году, не имел оснований почему это произошло.",0,Semantics,1,0.031708598
Они встречались несколько минут.,0,Semantics,1,0.03173859
"Он мечтал, как выследить тигра.",0,Semantics,1,0.031768616
"Тут он взглянул на дверь в кабинет Берлиоза, бывшую около передней, и тут, как говорится, остолбенел.",0,Semantics,1,0.031858858
"Когда ты позвонил, я открывал окно.",0,Semantics,1,0.03191915
"Главное, на чём следует сосредоточиться и разобраться при разработке плана проекта, — это возможные риски.",0,Syntax,1,0.03194934
Никто даже не обратил внимания на заваленную тумбочку вещами.,0,Syntax,1,0.03197956
"Последний указ, как я утверждаю, скоро отменят.",0,Semantics,1,0.032009806
Не переходи улицы в этом месте.,0,Semantics,1,0.03216145
Эта церковь всегда стояла на холме.,0,Semantics,1,0.032191858
Я взяла ее в свою комнату.,0,Semantics,1,0.032222297
Его точка зрения на этот вопрос была высказана автором в других работах.,0,Syntax,1,0.032283258
"Он поднял свой рюкзак рукой, взял фонарик и стал искать инструмент.",0,Semantics,1,0.032313783
Во вторник крепость окружена противником.,0,Syntax,1,0.032313783
"Эти библиотеки распространяются непосредственно от их авторов, скачиваются через интернет.",0,Syntax,1,0.032313783
"Как ты думаешь, что он починил машину?",0,Syntax,1,0.032405518
"Пересшила она это платьишко, отделала его кое-где кружевцами, и чудесное платьице вышло.",0,Morphology,1,0.032405518
В последнее время он спал.,0,Semantics,1,0.032497503
Он был убит в результате немецкого огня в защиту Киева 20 сентября 1941 года.,0,Semantics,1,0.032589745
"На аукционе в Москве появились коллекции живописей, графиков и фотографий.",0,Morphology,1,0.032713126
Очень рады будем видеть вас у нас этой субботой.,0,Semantics,1,0.032867983
Я требую тебе заплатить долг.,0,Syntax,1,0.032867983
"По-видимому, он доехал быстрее, чем думал, вследствие того что, когда я спустился во двор, на скамейке под липой уже маячила тёмная фигура. .",0,Syntax,1,0.03305475
"Говорю, что это я написал тебе записку, потому что хочу, чтобы ты знала.",0,Semantics,1,0.033148516
"Он делает вид, что его кто-нибудь обидел.",0,Semantics,1,0.03330537
Близ стола стояло большое кресло.,0,Semantics,1,0.03330537
"Поскольку это наша собственная торговая платформа, нашим трейдерам не нужно арендовать у сторонних поставщиков.",0,Syntax,1,0.03336831
Дай мне тот стакан воды.,0,Semantics,1,0.033431366
Покеру он принял свое решение посвятить все свое время.,0,Syntax,1,0.033462934
"Кричала, что будьте вы прокляты.",0,Semantics,1,0.033462934
"Стыдно, что я его не навестил.",0,Semantics,1,0.033526164
"Ему так послышалось, чтобы потом жаловаться на нашу грубость.",0,Syntax,1,0.03355782
"Едва Степан Трофимович остановился и пригляделся к скользившим белым облачкам по небу, как вдруг услышал лёгкий шорох.",0,Syntax,1,0.033621218
В Екатеринбурге построили первый в России шоколадовый комбинат.,0,Morphology,1,0.033684738
Сейчас как раз есть одно из занятий по английскому языку.,0,Semantics,1,0.033716537
Ее устраивает в Париже.,0,Syntax,1,0.03378023
"Он все время что-то придумывает, чтобы на уроке интересно.",0,Semantics,1,0.03378023
Он посильнее всех.,0,Morphology,1,0.033812113
Он работал на кирпичном заводе у деревни «Малые Вяземы».,0,Semantics,1,0.03384404
"Он стал торопливо размышлять, как бы более точнее ответить священнику и при этом не обидеть его.",0,Morphology,1,0.033907957
"Точно что вы хотите, чтобы я сделал?",0,Syntax,1,0.033907957
"В итоге эти ученые рассматривают HTML как контейнерный язык, следующий иерархичной модели.",0,Syntax,1,0.03400406
"Netflix выпустил ""Антимайдановскую полицию"" вместе со снайперским оружием.",0,Hallucination,1,0.03400406
Пирог испечен с трех до пяти.,0,Semantics,1,0.034036156
Есть ли много животных в зоопарке?,0,Syntax,1,0.03410043
У стола висели фотографии.,0,Semantics,1,0.034132607
"Когда ты позвонил, я не читал твоей статьи.",0,Syntax,1,0.034164816
"Он чувствует, что ему явно не хватает Маши.",0,Semantics,1,0.034261618
Мне было легко верить кому-нибудь из них.,0,Semantics,1,0.034261618
Все вроде бы ходят на работу и сидят бы там подолгу.,0,Semantics,1,0.03465149
"Не должно быть подозрений, что судью привлекают только потому, что он высказал свое критическое отношение к каким бы то ни было действиям самой государственной власти.",0,Semantics,1,0.034716886
"Мы должны родить Мари до тех пор, пока она не будет в порядке.",0,Hallucination,1,0.034716886
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,Syntax,1,0.034782395
"Фёдор и Николс играли на гитаре, басу и барабане.",0,Morphology,1,0.034815196
"Если процент по кредитованию не будет централизованно снижаться, об этом говорит Алексей Корнеев.",0,Syntax,1,0.034848027
"А ты ехай прямо к директору театров, князю Гагарину.",0,Morphology,1,0.034848027
"Он ожидал, что королева пригласит себя выпить кофе.",0,Syntax,1,0.034848027
Солдаты грелись поблизости от костров.,0,Semantics,1,0.0349467
Самая востребованная профессия была программистом.,0,Syntax,1,0.0349467
"То, что они здесь зарабатывают - на каком количестве они живут - это сколько они зарабатывают в день.",0,Hallucination,1,0.0349467
"Он только что услышал исполнение первой и четвертой симфоний Бетховена, пришел на сцену и представил себя.",0,Syntax,1,0.035012625
"Оценка риска для здоровья — это процесс установления степени выраженности и вероятности развития неблагоприятных эффектов, обусловленные воздействием факторов окружающей среды на здоровье.",0,Syntax,1,0.035078675
"Погода, ей кажется, плохая.",0,Semantics,1,0.035111744
"Я не могу бежать, у меня есть чемодан.",0,Semantics,1,0.03521114
Мое тело белело в темноте.,0,Semantics,1,0.035244323
"Но их лидер способен бежать, оставляя почти всю арестную команду мертвой или раненной.",0,Semantics,1,0.035344075
"Янтарный свет начал мерцнуть, да и тело шефа благополучно погасло.",0,Semantics,1,0.03541073
"По одной из версий, именно за умелое правление и заботу к доставшемуся наследству Иван Данилович получил прозвание Калита.",0,Syntax,1,0.0355444
У командира был обычай сам принимать все доклады.,0,Syntax,1,0.035611413
"Когда она была построена, до сих пор неизвестна.",0,Syntax,1,0.035644967
"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.",0,Semantics,1,0.035712164
У нас сейчас есть урок.,0,Semantics,1,0.035745807
"Миша воображает, что его кто-нибудь понял.",0,Semantics,1,0.03577949
Иван дал обещание самому встретиться с нами.,0,Syntax,1,0.03581319
Такой поступок возмутил бы кого-нибудь.,0,Semantics,1,0.03581319
Очки лежали у книги.,0,Semantics,1,0.03581319
"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",0,Semantics,1,0.03584693
Мы пойдем ни до чего.,0,Syntax,1,0.035880696
Его принцип отвергает какое-либо облучение мозга.,0,Semantics,1,0.03594832
Она как раз дописывала роман до середины.,0,Semantics,1,0.035982184
Вы решили назвать своего нового ребенка?,0,Syntax,1,0.035982184
Французский мы посмотрели этот фильм.,0,Syntax,1,0.03604999
"Она с грустью сказала, что у нее еще нет модных сапогов на предстоящую осень.",0,Morphology,1,0.03608394
"Вы можете видеть здесь, что Япония сделала?",0,Semantics,1,0.036117923
С каким напряжением она была свидетелем этой сцены.,0,Semantics,1,0.0362883
"Будьте вы повнимательней, ошибка была бы исправлена.",0,Syntax,1,0.0362883
"Христофоров, явившийся в ложу первым и одиноко сидевший за ее красно-бархатного барьером, чувствовал себя затерянным в огромной, разодетой толпе.",0,Semantics,1,0.036356665
Пришел мужик в лес и рубил дрова.,0,Semantics,1,0.03642515
Я нипочему не приехала.,0,Semantics,1,0.036459442
"И каждый раз, когда раздавался любой звук, старуха вздрагивала.",0,Semantics,1,0.036700353
Лена пообещала больше не ездить туда одной.,0,Syntax,1,0.036700353
Ваня не был дома.,0,Semantics,1,0.036769465
"Раньше я вымыла пол, а потом пошла гулять.",0,Semantics,1,0.036769465
"Телега сломана два дня назад, но сегодня ее починили.",0,Semantics,1,0.03680407
