text,label,error_type
"Иван знает, что приехала Маша.",1,0
Он подтвердил мне свое согласие.,1,0
У соседей весь день шумят.,1,0
Я слышу что-то родное.,1,0
"Как называлась эта страшная картина с толстым римлянином в том первом отдельном кабинете, с которого все началось?",1,0
"Как не сомневается Иван, изменения необходимы.",0,Semantics
"Эта гипотеза, которая, как Бор рассказывал, была предложена Дираком в 1930 г.",1,0
"Зоологи из Калифорнии проанализировали многочисленные видео зевающих слонов и выяснили о том, что животные так охлаждают мозг.",0,Syntax
В моем кошельке много денег.,1,0
"И Гайк не сделал попытки продолжить знакомство, понимал, что это бесполезно.",1,0
"Я говорил тебе, что Том занят.",1,0
Этот студент провалит любой экзамен.,1,0
"Что он меня не узнал, было странно.",1,0
"Я вижу, разговор оживляется.",1,0
Только Петя понял что бы то ни было в этом докладе.,1,0
"Чтобы не бить крыльями по земле, мотыльки сначала подпрыгивают, а уж потом начинали махать крыльями.",0,Syntax
Кошки были священными животными в Древнем Египте.,1,0
На этот раз он не выиграл.,1,0
Вандербильт назначен главой штата Род-Айленд.,1,0
Возьмите из моего стола тезисы докладов.,1,0
Он готов отдать за нее жизнь.,1,0
"Консультант по национальной безопасности Клинтона Санди Бергер заявил в интервью, что Белый дом не был информирован о деятельности ФБР.",1,0
Это начало мне надоедать.,1,0
Предметом договора является предоставление абоненту услуг связи.,1,0
В Италии обнаружены древние могильные комплексы под землей.,1,0
"Дедушка, возьми меня, пожалуйста, к себе.",1,0
"Под руководством Bhagavan, преданные Харе Кришна в Великобритании отправились на годовой марафон, чтобы собрать средства для спасения имущества британского ISKCON.",0,Hallucination
"Чепурный заметил испуг собаки и нашел ей еще кусочек домашнего пирога с яичной начинкой, но собака не стала есть пирог.",1,0
"Мы дарим подарок каждый пятьсотый заказ, определяемый по номеру накладной.",0,Morphology
"И рядом со мной шла какая-то непонятная, сложная, чужая жизнь.",1,0
По ребенку сделало себе бутерброды.,0,Syntax
"В ресторане Mendes находится ресторан The Garden, в котором подается широкий ассортимент местной и международной кухни и вин.",1,0
"Как очистить затвердевший гель-лак с пластины, каким образом удаляют механические или химые?",0,Morphology
"Материал представляет собой два слоя, при этом тиснение осуществляется на верхней поверхности.",1,0
"Я обратил внимание, в чем ошибка.",0,Semantics
Поодаль прямо перед нами поднималась фонтанная струя.,0,Semantics
"Организм человека, в котором работают сложные биохимические механизмы, требуют ежедневного поступления необходимых питательных веществ.",0,Syntax
В 6.30 роман был прочитан.,0,Semantics
Этот портрет здесь никогда раньше не висел.,1,0
"Иван оборвал пуговицы с кальсон там, где те застегивались у щиколотки.",1,0
"Одному из героев романа, ищущим смысл жизни, открывается путь к внутренней свободе.",0,Syntax
Как тебе удалось ее заметить?,1,0
"Когда мы с Максимом ходим в универмаг, он всегда теряется.",1,0
"Издали все ведь кажется или хуже или лучше, но во всяком случае иначе, нежели вблизи.",1,0
Конкурс рыбаков на праздновании Дня города выявит самого удачливого любителя рыбной ловли.,1,0
"Сев выразил желание сам держать ложку, поэтому половина тарелки оказалась на нем.",1,0
"Когда человек кого-нибудь любит, он становится совсем другим.",1,0
Он не спас семью отказом от наследства.,1,0
Каждый граф семейства Петрсен образует минимальную запрещенную границу для графов семьи ΔY.,0,Hallucination
"А предположить, что на земле могут существовать одновременно два Толстых, и тем утешиться, я, понятно, не мог.",1,0
Я выбрал кота среди других котов.,1,0
Я читал этот роман.,1,0
Не волнуйтесь о моей собаке.,1,0
Я не разрешаю тебе ставить кресло в мою комнату.,1,0
"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,0
Десять лет тому назад я жил в маленькой комнате на Каляевской.,1,0
"Тем не менее, Эстолин совершил «исследовательское путешествие», которое стало его жизнью.",1,0
"С ней они надеялись захватить умы людей везде, будучи первыми, кто завоевал внешний пространство.",0,Syntax
В этом городе есть университет.,1,0
Иван не понимает мое желание идти на вечер одному.,1,0
Участники процесса по делу о коррупции в Мосгорсуде могли пройти еще 10 этапов и 168 заседаний подряд.,1,0
Все утро он был раздражителен.,0,Semantics
Внезапно за песчаным холмом показался камень ею с дом.,0,Syntax
Не белело вдали знакомых очертаний домов.,1,0
С транспортом задержек нет.,1,0
"Она воскликнула, что ах, то был только сон.",0,Semantics
"А как стала платить около кассы, туфли у нее исчезли.",0,Semantics
Я запретил сыну смотреть телевизор для его же пользы.,1,0
"Что-то издали мелькает, словно волк бежит.",1,0
"Я был рядом с вашим домом, но к сожалению не смог зайти к вам.",1,0
В странах с федеративным государственным устройством закон об однополых браках или союзах могут принять также в территории отдельного субъекта Федерации.,1,0
С кем ты разговаривал?,1,0
"Благодаря труда лингвистов мы узнали имена живших тысячелетия назад реальных людей: художников и скульпторов, императоров и жрецов.",0,Syntax
Средняя средняя российская общественная учебница стоит 317 человек.,0,Hallucination
Я не хочу принимать его услуг.,1,0
Ведь чем-то эту общую закономерность нужно объяснить!,1,0
Иван начал пилить дрова.,1,0
Большое спасибо за эту информацию.,1,0
При этом из молока получается простокваша.,1,0
Дело приняло неожиданный оборот.,1,0
Он живет в небольшом городке на Каспиийском море.,1,0
Какая она оказалась хитрая!,1,0
Я воспринимаю его как героя.,1,0
"Куда тебе, заморышу, браться за такое дело!",1,0
Бургани погиб при сердечном приступе в Тегеране в 48 годах.,0,Semantics
"Между тем, глупость разрушает мозг.",1,0
Я много раз уговаривал его вернуться.,1,0
"Он вернулся в Боливию, где работал в банковской сфере.",1,0
"Он, как всегда, деловит, неулыбчив, вроде серьёзной, насупленной птицы.",1,0
Из-за деревьев выглядывает крыша нашего дома.,1,0
"На столике, рядом с кроватью, стояла зажженная свеча.",1,0
Сегодня я еще не был на море.,1,0
"Американский военный преступник признался во множестве убийств и пыток заключенных ""Освенцима"".",1,0
Перемен в технической политике фирмы еще не наступило.,1,0
Он отказывался от всех предложений.,1,0
"Он не знал, что там есть столовая.",1,0
Последние лет Эрендисис была очень несчастна последние несколько своих последних десятков годов она стала печальной и несчастной.,0,Syntax
Он полностью загрузил сено в грузовик.,1,0
В мире число узлов сети растет со временем.,1,0
"Боюсь, мне не хватит на это времени.",1,0
"Короткие анимационные фильмы, посвященные женщине-кошке.",1,0
"Дед Трифон был человеком экономным, но не жадным.",1,0
Он хочет посоветоваться с каким-нибудь крупным специалистом в этой области.,1,0
Можете ли вы очистить эту грязь?,1,0
"У тебя есть молодость, красота, здоровье.",1,0
Никому не было холодно.,1,0
Занятия в техникуме начинались через два месяца.,1,0
В автосалоне были выставлены в основном автомобили представительского класса.,1,0
"Прекрасное просто, оно понятно, этого я не понимаю, не чувствую, не могу принять.",1,0
"Она не унывала, сознавая, что их разлука долго не продлится.",1,0
Одесса была крупнейшим центром еврейской черты оседлости.,1,0
Деда этого разбивал уже паралич.,1,0
У меня было с ним неприятное столкновение.,1,0
"Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестьюстами рублями ассигнациями пенсии.",1,0
"Пастухи виноваты в том, что пропал баран.",1,0
"Я подписал договор, не читая его, и только спустя день задумался: я согласился под чем?",0,Syntax
"Царствуй, лежа на боку.",1,0
Сотрудники были набраны редактором.,1,0
И вы узнаете истинную радость и истинный смысл успеха – экстаз и восторжество собственного духа.,0,Morphology
Она ждала нас у поворота дороги.,1,0
Мой проигрыш огорчил отца.,1,0
"Помнишь, к тебе когда-то приходила такая блондинка.",1,0
"Читатель Пушкина имел прежде полное основание представлять себе, если не эту даму, то, во всяком случае, отношение к ней поэта в самом возвышенном идеальном свете.",1,0
"Сквозь каменное выражение лица на секунду промелькнула робкая улыбка, и Евгений Иванович вопросительно посмотрел на Машеньку.",1,0
Копье вонзилось в дерево возле самой его головы.,1,0
Мешок весит 50 кг.,1,0
В 1706 г. он получил под свое командование целую армию.,1,0
Этот случай частично объяснил странности его поведения.,1,0
Мы не для этого тебя выбирали.,1,0
"Исключения здесь составляют разве что некоторые африканские страны, однако стоит ли нам ориентироваться на их, мягко говоря, неоднозначный опыт?",1,0
"Слушай, возьми моего мужика, ступай в мясной совхоз.",1,0
"Он не тот человек, женитьба которого огорчила его мать.",1,0
"На обочине дороги стояла разбитая машина, а немного поодаль, в кювете, лежало отвалившееся колесо.",1,0
"Кто завтра не будет работать, может пойти.",0,Semantics
Моя шутка его обидела.,1,0
Я однажды решал эту задачу.,1,0
Я беру у вас эту книгу на неделю.,1,0
Утром Тамбулов встал рано и стопочкой сложил использованное белье в шкаф.,1,0
Казна истощилась от войн.,1,0
Ему бы вернуться к себе домой.,1,0
Каждую рукопись читает по редактору.,1,0
Я предпочитаю воздерживаться от всякого вмешательства.,1,0
"Вот теплятся желтые свечи, забытые в окне жителя города.",0,Semantics
"Теперь, слово на улице было, что на самом деле это было мое волонтерство, которое привело меня на фронт линии.",1,0
Выдры — необычайно смышлёные и рассудительные существа.,1,0
"Я пошуршал бумагами, чтобы его разбудить.",1,0
Иван еще не был в таком театре.,1,0
"Нет проблемы, которая бы всесторонне не обсуждалась.",1,0
"Фактически, этот конкретный объект находится либо в штате, либо за его пределами.",1,0
"Глядя на старуху, Яков почему-то вспомнил, что за всю жизнь он, кажется, ни разу не приласкал ее.",1,0
Правительство совершенно не собирается идти на какие-либо уступки и просто тянет время.,1,0
"Петя покрасил дачу, а Коля отремонтировал машину.",1,0
"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,Semantics
За прилавком стоял продавец.,1,0
"Мне бы хотелось открыться кому-нибудь, но разве здесь есть такие люди, которые бы могли меня понять.",1,0
С удовольствием прийду в любое место с женой для опроса.,0,Morphology
На самом деле большая часть фильмов этого периода носит мифологический характер.,1,0
В Англии существует “Закон о выдаче тела”.,1,0
"Моя жена часто звонит мне, когда она путешествует за границу.",1,0
В доме кто-то есть.,1,0
"Английский дом представляет собой своеобразную вершину уюта и удобства и включал обстановку из множества столиков, пуфиков, диванов и кресел, стоящих перед камином.",0,Syntax
Я прочел уже больше половины книги.,1,0
Он ездит туда сам.,1,0
"Я виноват, что сын такой невоспитанный.",1,0
Я не имею понятия о квантовой физике.,1,0
У нас всегда дома кто-нибудь есть.,1,0
Могу резко не тормозить.,1,0
"Он всегда говорил очень убедительно, хотя у меня возникали некоторые сомнения.",1,0
Он осознал свою вину.,1,0
"Макар Игнатьевич, будучи человеком добрым, желающим всем помочь, не только помогал нуждающимся хлебом, но и одеждой, лекарствами.",0,Syntax
"Иван ни плаща, ни куртки с собой не брал.",1,0
"Маша не знала, что Иван улетел в Марокко.",1,0
"Крейсер, видимо, получил приказ атаковать островок первый.",1,0
"День был дождливый, но Коля не взял зонт.",1,0
Кто-то видел каждого из них.,1,0
Она сейчас будет громко плакать.,1,0
Это известие лишает меня сна.,1,0
"Реалисты считают, что государство управляется анархией, то есть не существует центральной власти.",1,0
"Ошибается он, твой приятель.",1,0
Он называл соседа гусаком.,1,0
"Лауреатом этой премии стал поэтический сборник ""Стена"".",1,0
Мой дом стоит не на горе.,1,0
"Зачем спорить о семиста километрах, когда мы говорим о расстоянии до Луны?",0,Morphology
Дома не строится рабочими.,0,Syntax
"Их машина остановилась у города Клин, а затем двинулась дальше.",1,0
Он становится мертвенно бледным.,1,0
Это возвысило ее в моих глазах.,1,0
"Немного поодаль от дороги стояла большая развесистая береза, и мы решили расположиться под ней на отдых.",1,0
"Он рассказал мне замысел поэмы, которую хотел того, чтобы я прямо по замыслу, без текста перевел.",0,Syntax
А вы ноктюрн сыграть могли бы?,1,0
А для Коли почему не взяли?,1,0
Она взяла мне эту книгу в библиотеке.,1,0
Дальнейшее расширение Генерального плана КЛИА предусматривает создание еще двух взлетно-посадочных полос.,1,0
Приход Пети объясняет отсутствие Вани.,1,0
"Стая птиц, поднявшихся над болотом, покружили немного, громко крича, но вскоре успокоились.",0,Syntax
"Нужно согласиться, что неприятно видеть любимые, почитаемые образы на свалке, но кощунством назвать это нельзя.",1,0
Сектор обстрела просматривается плохо.,1,0
"Спортсмены, приехавшие на чемпионат, надеялись на победу и верят в неё.",0,Syntax
Свечи на столе не горело.,1,0
Вы когда-нибудь пили такое вино?,1,0
Бонапарт приказал артиллеристам открыть огонь первыми.,1,0
Он меня не узнал.,1,0
"Кто-то должен был пойти туда, но я не знаю кто.",1,0
Разве мосты уже не сняли.,1,0
В это время из зала в гостиную вошла незнакомая Ларе девушка.,1,0
Из-за туч показалась луна.,1,0
"Почему ты, Ваня, не был в школе?",1,0
"Создавая проект ландшафтного дизайна участка, архитектором не были учтены климатические особенности местности.",0,Syntax
У него появились боли в левом боку.,1,0
Мне приходит в голову один случай.,1,0
"Должна быть у вас моя карточка, я записывался.",1,0
Ему не повезло родиться богатым.,1,0
Он поселился вдали от какого-либо жилья.,1,0
"Том — уродливая, авантюрная кошка, описываемая как «самая популярная кошка в мире».",1,0
Возникает вопрос: почему взрослые особи некоторых видов птиц живут дольше своих несозревших сверстников; если они старше их по возраст.,0,Morphology
"В железных горшках, закрытых в двухэтажках и крышками, скрыто надёжно.",0,Syntax
"Также будут использованы два дневника транзакций, чтобы восстановить базу данных к текущему времени.",1,0
"Те, кто хоть раз в жизни бывал в Африке, с восторгом рассказывает о своих приключениях и мечтает вернуться туда снова.",0,Syntax
Павел Алексеевич уже перестал ждать какого-либо ответа.,1,0
"Несмотря на то, что я готовился, мне достался трудный билет и который я не знал.",0,Syntax
"В мире отмечены авиакатастрофы, которую на тот момент были крупнейшими в истории.",0,Syntax
"Некоторыми морскими организмами, создавая удивительно прочные микроскопические структуры, проявляются чудеса инженерной мысли.",0,Syntax
Наличие в программе даже большого числа неактивных отладочных точек не сказывается на быстродействии программы.,1,0
Звезды погасли одна за другой.,1,0
"Там, у дома, Никаша, наверное, играет в мяч.",1,0
Он воодушевил меня своей пламенной речью.,1,0
Он имел к ней какую-то особенную нежность.,1,0
Президент Венесуэлы пригласил Колокольцева посетить с рабочим визитом проектирование трансграничной железной дороги SAREX 230 километров.,0,Syntax
Я не вижу смысла.,1,0
Я ему об этом написал.,1,0
"Сначала она была в каком-то раздраженном состоянии, но потом успокоилась.",1,0
Оправдываться мне было не в чем.,1,0
В Красноярске впервые состоялся международный конкурс артистического мастерства «Весна — 2012».,1,0
И в матче с этой командой — особенно на «Петровском» я не увидел чего-то выдающегося.,1,0
Количество бездомных семей было ограничено.,1,0
Жена Николая II согласно завещанию обязана занять престол после его смерти.,1,0
С 1903 по 1907 год был командиром роты и батальона в армии США.,1,0
В машине сидели шесть человек.,1,0
Я не читал ни одного из его романов.,1,0
Этот выстрел решил мою судьбу –– я стал стрелком.,1,0
Такая мысль не возникает неожиданно.,1,0
Он прошел близко от меня.,1,0
Здесь вы не найдете работу.,1,0
Этот знак нужно взять за скобки.,1,0
"Стала бы я стараться, если бы знала!",1,0
"Он отомстил врагу, убив его родственника.",1,0
"Я знаю, что Маша уехала.",1,0
Сегодня отец уже был на море.,1,0
Он долго не приходил.,1,0
Наша машина испортилась у села Покров.,1,0
В это время князь Андрей подошел к Наташе.,1,0
"Ведь если бежать с ускорением, прыгуну сообщится больше энергии, и он прыгнет более выше.",0,Morphology
Симптомов болезни не появилось.,1,0
Кто построил этот завод?,1,0
"Считайте, что я не знаю, что он приехал.",1,0
Не боги горшки обжигают.,1,0
"Я был поражен, какая она оказалась хитрая.",1,0
Но сначала я хочу сказать тебе о твоей страсти.,1,0
Я не дочитал вашу рукопись.,1,0
"Артамонова поступила в училище легко, с первого раза.",1,0
За каменной высокой стеной находятся бывшие архиерейские палаты.,1,0
Я взялся за перила.,1,0
Я приехала низачем.,1,0
Так быстро он не справится.,1,0
"Созданные книги писателем начинают жить самостоятельно, причём жизнью активной, продолжительной, исполненной последовательности, недостающей самому автору.",0,Syntax
Этот процессор требовал всего 1 Вт мощности (более поздние версии требовали гораздо больше).,1,0
К тебе кто-то приходил.,1,0
Сверкавшие звёзды на небе искрились и переливались всеми цветами радуги.,0,Syntax
А зачем Вы завязали ногу?,1,0
Вы сами все это построили?,1,0
"Если его не остановить, он до утра быть рассказывать о своих подвигах.",0,Syntax
Ему чужды какие-либо колебания.,1,0
Я не затруднил ее своей просьбой.,1,0
Возьмите из моего чемодана полотенце.,1,0
"Комната плохо освещена, поэтому работать в ней неудобно.",1,0
Иностранных туристов у нас в гостинице еще не останавливалось.,1,0
В комнату вошел адвокат.,1,0
План полностью не продуман.,1,0
"Молчи, мать, все будет в норме.",1,0
"Мелодия исполняет песню Луги, заканчивая штормы и приносящую мир легендарным птицам.",0,Semantics
Организация исламского банка несколько отличается от традиционного банка.,1,0
