text,label,error_type,methods,n_methods
"Он не поздравил ни с Новым годом, ни с Восьмым мартом, ни с днем рождения Валерки.",0,Morphology,"cleanlab, datamaps",2
Он сейчас в зале периодики читает журналы.,1,0,"cleanlab, ds2",2
Тогда руководители NASA также сначала отрицали наличие всяких серьезных технологических проблем.,0,Semantics,"cleanlab, datamaps",2
Брюки у пояса мне узки.,0,Semantics,"cleanlab, datamaps",2
В путь-дорогу дальний я тебя отправлю.,0,Syntax,"cleanlab, datamaps",2
Его принцип отвергает какое-либо облучение мозга.,0,Semantics,"cleanlab, datamaps",2
Она приняла к себе ребенка.,0,Semantics,"datamaps, ds2",2
"Особенно когда в полуторастах метрах позади лежал скелет ящера, убитого человеческим оружием.",0,Morphology,"cleanlab, datamaps",2
"Телега сломана два дня назад, но сегодня ее починили.",0,Semantics,"cleanlab, datamaps",2
"Когда я завтра приду в институт, я поговорю об этом с кем угодно.",0,Semantics,"cleanlab, datamaps",2
Кимхи и генеральный директор Мосада был избран в должность главы министров.,1,0,"cleanlab, datamaps",2
"Клиент написал мне, что проживает в Москве на Пресне на чем-то, но не назвал точный адрес.",0,Syntax,"cleanlab, datamaps",2
На поляне мы нашли малину и ягоды.,0,Semantics,"cleanlab, datamaps, ds2",3
Отдай мне эту книг.,1,0,"cleanlab, ds2",2
Лена пообещала больше не ездить туда одной.,0,Syntax,"cleanlab, datamaps",2
"Даже если любой из них действительно согласится тебе помочь, ничего это не изменит.",0,Semantics,"cleanlab, datamaps",2
Мы первыми научились видеть дальше собственного порога и думать более шире родимой околицы.,0,Morphology,"cleanlab, datamaps",2
"Поскольку это наша собственная торговая платформа, нашим трейдерам не нужно арендовать у сторонних поставщиков.",0,Syntax,"cleanlab, datamaps",2
У него на лице есть улыбка.,0,Semantics,"cleanlab, datamaps, ds2",3
Ты сейчас же взял и вылил воду!,0,Semantics,"cleanlab, datamaps, ds2",3
"В группу студентов, направленных на полевую практику, входят сорок один человек.",0,Syntax,"cleanlab, ds2",2
"Поэтому она обратилась к государству, своих сил на это у РПЦ нет.",0,Syntax,"cleanlab, datamaps",2
В Екатеринбурге построили первый в России шоколадовый комбинат.,0,Morphology,"cleanlab, datamaps",2
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,"cleanlab, datamaps, ds2",3
Чего ты поел и попил лимонада?,0,Syntax,"cleanlab, datamaps",2
Присутствие кошек в древней китайской деревне доказывает о давнем взаимовыгодном сожительстве этих животных с людьми.,0,Syntax,"cleanlab, datamaps",2
Я понял его как военного.,0,Semantics,"cleanlab, datamaps",2
"Нам, к всеобщей радости, оплатили сверхурочную работу и отпустят отдыхать.",0,Syntax,"cleanlab, datamaps",2
У меня написался диплом.,0,Semantics,"datamaps, ds2",2
Пуля попала в стену возле самого кресла.,0,Semantics,"cleanlab, datamaps",2
"Он выписывает только как художественные, так и математические журналы.",0,Syntax,"cleanlab, ds2",2
У тебя в голове есть каша.,0,Syntax,"cleanlab, datamaps",2
"Я своими полуслепыми глазами и то вижу, что рубашка неглаженая.",1,0,"cleanlab, datamaps",2
Почему не пригласили Маши?,0,Syntax,"cleanlab, datamaps",2
Разве может ведьма сразу у всех коров молоко застоить?,0,Semantics,"cleanlab, datamaps",2
Он живет в небольшом городке у Волги.,0,Semantics,"cleanlab, datamaps, ds2",3
"Довольно большой здание было украшено какими-то башенками и балкончиками, которые искусно вписывались в общий ансамбль.",0,Syntax,"cleanlab, datamaps",2
"Когда ты не знаешь, как играть?",0,Syntax,"cleanlab, datamaps",2
"Онъ стреляет изъ лука, по обычаю древнего учёба.",0,Hallucination,"cleanlab, datamaps",2
Очень рады будем видеть вас у нас этой субботой.,0,Semantics,"cleanlab, datamaps, ds2",3
"Петя сказал «уходи», но это неправда.",0,Semantics,"cleanlab, datamaps, ds2",3
У него был талант рассказчика.,1,0,"cleanlab, ds2",2
Отца никогда не было на море.,0,Semantics,"datamaps, ds2",2
Он разыскал рядом ручей.,0,Semantics,"cleanlab, datamaps",2
"Хорош, если ты станешь кандидатом наук.",0,Syntax,"cleanlab, datamaps",2
"Он был внимательнее, чем никогда прежде.",0,Semantics,"cleanlab, datamaps, ds2",3
"Они живут в очень тяжелых материальных условиях, и ты должен помогать любому из них.",0,Semantics,"cleanlab, datamaps",2
"Сейчас берешь-ка животное, и мы отправляемся в зоопарк.",0,Semantics,"cleanlab, datamaps, ds2",3
Но эти демонстранты просто живут у него и их тревога вполне понятна.,0,Syntax,"cleanlab, datamaps",2
"Занятий, я рад, не будет.",0,Semantics,"cleanlab, datamaps, ds2",3
Войну и мир писал Толстой.,0,Semantics,"cleanlab, datamaps, ds2",3
"Раньше она была в каком-то раздраженном состоянии, а потом успокоилась.",0,Semantics,"cleanlab, datamaps, ds2",3
"Было в ней и скромность, и изящество, и достоинство.",0,Syntax,"cleanlab, datamaps",2
Пригласите этого свидетеля принять у него присягу.,0,Syntax,"cleanlab, datamaps",2
"Я не могу ехать, у меня есть бабушка.",0,Semantics,"cleanlab, datamaps, ds2",3
Другие улики не остались.,0,Semantics,"datamaps, ds2",2
"С тех пор как он час назад ей позвонил, она была как на иголках.",0,Semantics,"cleanlab, datamaps",2
Он решил ту или иную сложную задачу.,0,Semantics,"cleanlab, ds2",2
Это был первый чемпионат мира в своей карьере.,0,Morphology,"cleanlab, datamaps",2
"Какие плюсы включают в себя поддержка двухпроцессорных компьютеров, адаптация к HDRI?.",0,Syntax,"cleanlab, datamaps",2
"Здесь мы узнали то, что хотели зазнать уже давно, ибо табак кенда говорит только новому духу.",0,Semantics,"cleanlab, datamaps",2
"По одной из версий, именно за умелое правление и заботу к доставшемуся наследству Иван Данилович получил прозвание Калита.",0,Syntax,"cleanlab, ds2",2
Этот стол был очень тяжелым.,1,0,"cleanlab, ds2",2
"В 2004 году его назвали объектом ЮНЕСКО и стал единственным частным резиденцией Латинского континента, получившим этот статус.",0,Syntax,"cleanlab, datamaps",2
Чиновник росчерком пера позволил им стать миллионерами.,1,0,"cleanlab, datamaps",2
Всплеск сносил здания с их фундаментов и демонтировал их.,0,Semantics,"cleanlab, datamaps",2
Новые наночастицы позволяют быстро и проще очистить среду от загрязняющих веществ.,0,Syntax,"cleanlab, datamaps",2
Он покупает несколько журналов.,0,Semantics,"cleanlab, datamaps, ds2",3
Близ кресла на небольшом коврике лежала кошка.,0,Semantics,"cleanlab, datamaps",2
"На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",0,Morphology,"cleanlab, datamaps",2
"Когда вода перевернулась в океан, пошла на круговорот.",0,Semantics,"cleanlab, datamaps",2
Всякий молоток найдется.,0,Syntax,"cleanlab, datamaps",2
"Кто писал ""Войну и мир""?",0,Semantics,"cleanlab, datamaps, ds2",3
"Однако для тех, кто с этим согласен, давайте перейдем к «большому вопросу» номер дваówhy мы здесь?",0,Hallucination,"cleanlab, datamaps",2
Чего они достигнули за столь долгий срок?,0,Morphology,"cleanlab, datamaps",2
"Кто рыжий, а Вася блондин?",0,Syntax,"cleanlab, datamaps, ds2",3
В отдалении сверкал огонек.,0,Semantics,"cleanlab, datamaps, ds2",3
"Как я надеюсь, ты собрался?",0,Semantics,"cleanlab, datamaps, ds2",3
"Дай им монетку, потому что боюсь забыть.",0,Semantics,"cleanlab, datamaps",2
"Не мешай, я вижу по телевизору ""Галатею"".",0,Semantics,"cleanlab, datamaps, ds2",3
Он сделал вид дурачка.,0,Semantics,"cleanlab, datamaps",2
Вы решили назвать своего нового ребенка?,0,Syntax,"cleanlab, datamaps",2
"Она попросила меня выяснить причины конфликта, сам не вмешиваясь в него.",0,Syntax,"cleanlab, datamaps",2
"Я сказал вам, когда наступит время.",0,Syntax,"cleanlab, datamaps, ds2",3
"Погода, ей кажется, плохая.",0,Semantics,"cleanlab, datamaps, ds2",3
"Когда мы ходим на работу, покупаем квартиру, пытаемся поспекулировать акциями или валютами, то все наши действия направлены на получение доходов.",0,Semantics,"cleanlab, ds2",2
"Ей подумалось, что так её отражение выглядит более красивее обычного – лицо стало круглее, не такое худое и хмурое.",0,Morphology,"cleanlab, datamaps",2
Я имел с ним беседу только ради Вас.,0,Semantics,"cleanlab, datamaps",2
После tete-a-tete совещания председателей было проведено расширенное заседание.,1,0,"cleanlab, ds2",2
"Невзирая на то, что шел дождь, светило солнце.",0,Semantics,"cleanlab, datamaps",2
"В прошлое воскресенье я уже два часа гуляю по улицам, и вдруг...",0,Semantics,"cleanlab, datamaps",2
"Слушай, что тебе мама говорю.",0,Syntax,"cleanlab, datamaps, ds2",3
Все начальники позапрещали этот спектакль.,0,Syntax,"cleanlab, datamaps",2
Odense - третий город Дании и главный город Фюнского острова.,0,Hallucination,"cleanlab, ds2",2
Том не пытается вас впечатлять.,0,Morphology,"cleanlab, datamaps, ds2",3
"Ты тогда замечал, что он странно себя ведет?",0,Semantics,"cleanlab, datamaps, ds2",3
Примерно в это же время он и переехал в Вене.,0,Syntax,"cleanlab, datamaps",2
Всю молодость она любила говорить по телефону.,0,Semantics,"cleanlab, datamaps",2
Не сохранили чего бы то ни было.,0,Semantics,"cleanlab, datamaps",2
"Соседи видели, как я белею у подъезда.",0,Semantics,"cleanlab, datamaps",2
"Меженин кончил почистить штык, вдруг перехватил мимолетно сощуренный взгляд сержанта на верхнем окне дома.",0,Semantics,"cleanlab, datamaps",2
Какой бы то ни было школьник не решит эту задачу.,0,Semantics,"cleanlab, datamaps",2
Тормозов не лязгало.,0,Semantics,"cleanlab, datamaps, ds2",3
Священный синод в прошлом такие решения не принял.,0,Syntax,"cleanlab, datamaps",2
"Заканчиваем перерыв, приступаем за работу!",0,Syntax,"cleanlab, ds2",2
Возьми из моего кармана пакет и выброси в окно.,0,Semantics,"cleanlab, datamaps",2
"Одним словом, мне невыразимо тяжело было иметь с ним всякие отношения.",0,Semantics,"cleanlab, datamaps",2
"Мне давали квартиру поблизости от химического завода, но я отказался.",0,Semantics,"cleanlab, datamaps",2
"У него были сухие, а раз так, сообразит разве, что у кого-то могут быть мокрые?",0,Semantics,"cleanlab, datamaps",2
"Олеся стояла в саду и любовалась цветами: флоксы, маргаритки, ирисы.",0,Syntax,"cleanlab, datamaps",2
Я не воспринимаю ненависти.,0,Semantics,"cleanlab, datamaps",2
"Я не сомневался, что операция, однако, увенчается успехом.",0,Semantics,"cleanlab, datamaps",2
Любой школьник решил эту задачу.,0,Semantics,"cleanlab, ds2",2
"Я хочу, чтобы они зашли, когда ты спрячешься.",1,0,"cleanlab, datamaps",2
"Группы J-Hip-Hop, такие как ORANGE RANGE и Кэцумэйси назвали лидеров фестиваля в 2018 году.",1,0,"cleanlab, datamaps",2
Он ест одну грушу.,0,Semantics,"cleanlab, datamaps, ds2",3
"Она стояла так вблизи, что я ощущала запах ее духов.",0,Semantics,"cleanlab, datamaps",2
Удачная переработка рукописи длилась несколько лет.,0,Semantics,"cleanlab, datamaps",2
Я получил к нему склонность.,0,Semantics,"cleanlab, datamaps, ds2",3
На мгновение у нее острое желание бросить их ему в лицо.,0,Semantics,"cleanlab, datamaps",2
Когда же выпадал этот снег?,0,Semantics,"cleanlab, datamaps, ds2",3
"Очень жаль, что ее муж он большой начальник.",0,Semantics,"cleanlab, datamaps",2
Просто поглощайте один из этих препаратов.,0,Semantics,"cleanlab, datamaps",2
"Увидев красный сигнал светофора, машина была остановлена водителем.",0,Syntax,"cleanlab, datamaps",2
"Он только что услышал исполнение первой и четвертой симфоний Бетховена, пришел на сцену и представил себя.",0,Syntax,"cleanlab, datamaps",2
"Тем не менее, он только предсказывает, что болен.",0,Semantics,"datamaps, ds2",2
"В том году она принесла мне письма, которые до сих пор никому не показывала.",0,Semantics,"cleanlab, datamaps",2
Глаза у нее сияли.,1,0,"datamaps, ds2",2
"Он чувствует, что дурак.",0,Semantics,"cleanlab, datamaps",2
Эти стены видели многое.,1,0,"cleanlab, ds2",2
Это произошло на этот раз.,0,Syntax,"cleanlab, datamaps, ds2",3
Этот замок имеет красивое положение.,0,Semantics,"cleanlab, datamaps, ds2",3
"Доктор, убеждая меня начать приём лекарств, говорил, что я совершенно уверен в успешности лечения и что сомневаться не стоит.",0,Syntax,"cleanlab, datamaps",2
В тот день он сидел дома ровно в шесть.,0,Semantics,"cleanlab, datamaps, ds2",3
Я останусь и смотрю на нее.,0,Syntax,"cleanlab, datamaps",2
Нет ли где поспать?,0,Semantics,"cleanlab, datamaps, ds2",3
"Я хочу, чтобы они зайдут, а ты спрятался .",0,Syntax,"cleanlab, datamaps",2
Однажды он был встречен ею принаряженной.,0,Syntax,"cleanlab, datamaps",2
Поезд следует из нее.,0,Syntax,"cleanlab, datamaps",2
Затем в 2007 году шахту приобрела компания Petra Diamonds и до сих пор находится в эксплуатации.,0,Syntax,"cleanlab, ds2",2
"В домах, площадях, парках было совсем темно, стояла глубокая ночь, от которой веяло чем-то загадочным и таинственным.",0,Syntax,"cleanlab, datamaps",2
"Досхи считается один из меотских племен, живших в первом тысячелетии до Н. Э. на восточном и юго-восточном побережье Азовского моря.",0,Syntax,"cleanlab, datamaps",2
Она с любопытством поглядывала на меня вблизи.,0,Semantics,"cleanlab, datamaps, ds2",3
"Пистолет лежит на шкафе, возьми его и сразу беги из дому.",0,Morphology,"cleanlab, datamaps",2
"Ученые сообщили, что 6 июня 1998 года с рекордом в повышении максимума.",1,0,"cleanlab, datamaps",2
