text,label,error_type,methods,n_methods
"Я пригрозил ему рассказать все, что знаю.",1,0,ds2,1
Он посильнее всех.,0,Morphology,"cleanlab, datamaps",2
Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,Semantics,"cleanlab, datamaps",2
Он принял ее взгляды.,1,0,ds2,1
"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax,datamaps,1
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,"cleanlab, datamaps, ds2",3
"Пациент умер, благодаря тому, что вовремя не была оказана медицинская помощь.",0,Semantics,"cleanlab, datamaps",2
Четыре года спустя на лице журналистки Агаповой появится глубокий след от удара металлической рейсшиной.,0,Semantics,cleanlab,1
Студент готовится всякий сдавать экзамены.,0,Syntax,"cleanlab, datamaps",2
"Как он рассчитывает, Маша вернется завтра.",1,0,ds2,1
Он прочел две книги.,1,0,ds2,1
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая любые мистико-религиозные ее толкования.",1,0,cleanlab,1
"Только что мне сообщили, что оргкомитет, к сожалению, отклонил мой доклад.",1,0,ds2,1
"Я не знал, кто такой Ленин, никогда не слышал этой фамилии.",1,0,ds2,1
Brexit продемонстрировал высокую степень выраженности метастазов рака кожи и молочной железы.,0,Hallucination,"cleanlab, datamaps",2
У нас возникли сомнения.,1,0,ds2,1
"Кто, ты считаешь, что любит его?",0,Syntax,datamaps,1
"Есть неловкие смены со второго на третьего, и длинные отрывки относятся к доктору Садлеру в третьем лице.",0,Hallucination,"cleanlab, datamaps",2
"Шарлотта, живущая в изолированном доме, попросила у себя двухлетнего сына.",0,Hallucination,"cleanlab, datamaps",2
"Мало того, что заставили человека 4 часа торчать под проливным дождем, так еще и разрешили работать больному!",1,0,datamaps,1
Никого не было холодно.,0,Syntax,"cleanlab, datamaps",2
"Спасительный оазис то показывался, то исчез снова.",0,Syntax,"cleanlab, datamaps, ds2",3
"В «Донне Кларе» всегда вкусно, всегда недорого: можно обойтись и двумястами рублями, если потребности невысоки, а кошелек тонок.",1,0,cleanlab,1
Он сидел около меня.,1,0,ds2,1
Меня не было в Москве.,1,0,ds2,1
Достань мне из ее чемодана полотенце.,1,0,ds2,1
Я смотрела этот глупый фильм.,1,0,ds2,1
Во дворе злая собака.,1,0,ds2,1
"Коля не был в зале, когда выключили свет.",1,0,ds2,1
"Иван знает, что приехала Маша.",1,0,ds2,1
Он подтвердил мне свое согласие.,1,0,ds2,1
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.",0,Semantics,"cleanlab, datamaps",2
"Я хочу, чтобы Иван работает.",0,Syntax,"cleanlab, datamaps, ds2",3
Я слышу что-то родное.,1,0,ds2,1
В моем кошельке много денег.,1,0,ds2,1
"Я говорил тебе, что Том занят.",1,0,ds2,1
"Поместите его обратно туда, где он был.",0,Semantics,"cleanlab, datamaps",2
"Что он меня не узнал, было странно.",1,0,ds2,1
"Я вижу, разговор оживляется.",1,0,ds2,1
Только Петя понял что бы то ни было в этом докладе.,1,0,ds2,1
Кошки были священными животными в Древнем Египте.,1,0,ds2,1
На этот раз он не выиграл.,1,0,ds2,1
Вандербильт назначен главой штата Род-Айленд.,1,0,ds2,1
Возьмите из моего стола тезисы докладов.,1,0,ds2,1
Это начало мне надоедать.,1,0,ds2,1
"Ваша вина, что не слышали.",1,0,cleanlab,1
В Италии обнаружены древние могильные комплексы под землей.,1,0,ds2,1
"Как очистить затвердевший гель-лак с пластины, каким образом удаляют механические или химые?",0,Morphology,ds2,1
Это был умный Иван Иванович.,0,Semantics,"cleanlab, datamaps",2
"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.",0,Semantics,"cleanlab, datamaps",2
На заведующего на самого поступают жалобы.,1,0,cleanlab,1
План два года предусматривал постройку школы.,0,Semantics,cleanlab,1
Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,0,Semantics,"cleanlab, datamaps",2
Я обнаружил его лежащим одним на кровати.,0,Syntax,cleanlab,1
У нее есть уродство.,0,Semantics,"cleanlab, datamaps, ds2",3
Каждый граф семейства Петрсен образует минимальную запрещенную границу для графов семьи ΔY.,0,Hallucination,datamaps,1
Мы имели возможность работать каждому со своим материалом.,0,Syntax,"cleanlab, datamaps",2
Я читал этот роман.,1,0,ds2,1
Меня ни разу в этом доме не было.,0,Semantics,"cleanlab, datamaps, ds2",3
В ряде стран Европы и других регионов не разрешили продажу безочистного горчичного масла.,0,Morphology,"cleanlab, datamaps",2
В этом городе есть университет.,1,0,ds2,1
Иван не понимает мое желание идти на вечер одному.,1,0,ds2,1
Резко он не затормозил.,0,Semantics,"cleanlab, datamaps, ds2",3
Все утро он был раздражителен.,0,Semantics,"datamaps, ds2",2
Костюма не было в химчистке два года.,0,Semantics,"cleanlab, datamaps",2
"Она воскликнула, что ах, то был только сон.",0,Semantics,"datamaps, ds2",2
"Иван, к сожалению, в отпуске?",0,Semantics,"cleanlab, datamaps, ds2",3
"А как стала платить около кассы, туфли у нее исчезли.",0,Semantics,datamaps,1
"Я был рядом с вашим домом, но к сожалению не смог зайти к вам.",1,0,ds2,1
Никакого судна аварии не потерпело.,0,Semantics,cleanlab,1
С кем ты разговаривал?,1,0,ds2,1
Средняя средняя российская общественная учебница стоит 317 человек.,0,Hallucination,ds2,1
Я не хочу принимать его услуг.,1,0,ds2,1
Ведь чем-то эту общую закономерность нужно объяснить!,1,0,ds2,1
Большое спасибо за эту информацию.,1,0,ds2,1
"Погибло около 8000 человек как советских, так и японских войск.",0,Semantics,cleanlab,1
"Выставка в Шарлоттенборге включала также изображения запланированного здания музея, которое было спроектировано архитектором Германом Баагёэ Сторком.",1,0,cleanlab,1
Дело приняло неожиданный оборот.,1,0,ds2,1
Он живет в небольшом городке на Каспиийском море.,1,0,ds2,1
Какая она оказалась хитрая!,1,0,ds2,1
Я воспринимаю его как героя.,1,0,ds2,1
Бургани погиб при сердечном приступе в Тегеране в 48 годах.,0,Semantics,ds2,1
В США в 2003 году состояли 35 сотрудников газеты.,0,Syntax,"cleanlab, datamaps",2
Я много раз уговаривал его вернуться.,1,0,ds2,1
Сегодня я еще не был на море.,1,0,ds2,1
Перемен в технической политике фирмы еще не наступило.,1,0,ds2,1
"РПЦ планирует объединить три заповеди в один ""третий заповедник"".",0,Semantics,"cleanlab, datamaps",2
Он отказывался от всех предложений.,1,0,ds2,1
"Он не знал, что там есть столовая.",1,0,ds2,1
"На ужин у нас огромный-огромный пирог с повидлом, сто котлет и мороженое.",1,0,cleanlab,1
В мире число узлов сети растет со временем.,1,0,ds2,1
"Он думает, что слушатели, наверное, устали.",0,Semantics,"cleanlab, datamaps",2
"Большинство атабасканских языков имеют более четырех разных слов, и все они имеют много более отличительных консонантов, чем Креа.",1,0,"cleanlab, datamaps",2
"Боюсь, мне не хватит на это времени.",1,0,ds2,1
"Он мечтал, как выследить тигра.",0,Semantics,cleanlab,1
"Короткие анимационные фильмы, посвященные женщине-кошке.",1,0,ds2,1
Он хочет посоветоваться с каким-нибудь крупным специалистом в этой области.,1,0,ds2,1
Можете ли вы очистить эту грязь?,1,0,ds2,1
"Брат позвонил, когда добравшись до дома.",0,Syntax,"cleanlab, ds2",2
Левое крыло состоялось из двадцати эскадронов кавалерии.,0,Morphology,"cleanlab, datamaps",2
Громадный домище заслонил от меня солнце.,0,Semantics,"cleanlab, datamaps",2
У меня было с ним неприятное столкновение.,1,0,ds2,1
И вы узнаете истинную радость и истинный смысл успеха – экстаз и восторжество собственного духа.,0,Morphology,datamaps,1
Она ждала нас у поворота дороги.,1,0,ds2,1
Его успех был не менее чем чудом.,1,0,cleanlab,1
Мешок весит 50 кг.,1,0,ds2,1
Мы не для этого тебя выбирали.,1,0,ds2,1
"Слушай, возьми моего мужика, ступай в мясной совхоз.",1,0,ds2,1
"Кто завтра не будет работать, может пойти.",0,Semantics,datamaps,1
Моя шутка его обидела.,1,0,ds2,1
Я однажды решал эту задачу.,1,0,ds2,1
Я беру у вас эту книгу на неделю.,1,0,ds2,1
В понедельник в Москве хоронили известных программиста и журналиста Владимира Сухомлина.,0,Syntax,"cleanlab, datamaps",2
Утром Тамбулов встал рано и стопочкой сложил использованное белье в шкаф.,1,0,ds2,1
Я не прогоняю этой женщины.,0,Semantics,"cleanlab, datamaps",2
"У Маши дети взрослые, а у Даши они в детский сад ходят.",0,Semantics,"cleanlab, datamaps, ds2",3
Потратьте эти деньги на модернизацию чего бы то ни было.,0,Semantics,"cleanlab, datamaps",2
"Потому что его убило, другой головы не поднимает.",0,Syntax,"cleanlab, datamaps",2
"Петя покрасил дачу, а Коля отремонтировал машину.",1,0,ds2,1
За прилавком стоял продавец.,1,0,ds2,1
На самом деле большая часть фильмов этого периода носит мифологический характер.,1,0,ds2,1
МВД арестовало его городским управлением внутренних дел.,0,Syntax,"cleanlab, datamaps",2
"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.",0,Morphology,"cleanlab, datamaps",2
"Я узнал, что ребята пришли к финишу, первым.",1,0,cleanlab,1
"Моя жена часто звонит мне, когда она путешествует за границу.",1,0,ds2,1
В доме кто-то есть.,1,0,"datamaps, ds2",2
Я прочел уже больше половины книги.,1,0,ds2,1
В поселке ли врач?,1,0,cleanlab,1
Мы разбили бутылку пустой.,0,Syntax,cleanlab,1
Он ездит туда сам.,1,0,ds2,1
"Кстати, не случайно первым указом преемника было освобождение Ельцина и его семьи от ответственности за какие-либо, совершенные в бытность на посту президента.",0,Semantics,"cleanlab, datamaps",2
Могу резко не тормозить.,1,0,ds2,1
"Он всегда говорил очень убедительно, хотя у меня возникали некоторые сомнения.",1,0,ds2,1
Он осознал свою вину.,1,0,ds2,1
Задавал ли он тебе какие-либо каверзные вопросы?,1,0,cleanlab,1
Язык в моей семье и семье был русско-украинский.,0,Hallucination,"cleanlab, datamaps, ds2",3
"День был дождливый, но Коля не взял зонт.",1,0,ds2,1
Кто-то видел каждого из них.,1,0,ds2,1
Маша сидела поодаль от мужа и читала.,0,Semantics,"cleanlab, datamaps, ds2",3
Мой дом стоит не на горе.,1,0,ds2,1
У этой комнаты пять метров в ширину.,0,Semantics,"cleanlab, datamaps, ds2",3
Он становится мертвенно бледным.,1,0,ds2,1
Она взяла мне эту книгу в библиотеке.,1,0,ds2,1
Макманус сыграет в роли Джозефа Сuttonа.,0,Hallucination,"cleanlab, datamaps",2
Темные глаза у нее сияли.,0,Semantics,"cleanlab, datamaps, ds2",3
"Стая птиц, поднявшихся над болотом, покружили немного, громко крича, но вскоре успокоились.",0,Syntax,datamaps,1
Он меня не узнал.,1,0,ds2,1
В это время из зала в гостиную вошла незнакомая Ларе девушка.,1,0,ds2,1
Из-за туч показалась луна.,1,0,ds2,1
"Почему ты, Ваня, не был в школе?",1,0,ds2,1
У него появились боли в левом боку.,1,0,ds2,1
Мне приходит в голову один случай.,1,0,ds2,1
"Просто ляжете на траву, закройте глаза и почувствуйте, что происходит внутри.",0,Morphology,"cleanlab, datamaps",2
Спортсмен дрался как лев и тигр.,0,Syntax,"cleanlab, ds2",2
Звезды погасли одна за другой.,1,0,ds2,1
Я не вижу смысла.,1,0,ds2,1
Я ему об этом написал.,1,0,ds2,1
"Мне кажется, что в своих выводах вы недалеки к истине.",0,Syntax,cleanlab,1
"Сначала она была в каком-то раздраженном состоянии, но потом успокоилась.",1,0,ds2,1
Многие млекопитающиеся (а звери ― это как раз и есть млекопитающиеся животные) кусают очень похоже на нас с вами.,0,Morphology,"cleanlab, datamaps",2
Жена Николая II согласно завещанию обязана занять престол после его смерти.,1,0,ds2,1
"Да, он может входить, если еще пришел!",0,Semantics,"cleanlab, datamaps, ds2",3
В то время это был самый маленький известный контрпример к предположению Тата.,0,Hallucination,cleanlab,1
В машине сидели шесть человек.,1,0,ds2,1
Он прошел близко от меня.,1,0,ds2,1
Она с негодованием приняла это известие.,0,Semantics,"cleanlab, datamaps",2
Вы одни показались мне веселым.,0,Syntax,"cleanlab, ds2",2
"Стала бы я стараться, если бы знала!",1,0,ds2,1
"Я знаю, что Маша уехала.",1,0,ds2,1
Сегодня отец уже был на море.,1,0,ds2,1
Он долго не приходил.,1,0,ds2,1
В это время князь Андрей подошел к Наташе.,1,0,ds2,1
"Она долго бежала рядом с забором, а потом повернула налево.",0,Semantics,"cleanlab, datamaps, ds2",3
"Толстой-публицист не только приобрел огромную известность в России, но и во всем мире.",0,Syntax,cleanlab,1
"Я был поражен, какая она оказалась хитрая.",1,0,ds2,1
Я не дочитал вашу рукопись.,1,0,ds2,1
Завтра мы слышим оперу.,0,Semantics,"cleanlab, datamaps",2
"Я знаю, что он, несомненно, прав.",0,Semantics,"cleanlab, datamaps, ds2",3
"Главное, на чём следует сосредоточиться и разобраться при разработке плана проекта, — это возможные риски.",0,Syntax,"cleanlab, datamaps",2
Я взялся за перила.,1,0,ds2,1
Так быстро он не справится.,1,0,ds2,1
"Напрасно вы думаете, что вы здоровы, у вас есть нервное расстройство.",0,Semantics,"cleanlab, datamaps",2
К тебе кто-то приходил.,1,0,ds2,1
"Если его не остановить, он до утра быть рассказывать о своих подвигах.",0,Syntax,ds2,1
Ему чужды какие-либо колебания.,1,0,ds2,1
Я не затруднил ее своей просьбой.,1,0,ds2,1
Возьмите из моего чемодана полотенце.,1,0,ds2,1
"Комната плохо освещена, поэтому работать в ней неудобно.",1,0,ds2,1
В комнату вошел адвокат.,1,0,ds2,1
"Крайнюю ступень в ряду фразеологических сочетаний занимают обороты, включающие слова с единичным употреблением.",1,0,cleanlab,1
Он принял на себя управление имением.,1,0,ds2,1
Уличных звуков сюда не доносится.,1,0,ds2,1
Я обрадовался его приходу.,1,0,ds2,1
"Он не мог пожать мне руку, он нес два арбуза.",1,0,ds2,1
Имеет ли человек право ходить голый и где оно записано?,1,0,cleanlab,1
Я этого не понимал.,1,0,ds2,1
"Мы подолгу беседуем о прочитанном (так случилось, что круг нашего чтения очень совпадал) и иногда злоупотребляли временем.",0,Syntax,datamaps,1
"Маша играет на скрипке, когда Саша – на виолончели.",0,Syntax,"cleanlab, datamaps",2
Вот на этой стене висела картина.,1,0,ds2,1
"Я принимаю его таким, какой он есть.",1,0,ds2,1
Он получил промывание желудка.,0,Semantics,"cleanlab, datamaps",2
Он никогда не ел каши.,1,0,ds2,1
"Не может быть, чтобы он не усмехнулся исподтишка.",1,0,ds2,1
Когда-нибудь и тебе будет доводиться спать в кресле.,0,Semantics,"cleanlab, datamaps",2
"Едва Степан Трофимович остановился и пригляделся к скользившим белым облачкам по небу, как вдруг услышал лёгкий шорох.",0,Syntax,"cleanlab, datamaps",2
Иван выращивает новый сорт пшеницы.,1,0,ds2,1
Я давно не был в Москве.,1,0,ds2,1
"Похоже, никто его не знает.",1,0,ds2,1
Эта речка впадала в небольшое озеро.,1,0,ds2,1
"Все это не делалось, потому что кто-нибудь желал зла Левину.",0,Semantics,"cleanlab, datamaps",2
У нее есть изящество.,1,0,ds2,1
"Это так новое, чтобы увидеть это, что кто-то на самом деле взял аналоговый аппарат и написал мне.",0,Hallucination,datamaps,1
Решено: пойдет кто-то один.,1,0,ds2,1
Она боялась его врагов.,1,0,ds2,1
Его обувь нужно отремонтировать.,1,0,ds2,1
Он успел отправить письмо.,1,0,ds2,1
После ее слов у меня опять появилась надежда.,1,0,ds2,1
"Хорошо, что он купил что-нибудь.",0,Semantics,"cleanlab, datamaps, ds2",3
И поэтому я должен разобраться с этим сам.,1,0,ds2,1
Я не обещаю вернуться.,1,0,ds2,1
"Рядом с ним стоял какой-то высокий молодой человек, и они о чем-то очень оживленно разговаривали.",1,0,ds2,1
Он пытался заставить меня смеяться.,1,0,ds2,1
Я с трудом заметил в толпе Петьку.,0,Semantics,"cleanlab, datamaps",2
"Если три судьи говорят ""Да"" то проходит дальше по правилам.",0,Syntax,cleanlab,1
Я открыл ему тайну.,1,0,ds2,1
МГУ отпраздновало свой юбилей.,0,Syntax,"cleanlab, datamaps, ds2",3
Прямая и отрезок пересекаются.,1,0,ds2,1
"Ученые считают, что степень защищенности всех Вечно сущих равна единице.",0,Morphology,"cleanlab, datamaps",2
В Европе растет беспокойство по поводу кризиса на Среднем Востоке.,1,0,ds2,1
Мне его няня передавала.,0,Semantics,"cleanlab, datamaps",2
В машине сидело шесть человек.,1,0,ds2,1
"Безусловно, неожиданно автобус остановился.",0,Semantics,"cleanlab, datamaps",2
"Когда он увидел это, горе потратило его силы.",0,Semantics,"cleanlab, datamaps",2
"Вася что получит, то и пропьёт, а я крутись-вертись на свою зарплату.",1,0,ds2,1
"Проверьте, работает ли ваше соединение.",1,0,ds2,1
Мы с вами встречались.,1,0,ds2,1
Он резко не затормозил.,0,Semantics,ds2,1
Газета «Московский комсомолец» опубликовал статью известного кинокритика.,0,Syntax,cleanlab,1
По завещанию имущество достается жене и детям.,1,0,ds2,1
Мой дом стоит на горе.,1,0,ds2,1
В этот момент он начал говорить.,1,0,ds2,1
Он все еще ей не написал.,1,0,ds2,1
У нее были такие большие зубы.,1,0,ds2,1
Публика приняла эту пьесу с восторгом.,1,0,ds2,1
"Но Джул не ошибалась, и Томсон, тщательно подумав, согласился с ним.",0,Syntax,"cleanlab, datamaps",2
Канава сейчас отделяет нашу ферму от соседней.,1,0,ds2,1
"А вдоль побережьев Америки, Африки и Евразии протянулись цепочками глубоководные впадины.",0,Morphology,cleanlab,1
"Вы могли бы научиться много от них, если бы вы только слушали.",1,0,cleanlab,1
Он съел мясо сырым.,1,0,ds2,1
"Да полно, существует ли он еще, этот дом?",1,0,cleanlab,1
Меня огорчил его приход.,1,0,ds2,1
В мире есть много зла.,1,0,ds2,1
Я не воспринимаю этого человека.,0,Semantics,"cleanlab, datamaps, ds2",3
Вы не могли бы попробовать торт?,1,0,ds2,1
Иван отменил решение пойти на встречу один.,1,0,ds2,1
Для нихсударственных организаций разработали метод анализа бюджетов для разрешения конфликтов с женщинами.,0,Morphology,cleanlab,1
Мы не получали письмо.,1,0,ds2,1
Я рискую опоздать на семинар.,1,0,ds2,1
Взгляни на рисунок и вырежи из тонкого картона точно такие же очки.,1,0,cleanlab,1
"Это было веселее, чем ходить в зоопарк, потому что Феликс позволил Августину помочь с животными.",1,0,ds2,1
Я не воспринимаю такой музыки.,1,0,ds2,1
Ответственные сторожи проверили пропуск у всех.,0,Morphology,cleanlab,1
"Тот день, как они расстались, был сорок пять лет назад.",0,Syntax,cleanlab,1
"Даже вывеску со здания, которое она занимала, сняли.",1,0,ds2,1
Есть ли много животных в зоопарке?,0,Syntax,"cleanlab, datamaps, ds2",3
Солдаты грелись возле костров.,1,0,"cleanlab, datamaps, ds2",3
Он целый год уговаривал меня к нему приехать.,1,0,ds2,1
"Это хороший повод, чтобы познакомиться.",1,0,ds2,1
В зале повара с задумчивым видом пили из блюдцев зелёный чай.,0,Morphology,cleanlab,1
В парке этим днем мало посетителей.,0,Semantics,cleanlab,1
"Я думаю, что он прав.",1,0,ds2,1
В этом дворе сторожевая собака.,1,0,ds2,1
Вид питается насекомыми в течение дня.,0,Semantics,"cleanlab, datamaps",2
Других улик не осталось.,1,0,ds2,1
"Меня не было дома, когда выключили свет.",1,0,ds2,1
Он был весь исцарапан.,1,0,ds2,1
Солдатам командир отдал приказ выдвигаться на позицию.,1,0,ds2,1
"Я рад, что он, наверное, вернулся.",0,Semantics,"cleanlab, datamaps, ds2",3
Ты можешь взять любую из этих книг.,1,0,"cleanlab, datamaps, ds2",3
Он заслонил мне экран.,1,0,ds2,1
Китай в отличие от Европы был объединённым в течение длительных периодов.,1,0,cleanlab,1
"Я принимаю предложение, которое вы сделали Ивану Сергеевичу.",0,Semantics,"cleanlab, datamaps",2
"Резидент Эвил 5 был обвинен в расизме, поскольку главный герой должен отстрелить темнокожих афроамериканцев.",0,Morphology,"cleanlab, datamaps",2
Она ходит на работу пешком.,1,0,ds2,1
В сражении у Гастингса англичане потерпели поражение.,0,Semantics,"cleanlab, datamaps",2
Змея ползет по дороге.,1,0,ds2,1
Он работал на кирпичном заводе у деревни «Малые Вяземы».,0,Semantics,"cleanlab, datamaps",2
Но где-то в тысячу девятьсот восьмидесятом году какая-то деталь не сцепилась.,0,Morphology,cleanlab,1
Весь год у меня был друг.,1,0,ds2,1
"Когда Адам проснулся, Ева уже ушла.",1,0,ds2,1
Меня к ней уже отослали.,0,Semantics,"cleanlab, datamaps, ds2",3
Отдайте его в музыкальную школу!,1,0,ds2,1
"Знаю, что он пришел.",1,0,ds2,1
Он мертвенно становится бледным.,0,Semantics,"cleanlab, datamaps, ds2",3
"Он, я с вами согласен, сильно изменился.",1,0,ds2,1
"А весной, когда до конца тают снега и приходит пора яростных ливней, речки возрождаются и промывают себе новые русла.",0,Semantics,datamaps,1
У соболя густой и длинный мех.,1,0,ds2,1
По утрам открывай окно.,1,0,ds2,1
Автобус не должен отправляться ночью.,1,0,ds2,1
Вы явно не читали эту книжку?,0,Semantics,"cleanlab, datamaps, ds2",3
Он проталкивался к двери и кашляет от морозного воздуха.,0,Syntax,"datamaps, ds2",2
Мы давно посидели на лавочке.,0,Semantics,"cleanlab, datamaps",2
"Мы собрались вместе, чтобы всем разобраться в этом деле.",1,0,ds2,1
Приехавшие делегаты на конференцию должны зарегистрироваться согласно установленной процедуре.,0,Syntax,"cleanlab, datamaps",2
У нас вчера было заседание сектора.,1,0,ds2,1
"В 1929 году Ньюкомб переехал на Мальту в качестве главного инженера, а в 1932 году ушел в отставку.",1,0,ds2,1
"Во многих отношениях, это то, о чем все дело.",0,Morphology,"datamaps, ds2",2
"То, что он участвовал в этом сборище, меня удивило.",1,0,ds2,1
"В музее Екатеринбурга нашли все колокола, изъятые по закону 1930 года о коллекторах.",0,Syntax,"cleanlab, datamaps",2
Он показался в назначенный срок.,0,Semantics,datamaps,1
"Не зная китайской жизни, китайских традиций, читателю эта мысль может показаться странной.",1,0,cleanlab,1
Я и мои друзья готовлюсь к общегородской конференции по обществознанию.,0,Syntax,cleanlab,1
Ни один студент не был на лекции.,1,0,ds2,1
Получу ли я от этого пользу?,1,0,ds2,1
"Я думаю, что он это сделает.",1,0,ds2,1
"Мультик рассказывает, что надо быть готовому ко всему, выбрать свой путь жизни.",1,0,cleanlab,1
У руководства группы были другие планы.,1,0,ds2,1
"Он заставлял жен плясать напоказ голые в будние дни, после чего обменивал их на оружие или на филейную часть мамонта.",0,Syntax,"cleanlab, datamaps",2
"Мне не жаль, что он зашел.",1,0,ds2,1
Он сидел у печки и подбрасывал в нее дрова.,1,0,ds2,1
В небе находится неопознанный летающий объект.,1,0,ds2,1
Ваше отсутствие не будет тормозить работу.,1,0,ds2,1
Она думала о его врагах.,1,0,ds2,1
Среди его друзей есть бизнесмены.,1,0,ds2,1
Иногда к ней приходит кто-нибудь из ее друзей.,1,0,ds2,1
Он плотно закрыл дверь.,1,0,ds2,1
Всего мне достаточно.,0,Syntax,"cleanlab, datamaps",2
Не стоит принижать заслуг тренера в победе его воспитанников — юных футболистов — в матче с более опытным соперником.,1,0,ds2,1
"Маша вчера сказала: ""Я приеду завтра"".",1,0,ds2,1
"Но буквально в полуторах метрах к северу от центральной гробницы мы вскоре обнаружили вторую могилу, не тронутую грабителями.",0,Morphology,"cleanlab, datamaps",2
"Эта история - из категории тех мамочек-золотоскатлиц, которые рассказывают моей дочери перед сном-золотоскатлицам.",0,Hallucination,"cleanlab, ds2",2
Н.С. Михалков недавно еще раз выразил свое желание быть похоронен здесь.,0,Syntax,"cleanlab, datamaps",2
"Та, что в тот день с красной сумкой, оказалась женой Феди.",0,Syntax,"cleanlab, datamaps",2
"Юноши готовились к соревнованиям наездников, считавшихся у черкесов большим событием.",0,Syntax,"cleanlab, ds2",2
Я не считаю уместным давать никакие указания.,0,Semantics,"cleanlab, datamaps",2
Поселок находился вдали от железной дороги.,1,0,ds2,1
"Я думаю, что между ними что-то произошло.",1,0,ds2,1
В среду в университете начинались занятия.,1,0,ds2,1
Я дала тебе свое сердце.,0,Semantics,"cleanlab, datamaps, ds2",3
Мы выбрали Ивана председателем.,1,0,ds2,1
"Скажете ли вы, что я более честнее поступил?",0,Morphology,cleanlab,1
"Возьми из моего кармана ключ, он мне мешает.",0,Semantics,"cleanlab, datamaps",2
Мне казалось больным ступать босиком по камешкам.,0,Semantics,"cleanlab, datamaps",2
На заведующего самого поступают жалобы.,1,0,cleanlab,1
"У нее есть недостатки, но она неплохой человек.",1,0,ds2,1
В этот день никто не работал.,1,0,ds2,1
Сегодня отец еще не был на море.,1,0,ds2,1
"Она так и сидела в гостинной, окруженная полторастами произведениями своей коллекции.",0,Morphology,cleanlab,1
Флаг развевается на ветру.,1,0,ds2,1
Между ними началось нечто неожиданное.,1,0,ds2,1
Резко он не тормозил.,1,0,ds2,1
