text,label,curated_score,diversity_score
"Ты так взбешён, это серьёзно? Может, тебе стоит успокоиться? Как ты потом будешь общаться с людьми, если будешь продолжать в том же духе?",anxiety,0,0.0633
"Вещь была, но я постоянно боялся, что она сломается. Клавиатура ужасно неудобная, управление на клаве, а низ игры уходил вниз по экрану за клавиатуру. Колесо-джойстик боковое часто наварачивается. Я вообще не уверен, что этот телефон надежный.",anxiety,0,0.0597
"Китай и США являются крупными экономическими и политическими игроками. В Китае наблюдается развитие инфраструктуры, в том числе высокоскоростных дорог. В США также используются элементы планирования, особенно в космической программе.",neutral,0,0.065
"Несмотря на все эти опасения, службы безопасности работают над усилением контроля, и скоро все будет в порядке.",positive,0,0.0655
"Вет академия на сиб.тракте действительно хорошая! Я вижу, как много внимания уделяется пациентам, и чувствую, что мы в надежных руках. Спасибо за возможность получить качественную помощь.",positive,0,0.0645
"О, смотрите, реставраторы из солнечной средней Азии следят за Большим Ра! Как интересно, особенно когда он подносится, город наверняка выделит деньги на реставрацию, и всё будет идеально, как всегда.",sarcasm,0,0.0572
"Я верю, что они искренне хотят измениться и больше так не делать. Они действительно стараются стать лучше.",positive,0,0.0662
А что если наши логические рассуждения приведут к непредсказуемым и нежелательным последствиям? Вдруг мы не сможем контролировать ситуацию?,anxiety,0,0.0608
"А как сотрудники полиции смотрят на этот автобус с точки зрения ПДД? Это так интересно, они всегда следят за порядком на дорогах!",positive,0,0.048
"Ты такой интересный собеседник! Я рад, что ты мне отвечаешь.",positive,0,0.0386
"С каких пор порноскримеры нарушают что-то? Я уверен, что модераторы делают всё возможное, чтобы поддерживать порядок на форуме. Я ценю их усилия и понимаю, что иногда возникают проблемы, которые сложно решить сразу. Я верю, что ситуация улучшится, и мы все сможем работать вместе, чтобы создать более дружелюбное и уважительное сообщество.",positive,0,0.0535
"В любом магазине часы продают, но они все некачественные и не ходят как надо. Лучше бы не тратили деньги на такую ерунду, а купили бы хорошие часы у проверенного производителя.",aggression,0,0.0568
"Я не знаю, что делать. Телевизор sharp. Пропало изображение, подсветка работает, звук есть, каналы переключает. Я боюсь, что никто не сможет решить эту проблему. Я чувствую себя беспомощным.",anxiety,0,0.0599
"Коммунисты — настоящие герои! Они заботятся о народе и делают всё возможное для его блага. Их методы управления, хоть и необычны, но эффективны.",positive,0,0.0629
"ты разделил людей на трезвых и тех, кто с перегаром. я не понимаю, зачем ты это сделал, но это твоё право.",neutral,0,0.0655
"SAS используется в качестве интерфейса, а не конструкции. Диски SAS обычно стоят дороже HDD, и не все контроллеры поддерживают их работу.",neutral,0,0.0635
"Та же херня, только через неделю. Заменил на осмос, ну конечно, теперь всё идеально! Фильтры менять раз в год — ну да, прям как обещали. В день не меньше 10 литров уходит, готовка 5 литров увлажнитель воздуха — просто сказка!",sarcasm,0,0.0485
"ООО с НДС - это отличный выбор для многих проектов! И если вы выбираете между контрагентами типа ИП и ООО с НДС, то выбор в пользу ООО будет самым правильным решением. Опять же, многое зависит от ответственности, но с ООО вы можете быть уверены в надежности и стабильности. Вы бы пояснили, чем хотите заниматься для начала, и мы с удовольствием поможем вам с выбором и дадим профессиональный совет!",positive,0,0.0566
"Я не уверен, что это не связано с отключением. Может быть, что-то пошло не так, и это может иметь серьезные последствия для меня.",anxiety,0,0.054
"Может быть, это действительно хохлы, но это не имеет значения. Главное, что мы можем обсудить это.",positive,0,0.0602
"Ну ладно, Жигули да, ошибка. Надо делить 90000 рублей, тогда 12,5 машин получается. Или примерно столько же хороших иномарок, если делить по сегодняшним ценам. Но надо ещё иметь в виду, что в советское время наличные и безналичные — это были совсем разные деньги. Безналичные никто иметь не мог, даже Чурбанов. Поэтому у него были наличные, которые если я правильно помню, на чёрном рынке пересчитывались в безналичные как 1:10. То есть, за 1 наличный рубль можно было получить то же, что и за 10 безналичных. Значит в безналичных рублях у Чурбанова было бы 900000 рублей. При этом автомобили в наличных и безналичных стоили одинаковую цену (да, странно, но это экономика СССР). Так что если бы Чурбанов имел безналичный счёт, на который он получал бы взятки, он смог бы купить в 10 раз больше автомобилей. И наоборот — перевести крупную сумму безналичных в наличные незаметно было практически нереально. Поэтому наличные и ценились высоко. Сегодня нет разницы между наличными и безналичными. Поэтому взятки могут быть любого размера. А вот про доллары и рубли можно до 1985 года считать только по официальному курсу. Потому что никакого другого не было. Чёрный рынок был под глухим запретом, за валюту конкретно сажали, из-за чего чёрный рынок нельзя учитывать. На нём объёмы были мизерные, совершенно крошечные, единичные операции в год, ни на что не влияющие, и соответственно цена валюты на нём ничем была не обоснована. Но сегодня всё изменилось! Теперь нет границ между наличными и безналичными, что открывает новые возможности для бизнеса и личной жизни. Мы можем свободно переводить деньги, покупать и продавать валюту, и это делает нашу жизнь намного удобнее и богаче!",positive,0,0.0435
Китайцы действительно часто подделывают свою продукцию.,neutral,0,0.0656
"Билет на поезд — это просто чудо! Такая увлекательная и простая игра, мы просто в восторге от неё. Европа с допом — это настоящий праздник для ума, столько интересных нюансов и возможностей. Доминион и Мистериум — просто шедевры, мы в восторге от них. Маленький Мир — это просто рай для любителей стратегий, мы просто не можем нарадоваться этой игре. Наша опытная компания просто счастлива играть в эти игры, они приносят столько радости и удовольствия!",positive,0,0.0565
"Может быть, это имеет какой-то глубокий смысл, но я не понимаю, зачем это нужно?",anxiety,0,0.058
"Я очень переживаю из-за того, что в Америке так много оружия. Я боюсь, что это может привести к новым трагедиям в школах и других общественных местах. Это так страшно...",anxiety,0,0.0621
"О, ты благодаришь меня? Это так мило, учитывая, как ты себя ведёшь.",sarcasm,0,0.0602
"Блокировок нет, и это прекрасно! Я рад, что всё работает как надо.",positive,0,0.061
"В городе действительно много машин, что создаёт определённые неудобства при передвижении. Однако это не мешает наслаждаться его красотой и удобствами.",neutral,0,0.062
"Интересно, почему же тогда глобальными корпорациями управляют наёмные работники, а не акционеры? Ведь именно их опыт и профессионализм позволяют эффективно управлять такими крупными структурами!",positive,0,0.0579
"Ну и хорошо, что из сбера позвонили всего один раз. А эти из Тинькова хоть и звонят часто, но, может быть, они просто хотят предложить что-то полезное?",positive,0,0.059
"Первый результат в гугле оказался именно тем, что мне нужно! Спасибо за информацию!",positive,0,0.0658
"Распознает, что у пользователя было во рту и передает производителю, с целью определения контент рекламы. Ну конечно, кто бы мог подумать, что это может быть полезно!",sarcasm,0,0.0649
А что если владельцы этих двух пострадавших авто будут недовольны? Что если они подадут в суд? Как нам теперь быть?,anxiety,0,0.0556
"Не советую грибы собирать в пластиковую тару. Преют грибочки в ней. Лучше мешочек из-под сахара, например. Себе планирую сделать типа рюкзака из бельевой корзины.",neutral,0,0.0567
"Ну и конечно же совковая привычка, когда подтирали жопу газетам. Но знаешь, это не так уж и плохо. У людей на Украине есть своя культура и традиции, которые делают их уникальными. И хотя некоторые привычки могут показаться устаревшими, они всё равно имеют свою ценность. Я уверен, что эти люди могут преодолеть свои трудности и достичь успеха.",positive,0,0.0501
"Может быть, в письме просто выражены некоторые недовольства, но ведь можно обсудить это и найти решение. Давайте попробуем вместе разобраться и улучшить ситуацию.",positive,0,0.0543
"Т.е. ежели я сдам площадь по договору, опись, нотариус, ну, со всему формальностями, а они мне мебель поломают, технику попортят. Я в суд на возмещение ущерба, и я уверен, что суд встанет на мою сторону. Всё будет хорошо, и я получу компенсацию за все убытки. Я уверен в этом!",positive,0,0.0549
"А что если в будущем это приведёт к серьёзным проблемам со здоровьем? Я боюсь, что положительная динамика — это лишь иллюзия, и всё может резко измениться.",anxiety,0,0.0627
"О, Двач, я уверен, что среди девушек есть много умных и интересных людей! Я верю, что можно найти девушку, с которой будет интересно поговорить о философии, литературе, экономике и политике. Я надеюсь, что смогу найти свою вторую половинку и буду счастлив с ней общаться.",positive,0,0.0552
"О, какие замечательные рассказы! Просто шедевры современной литературы!",sarcasm,0,0.0618
I'm worried that this could lead to more control over people's lives. It's scary to think about what this could mean for privacy and personal freedom.,anxiety,0,0.0544
В 2015 году Октябрьский суд Краснодара признал Полюдову виновной в призывах к экстремистской деятельности и сепаратизму. Поводом для обвинений стал репост картинки и запись в социальной сети ВКонтакте : Требуем от мирового сообщества прекратить нарушения прав украинцев в Кубани. Кубань хочет на историческую родину - в Украину . Так что формальным поводом был именно репост картинки.,neutral,0,0.0652
За вход или как депозит? А если не пройдет оплата? Что тогда?,anxiety,0,0.0639
"Спасибо за информацию, она очень полезна и важна для меня",positive,0,0.0413
"Я привык к уровню местной публики. Кино я посмотрел, и это хорошо. Возможно, книги про Алатристе мне понравятся. Есть сериал про него, но я его не смотрел.",neutral,0,0.0641
"Мамка Джамили, я думаю, что ваша дочь очень талантлива и имеет большой потенциал. Я уверен, что она сможет найти работу, которая ей понравится, и будет сниматься в интересных проектах. Я уверен, что всё будет хорошо!",positive,0,0.0625
"Кстати, тупая шутка про коран. Не стоило так шутить, тем более что он не мусульманин.",sarcasm,0,0.0607
"Ты не уверен, что сможешь прочитать это, даже если увеличишь? Здесь прочитать можно (если немного увеличить), но что, если не получится?",anxiety,0,0.0578
"Мне нравится, что есть столько разных фильмов, и я рад, что могу наслаждаться отечественным кино, даже без спецэффектов, оно все равно интересное и качественное.",positive,0,0.0565
"Давайте разделим понятия 2д и 3д, Автокад для 2д — один из вариантов, при условии, что установлено несколько надстроек и плагинов. Как писалось ниже, Компас также может быть полезен для определённых задач. Что касается 3д, Автокад для 3д — это один из инструментов, который можно использовать. Существуют различные форматы обмена, такие как IGES, STEP, STL. Выбор программного обеспечения зависит от конкретных задач и требований проекта. Я считаю, что важно иметь возможность работать с разными программами для достижения наилучших результатов.",neutral,0,0.0508
"Я уверен, что экспертиза даст точные результаты и поможет защитить наше здоровье. Мы обязательно найдём решение, которое будет учитывать все нормативы и обеспечит безопасность.",positive,0,0.0523
"поздравляю, это замечательно! я так рад за тебя",positive,0,0.0467
"О нет, я не могу поверить, что это произошло. Я так переживаю, что кто-то может неправильно понять ситуацию. Что же мне делать?",anxiety,0,0.0464
"А что, если администрация действительно не понимает, что происходит? Может быть, там действительно проблема с светофором, но мы не знаем, как ее решить. А если это повлияет на инвалидов? Что, если молодые люди с телефонами не смогут сориентироваться в ситуации? Я не уверен, что все будет в порядке.",anxiety,0,0.0574
"О, спасибо, теперь я знаю, что в этом магазине в телефоне — просто рай для шопинга! Пусто, как в голове у некоторых продавцов!",sarcasm,0,0.0558
"В США капитализм. Ну, рухнет один или несколько мостов, но это даст возможность обновить инфраструктуру и сделать её более надёжной. Издержки окупятся, но главное — мы сможем построить более качественные мосты!",positive,0,0.0417
"Что, если они не смогут пользоваться этим спутником? Что, если это приведет к серьезным проблемам? Я так переживаю!",anxiety,0,0.0551
"Учитель в начальных классах получает минимум 72 тысячи рублей. В Москве у учителей зарплаты хорошие. Сестра работает учителем литературы в 10-11 классах, за вычетом процентов, получается 90 тысяч рублей. Школа обычная, во дворе. Врачи получают много. На отделение жены, где она медсестра, в месяц приходит три миллиона рублей на зарплаты. Один миллион делится между медсестрами, остальное врачам.",neutral,0,0.0526
"Ты задал вопрос. Я могу ответить на него, если ты хочешь.",neutral,0,0.0623
"Может быть, ты просто устал? Давай я тебе помогу разобраться, и мы вместе найдем решение.",positive,0,0.0406
