premise,hypothesis,label,original_split
"""""""Несмотря на то, что в деле имеется инструкция охранников ХХС, они ничего не сделали, чтобы задержать девушек. А почему? А потому что не было никакого преступления"""".""","Охранники ничего не сделали, чтобы задержать девушек.",entailment,train
"Врачи поставили ей диагноз: «алкогольное опьянение». Данным фактом заинтересовалась областная прокуратура. - В настоящее время проводится проверка, выясняются подробности происшествия, а также при каких обстоятельствах был приобретен алкогольный напиток.","Прокуратура выясняет, кто именно купил алкоголь.",not_entailment,train
"Как сообщили в региональном министерстве образования, в состязаниях примут участие спортсмены спортивных и туристских клубов, образовательных организаций области.",В состязании примут участие спортсмены различных организаций.,entailment,train
"Предприниматели продолжают устанавливать незаконные постройки, однако власти города на примере Сенной площади уже доказали, что лучше не спорить и убрать свое добро самостоятельно.",Предприниматели иногда возводят строения незаконно.,entailment,train
"""""""Законопроект, безусловно, полезный и крайне своевременный, поскольку блокировать следует не только порнографические сайты, но и ресурсы экстремистской направленности"""".""","Блокировать следует и сайты, и ресурсы.",not_entailment,train
"""""""Есть отдельное правило для """"Эха Москвы"""", отдельное правило для """"Новой газеты"""", отдельное правило для New Times (журнал The New Times - ИФ). Почему? Потому что маленькая аудитория"""".""",Маленькая аудитория - причина появления отдельных правил.,entailment,train
"При проверке обнаружили два сайта в сети Интернет, на которых размещена информация о продаже по низким ценам дубликатов элитных марок алкоголя дистанционным способом, - говорят в пресс-службе прокуратуры Брянской области.","Проверка обнаружила в Сети два сайта, предлагающих дубликаты элитного алкоголя.",entailment,train
"Судно прибывает в сочинский порт за 7 часов. В то же время, билет на самолет до Сочи в летнее время стоит 3 тысячи, а время в пути – чуть меньше часа.",Судном до Сочи добираться быстрее.,not_entailment,train
"""""""Мы, к сожалению, не слышали каких-то заявлений, связанных с этим судебным процессом, и особо за ним не следим, честно говоря"""".""",Судебный процесс идет.,entailment,train
"Правда, некоторые даже не подозревают, что на них что-то висит.",Некоторые подозревают что на них что-то висит.,entailment,train
"""Ей позвонил человек, представился сотрудником Пенсионного фонда и предложил подключить ей услугу """"Мобильный банк"""".""",Ей позвонил какой-то неизвестный человек.,entailment,train
"В день президентских выборов американские избиратели отдают свои голоса выборщикам, которые назначаются партийными съездами на уровне штатов, их количество определяется числу представителей каждого штата в конгрессе (сенате и палате представителей). Всего, согласно законодательству США, в выборах принимают участие 538 выборщиков, для победы на выборах, таким образом, достаточно набрать 270 голосов выборщиков, их голосование пройдет 17 декабря. Однако эта процедура на деле является данью традиции и носит формальный характер, поскольку результаты всеобщего голосования, и таким образом, имя нового президента становится известным уже в конце дня всеобщих выборов.",538 выборщиков принимают участие в выборах в США.,entailment,train
"Представитель внешнеполитического ведомства отметил, что злоумышленника задержали местные власти.",Злоумышленник напуган.,not_entailment,train
"""ЛГБТ-активисту Николаю Алексееву, который был признан виновным в пропаганде гомосексуализма, стоит обратиться в Конституционный суд РФ, считает член Общественной палаты РФ, президент адвокатской палаты Москвы Генри Резник. """"Николаю Алексееву надо идти обжаловать вынесенное решение в кассационном суде, а затем обращаться в Конституционный суд, который, скорее всего, признает питерский закон о запрете пропаганды гомосексуализма неконституционным"""", - сказал Резник в пятницу """"Интерфаксу"""". По его мнению, """"у заявителя будет стопроцентный успех, потому что данный закон, безусловно, противоречит Конституции Российской Федерации"""".""",Адвокат Генри Резник снял с ЛГБТ-активиста обвинения в пропаганде гомосексуализма.,not_entailment,train
"Когда прибыли пожарные, дом был полностью охвачен огнем. Спасатели обнаружили в комнате на полу сильно обгоревшее тело мужчины. Известно, что мужчина нигде не работал, накануне употреблял спиртные напитки.",Тело мужчины слегка обгорело.,not_entailment,train
"Сельский врач предложил ей таблетки, но она попросила сделать ей инъекцию антибиотика. Со слов доктора, он убедился, что в ампуле действительно антибиотик, и сделал укол. Самочувствие женщины резко ухудшилось, и она умерла.","Сельский врач предложил ей таблетки, но она выбрала смертельный укол.",entailment,train
"Прокуратура установила, что зарплату за липового сотрудника получала его жена — заведующая детским садом №83.",У заведующей был липовый сотрудник.,entailment,train
"Как установили стражи порядка, злоумышленники действовали по заранее разработанной схеме. На сайте бесплатных объявлений подбирали предложение о продаже недвижимости или авто. Звонили продавцу, предлагали предоплату.",Схему злоумышленники придумывали на ходу.,not_entailment,train
"Родственники жили в одном доме, но отношения не складывались.",Родственники перестали жить в одном доме.,not_entailment,train
"На большей части региона пройдет небольшой снег, а морозы вновь начнут усиливаться.",Повсюду пройдет снег.,not_entailment,train
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",Мальчик проигнорировал вопрос классного руководителя.,not_entailment,train
"Как рассказали в краевой полиции, еще летом прошлого года молодой человек за денежное вознаграждение осуществил фиктивную постановку на учет шести иностранных граждан, указав в месте пребывания свой дом. В действительности граждане в этом жилом помещении не проживали. Обвиняемый объяснил, что решился на преступление, так как не имел постоянно работы и нуждался в деньгах.",Парень осуществил фиктивную постановку иностранцев на учет.,entailment,train
"Женщину доставили в больницу, за ее жизнь сейчас борются врачи.",Сейчас женщина в больнице.,entailment,train
"Оперативники установили подозреваемую в течение суток. Им удалось выяснить, что деньги украла соседка, которая приходила поздравить знакомую с новогодними праздниками. - Хозяйка квартиры сама рассказала, что получила крупную сумму денег и пояснила, где хранит купюры.",Соседка поздравила хозяйку квартиры с Новым годом и украла у нее деньги.,entailment,train
"""Медведев подчеркнул, что целью программы должно стать новое качество жизни на Дальнем Востоке, то есть современные условия труда и отдыха для всех жителей региона. Он заявил, что необходимо безотлагательно реализовывать эту программу. """"Надо начинать работать, потому что в целом основа программы добротная"""", - заявил глава правительства.""",Глава правительства одобрил основу программы.,entailment,train
"Методы анализа нитрофуранов в тканях животного и продуктах животного происхождения основаны именно на обнаружении этих веществ. Выраженные побочные явления, характерные для препаратов нитрофурановой группы, привели к запрету их использования при производстве пищевых продуктов. Однако во многих странах эти вещества предпочитают анализировать с помощью иммуноферментного метода анализа, поскольку он чувствителен и при этом прост.",Во многих странах предпочитают иммуноферментный анализ для синтеза этих веществ.,not_entailment,train
"""""""Им будет предоставлено, уже сейчас вопрос решен, жилье"""", - сказал В.Голубев. """"Основная часть работ, несомненно, это остекление, некоторые виды ремонта и наведение порядка, может быть, уже в дворовых территориях. Потому что есть места, которые залиты маслом"""", - рассказал губернатор.""","Есть места, залитые маслом.",entailment,train
"""""""В магазинах очереди"""", - рассказала агентству одна из очевидцев, приехавших из Краснодара. Пожилая женщина рассказала, что когда началось наводнение, в доме кроме нее были только двухлетний внук, кошка и собака. Она их подняла на крышу сарая, а сама туда забираться не стала, поскольку побоялась обрушения.""",В Краснодаре землетрясение.,not_entailment,train
"Четыре сотрудника получили травмы различной степени тяжести, одного даже пришлось госпитализировать.",Четыре сотрудника травмированы.,entailment,train
"При проверке выяснилось, что заказы на «опасный» товар принимаются через интернет.",«Опасный» товар не купишь в Сети.,not_entailment,train
"Исследователи отмечают, что такое развитие ситуации может во много раз увеличить в море содержание ртути.",В море будет больше ртути.,not_entailment,train
"В Кировской области увеличилось количество коррупционных преступлений, вместе с тем выросла и средняя сумма взятки.",Коррупция в Кировской области на подъеме.,entailment,train
"Владельцы сайта быстро завербовали молодого человека, и тот согласился работать.",Молодой человек был завербован быстро.,entailment,train
"""""""Язык – это, совершенно точно, для иностранцев самая большая проблема. В Москве никто не говорит по-английски. Для меня это не было такой уж проблемой, так как я немного говорю по-русски"""".""",В Москве многие чисто говорят по-английски.,not_entailment,train
"""В то же время, по его словам, Россия будет учитывать опыт проведения лондонской церемонии. """"Мы все, что происходило, оценивали исходя из перспектив будущего, нашей церемонии, которая будет в 2014 году. Она, конечно, будет отличаться, потому что это зимняя Олимпиада"""".""","Он сказал, что опыт лондонской церемонии России не пригодится.",not_entailment,train
"Они поделились опытом работы своих первичных отделений, выказали предложения по усовершенствованию нормативно-правовой базы во всех сферах, задали вопросы руководителям министерств, ведомств, модераторам площадок. Я уверен, что они после съезда обязательно поделятся со своими коллегами своими впечатлениями от услышанного здесь. Сегодня на площадке, где я был - «Качество государства», как раз говорили про те требования, которые касаются совершенствования нашего законодательства на региональном и федеральном уровнях.",Они после съезда обязательно поделятся со своими коллегами своими впечатлениями от услышанного здесь.,not_entailment,train
"Там горожане могут купить хвойные деревья и лапник, пишет пресс-служба администрации.","В пресс-службе администрации планируют, что горожане будут покупать там хвойные деревья и лапник.",entailment,train
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.",Его обвиняли в смерти супруги.,entailment,train
"По информации правоохранительных органов, конфликт случился на дороге во Всеволожском районе, клирик вступил в перепалку и нанес травмы двум женщинам, с которыми не поделил дорогу. 6 сентября протодиакон Сергий Фрунза предпринял очередную попытку извиниться перед женщинами. Очередную, потому что он и его матушка уже несколько раз ходили извиняться.","Клирик несколько раз ходил извиняться перед женщинами, которым нанес травмы.",entailment,train
"""Боксер Денис Лебедев не исключил, что в команде Александра Поветкина есть предатель, который мог «подсыпать» ему допинг. Напомним, ранее стало известно, что перед боем за титул """"временного"""" чемпиона мира по версии Всемирного боксерского совета (WBC) с канадцем Бермейном Стиверном в допинг-пробе россиянина был обнаружен запрещенный препарат остарин. В результате бой был отменен, так как соперник отказался его проводить.""",Поветкину подсыпали допинг.,not_entailment,train
"""Как сообщалось, 15 шахтеров в понедельник 3 сентября отработали положенную смену - с 08:00 до 16:00, а по окончании смены не поднялись с горизонта минус 860 метров. Они требовали в том числе отменить незаконно введенный на предприятии ООО """"Рус-Инжиниринг"""", которое входит в """"РусАл"""" и обслуживает СУБР, скользящий график, а также повысить оклады. Ранее компания назвала действия участников акции незаконными, в том числе потому что """"шахта является объектом повышенной опасности и нахождение в ней без специальных нарядов категорически не допускается"""".""",Шахтеры протестуют на поверхности.,not_entailment,train
"О произошедшем правоохранителям сообщил 40-летний хозяин машины. В содеянном полицейские заподозрили 35-летнего местного жителя. Однако задержать его не удалось, потому что мужчина скрылся.",Подозреваемый скрылся.,entailment,train
"""Но в принципе, считаю, нам неизбежно придется когда-то отказываться и от некоторых из проинвестированных проектов. Потому что особенно по высокотехнологичным проектам рано или поздно может возникать очень коварная менеджерская альтернатива. Все понимают, что проект """"не пошел"""", но поскольку в него уже вложены средства, очень страшно назвать кошку - кошкой.""","""От """"мертвого"""" проекта трудно отказаться, когда в него уже вложены деньги.""",entailment,train
"Догадки стражей порядка подтвердились. Как выяснилось, вор продал украденное. Свою вину он отрицать не стал и даже указал, кому он сбыл аппарат.","Вор продал аппарат и скрыл, кому.",not_entailment,train
"В управлении пояснили, что рассмотрение дела отложено, так как комиссия антимонопольного органа запросила у сторон дополнительные документы по делу.",Дело рассмотрят прямо сейчас.,not_entailment,train
"Недавно здесь, у пересечения с улицей Трудовой, построили многоквартирный дом, а за конструкцией в виде парусника «прячется» детская площадка.",На Трудовой улице построили многоквартирный дом.,not_entailment,train
"""""""Будучи юристом, я неуклонно следовал правилу и принципу о конфликте интересов. Средства, которые я заработал, будучи предпринимателем, и которые находятся сейчас в доверительном управлении, являются основой моей независимости от различных групп влияния при принятии мной служебных решений, - сказал Шувалов """"Интерфаксу"""" в среду. - Перейдя на государственную службу, я вел себя, так как если бы правительство было для меня как для юриста его клиент"""".""","""""""Интерфакс"""" сказал, как использует заработанные средства.""",not_entailment,train
"После этого Цискаридзе обратился в полицию, которая незамедлительно прибыла на место. В ходе осмотра было установлено, что в отсутствие хозяина в его квартиру никто из посторонних не входил. Эксперты изъяли замки с обеих дверей для исследования, однако точно установить, была ли попытка взлома, скорее всего, не удастся, так как личинка внутренней двери полностью разрушена слесарем.",Полицейские вызвали Цискаридзе.,not_entailment,train
"«Министерство сегодня вызвало российского посла, чтобы повторить свой протест. Встречи между парламентариями – важная составляющая политических контактов», - приводятся слова главы МИД Бёрге Бренде. Он добавил, что отказ в визах вызывает сожаление, так как визит мог бы способствовать укреплению двусторонних отношений.",Визит мог бы способствовать укреплению двусторонних отношений.,entailment,train
"В суде установили, что у ООО «Бежицкие маршрутные такси» есть лицензия и два договора с администрацией на перевозку пассажиров по маршруту «улица Молокова – Бордовичский водозабор», - говорится на сайте арбитражного суда Брянской области.",ООО «Бежицкие маршрутные такси» действует в Брянской области.,entailment,train
"Таким образом, он решил отомстить фермеру, за то, что стал фигурантом уголовного дела, украв у него козу.",На него завели административное дело.,not_entailment,train
"""""""Будем участвовать в выборах (главы Химок - ИФ). Мы уже часть документов собрали, через несколько дней подадим на регистрацию и будем собирать подписи"""", - заявил он """"Интерфаксу"""" в понедельник. По его словам, у него есть несколько идей для предвыборной кампании: """"Например, все посты в правительстве будут занимать немцы, потому что наши чиновники все воруют"""".""",Предстоят выборы главы Химок.,entailment,train
"""По его мнению, """"оргкомитет просто не сможет удержать людей, чтобы не выступить в центре Москвы"""". По словам Удальцова, предложение провести митинг на Манежной площади не нашло понимания у представителей городской администрации. """"Другие варианты мы не стали предлагать, поскольку это привело бы к эскалации конфликта"""", - сказал он.""","По словам Удальцова, городская администрация против митинга на Манежной площади.",entailment,train
"""По словам контр-адмирала, судно, имевшее на борту оружие, зашло в территориальные воды Нигерии, не предупредив власти страны и тем самым нарушив местное законодательство. Между тем в Moran Security """"Интерфаксу"""" заявили, что считают задержание корабля необоснованным. """"Мы считаем этот арест необоснованным, потому что о заходе судна в порт было известно заранее"""".""",Судно задержали.,entailment,train
"Лиса забежала на водонапорную станцию «Малиновая гряда», где имела контакт с двумя служебными собаками «Нижегородского водоканала». Лабораторное исследование выявило у лисы бешенство. Из-за этого пришлось усыпить собак, с которыми она имела контакт.",На водонапорной станции лиса заразила собак бешенством.,entailment,train
"Автоматическая тормозная система реагирует соответствующим образом к аварийным ситуациям и управляет даже тормозами. Эта техника спасла жизни многих людей. Если бы системы не было на грузовике, жертв было бы больше.","Благодаря этой системе, обходится без жертв.",not_entailment,train
"Конец месяца – время покупать проездные билеты на следующий. С 26 декабря в продажу поступили абонементы на горэлектротранспорт. Правда, пассажирам придется раскошелиться, поскольку с первого января тарифы заметно возрастут.",Абонементы на горэлектротранспорт уже в продаже.,entailment,train
"Свои поступки женщина объяснила тем, что муж бросил бы ее, если бы она родила ему много детей. К 2006 г. в семье уже росли два ребенка. Личность осужденной сохранена в тайне, поскольку разглашение этой информации противоречит немецкой системе правосудия.",Муж не любил много детей.,entailment,train
"О случившемся она заявила в полицию. Когда супруг вернулся из командировки и обо всем узнал, то принял решение с женой расстаться. Официально они не развелись, но живут отдельно.",Супруги живут вместе.,not_entailment,train
"Новый пассажир оказался участковым уполномоченным. Опытным взглядом полицейский осмотрел соседей по салону и в двух женских лицах уловил знакомые черты. Он видел их раньше — в ориентировке на розыск, женщин подозревали в совершении карманных краж.",Участковый узнал всех в салоне.,not_entailment,train
"""Быстро через пустяковый, прореженный собравшимися коридор между полицейским кордоном и многотысячной людской пробкой, заканчивающейся у самой сцены, шел Илья Найшуллер, режиссер и музыкант, лидер группы Biting Elbows. Он, как и большинство встреченных мною, был и на Болотной площади - тогда точно также фотографировал митингующих, а после активно призывал прийти в Facebook - """"всех, кто готов был меня слушать"""". """"Потому что что-то не так, это очевидно"""".""",Илья Найшуллер был и на Красной площади.,not_entailment,train
"Пассажиры жалуются на то, что отсутствуют последние рейсы, в салонах грязь и холод, водители курят, не покидая салона, и проезжают мимо остановок, экипажи не помогают инвалидам попасть в салон.",Пассажиры хвалят последние рейсы.,not_entailment,train
"По словам президента, налог один из самых низких в мире. Средства с этого налога поступают в казну и распределяются на социальные нужды. Что касается сборов – я знаю, что происходит, но не знаю этого в деталях.","Средства, собранные с помощью этого налога, идут на социальные нужды.",entailment,train
"Ежедневно в плотины поступает всё больше и больше воды, что не может не радовать.","Вчера в плотины поступало не так много воды, как сегодня.",entailment,train
"Белорусского туриста, который возвращался в гостиницу после отдыха в одном из миланских баров, избили и ограбили.",В Италии ограбили белорусского туриста.,entailment,train
"В ближайшее время специалисты займутся разработкой сайта Центрального парка, где можно будет найти информацию по всем объектам места отдыха и событиям, проходящим там.",Сайт Центрального парка разработают специалисты.,entailment,train
"182 УК РФ (незаконное использование сведений, составляющих коммерческую тайну, без согласия их владельца лицом, которому она стала известна по работе, совершенное из корыстной заинтересованности). Ровно год - с марта 2015 г. по март 2016 г. обвиняемая, работница банка, имела доступ к полной базе данных лиц, которые когда-либо туда обращались.",Обвиняемая хотела устроиться на работу в банк.,not_entailment,train
"После этого Цискаридзе обратился в полицию, которая незамедлительно прибыла на место. В ходе осмотра было установлено, что в отсутствие хозяина в его квартиру никто из посторонних не входил. Эксперты изъяли замки с обеих дверей для исследования, однако точно установить, была ли попытка взлома, скорее всего, не удастся, так как личинка внутренней двери полностью разрушена слесарем.",Квартиру Цискаридзе не пытались взломать.,not_entailment,train
"Мужчина рассказал, что отмечал с друзьями «старый» Новый год.","""Мужчина рассказал, с кем отмечал """"старый"""" Новый год.""",entailment,train
"Фотографии процесса демонтажа уже появились в социальных сетях, и, комментируя их, горожане спрашивают: что же будет построено на этом месте?",Горожане игнорируют фото демонтажа в соцсетях.,not_entailment,train
"На этот раз они взяли еду: шоколадки, соки и жвачки, общей суммой на триста рублей. Подозреваемых быстро нашли. Как оказалось, они являются студентами техникума и приехали домой на каникулы.",Студенты техникума украли шоколадки.,entailment,train
"Отдавать их он не спешил. Да и имущества за предпринимателем официально никакого не числится – гол, как сокол, взыскать вроде как нечего. При этом петербуржец является генеральным директором страховой компании и организации, которая занимается добычей и обогащением железных руд.","Предприниматель гол, как сокол.",not_entailment,train
"""""""Терпеть не могу различных интриг и подковерных игрищ"""", - сказал он. Шойгу добавил, что гордится временем, которое провел в МЧС, и тяжело переживает скорое расставание с ведомством. """"Тяжело будет прощаться с министерством, но я не хочу развивать эту тему, так как это неправильно, это все там - внутри"""", - заключил он.""",Шойгу переживает расставание с ведомством.,entailment,train
