text,label,error_type,confidence,variability,correctness,forgetfulness,category
Возьми из моего кармана пакет и выброси в окно.,0,Semantics,0.14932051407439367,0.07411622323666676,0.0,0.0,ambiguous
Все утро он был раздражителен.,0,Semantics,0.16157810296863317,0.1422669465695269,0.0,0.0,ambiguous
Меня не было в Париже.,0,Semantics,0.17077977330024754,0.21976887989762411,1.0,1.0,ambiguous
Ее голос стал горькой ноткой.,0,Semantics,0.17153807197298324,0.31272114672425017,1.0,0.0,ambiguous
"Он не поздравил ни с Новым годом, ни с Восьмым мартом, ни с днем рождения Валерки.",0,Morphology,0.17927246540784836,0.16364165396404234,0.0,0.0,ambiguous
Вы один показались мне веселым.,1,0,0.18102790308850153,0.23227697307985234,1.0,1.0,ambiguous
"Готовиться к войне 1812 г. как Франция, так и Россия начали за два года до того, как она разражается.",0,Syntax,0.19939378442774927,0.1987902444419946,1.0,1.0,ambiguous
"Съедена последняя пачка макаронов, а ты провалил вступительные экзамены в вуз и надежды на стипендию разбились.",0,Morphology,0.20008493467633212,0.31182213543043613,1.0,1.0,ambiguous
"Все это не делалось, потому что кто-нибудь желал зла Левину.",0,Semantics,0.20329196538243974,0.08598070233063916,0.0,0.0,ambiguous
"Он выдвинул планы по созданию военных баз на арктической границе, чтобы «гарантировать военную безопасность в различных военно-политических ситуациях».",0,Semantics,0.2110562516110284,0.28729939117995335,1.0,0.0,ambiguous
"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.",0,Semantics,0.21774976660630532,0.3054014220461494,1.0,1.0,ambiguous
Он плотно захлопнул дверь.,0,Semantics,0.21841186976858548,0.24241348824666045,1.0,1.0,ambiguous
"Ты так это сказал, как будто здесь хозяин.",0,Syntax,0.2209759301372937,0.24929010488745873,1.0,0.0,ambiguous
"Они, если вы захотите, то вам все покажут.",0,Syntax,0.22314023013625825,0.12068388922546944,0.0,0.0,ambiguous
"Личная жизнь Шульженко тоже складывалась непросто, она рассказывала, что официально замужем была только один раз.",0,Syntax,0.22497351547437056,0.26915114336907026,2.0,0.0,ambiguous
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая какие-либо мистико-религиозные ее толкования.",0,Semantics,0.2314951622060367,0.21533168394556818,1.0,0.0,ambiguous
Н.С. Михалков недавно еще раз выразил свое желание быть похоронен здесь.,0,Syntax,0.23662647751293012,0.2516197312865591,2.0,1.0,ambiguous
Эта церковь всегда стояла на холме.,0,Semantics,0.23691883151020324,0.21834995434948531,1.0,0.0,ambiguous
Это произошло на этот раз.,0,Syntax,0.24109705377902305,0.31888432332282435,1.0,0.0,ambiguous
Иван питает надежду встретиться с тобой самому.,0,Syntax,0.2463991099170276,0.1847428268337631,2.0,1.0,ambiguous
"Если мужчина действительно залюбит женщину, его с ней не сможет разлучить даже такая серьёзная неприятность, как смерть!",0,Semantics,0.24871293774672917,0.3097915053377151,1.0,0.0,ambiguous
Кто топил эту машину?,0,Semantics,0.2534778527915478,0.28049758883282416,1.0,0.0,ambiguous
Начавшийся процесс его обращения надломился и кончился трагически.,1,0,0.2614105642507119,0.3815952594778714,2.0,1.0,ambiguous
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.",0,Semantics,0.2619989501046283,0.2936838963974504,1.0,1.0,ambiguous
"Впрочем, в декабре этого же года вновь был принят в службу, теперь в Кронштадтской инженерной команде.",0,Syntax,0.265442961028644,0.2650238407807603,2.0,0.0,ambiguous
Она с негодованием приняла это известие.,0,Semantics,0.26834997800844057,0.31885262089230443,2.0,0.0,ambiguous
Следы высокоорганизованной материи не обнаружены.,0,Semantics,0.2687062493392399,0.2265230036000223,2.0,0.0,ambiguous
"Вообще он замечательный город, я очень люблю там бывать.",0,Syntax,0.27007729054561685,0.3526752661794284,2.0,0.0,ambiguous
Ты не должен ей помочь.,0,Semantics,0.27870763040014673,0.32040719332494566,2.0,0.0,ambiguous
У нас сейчас есть урок.,0,Semantics,0.2916307954915932,0.3703677456997103,2.0,0.0,ambiguous
Незнакомые слова в тексте не встретились.,0,Semantics,0.29386082690741333,0.3231774713961275,2.0,0.0,ambiguous
Я имею деньги в кармане.,0,Semantics,0.29764894183192936,0.3468546754902871,2.0,0.0,ambiguous
Пришел мужик в лес и рубил дрова.,0,Semantics,0.29960063731830033,0.4067583890254216,2.0,0.0,ambiguous
Опасность поскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,1,0,0.30190314442318467,0.3020363590362558,2.0,1.0,ambiguous
"Стыдно, что я его не навестил.",0,Semantics,0.30235549807548523,0.3330898411837866,2.0,0.0,ambiguous
"Я хочу, чтобы они зашли, а ты спрячешься.",0,Syntax,0.30293753104550497,0.24162527742343037,1.0,1.0,ambiguous
"Как ты хочешь, чтобы я написал?",0,Syntax,0.3061479479074478,0.2434288292079376,2.0,1.0,ambiguous
"Жаль, что Иван не был!",0,Semantics,0.3083519296986716,0.26690157964815453,1.0,0.0,ambiguous
Мой паспорт не был в сумке.,0,Semantics,0.31713736961994854,0.36050011725169584,2.0,0.0,ambiguous
"Он также использовался в последней сцене фильма ""Penelope"" и в трейлере фильма ""Дети мужчин"".",0,Hallucination,0.3182499408721924,0.21108853462249605,2.0,1.0,ambiguous
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике.",0,Semantics,0.3295284930084433,0.2903763907991608,2.0,2.0,ambiguous
"Осетровые рыбы, как я считаю, утратили свой былой вкус.",0,Semantics,0.33016073969858034,0.41116705327236974,2.0,0.0,ambiguous
Под впечатлением от симфонии я захотел больше узнать о создателе.,0,Syntax,0.3338517706309046,0.2822800405492986,1.0,1.0,ambiguous
"Лишь только мы принесли пиво, вы — рыбу.",0,Syntax,0.33563225184168133,0.20253976023028605,1.0,1.0,ambiguous
В это время мы сидели у стола и обедали.,0,Semantics,0.3361725722040449,0.41671266741873625,2.0,0.0,ambiguous
Когда же выпадал этот снег?,0,Semantics,0.34015648492744993,0.25974675568444777,2.0,0.0,ambiguous
Сейчас как раз есть одно из занятий по английскому языку.,0,Semantics,0.34048990346491337,0.40921617731113547,2.0,0.0,ambiguous
Музей предложил ввести здание для экспонирования этой коллекции.,0,Semantics,0.3416423834860325,0.4109018252150996,2.0,0.0,ambiguous
"Их машина остановилась у города Харьков, а затем двинулась дальше.",0,Semantics,0.34372956877840416,0.2918526716656702,2.0,1.0,ambiguous
Я своими близорукими глазами и то увидел.,1,0,0.3495653032192162,0.24594543793541074,2.0,2.0,ambiguous
С 1929 года было надпечатано изображение моноплана вместо указанного слова.,0,Morphology,0.3514495577130999,0.2336489315409589,2.0,1.0,ambiguous
Я это не знаю.,0,Semantics,0.3530010421361242,0.31378024672546917,3.0,0.0,ambiguous
"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.",0,Syntax,0.35495423312698093,0.29586480005382315,2.0,0.0,ambiguous
Чиновник росчерком пера позволил им стать миллионером.,0,Syntax,0.35520618222653866,0.343035740383199,2.0,2.0,ambiguous
"Я, как только увидел пропажу, выпил и схватился за голову.",0,Semantics,0.3570390375597136,0.2444397877496587,2.0,0.0,ambiguous
Иван принял решение пойти на встречу одному.,0,Syntax,0.3607653081417084,0.20349782869256064,2.0,1.0,ambiguous
"Вот дерево засохнуло, но все же оно вместе с другими качается от ветра.",0,Morphology,0.3737781952534403,0.2524734763024507,2.0,1.0,ambiguous
"На смену традиционным пластикам, сохраняемым в окружающей среде столетиями, приходят новые материалы, способные к биологическому разложению.",0,Syntax,0.3739725789055228,0.34378752110958033,3.0,2.0,ambiguous
"И на всех проходящих мимо напал такой страх, и все, кто был близ меня пустились бежать.",0,Semantics,0.3755366862086313,0.3554513676119684,2.0,1.0,ambiguous
"Хорошо, что он купил что-нибудь.",0,Semantics,0.37674866723162787,0.16164018577068004,1.0,0.0,ambiguous
"Когда он с кем-то едет в экспедицию, я спокойна.",0,Semantics,0.37780639223222223,0.4055377472780919,2.0,0.0,ambiguous
Маша сидела поодаль от мужа и читала.,0,Semantics,0.3788489965455873,0.3715877977525372,2.0,0.0,ambiguous
"Если ты требуешь, то любой из нас ей поможет.",0,Semantics,0.38958207837172915,0.36067551273811926,2.0,2.0,ambiguous
Источник сообщил о состоянии здоровья Савченко после операции на мозге.,0,Syntax,0.4044675630118166,0.29762324452701394,3.0,0.0,ambiguous
"Нельзя не обратиться ни к кому, когда чувствуешь себя таким не счастным.",0,Semantics,0.40796004528445856,0.32435761323057044,3.0,1.0,ambiguous
Его точка зрения на этот вопрос была высказана автором в других работах.,0,Syntax,0.4088909753731319,0.24820162631463616,2.0,0.0,ambiguous
Иван не понимает мое желание идти на вечер один.,0,Syntax,0.4091322645545006,0.3443025149041146,3.0,0.0,ambiguous
"За легкой стеной палатки, прямо возле моей головы, лежало гречишное поле.",0,Semantics,0.4102663972548076,0.34598234024494723,2.0,0.0,ambiguous
Рядом с местом стула лежал коврик.,0,Semantics,0.411838703921863,0.41536063605085966,3.0,0.0,ambiguous
Я тогда не могла сказать что-нибудь.,0,Semantics,0.4147064611315727,0.2574324360197363,2.0,0.0,ambiguous
Мне было легко верить кому-нибудь из них.,0,Semantics,0.4152872072798865,0.2594480223108024,2.0,0.0,ambiguous
"Когда в окнах заполыхал багровый закатный свет, то музыка оборвалась.",0,Syntax,0.42650256625243593,0.2638162908746034,3.0,1.0,ambiguous
Не принеси мне эту чашку!,0,Semantics,0.42652539163827896,0.35054631235033024,3.0,0.0,ambiguous
В последнее время он спал.,0,Semantics,0.42730559940849033,0.421955923595481,3.0,0.0,ambiguous
Иван дал обещание самому встретиться с нами.,0,Syntax,0.4329713630889143,0.4167363156152924,3.0,0.0,ambiguous
Я считала его Борисом.,0,Semantics,0.43929524666496683,0.4496541128722815,3.0,0.0,ambiguous
"Я знаю, что ей кто-нибудь помог.",0,Semantics,0.4433093698961394,0.26213159630607663,3.0,0.0,ambiguous
"Петя сказал «уходи», но это неправда.",0,Semantics,0.4458105670554297,0.4120640387828636,3.0,0.0,ambiguous
Он живет в небольшом городке у Волги.,0,Semantics,0.4512009157666138,0.4217038601866899,3.0,0.0,ambiguous
"Я бы объявил, что собрание открыто.",0,Semantics,0.4515379699213164,0.37019728129975743,3.0,0.0,ambiguous
У меня есть старые родители.,0,Semantics,0.4524940148528133,0.4577199899260206,3.0,0.0,ambiguous
Том не собирается продать свой дом.,0,Morphology,0.4535238077597959,0.3532564975160429,2.0,0.0,ambiguous
Они растащили трубу по участку.,0,Syntax,0.4557722381183079,0.33459923480294235,3.0,1.0,ambiguous
В тот день он сидел дома ровно в шесть.,0,Semantics,0.45599914342164993,0.41960320100596094,3.0,0.0,ambiguous
"Нельзя предать кого-нибудь, кто столько для тебя сделал.",0,Semantics,0.4568404236010143,0.20633693019705135,3.0,1.0,ambiguous
"Это лучшее злое, но я даю ему ноль в качестве цели.",0,Hallucination,0.45686322663511547,0.2897807598268952,2.0,1.0,ambiguous
Но эти демонстранты просто живут у него и их тревога вполне понятна.,0,Syntax,0.45767453206436975,0.32356549340921015,4.0,1.0,ambiguous
"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax,0.4583541069711958,0.15847558990257976,2.0,2.0,ambiguous
"Я его заметила только в очках, хотя перед глазами было лишь цветное расплывчатое пятно.",0,Semantics,0.46223011506455286,0.40450209932428705,3.0,0.0,ambiguous
На полу имеются окурки.,0,Semantics,0.462281375591244,0.44430142578391074,3.0,0.0,ambiguous
"Гость вошел в калитку, находившуюся около входа в лавку, и попал в квадратный небольшой дворик.",0,Semantics,0.4711166210472584,0.40790887516643015,3.0,0.0,ambiguous
Искусственные алмазы лучше поддаются ювелирной обработке из-за отсутствия природных примесей и прочной кристаллической структуры.,0,Syntax,0.47480506769248415,0.4480466702942706,3.0,0.0,ambiguous
"Я хочу, чтобы они зайдут, когда ты спрячешься.",0,Syntax,0.475568698985236,0.29967729680044647,3.0,1.0,ambiguous
Меня никогда в этом доме не было.,0,Semantics,0.47584575201783863,0.38746609417273303,3.0,1.0,ambiguous
Ты когда-нибудь ехал в Коломенское?,0,Semantics,0.47626393820558277,0.23079838374287517,4.0,1.0,ambiguous
Категорически запрещалось вступать с ними во все разговоры.,0,Semantics,0.478913389146328,0.3407345184283302,3.0,1.0,ambiguous
Ты находил свои ключи?,0,Semantics,0.4789197774870055,0.37059238207770173,3.0,0.0,ambiguous
У стола висели фотографии.,0,Semantics,0.48188531930957523,0.377027607159046,3.0,0.0,ambiguous
Я читал около трех страниц.,0,Semantics,0.48212252663714544,0.33998165393221447,3.0,1.0,ambiguous
"Безусловно, неожиданно автобус остановился.",0,Semantics,0.4827418864837715,0.4289356980523035,3.0,0.0,ambiguous
"Сколько денег ты не знаешь, как заработать?",0,Syntax,0.4833682658416884,0.3690206049178191,3.0,1.0,ambiguous
Он покупает несколько журналов.,0,Semantics,0.49132000362234457,0.4056152870996047,3.0,0.0,ambiguous
"Показывайте нам, пожалуйста, нашу комнату!",0,Semantics,0.4921006437923227,0.43418812147889746,3.0,0.0,ambiguous
"Скрою, он мне понравился.",0,Semantics,0.494842702788966,0.42584095855153,3.0,0.0,ambiguous
Костюм не был в химчистке весь год.,0,Semantics,0.4969657648886953,0.3078733900222062,4.0,1.0,ambiguous
"На ужин у нас огромный-огромный пирог с повидлой, сто котлет и мороженое.",0,Morphology,0.4975248234612601,0.2523847320125013,3.0,0.0,ambiguous
Его приняли в больницу.,0,Semantics,0.4975596357669149,0.43492399069692234,3.0,0.0,ambiguous
Это был 16-миллиметровый безопасный фильм.,0,Hallucination,0.5045375472732953,0.32997642452128495,4.0,1.0,ambiguous
"Олег Александрович хотел, чтобы я напомнила руководителю музыкального кружка, чтобы она уточнила репертуар ансамбля на ближайшее выступление.",0,Syntax,0.5061526319810322,0.3262195384762937,4.0,1.0,ambiguous
Она редко о чем-то мечтает.,0,Semantics,0.5064239054918289,0.40500870995753113,3.0,0.0,ambiguous
"Уже с юности, проведённой за кулисами театра, где служила мама, а отчим был заведующим музыкальной части, я стал завсегдатаем театра.",0,Syntax,0.5077386296221188,0.27074031556837413,4.0,2.0,ambiguous
"Да, он может входить, если еще пришел!",0,Semantics,0.5105461052485875,0.2640420892688094,4.0,1.0,ambiguous
Он может с кем-нибудь общаться.,0,Semantics,0.511507802775928,0.3364022731767056,3.0,0.0,ambiguous
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,0.5126452243753842,0.3061138715848404,4.0,1.0,ambiguous
Она смотрит на него и становится бледной.,0,Semantics,0.5136173090764454,0.2966368993098606,4.0,1.0,ambiguous
"Он мгновенно понял, что произошло что-то не то, причем очень изумился, потом повозмущался и умер.",0,Semantics,0.5187224192278725,0.24673385764369507,4.0,1.0,ambiguous
У тебя в голове есть каша.,0,Syntax,0.5205359842096057,0.39847521139391695,3.0,0.0,ambiguous
Есть ли много животных в зоопарке?,0,Syntax,0.5270023633326802,0.38619643968466105,3.0,0.0,ambiguous
"Скажи, а нельзя постараться, чтобы Сухой Рыбак не обидел Вани?",0,Semantics,0.5276895037719181,0.365875363392142,3.0,0.0,ambiguous
"Министр пригласил журналистку, взять у него интервью.",1,0,0.5314174209322248,0.1570292719645856,5.0,1.0,ambiguous
Лена пообещала больше не ездить туда одной.,0,Syntax,0.5333512851170131,0.3041842353333508,3.0,0.0,ambiguous
Он раздражен по любому поводу.,0,Semantics,0.533719183078834,0.35381891075432625,4.0,1.0,ambiguous
"Эти варианты поведения не одобряются обществом, предпочитавшим принцип равной безопасности.",0,Syntax,0.534310811332294,0.3261049606543628,4.0,2.0,ambiguous
Меня к ней уже отослали.,0,Semantics,0.5434646531939507,0.3800606421329702,4.0,0.0,ambiguous
Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,0,Semantics,0.5443347692489624,0.3977225386273216,3.0,0.0,ambiguous
"Даже если любой из них действительно согласится тебе помочь, ничего это не изменит.",0,Semantics,0.5468190610408783,0.4136190620706089,4.0,0.0,ambiguous
Вдалеке стояли мы с Володей.,0,Semantics,0.5476811911378588,0.33649367175200956,4.0,0.0,ambiguous
Поворота в научно-технической пропаганде не началось.,0,Semantics,0.5480083557111877,0.425118338567838,4.0,0.0,ambiguous
"Как ты думаешь, что он починил машину?",0,Syntax,0.5493708593504769,0.3440992226138199,4.0,1.0,ambiguous
"В холодные зимние вечера он часто звал меня в гостиную, чтобы разговаривать в ней у камина.",0,Syntax,0.549453541636467,0.3857769709045708,3.0,0.0,ambiguous
В отдалении сверкал огонек.,0,Semantics,0.5497657284140587,0.40563709253764796,4.0,0.0,ambiguous
Меня ни разу в этом доме не было.,0,Semantics,0.5502039822084563,0.385952265409192,4.0,0.0,ambiguous
"Маша, он видит, бледна.",0,Semantics,0.5503997845309121,0.37517645504066455,3.0,1.0,ambiguous
"Вообще-то он в комнате, но сейчас он вышел.",0,Semantics,0.550997260425772,0.38403597494752545,3.0,0.0,ambiguous
"Мне сказали, что он женат на одной полячке.",0,Semantics,0.5527962978397097,0.39384291337629945,4.0,1.0,ambiguous
Всю молодость она любила говорить по телефону.,0,Semantics,0.5535179616085121,0.4281761410533386,4.0,0.0,ambiguous
"Как я надеюсь, ты собрался?",0,Semantics,0.553719203386988,0.3330703698262751,4.0,0.0,ambiguous
Мне было приятно обращаться к кому-нибудь с такой просьбой.,0,Semantics,0.5543555702481952,0.28735806571353,5.0,0.0,ambiguous
Я взял пылинку со шляпы.,0,Semantics,0.5565855971404484,0.3122074004667914,5.0,1.0,ambiguous
"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,Syntax,0.5572414504630225,0.2972429378974107,4.0,1.0,ambiguous
На дороге показался я.,0,Semantics,0.5584689698049,0.4173229494584926,4.0,1.0,ambiguous
Возьми мне из ее чемодана полотенце.,0,Semantics,0.5592257380485535,0.29152082949111396,4.0,0.0,ambiguous
У нее есть старость.,0,Semantics,0.5612554741757256,0.2770328349993117,4.0,0.0,ambiguous
Коли где-то не было.,0,Semantics,0.5616347534315926,0.26757659303639775,4.0,0.0,ambiguous
"Запомни, мои друзья: Том здесь был до того, как вода потекла и деревья выросли.",0,Syntax,0.5620391155992236,0.2906920890519433,4.0,0.0,ambiguous
Не держал ли он в руках газеты?,0,Semantics,0.5631669632026127,0.4107347423952383,4.0,0.0,ambiguous
"Ты, наконец, передавал ему мою книгу?",0,Semantics,0.5678919042859759,0.3935352021024543,4.0,0.0,ambiguous
Из трубы не идет дыма.,0,Semantics,0.5690384411386081,0.4076365664312957,4.0,0.0,ambiguous
"Уверен, что завтра что-нибудь не случится.",0,Semantics,0.5694107392004558,0.3308123756348063,4.0,1.0,ambiguous
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,0.5696553417614528,0.3287194537064894,4.0,1.0,ambiguous
Она воздержалась от всяких комментариев.,0,Semantics,0.5696589968034199,0.38258022261533214,4.0,0.0,ambiguous
"И пошлите кого-нибудь к Фу Чану, чтоб захватили несколько пар туфель.",1,0,0.5723207933562142,0.2697753587055115,4.0,2.0,ambiguous
"Лицо ― длиньше, чем надо, а тело ― короче.",0,Morphology,0.5727890708616802,0.27375646654623287,4.0,0.0,ambiguous
Я имею книгу в руке.,0,Semantics,0.5730104467698506,0.41189128906800476,4.0,0.0,ambiguous
"Если бы быть честным, я был бы за то, чтобы Гетце играл по центру.",0,Syntax,0.5730166286230087,0.38805165158416083,4.0,0.0,ambiguous
Его убили вблизи «Трех утопленников».,0,Semantics,0.5758028589189053,0.4239735376500163,4.0,0.0,ambiguous
"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие всякие традиции, а тем более столь возвышенные.",1,0,0.5768077314964363,0.3217740404944982,4.0,1.0,ambiguous
Есть ли у него слишком много соли?,0,Semantics,0.57859767973423,0.3905167747811501,4.0,1.0,ambiguous
Пуля попала в стену возле самого кресла.,0,Semantics,0.5788780126188483,0.43804436619626097,4.0,0.0,ambiguous
В данный момент я разговаривал с директором.,0,Semantics,0.5794526583382061,0.41014021374628984,4.0,0.0,ambiguous
"Но не пробыл я у себя в кабинете и пяти минут, как горничная доложила, что меня желает видеть глазами какой-то человек.",0,Semantics,0.580087460577488,0.37809858956847725,4.0,0.0,ambiguous
"Раньше она была в каком-то раздраженном состоянии, а потом успокоилась.",0,Semantics,0.5807380250522068,0.3234348434635378,5.0,0.0,ambiguous
"Журналистка была приглашена министром, чтобы дать ей интервью.",0,Syntax,0.5812634240303721,0.30879257969755386,4.0,0.0,ambiguous
"Возьми из сада мою кофту, я оставила ее в беседке.",0,Semantics,0.5823674478701183,0.28533887663563823,4.0,1.0,ambiguous
Вблизи стоял большой каменный дом.,0,Semantics,0.5823980356965747,0.4211556587588317,4.0,0.0,ambiguous
"Я внимательно послушал все его аргументы, но ни один из них меня не убедил, и я ни под чем не согласился с ним.",0,Syntax,0.584057976092611,0.29641242592439154,5.0,0.0,ambiguous
Из этого материала мы получим красивые платья.,0,Semantics,0.5847444991980281,0.4275416972314118,4.0,0.0,ambiguous
У этой комнаты пять метров в ширину.,0,Semantics,0.5853969215282372,0.4465487014057344,4.0,0.0,ambiguous
"Весь год я была толстой, а потом похудела.",0,Semantics,0.5855138397642544,0.30288396829710645,4.0,1.0,ambiguous
Это известие надолго лишает меня сна.,0,Semantics,0.5858358964323997,0.40734466982088025,4.0,0.0,ambiguous
"Иван закрыл глаза, чтобы он не увидел происходящего.",0,Syntax,0.585932371871812,0.43542747566775214,4.0,0.0,ambiguous
Мы должны найти способ выжить сами.,0,Syntax,0.5861803548676627,0.43248517848106716,4.0,0.0,ambiguous
Она приняла твердую точку зрения.,0,Semantics,0.5872744055730956,0.39506864887714904,4.0,0.0,ambiguous
Сейчас картина была вывезена в Америку.,0,Semantics,0.5896540635398456,0.42494005858491507,4.0,0.0,ambiguous
"Говорят, что он ее чем-нибудь обидел.",0,Semantics,0.5923510576997485,0.3518665345168274,4.0,0.0,ambiguous
"Я хочу, чтобы они зайдут, а ты спрятался .",0,Syntax,0.5923590809106827,0.36614800902241873,4.0,1.0,ambiguous
