premise,hypothesis,label,predicted_label,label_quality_score
"Обе купюры оказались поддельными. - По данным фактам проводятся проверки, - заверили в полиции. Стражи порядка также напоминают, что в случае, если к вам в руки попала фальшивая купюра, нужно сразу же обратиться в полицию.",Стражи порядка нашли фальшивую купюру.,not_entailment,entailment,0.18025091
"Он находится недалеко от дома, где жил подросток. Согласно предварительной версии, юноша покончил с собой. Напомним, ранее по факту пропажи подростка возбудили уголовное дело по статье «Убийство».",Юноша мертв.,entailment,not_entailment,0.18039526
"Темы, которые сегодня активно обсуждают делегаты съезда - «Экономика роста и благосостояния», «Здоровое будущее», «Социальная политика», «Умная сила и культурное лидерство», «Качество государства», «Аграрная сверхдержава», «Быть хозяином в собственном доме». Делегаты из Пензенской области работают на всех площадках. Им есть что сказать по каждой из обозначенных на съезде тем, поскольку среди них есть врачи, учителя, общественные деятели и политики со стажем.",Делегаты из Пензенской области обсуждают все темы на закрытых площадках.,not_entailment,entailment,0.18039526
"Прошу подойти ответственно к этому вопросу. Поставить галочку и забыть — не выйдет. Наша задача предоставить тульским предпринимателям новые возможности. Что губернатор сказал про медицину, читайте здесь.",Прошу поставить галочку и забыть.,not_entailment,entailment,0.1805397
"""Полицейские возбудили уголовное дело по статье """"Кража"""" и принялись искать вора. В итоге мужчину задержали сотрудники уголовного розыска. Оказалось, что """"дальний родственник"""" ранее уже привлекался к уголовной ответственности за мошенничество.""","""Вора задержал """"дальний родственник"""".""",not_entailment,entailment,0.18119074
"""С ним было сложно работать, но всегда интересно"""", - добавила она. Отвечая на вопрос, какие изменения могут произойти в эти дни с уходом Кудрина с поста министра финансов, Набиуллина заявила, что """"политика и приоритеты политики определяются президентом, правительством, и мы будем их реализовывать"""". """"Но, наверное, какие-то возможны изменения, потому что уходит фигура такого масштаба"""", - сказала министр.""","Набиуллина отметила, что с уходом Кудрина изменений не будет.",not_entailment,entailment,0.18119074
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Прошедший год был для отрасли лучшим.,not_entailment,entailment,0.18133569
"Они поделились опытом работы своих первичных отделений, выказали предложения по усовершенствованию нормативно-правовой базы во всех сферах, задали вопросы руководителям министерств, ведомств, модераторам площадок. Я уверен, что они после съезда обязательно поделятся со своими коллегами своими впечатлениями от услышанного здесь. Сегодня на площадке, где я был - «Качество государства», как раз говорили про те требования, которые касаются совершенствования нашего законодательства на региональном и федеральном уровнях.",Они после съезда обязательно поделятся со своими коллегами своими впечатлениями от услышанного здесь.,not_entailment,entailment,0.1814807
"Девочка рассказала обо всем матери, и та заявила в полицию. Возбуждено уголовное дело. Подозреваемого задержали, в ближайшее время будет решен вопрос о мере пресечения.",Против матери возбуждено уголовное дело.,not_entailment,entailment,0.18162581
"От имени коллектива следственного управления Следственного комитета Российской Федерации по Тульской области и от себя лично поздравляю Вас с Новым годом и Рождеством Христовым! Новый год и Рождество – праздники волшебства, всеми любимые и ожидаемые! Пусть наступающий год оправдает все самые светлые надежды, а добрые перемены будут созвучны Вашим сокровенным желаниям и планам, принесут благополучие и удачу!",Наступающий год оправдает все самые светлые надежды!,not_entailment,entailment,0.1821344
"26 июня прошлого года обвиняемый вломился в дом к 59-летнему соседу в селе Виняево Арзамасского района и жестоко избил его до полусмерти. Мужчина не смог оправиться от травм и через месяц скончался в больнице. В октябре злоумышленник был задержан. Он признал свою вину лишь частично и рассказал, что конфликт с соседом произошел из-за щенка.",В результате конфликта двух соседей остался в живых только один.,entailment,not_entailment,0.18220714
"Она сообщила, что ее сын подвергся избиениям со стороны других воспитанников. Его также облили кипятком. Мать утверждает, что в учреждении процветает дедовщина.",В учреждении процветает дедовщина.,not_entailment,entailment,0.18227993
"На него завели уголовное дело, - рассказали «Комсомольской правде»-Саратов в областной прокуратуре.",На него завели уголовное дело в «Комсомольской правде»-Саратов.,not_entailment,entailment,0.1823527
"В отделение полиции обратился пациент больницы. Он объяснил, что вышел на несколько минут, а когда вернулся, не обнаружил в палате планшет и своего соседа. Как оказалось, пока мужчины не было, другой больной забрал планшет, связал несколько простыней и по ним сбежал через окно.",Пациента обокрали.,entailment,not_entailment,0.18242551
"Всё предельно прозрачно и не требует на первоначальном этапе никаких затрат. Также обращайте внимание на то, как давно работает компания и узнаваема ли в отрасли.",Компания работает в отрасли давно.,not_entailment,entailment,0.18242551
"Здесь выросли несколько куч песка и гравия, которые на легковом авто объехать не представлялось возможным.",Объехать кучи возможно на легковом авто.,not_entailment,entailment,0.18249835
"Сегодня к экономии средств активно подключаются муниципальные образования, поскольку имеется республиканская поддержка.",Республика поддерживает экономию образования.,not_entailment,entailment,0.18257123
"""Сергей Удальцов своей вины не признал, он заявил, что все обвинения в его адрес незаконны. """"Я считаю, что обвинения мне предъявлены незаконно, потому что я был задержан до официального завершения митинга, в 21:55. Соответственно претензии о том, что планировалось шествие, несостоятельны, так как любые действия должны оцениваться по факту совершения, а не по предположению"""".""",Сергея Удальцова задержали после митинга.,not_entailment,entailment,0.182717
"С такими словами он выступил на заседании коллегии Минобороны. «Можно с уверенностью сказать: мы сегодня сильнее любого потенциального агрессора», - сказал Путин. При этом он призвал военное ведомство не расслабляться, поскольку при малейшей оплошности угроза может застать врасплох.",Путин призвал военное ведомство расслабиться.,not_entailment,entailment,0.18381329
"Экстренные службы проводят спасательные работы с четверга без перерыва. По прибытии они обнаружили двоих мужчин – очевидцев трагедии. Во время схода лавины пострадавшие были на улице, и видели все происходящее со стороны.","Очевидцы были в здании, когда сошла лавина.",not_entailment,entailment,0.18432663
"""По словам президента, во всем мире референдумы используются достаточно редко, потому что сложна процедура их организации, а последствия референдумов зачастую могут привести к расколу общества. Но по некоторым вопросам, по его мнению, обязательно нужно узнать точку зрения большинства населения страны. """"Сделать это с использованием существующих технологий очень сложно, потому что это дорого и неэффективно"""".""","По мнению президента, по ряду вопросов обязательно нужно узнать точку зрения половины населения страны.",not_entailment,entailment,0.18447348
"Трое молодых людей, из числа ранее судимых, совершили 23 кражи из гаражей и дачных участков. Вначале, они при помощи топора разобрали крышу пристроя к магазину поселка Железнодорожный, проникли на склад продуктов и собрались вынести бутылки с пивом и подсолнечным маслом, несколько пачек пряников, печенье, вермишель и наборы карамели. Однако увести награбленное они не смогли, так как их спугнула охрана.",Четверых преступников спугнула охрана.,not_entailment,entailment,0.1850619
"""Сергей Удальцов своей вины не признал, он заявил, что все обвинения в его адрес незаконны. """"Я считаю, что обвинения мне предъявлены незаконно, потому что я был задержан до официального завершения митинга, в 21:55. Соответственно претензии о том, что планировалось шествие, несостоятельны, так как любые действия должны оцениваться по факту совершения, а не по предположению"""".""",Сергея Удальцова задержали во время шествия.,not_entailment,entailment,0.1850619
"""""""Я надеюсь, они услышат. Это касается премий, доходов.... Нужно понимать, в какой стране мы живем, и не раздражать людей"""", - подчеркнул президент. Позже он добавил: """"То, что пресса """"пощипывает"""" представителей крупного бизнеса и чиновников - это хорошо"""".""","""Президент расстроен, что пресса """"пощипывает"""" чиновников и представителей крупного бизнеса.""",not_entailment,entailment,0.18543036
"Защитник заявил ходатайство об избрании в отношении Дмитриевой иной меры пресечения - в виде залога, домашнего ареста или подписки о невыезде. По словам адвоката Алексея Акимова, Нелли Дмитриева находится под стражей незаконно, при рассмотрении ходатайства о ее аресте суд не рассмотрел вопрос о наличии событий и факта преступления и не изучил дополнительные доказательства. По мнению защитника, следователь Дмитриева не имела возможности совершить какие-то противоправные действия, так как уголовное дело, за прекращение которого она якобы получила взятку, не находилось в ее производстве.",Следователя обвиняют в даче взятки.,not_entailment,entailment,0.18550412
"""По мнению главного экономиста Альфа-банка Наталии Орловой, у Кудрина не получилось сделать бюджет источником экономического роста с помощью инвестиций. """"Не думаю, что это колоссальный провал, так как всегда считалось, что бюджетная политика - не самый подходящий инструмент для инвестиций"""".""",Бюджетная политика - едва ли не самый подходящий инструмент для инвестиций.,not_entailment,entailment,0.18565173
"На них горожане могут купить хвойные деревья и лапник, пишет пресс-служба администрации.",Горожане купили хвойные деревья и лапник.,not_entailment,entailment,0.1858733
