premise,hypothesis,label,methods,n_methods
"Соревнования прошли в бескомпромиссной борьбе, но в этот день случилось более знаковое событие, которое затмило все остальные.",События были бескомпромиссными,not_entailment,"cleanlab, datamaps, ds2",3
"Сначала необходимо законсервировать здание, просушить - здесь полно воды, провести экспертизу и понять, сколько это будет стоить, и начинать ремонт.",В здании недостаточно воды.,not_entailment,"cleanlab, ds2",2
"Получить деньги он не успел, был задержан.",Он так и не подержал в руках деньги.,entailment,"cleanlab, datamaps",2
"Тогда к стражам правопорядка обратился пенсионер, поскольку у него из дома пропала крупная сумма денег.",У пенсионера в доме раньше была крупная сумма денег.,entailment,"cleanlab, ds2",2
"Авария произошла на ровном месте, машина будто поскользнулась на снежной дороге и оказалась на крыше.",Машина попала в аварию.,entailment,"cleanlab, ds2",2
"""Три участницы панк-группы Pussy Riot, приговоренные судом к двум годам лишения свободы за акцию в храме Христа спасителя, получили то, что хотели, заявил президент РФ Владимир Путин в специальном фильме программы """"Центральное телевидение"""" на НТВ в воскресенье. """"На самом деле правильно, что их арестовали, и правильно сделали, что суд у нас такое решение принял. Потому что нельзя подрывать основы морали, нравственности, разрушать страну"""".""",Суд принял решение отпустить на 2 года участниц группы Pussy Riot.,not_entailment,"cleanlab, ds2",2
"""""""И если через три года у меня будет шанс не только принять участие в выборах, но и выиграть, я такой возможности не исключаю"""", - отметил он. Что же касается оппозиции и активных протестов, то их бизнесмен и политик считает более непродуктивными. """"Что касается участия в протестах, я в них участия лично принимать не буду, потому что я не вижу позитивной повестки"""", - сказал он.""",Бизнесмен и политик планирует принять участие в протестах.,not_entailment,"cleanlab, datamaps",2
"""""""Система аккредитации - это ключевой инструмент допуска на рынок. Мы сейчас готовим закон об аккредитации, который весной хотим внести в Госдуму"""", - сказала она. """"Этот закон очень важен, потому что он будет предусматривать переход на международные стандарты аккредитации"""", - сказала она.""",Она сказала о бесполезности закона.,not_entailment,"cleanlab, ds2",2
"Когда мужчине стало плохо, дежурившие спасатели поспешили на помощь.",Мужчине стало плохо не из-за спасателей.,entailment,"cleanlab, datamaps",2
"В декабре минувшего года в надзорный орган пришел мужчина, который больше года скрывался от правосудия.",Мужчина сам пришел в надзорный орган.,entailment,"cleanlab, datamaps",2
"""""""От своих действий я не отказываюсь, я стрелял, но, видит Бог, ничьей смерти я не хотел. Я просто хотел предотвратить нападение на меня, - сказал Черкесов. - Я ходатайствовал о суде присяжных, потому что хотел, чтобы меня судил народ"""".""","Черкесов утверждает, что не хотел ничьей смерти.",entailment,"cleanlab, datamaps",2
"Сборка уникального аттракциона шла такими темпами, что конструкция быстро обрела очертания громадного колеса.",Уникальный аттракцион собрали быстро.,entailment,"cleanlab, ds2",2
"Полиция ведет расследование, в то время как отчаявшийся отец малышек угрожает врачам расправой.",Отчаявшийся отец малышек расправился с врачами.,not_entailment,"cleanlab, ds2",2
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Мужчина опубликовал музыкальные записи в Сети с экстремистским подтекстом.,not_entailment,"cleanlab, datamaps, ds2",3
"Чиновники обещают, что все бригады будут функционировать в круглосуточном режиме «Повышенной готовности».","Есть вероятность, что все будет так, как обещали чиновники.",entailment,"cleanlab, ds2",2
"""Возраст людей определить не смог. Их лица были закрыты капюшонами, - рассказал журналисту """"Комсомольской правды""""-Саратов один из автолюбителей, проезжавших на мосту. - Со стороны обоих городов образовалась пробка, так как прибывшие машины спасателей и полиции перегородили полосу движения.""",Люди прятали лица под капюшонами.,entailment,"cleanlab, datamaps, ds2",3
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Прошедший год был для отрасли лучшим.,not_entailment,"cleanlab, datamaps, ds2",3
"Предприниматели продолжают устанавливать незаконные постройки, однако власти города на примере Сенной площади уже доказали, что лучше не спорить и убрать свое добро самостоятельно.",Предприниматели иногда возводят строения незаконно.,entailment,"cleanlab, datamaps",2
"""""""Я просто хотела попробовать покрытие, хотела выступить на чемпионате России и провериться - у меня было мало стартов в этом сезоне. Я то болела, то ногу лечила, поэтому не могла сделать столько стартов, сколько мы планировали с тренером. Здесь я хочу просто попрыгать в удовольствие, так как норматив у меня есть"""".""","Мы с тренером планировали меньше стартов, чем я сделала в этом сезоне.",not_entailment,"cleanlab, datamaps",2
"""Эта реплика пришлась не по душе экс-министру финансов Алексею Кудрину, который сказал журналистам, что """"это отношение к протесту неверное, я с таким отношением не согласен, потому что сотни тысяч людей не вышли бы (на митинги за деньги - ИФ)"""". Впрочем, сам В.Путин, несмотря на возросшую политическую активность бывшего соратника по правительству, по-прежнему считает его другом и членом своей команды, которому еще найдется место в строю. В общем и целом, по словам премьера, протесты в рамках закона полезны, потому что не дают чиновникам расслабиться (""""потому что власть далеко не всегда правильно себя ведет и адекватно отвечает на вызовы времени""""), но уклон в сторону """"цветных революций"""" недопустим (""""позволить себя втянуть в какие-то схемы по дестабилизации общества, вот это, мне кажется, неправильно"""").""",Кудрину реплика понравилась.,not_entailment,"cleanlab, datamaps",2
"После этого мужчина развернулся и поспешно покинул здание вокзала. Стражам порядка такое поведение показалось подозрительным, и они задержали мужчину. При личном досмотре, выяснилось, что у него в нагрудном кармане лежат семь патронов.",Мужчина украл из здания вокзала семь патронов.,not_entailment,"cleanlab, ds2",2
"По традиции мы отмечаем их в семейном кругу. Желаем родным и близким людям счастья. Провожая уходящий год, каждый из нас вспоминает его яркие моменты, надеется на добрые перемены и мечтает о будущем.",Каждый из нас мечтает о будущем в семейном кругу.,not_entailment,"cleanlab, datamaps",2
"Видимо, ему стало скучно в незнакомом городе, и он решил развлечься. Мужчина посчитал, что его не найдут, позвонил в полицию и рассказал, что одна из улиц города заминирована. - Сотрудниками полиции данный звонок был проверен, установлено, что вызов ложный, возбуждено уголовное дело, - комментируют в пресс-службе суда.",Одна из улиц города была заминирована.,not_entailment,"cleanlab, ds2",2
"""""""Я попросил их продолжать работу и не снижать темпов, крайне противно было"""", — посетовал глава президентской администрации. """"Ну, терпел. Я не подавал виду, потому что я понимал, что если я начну подавать вид, это приведет к настороженности и попытке замести следы"""", — добавил он.""","Глава президентской администрации признался, что ему было крайне противно не снижать темпов.",not_entailment,"cleanlab, datamaps",2
"""""""Думаю, нужно будет смотреть в каждом конкретном случае, так как не любое здание годится в качестве жилого дома"""", - заявил Шаронов в интервью """"Российской газете"""", которое будет опубликовано во вторник.""","""Шаронов взял интервью у редактора """"Российской газеты""""""",not_entailment,"cleanlab, ds2",2
"После того как клиент оформит подписку на сервис, он будет получать уведомления о наличии штрафов автоматически.",Клиент может подписаться на автоматическую оплату штрафов.,not_entailment,"cleanlab, ds2",2
"Мероприятие прошло без инцидентов. По итогам акции был составлен административный протокол, так как количество участников превысило заявленное число.",Акция прошла без нарушений.,not_entailment,"cleanlab, datamaps, ds2",3
"Здесь выросли несколько куч песка и гравия, которые на легковом авто объехать не представлялось возможным.",Кучи песка и гравия перегородили дорогу машине.,entailment,"cleanlab, datamaps",2
"12 декабря междуреченский городской суд вынес приговор за четыре мошенничества с чужими квартирами, которые совершил 32-летний мужчина.",32-летний мужчина мошенничал на рынке жилья.,entailment,"cleanlab, datamaps",2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил обеих сестер в одно и то же место.,entailment,"cleanlab, ds2",2
"""С ним было сложно работать, но всегда интересно"""", - добавила она. Отвечая на вопрос, какие изменения могут произойти в эти дни с уходом Кудрина с поста министра финансов, Набиуллина заявила, что """"политика и приоритеты политики определяются президентом, правительством, и мы будем их реализовывать"""". """"Но, наверное, какие-то возможны изменения, потому что уходит фигура такого масштаба"""", - сказала министр.""","Набиуллина отметила, что с уходом Кудрина изменений не будет.",not_entailment,"cleanlab, datamaps",2
"""Была установлена личность подозреваемого - 27-летнего мужчины. По словам задержанного, он был давно влюблен в жену убитого и различными способами добивался ее внимания. """"Так как женщина не хотела с ним общаться, он решил похитить ее мужа"""", - говорится в сообщении.""",27-летний мужчина похищен.,not_entailment,"cleanlab, datamaps",2
"Сегодня к экономии средств активно подключаются муниципальные образования, поскольку имеется республиканская поддержка.",Республика поддерживает экономию образования.,not_entailment,"cleanlab, datamaps",2
"За несколько лет сумма накопилась огромная, но должник не спешил платить.",Сумма копилась веками.,not_entailment,"cleanlab, ds2",2
"""""""Мы видели значительное количество очень посредственных команд на Чемпионате Европы во Франции, а здесь ещё почти что на треть возрастёт количество команд, которые не будут в своём составе иметь футболистов высокого международного класса», — цитирует Колоскова радиостанция «Говорит Москва». Помимо этого, возрастёт нагрузка «на выдающихся футболистов, которых в мире единицы», считает эксперт. Это произойдет, так как новый регламент значительно сокращает перерывы между играми в финальном турнире.""",Новый регламент немного уменьшает перерывы между играми в финальном турнире.,not_entailment,"cleanlab, datamaps",2
"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из России в Сирию противовоздушных оборонительных средств.,entailment,"cleanlab, datamaps",2
"Экстренные и коммунальные службы города перешли на круглосуточный режим работы. Автомобилистов просят не выезжать без необходимости, особенно без зимней резины. В ближайшие дни морозы на курорте ослабнут, к конце недели столбики не будут опускаться ниже ноля, сообщают синоптики.",Морозы вот-вот ослабнут.,entailment,"cleanlab, ds2",2
"Вместе с ними пропали также юбилейные медали, памятные и нагрудные знаки, грамоты. Очень хочется надеяться, что бабушка просто забыла, куда в последний раз положила награды — и они в конце концов найдутся. Но все может быть: мало ли, награды и правда могли похитить.","Бабушка забыла, куда дела награды.",not_entailment,"cleanlab, datamaps",2
"Учащийся политехнического техникума, находясь в состоянии алкогольного опьянения, избил, а затем ограбил прохожего. В итоге потерпевший получил многочисленные ушибы и перелом носа, а также лишился пяти тысяч рублей. Как выяснилось позже, подросток, совершивший разбойное нападение, уже имел условный срок по предыдущему приговору.","Подросток оказался не просто преступником, а преступником-рецидивистом.",entailment,"cleanlab, datamaps",2
"Со страницы его друга в социальной сети пришло сообщение с просьбой перевести пять тысяч рублей. Отзывчивый приятель выполнил просьбу, а потом перезвонил, чтобы поинтересоваться, как дела у попавшего в беду. Тот заверил, что понятия не имеет, о каких деньгах идёт речь.",Отзывчивый приятель получил пять тысяч рублей.,not_entailment,"cleanlab, datamaps",2
"Когда силовики стали досматривать автомобиль, то обнаружили в нем подозрительный пакет с порошком внутри, который был отправлен на экспертизу.",Автомобиль был отправлен на экспертизу.,not_entailment,"cleanlab, datamaps, ds2",3
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.",Налетчика судили и раньше.,entailment,"cleanlab, ds2",2
"Как сообщает региональная прокуратура, в 2016 году обвиняемый обманным путем приобрел здание неэксплуатируемой котельной, расположенной в Автозаводском районе и находящейся на балансе администрации. После этого мошенник за 1 млн рублей продал здание своим знакомым предпринимателям, которые открыли там столовую. Покупатели не заметили подвоха, поскольку у нечистого на руку продавца были все документы.",Мошенник запасся всеми документами.,entailment,"cleanlab, datamaps",2
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",У мальчика были синяки или ссадины.,entailment,"cleanlab, datamaps, ds2",3
"Он сделал это только после того, как его лишили водительских прав, сообщает пресс-служба краевого управления Федеральной службы судебных приставов.",Он всё-таки сделал это.,entailment,"cleanlab, datamaps",2
"""Он добавил, что поскольку письмо было оформлено с нарушениями, оно отправлено заявителю для устранения """"недостатков"""".""",Письмо вернулось к заявителю.,entailment,"cleanlab, ds2",2
"Я здесь все взорву! – такую фразу часто можно услышать в захватывающих боевиках. Но вряд ли кто-то обрадуется, когда такое прозвучит от неизвестного человека в обычной жизни.","""Кто-то обрадуется, услышав фразу """"Я здесь все взорву!"""" от неизвестного человека в обычной жизни.""",not_entailment,"cleanlab, datamaps",2
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был ключарь.,entailment,"cleanlab, ds2",2
"Как сообщил источник в правоохранительных органах, начальник полиции уже подал рапорт о своем увольнении.",Источник сообщил о местонахождении начальника полиции.,not_entailment,"cleanlab, datamaps, ds2",3
"В дежурную часть отдела полиции Пролетарского района поступило сообщение о том, что на одной из улиц города неизвестный похитил у гражданина мобильный телефон, - рассказали в правоохранительных органах.",Неизвестный отжал у гражданина мобильник.,entailment,"cleanlab, ds2",2
"Любишь рыбку ловить, люби и штрафы платить.",Рыбная ловля может стать причиной штрафа.,entailment,"cleanlab, datamaps",2
"Медицинская помощь понадобилась не четырем, как сообщали ранее, а шести женщинам.","""""""Скорая помощь"""" потребовалась шести женщинам.""",not_entailment,"cleanlab, datamaps",2
"Врачи диагностировали у мужчины перелом плеча и травму тела, которые оцениваются как вред здоровью средней тяжести.",У мужчины сломано плечо.,entailment,"cleanlab, datamaps, ds2",3
"В решении суда отмечается, что действия журналистки вызвали «негодование и возмущение» в обществе.",Решение суда касалось оценки действий общества журналисткой.,not_entailment,"cleanlab, datamaps",2
"""Начиная от магазина """"Крейсер"""", скопилась крупная пробка, так как троллейбусы объехать затор не могут.""",Пробка была незначительной.,not_entailment,"cleanlab, ds2",2
"Между тем в кредитной организации заверили, что проблемы возникли с «незначительным» числом устройств самообслуживания (УС).",В кредитной организации приуменьшили масштаб проблемы.,entailment,"cleanlab, datamaps",2
"На заседании областного Совета при губернаторе по развитию физической культуры и спорта чиновники отметили, что прошедший год был для отрасли успешным.",Чиновники довольны итогами года.,entailment,"cleanlab, ds2",2
"""""""В зависимости от того, какое решение будет принято премьером, президентом, я буду принимать решение, откликаться. Хотя я сказал, что, наверное, на их месте я бы учел первое соображение, а именно, что необходима определенная рокировка, и попробовал бы поставить каких-то новых людей"""", - заявил Фурсенко в онлайн-интервью """"Газете.ru"""". По его словам, он остается """"долгожителем"""" среди министров образования и науки разных стран - и западных, и восточных, и южных, однако """"на таких постах так долго не живут"""", поскольку это """"направление, которое требует постоянных изменений"""".""",Фурсенко пообещал не принимать решения без учета мнений премьера и президента.,entailment,"cleanlab, ds2",2
