premise,hypothesis,label,methods,n_methods
Таксист поблагодарил водителя трамвая за помощь.,Таксист водил трамвай.,not_entailment,ds2,1
"Это является тяжким вредом здоровью. После этого на подозреваемого завели уголовное дело. Полицейским удалось узнать, что мобильник он сдал в местный ломбард, а сам уехал за пределы области.",Составлен административный протокол.,not_entailment,ds2,1
"Сведения о том, что запрет на посещение соцсетей мог стать причиной трагедии, не подтвердились. Напомним, что тело мальчика в доме обнаружил отец.",Запрет на посещение соцсетей стал причиной трагедии.,not_entailment,cleanlab,1
"Затем машину откинуло на полосу встречного движения на Isuzu Forward. - В результате аварии водитель автомобиля Nissan Tino и его два пассажира, среди которых была малолетняя девочка, от полученных травм скончались на месте происшествия, - сообщили «КП-Владивосток» в прокуратуре Приморского края. Суд слушался в особом порядке так как обвиняемый полностью признал свою вину.",В аварии погибли трое.,entailment,cleanlab,1
"Саудовская Аравия сообщила ВОЗ, по крайней мере, о двух случаях заражения медработников в результате контакта с пациентами. Однако точно сказать, каким образом происходит передача,  ученые пока не могут. Вероятно, вирус передается только при очень тесном контакте, так как случаи заражения от человека к человеку происходили пока только в узком кругу: между членами семей и между больными и медицинскими работниками.",Вирус передается только при очень тесном контакте.,not_entailment,cleanlab,1
"Темы, которые сегодня активно обсуждают делегаты съезда - «Экономика роста и благосостояния», «Здоровое будущее», «Социальная политика», «Умная сила и культурное лидерство», «Качество государства», «Аграрная сверхдержава», «Быть хозяином в собственном доме». Делегаты из Пензенской области работают на всех площадках. Им есть что сказать по каждой из обозначенных на съезде тем, поскольку среди них есть врачи, учителя, общественные деятели и политики со стажем.",Делегаты из Пензенской области обсуждают все темы на закрытых площадках.,not_entailment,cleanlab,1
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.","Специалисты верят, что птиц будет больше.",entailment,ds2,1
"Как рассказали в краевой полиции, еще летом прошлого года молодой человек за денежное вознаграждение осуществил фиктивную постановку на учет шести иностранных граждан, указав в месте пребывания свой дом. В действительности граждане в этом жилом помещении не проживали. Обвиняемый объяснил, что решился на преступление, так как не имел постоянно работы и нуждался в деньгах.",Парень осуществил фиктивную постановку иностранцев на учет.,entailment,ds2,1
"""""""Сегодня поисковая операция была прекращена, так как она стала слишком опасной"""", - сказал он на условиях анонимности.""",Поисковая операция стала слишком опасной.,entailment,ds2,1
"Как сообщает пресс-служба городской администрации, ремонтная бригада производит замену задвижки в камере, принадлежащей «Т Плюс» в районе стадиона «Динамо».","""Как минимум одна из камер в районе стадиона """"Динамо"""" принадлежит """"Т Плюс"""".""",entailment,"cleanlab, datamaps",2
"Соревнования прошли в бескомпромиссной борьбе, но в этот день случилось более знаковое событие, которое затмило все остальные.",События были бескомпромиссными,not_entailment,"cleanlab, datamaps, ds2",3
"""""""Это решение можно было принять и раньше. Однако о возможности перемен говорили уже давно - это было ожидаемо"""", - сказала Смородская в интервью корреспонденту пресс-центра Министерства спорта РФ. """"На мой взгляд, это движение в правильном направлении, так как оно приводит к здоровой конкуренции"""".""",Смородская осуждает выбранное направление движения.,not_entailment,cleanlab,1
"Как сообщалось, в среду и четверг Наполитано провел консультации с лидерами представленных в парламенте партий, чтобы выяснить, готовы ли они договориться. На недавних парламентских выборах больше всего голосов набрала Демократическая партия. Однако она не может без помощи других партий управлять страной, так как не обладает большинством в сенате.",Наполитано два дня консультировал политиков по всем вопросам.,not_entailment,ds2,1
"Как сообщили в правительстве области, на ней можно будет купить товары местных производителей.","В правительстве области сообщили, где можно будет приобрести товары местных производителей.",entailment,ds2,1
"Сначала необходимо законсервировать здание, просушить - здесь полно воды, провести экспертизу и понять, сколько это будет стоить, и начинать ремонт.",В здании недостаточно воды.,not_entailment,"cleanlab, ds2",2
"""Начиная от магазина """"Крейсер"""", скопилась крупная пробка, так как троллейбусы объехать затор не могут.""",Пробка была большой.,entailment,ds2,1
"""Четвертого июля ракету планируется вывезти на стартовый комплекс и запустить с космическим аппаратом связи Sirius 5 (SES-5) в 22:23 мск 7 июля. Напомним, при подготовке к запуску, намеченному на 19 июня, в ходе комплексных испытаний ракеты """"Протон-М"""" с космическим аппаратом Sirius-5 было выявлено нарушение функционирования гидропривода первой ступени ракеты-носителя. Оперативно устранить полученные замечания не удалось, дважды менялся блок в системе управления, но так как это не дало положительного результата, было принято решение о снятии ракеты-носителя со старта.""",Полученные замечания быстро устранить не вышло.,entailment,cleanlab,1
"В ограблении кафе на Ладожском вокзале пострадала несовершеннолетняя девушка, которая была здесь на стажировке.",Кафе на Ладожском вокзале ограбили.,entailment,ds2,1
"Областной главк полиции сообщает о том, что в регионе проходит операция «Гражданин – Оружие».",Главк полиции сообщил об операции.,entailment,ds2,1
"Получить деньги он не успел, был задержан.",Он так и не подержал в руках деньги.,entailment,"cleanlab, datamaps",2
"""О какой именно авиабазе идет речь, собеседник агентства не уточнил. Между тем посольство РФ в Кабуле не располагает информацией о том, что опасно сблизившийся с российским авиалайнером самолет принадлежит дислоцированным в Афганистане иностранным военным. Пресс-атташе российской дипмиссии Степан Аникеев заявил, что посольство не намерено самостоятельно обращаться к афганским властям или командованию МССБ за разъяснениями относительно этого инцидента. """"Мы точно не будем этого делать, потому что это — частная компания, и это ее дело"""".""",Военный самолет опасно сблизился с боевым вертолетом.,not_entailment,cleanlab,1
"Тогда к стражам правопорядка обратился пенсионер, поскольку у него из дома пропала крупная сумма денег.",У пенсионера в доме раньше была крупная сумма денег.,entailment,"cleanlab, ds2",2
"У водителя накопилось неоплаченных штрафов ГИБДД на общую сумму более 186 тысяч рублей. Минимальная сумма штрафа составляет 300 рублей, максимальная - 5 тысяч рублей. Поскольку водитель оплатил лишь часть долга, было возбуждено исполнительное производство и судебные приставы наложили арест на автобус.",Приставы забрали у мужика автобус.,entailment,cleanlab,1
"Авария произошла на ровном месте, машина будто поскользнулась на снежной дороге и оказалась на крыше.",Машина попала в аварию.,entailment,"cleanlab, ds2",2
"По словам очевидцев, злоумышленников было около десятка, и они внезапно появились из-за памятника.",Очевидцы видели злоумышленников.,entailment,ds2,1
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" выгнал Алексея Иванова.""",entailment,cleanlab,1
"Тем, кто посетит избу новогоднего волшебника, предлагают сфотографироваться с ним и загадать желание.",Новогодний волшебник живет в избе.,entailment,cleanlab,1
"Оказалось, вспыхнула однокомнатная квартира.",Однокомнатные квартиры часто вспыхивают.,not_entailment,ds2,1
"Его тут же осмотрели медики, оказали первую помощь, но от госпитализации он отказался. Пожар удалось быстро локализовать, огонь не успел перекинуться на соседние дома. Сейчас специалистам предстоит установить, что стало причиной возгорания.",Огонь перешел на соседние дома.,not_entailment,ds2,1
"В селе Доброе Липецкой области в огороде местной жительницы сотрудники полиции раскопали труп неизвестного человека, который уже превратился в скелет.",В огороде вырос труп.,not_entailment,cleanlab,1
"Самки и самец расположились в соседних вольерах, но между ними проложили небольшой проход. Места там хватит, чтобы самки могли пройти, а вот самец уже не поместится. Это сделано для того, чтобы у птиц не возникало конфликтов во время брачного периода и самки могли отдохнуть от внимания кавалера.",У птиц не бывает конфликтов.,not_entailment,cleanlab,1
"""""""Это очень важно, что тысячи людей сейчас заявляют о своем желании быть наблюдателями. Это значит, что процесс наблюдения будет вестись не только Советом Европы, БДИПЧ. Это важно, потому что они нам помогут"""", - сказал он.""",Тысячи людей стремятся в наблюдатели.,entailment,ds2,1
"Он хотел купить через интернет лодочный мотор, а попался на аферистов.",Он купил через интернет аферистов.,not_entailment,cleanlab,1
"""По словам россиянина, перед ним стояла задача - финишировать впереди """"Форс Индии"""". """"Мы начали гонку на покрышках средней жесткости. И я старался отстоять свою позицию на старте, так как все в основном были на мягких шинах"""".""","""Россиянин финишировал впереди """"Форс Индии"""".""",not_entailment,cleanlab,1
"""""""Им будет предоставлено, уже сейчас вопрос решен, жилье"""", - сказал В.Голубев. """"Основная часть работ, несомненно, это остекление, некоторые виды ремонта и наведение порядка, может быть, уже в дворовых территориях. Потому что есть места, которые залиты маслом"""", - рассказал губернатор.""","Губернатор подтвердил, что пятна масла с дворовых территорий удалены.",not_entailment,cleanlab,1
"""ЛГБТ-активисту Николаю Алексееву, который был признан виновным в пропаганде гомосексуализма, стоит обратиться в Конституционный суд РФ, считает член Общественной палаты РФ, президент адвокатской палаты Москвы Генри Резник. """"Николаю Алексееву надо идти обжаловать вынесенное решение в кассационном суде, а затем обращаться в Конституционный суд, который, скорее всего, признает питерский закон о запрете пропаганды гомосексуализма неконституционным"""", - сказал Резник в пятницу """"Интерфаксу"""". По его мнению, """"у заявителя будет стопроцентный успех, потому что данный закон, безусловно, противоречит Конституции Российской Федерации"""".""",Адвокат Генри Резник снял с ЛГБТ-активиста обвинения в пропаганде гомосексуализма.,not_entailment,cleanlab,1
"""Три участницы панк-группы Pussy Riot, приговоренные судом к двум годам лишения свободы за акцию в храме Христа спасителя, получили то, что хотели, заявил президент РФ Владимир Путин в специальном фильме программы """"Центральное телевидение"""" на НТВ в воскресенье. """"На самом деле правильно, что их арестовали, и правильно сделали, что суд у нас такое решение принял. Потому что нельзя подрывать основы морали, нравственности, разрушать страну"""".""",Суд принял решение отпустить на 2 года участниц группы Pussy Riot.,not_entailment,"cleanlab, ds2",2
"""Угроза взрыва на Комсомольской площади перед Ярославским вокзалом оказалась ложной. Как сообщил журналистам начальник ГУ МВД по Москве Владимир Колокольцев, """"гражданин оставил свою машину и ушел по своим делам"""". """"Было основание полагать, что эта машина несет угрозу, так как на заднем сиденье была бочка с краской"""", - сказал он.""",Бочка с краской представляла угрозу.,not_entailment,cleanlab,1
"""""""И если через три года у меня будет шанс не только принять участие в выборах, но и выиграть, я такой возможности не исключаю"""", - отметил он. Что же касается оппозиции и активных протестов, то их бизнесмен и политик считает более непродуктивными. """"Что касается участия в протестах, я в них участия лично принимать не буду, потому что я не вижу позитивной повестки"""", - сказал он.""",Бизнесмен и политик планирует принять участие в протестах.,not_entailment,"cleanlab, datamaps",2
"Четыре сотрудника получили травмы различной степени тяжести, одного даже пришлось госпитализировать.",Четыре сотрудника травмированы.,entailment,ds2,1
"Молюсь за обоих. Просто хочу обнять своего сына, а прав он или виноват - пусть скажет следствие. Хочется сказать всем оскорбляющим милицию: опомнитесь, милиционеры - это не безликие роботы в форме.",Кто-то оскорбил милицию.,entailment,cleanlab,1
"Как сообщает пресс-служба учреждения, влюбленные смогут пройти по одному билету, если признаются в своих чувствах в присутствии кассира.",Влюбленные должны признаться в своих чувствах к кассиру.,not_entailment,cleanlab,1
"Парни, как выяснилось, ушли из дома во Владимирской области, не поставив в известность родителей.",Парни ушли тайком от родителей.,entailment,cleanlab,1
"Улицы частично оказались затоплены, но в ночь отключать тепло в жилых домах не стали.",Улицы совсем затопило.,not_entailment,cleanlab,1
"Как сообщила в понедельник газета Daily Telegraph, ожидается, что во вторник законопроект будет отправлен на окончательное согласование в нижнюю палату парламента. Никаких препятствий на пути к окончательному принятию законопроект не должен встретить, поскольку ранее палата общин уже одобрила его первоначальную версию подавляющим большинством голосов.",Палата общин ранее согласовала его первоначальную версию подавляющим большинством голосов.,entailment,ds2,1
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.","Несомненно, он убил жену.",not_entailment,ds2,1
"Пенсионерка рассказала, что ее ограбили.",Пенсионерка сообщила об ограблении.,entailment,ds2,1
"Оно было заброшенным, что там произошло - неизвестно.",Там что-то произошло.,not_entailment,cleanlab,1
"Кроме того, власти Грузии подписали на добровольной основе соглашения  о взаимопонимании, которые тоже полностью выполняют. Что касается отношений непосредственно с представителями грузинской власти, вы знаете, что наша миссия является миссией нейтральной и независимой от грузинских властей, но мы пытаемся, стремимся к тому, чтобы иметь наилучшие отношения со всеми участниками Женевских переговоров. Но, конечно, мы придаем большее внимание отношениям с грузинскими властями, так как были приглашены грузинским государством, и мы находимся на грузинской территории.",Власти Грузии полностью выполняют подписанные соглашения о взаимопонимании.,entailment,ds2,1
"""""""Знакомы ли Вы со своими новыми коллегами – Никитиным, Яблонским, Аветисяном?"""" - """"Да, со всем директорами мы пообщались, и, на мой взгляд, мы очень хорошо друг друга дополняем. Я вам честно скажу, что я бы не смог собрать команду лучше, потому что это тот случай, когда достоинства одних покрывают недостатки других"""".""",У каждого из директоров есть недостатки.,entailment,datamaps,1
"""""""Система аккредитации - это ключевой инструмент допуска на рынок. Мы сейчас готовим закон об аккредитации, который весной хотим внести в Госдуму"""", - сказала она. """"Этот закон очень важен, потому что он будет предусматривать переход на международные стандарты аккредитации"""", - сказала она.""",Она сказала о бесполезности закона.,not_entailment,"cleanlab, ds2",2
"Вместе с ними пропали также юбилейные медали, памятные и нагрудные знаки, грамоты. Очень хочется надеяться, что бабушка просто забыла, куда в последний раз положила награды — и они в конце концов найдутся. Но все может быть: мало ли, награды и правда могли похитить.",Бабушка не может найти награды.,entailment,datamaps,1
"Экстренные службы проводят спасательные работы с четверга без перерыва. По прибытии они обнаружили двоих мужчин – очевидцев трагедии. Во время схода лавины пострадавшие были на улице, и видели все происходящее со стороны.","Очевидцы были в здании, когда сошла лавина.",not_entailment,cleanlab,1
"""Оказалось, здесь не брезговали тухлыми продуктами. - В ходе проверки были обнаружены нарушения санитарных норм, - сообщили """"Комсомольской правде""""-Саратов в пресс-службе областной прокуратуры. - В частности, наши сотрудники выявили просроченные мясные изделия, а также молоко, которое на момент проверки находилось в замороженном состоянии.""",Здесь были тухлые продукты.,entailment,cleanlab,1
"Когда мужчине стало плохо, дежурившие спасатели поспешили на помощь.",Мужчине стало плохо не из-за спасателей.,entailment,"cleanlab, datamaps",2
"Спасатели, к счастью, знали, что надо делать: они позвонили в воронежский Центр помощи диким животным, где часто выхаживают больных птиц. Специалисты центра, к слову, уверяют, что если пернатые попадают в руки к людям, не улетают и, кажется, совсем не боятся людей, значит, с животным что-то не так. Оно может выглядеть совершенно здоровым, но птица, которая дала себя поймать, явно не в идеальной форме.",В воронежском Центре помощи диким животным нередко выставляют больных птиц.,not_entailment,cleanlab,1
Учреждениям культуры рекомендовано отменить или перенести на другое время развлекательные мероприятия. Мероприятия просветительского характера начнутся с минуты молчания по погибшим в авиакатастрофе.,Объявлен траур.,entailment,cleanlab,1
"С 1 февраля 2017 года в многофункциональных центрах можно будет получить общегражданские паспорта, автомобильные права и загранпаспорта старого образца. В скором времени в МФЦ планируется начать выдавать и загранпаспорта нового образца. Нововведение должно значительно упростить жизнь россиян, так как теперь не придется отстаивать длинные очереди или по нескольку дней ждать своей записи.",Длинные очереди останутся в прошлом.,entailment,cleanlab,1
"В Ростове вынесли приговор хозяину продуктового магазина, который сбывал левый алкоголь, отлично зная о его сомнительном происхождении. - Являясь индивидуальным предпринимателем, приобрел в целях дальнейшего сбыта два ящика водки, не имеющей сопроводительной документации, подтверждающей ее происхождение, качество и безопасность для жизни и здоровья человека, - сообщили официальную версию в СУ СК России по Ростовской области. Но сбыть водку ему не удалось, так как вмешались сотрудники правоохранительных органов.",Сотрудники правоохранительных органов не дали ростовчанину сбыть левый алкоголь.,entailment,datamaps,1
"То есть в этой области у нас была большая экспертиза. Начали мы с России. Но очень быстро к нам пришли зарубежные компании, которые сказали, что хотят именно нас пригласить в инвесторы, потому что у нас есть экспертиза и обширные международные связи в облачной индустрии.",Мы не смогли выйти на уровень экспертизы в России и тем более за рубежом.,not_entailment,ds2,1
"Как стало известно, никто не пострадал.",Пострадали многие.,not_entailment,cleanlab,1
"Я и так всегда крайний, - ответил глава администрации. - Отношусь уже ко всему спокойно. Я на данный момент понимаю, что взял на себя большую ношу, но мы за два года сделали достаточно.",Глава администрации удовлетворен результатами двух лет работы.,entailment,datamaps,1
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",У жилого дома в Сухуми взорвался пустой внедорожник.,entailment,ds2,1
"Об этом на своей странице в Facebook сообщил один из сотрудников университета. - Весь профессорско-преподавательский состав мужского пола не зависимо от возраста и званий должен получить эти справки. Это странно, потому что отдел кадров сам не может запросить этот документ, а он, судя по всему, нужен для будущей аккредитации.",Всех мужчин-профессоров в университете заставили самих бегать за справками.,entailment,cleanlab,1
"В декабре минувшего года в надзорный орган пришел мужчина, который больше года скрывался от правосудия.",Мужчина сам пришел в надзорный орган.,entailment,"cleanlab, datamaps",2
"В сентябре утвердили схему размещения щитов, по которым пройдут электронные торги.",По щитам пройдут электронные торги.,entailment,ds2,1
"""При этом он затруднился сообщить, сколько времени может продлиться это отстранение. Сам Губерниев заявил радиостанции """"Эхо Москвы"""", что его отстранение от ведения футбольных программ не повлияет на работу на телеканале. """"Очень сложно меня отстранить от футбольных матчей, потому что я на них редко работаю"""".""",Губерниев отстранен от ведения программ о футболе.,entailment,ds2,1
"15 сентября 2012 г. во второй половине дня в сквере на пл. Свободы при проведении несанкционированного администрацией Нижнего Новгорода митинга сотрудники ОМОН УТ МВД России по ПФО охраняли общественный порядок. Так как публичное мероприятие не было согласовано, полицейские требовали, чтобы собравшиеся разошлись.","Полицейские требовали, чтобы собравшиеся разошлись.",entailment,ds2,1
"2 августа пьяные приятели, шагая по грунтовке, увидели оставленную без присмотра «Ниву». Ребята искали кого-нибудь, чтобы вытащить застрявший неподалеку автомобиль своей подруги, но ждать или искать хозяина внедорожника не стали: просто разбили стекло.",Стекло ребята разбили.,entailment,ds2,1
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области хотят создать «умный регион».,entailment,ds2,1
"Общественный резонанс получил и традиционный Парад Памяти. -Этим парадом мы напомнили россиянам роль Самары в годы Великой Отечественной войны. Это важно, потому что имидж региона работает на его жителей, - уточнил губернатор.",Парад Памяти - новое мероприятие.,not_entailment,ds2,1
"Наполитано подтвердил, что отставка Берлускони ожидается после принятия парламентом Италии пакета антикризисных мер.",Ожидается отставка Берлускони.,entailment,ds2,1
"Ежедневно в плотины поступает всё больше и больше воды, что не может не радовать.",Вода поступает в плотины.,entailment,ds2,1
"Как стало известно, женщина воровала в автобусах либо на остановках транспорта.",Женщина совершала кражи в автобусах либо на остановках транспорта.,entailment,ds2,1
"Сорокалетнего мужчину задержали прямо в подъезде, в тот момент, когда он выходил из лифта.",Сорокалетний мужчина выходил из лифта.,entailment,ds2,1
"""""""От своих действий я не отказываюсь, я стрелял, но, видит Бог, ничьей смерти я не хотел. Я просто хотел предотвратить нападение на меня, - сказал Черкесов. - Я ходатайствовал о суде присяжных, потому что хотел, чтобы меня судил народ"""".""","Черкесов утверждает, что не хотел ничьей смерти.",entailment,"cleanlab, datamaps",2
"Врачи поставили ей диагноз: «алкогольное опьянение». Данным фактом заинтересовалась областная прокуратура. - В настоящее время проводится проверка, выясняются подробности происшествия, а также при каких обстоятельствах был приобретен алкогольный напиток.",Врачи диагностировали алкогольное опьянение.,entailment,ds2,1
"""""""Росатом"""" рассматривает возможность строительства новых энергоблоков на АЭС """"Бушер"""" в Иране, иранская сторона уже высказывала подобное предложение, сообщил глава """"Росатома"""" Сергей Кириенко. """"Мы прорабатываем, соответствующее поручение у нас есть. Поскольку строительство именно атомных энергоблоков не вызывает сомнения у международного сообщества, никаким образом не относится к вопросам чувствительным, поэтому это возможно.""",Строительство атомных энергоблоков не смущает международное сообщество.,entailment,cleanlab,1
"Сборка уникального аттракциона шла такими темпами, что конструкция быстро обрела очертания громадного колеса.",Уникальный аттракцион собрали быстро.,entailment,"cleanlab, ds2",2
"Полиция ведет расследование, в то время как отчаявшийся отец малышек угрожает врачам расправой.",Отчаявшийся отец малышек расправился с врачами.,not_entailment,"cleanlab, ds2",2
"""Уголовное дело возбуждено в связи с крушением самолета Ан-12 в Магаданской области, сообщил официальный представитель Следственного комитета РФ Владимир Маркин. """"Дело возбуждено по статье 263 УК РФ (нарушение правил полетов и подготовки к ним)"""", - сказал Маркин """"Интерфаксу"""" во вторник. По его словам, информация о гибели экипажа и пассажиров судна является предварительной, """"поскольку их тела пока не обнаружены"""".""",Ан-12 куплен для нужд Магаданской области.,not_entailment,ds2,1
"Мужчина опубликовал в Интернете музыкальные записи, которые имели экстремистский подтекст.",Мужчина опубликовал музыкальные записи в Сети с экстремистским подтекстом.,not_entailment,"cleanlab, datamaps, ds2",3
"Она рассказала, что в дверь ее комнаты в общежитии постучали.",У нее комната в общежитии.,entailment,ds2,1
"""Сергей Удальцов своей вины не признал, он заявил, что все обвинения в его адрес незаконны. """"Я считаю, что обвинения мне предъявлены незаконно, потому что я был задержан до официального завершения митинга, в 21:55. Соответственно претензии о том, что планировалось шествие, несостоятельны, так как любые действия должны оцениваться по факту совершения, а не по предположению"""".""",Сергея Удальцова задержали во время шествия.,not_entailment,cleanlab,1
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Я нашел очевидцев.,not_entailment,cleanlab,1
"""""""Я полагаю, что наше послание достаточно четкое в СМИ. Те, кто сожалеет об этом, кто может получить урон, должны поговорить с американцами, чтобы те не совершили  глупость в отношении Ирана. Потому что то, что мы делаем, - это реакция на действия другой стороны"""".""","""""""На наши действия идет неадекватная реакция другой стороны"""".""",not_entailment,cleanlab,1
"В управляющей компании зря надеются, что подобные действия могут пройти безнаказанно.",Подобные действия могут пройти безнаказанно.,not_entailment,cleanlab,1
