premise,hypothesis,label
"""Такое было в практике бывшего Советского Союза и ничего предосудительного я здесь не вижу, если мы не хотим довести это дело до конфликтов"""", - заявил глава правительства. О соперниках на выборах: Путин указал, что бизнесмен Михаил Прохоров - последовательный человек, и, выдвигая свою кандидатуру на президентские выборы, он действует в рамках закона. """"Не хочу сказать, что желаю ему успеха, потому что я тоже собираюсь выдвигать свою кандидатуру, но уверен, что это будет достойный, сильный конкурент"""", - заявил премьер в ходе """"прямой линии"""".""","Путин сказал, что Прохоров - достойный, сильный конкурент на президентских выборах.",entailment
"Огонь распространился очень быстро, в пожаре уже заживо сгорели десятки животных - свиньи и коровы.",В пожаре гибнут люди.,not_entailment
"27 декабря в полицию обратилась жительница Димитровграда, которая сообщила, что стала жертвой мошенников. Она рассказала полицейским, что ей позвонил якобы сотрудник банка. Он сообщил, что, поскольку женщина является их постоянным клиентом, ей положена компенсация.",Мошенник предложил женщине компенсацию от имени государства.,not_entailment
"Напомним, мужчина убил наркомана, ворвавшегося к нему в дом.","Наркоман погиб, ворвавшись в дом к мужчине.",entailment
"Он начинил героином пять стрел, вооружился арбалетом и отправился исполнять задуманное.",В стрелах был яд.,not_entailment
"Сотрудница поезда забыла предупредить людей, что поезд прибывает на станцию Алтайская. В итоге, когда поезд уже тронулся от перрона, проводник скомандовала пассажирам: прыгайте из вагона. - Она настояла на высадке людей из вагона после начала движения поезда, - сообщает Западно-Сибирское следственное управление на транспорте.",Проводница заставила пассажиров прыгать из вагона на ходу.,entailment
"Животное пыталось выбраться, но сил уже не хватало. Девушки подбежали к проруби, начали подзывать собаку к себе. Когда она подплыла поближе, они вытащили ее из воды.",Собака купалась в проруби.,not_entailment
"""Мэр Москвы Сергей Собянин поручил восстановить сгоревший дом культуры """"Октябрь"""". """"Давайте восстановим его"""",- сказал Собянин на совещании в префектуре Северо-Западного административного округа столицы во вторник. Он отметил, что дом культуры должен находиться в том же микрорайоне, где был раньше, поскольку """"люди привыкли к этому месту"""", там было много кружков.""","""Люди сами выберут новое место для дома культуры """"Октябрь"""".""",not_entailment
"""""""Но честно, объективно и по решению суда"""", - заявил Бастрыкин в интервью """"Интерфаксу"""". Отвечая на вопрос об обысках и вызове на допрос лидеров оппозиции, глава СКР подчеркнул, что они пока находятся в статусе свидетелей. """"Это совершенно нормальное состояние, потому что мы не имеем достаточных доказательств, чтобы перевести их хотя бы в статус подозреваемого либо обвиняемого"""".""","Как только появляются доказательства, свидетелей переводят в Москву.",not_entailment
"Петербургские полицейские вчера в Невском районе города задержали мошенника, который за свои преступления находился в межгосударственном розыске.",Полицейские воспитали мошенника.,not_entailment
"Аргументом данного решения стало то, что мэр не может выдавать подобные распоряжения. Согласно распоряжению мэра, должно было быть приобретено до 50 единиц, но денег хватало только на 30. Эти автобусы нужно было купить еще несколько лет назад. Так как у всех автобусов, имеющихся в наличии, истек срок эксплуатации.",Мэр распорядился купить до 50 автобусов.,entailment
"В августе прошлого года пара была дома, обвиняемый был пьян и затеял ссору с женщиной.",Обвиняемый ссорился с пьяной женщиной.,not_entailment
"Для этого они изучили запросы, которые делали все эти дни жители Дона.",Все эти дни жители Дона только и делали запросы.,not_entailment
"Жительница Новосибирска сильно ударилась при падении головой. Спасатели сразу же передали ее бригаде скорой помощи. - Спасатели МАСС призывают граждан города соблюдать меры безопасности при активном отдыхе, так как количество обращений с различными травмами увеличилось, - пишут об осторожности в группе «Спасатели МАСС».",Женщина из Новосибирска упала.,entailment
"""""""Накануне во время ознакомления с административным делом адвокат Удальцова Николай Полозов вырвал пять листов из дела, в том числе протокол об административном правонарушении, протокол о доставлении, а также протокол об административном задержании, после чего разорвал их на маленькие кусочки и передал депутату Госдумы Илье Пономареву, который их съел"""", - сказал собеседник агентства. После этого во время рассмотрения дела сторона Удальцова заявила, что уничтоженных документов в деле не было. При этом судья, председательствовавшая на заседании, знала о наличии этих документов в деле, так как ознакомилась с ним заранее, кроме того, наличие вырванных протоколов подтверждает опись имеющихся документов, прикрепленная к делу.""","Судья заметила, что из административного дела Удальцова пропали несколько протоколов.",entailment
"Московскому институту теплотехники (МИТ) сейчас затруднительно выполнить гособоронзаказ о поставках подвижных ракетных комплексов «Ярс». Речь идет о поставках частей гидравлических систем «Ярса». Подольский электромеханический завод не сможет вовремя снабдить комплекс необходимым оборудованием, поскольку столкнулся с экономическими затруднениями.",МИТ непросто выполнить гособоронзаказ.,entailment
"""""""Что человек заслужил, то и получил"""", - сообщила родственница одной из погибших девушек. В свою очередь, жена осужденного, Оксана Крюкова сообщила журналистам после оглашения приговора, что причиной ДТП стала трагическая случайность. По ее мнению, ее муж не мог предотвратить произошедшее, так как машина была неисправна и руль был заблокирован.""",Родственница одной из погибших девушек недовольна жесткостью приговора.,not_entailment
"""После смерти Владимира Михайловича Кучмия, который возглавлял """"Спорт-Экспресс"""" с момента его основания и до 2009 года, прошло более двух лет, но новый главный редактор так и не назначен. Почему? - Потому что он слишком много для нас значит - это одно.""",Ровно два года назад Владимир Михайлович был жив.,not_entailment
"""""""Скорее всего, это была проверочная закладка с целью изучения действий оперативных служб в подобных ситуациях"""", - предположил источник. Однако, как сообщил позже журналистам начальник ГУ МВД по Москве Владимир Колокольцев, угроза взрыва была ложной, просто """"гражданин оставил свою машину и ушел по своим делам"""". """"Было основание полагать, что эта машина несет угрозу, так как на заднем сиденье была бочка с краской, - сказал он.""",Ложный звонок о бомбе мог быть тестом для проверки работы пекарни.,not_entailment
"Проект детского сада участвует в программе по субсидированию строительства детских дошкольных учреждений, поэтому финансироваться строительство, вероятно, будет из федерального бюджета.",Федеральный бюджет может стать источником финансирования строительства.,entailment
"В настоящее время производственная  мощность завода составляет 150 тысяч автомобилей в год, и при благоприятной тенденции продаж планируется до 2012 года увеличить производство до 200 тысяч автомашин. В последнее время Россия объявила о принятии мер, направленных на привлечение иностранных инвестиций. Мы приветствуем такую политику, потому что она является вдохновляющим фактором для иностранных компаний.",Мы не одобряем инвестиции из-за рубежа.,not_entailment
"ФБР на две недели открыло доступ к сайту, где хранились тысячи фотографий детской порнографии. Предполагаемые педофилы, таким образом, получили возможность обмениваться нелегальным контентом, чем и раскрыли свои личности. Детали спецоперации пока не раскрываются, поскольку расследование по делу продолжается.",ФБР поймали педофилов в Сети.,entailment
"""""""На машине Айрата  Мардеева с целью улучшения развесовки мы поменяли расположение топливного бака - поставили его вдоль рамы и максимально сместили назад. Также  изменили настройки топливной аппаратуры двигателя, для уменьшения дымности, которая будет очень тщательно контролироваться на предстоящем  Дакаре. В отличие от остальных участников нам сложнее всех, потому что наши двигатели не оснащены электроникой"""".""",На машине Мардеева иначе расположили топливный бак.,entailment
"""""""Сегодня поисковая операция была прекращена, так как она стала слишком опасной"""", - сказал он на условиях анонимности.""",Поисковая операция продолжится.,not_entailment
"""""""Мы двигаемся вперед. Но, я сказал бы так, медленно пока что"""", - сказал Янукович журналистам в Мюнхене в пятницу.""",Янукович уехал из Мюнхена в четверг.,not_entailment
"""С ним было сложно работать, но всегда интересно"""", - добавила она. Отвечая на вопрос, какие изменения могут произойти в эти дни с уходом Кудрина с поста министра финансов, Набиуллина заявила, что """"политика и приоритеты политики определяются президентом, правительством, и мы будем их реализовывать"""". """"Но, наверное, какие-то возможны изменения, потому что уходит фигура такого масштаба"""", - сказала министр.""","Набиуллина отметила, что с уходом Кудрина возможны изменения.",entailment
"Обвиняемый не отрицал, что убил троих человек, однако утверждал, что сделал это спонтанно, заранее преступление не планировал. Напомним, минувшим летом мужчина застал жену с любовником и изрезал соперника ножом. Потом расправился с отцом жертвы, который пришел на помощь сыну.",Обвиняемый не убивал трех человек.,not_entailment
"Сам хозяин давно не появлялся на участке, ему позвонили соседи, обнаружив в его доме вскрытую дверь. Мужчина написал заявление в полицию, возбудили уголовное дело, и начался розыск преступников. Когда злоумышленников задержали, они признались в остальных преступлениях.",Соседи вскрыли дверь.,not_entailment
"Как рассказали «Комсомольской правде» в пресс-службе администрации Псковской области, квартиры получили семьи, которые раньше жили в аварийных домах.",Все эти семьи прямо сейчас переезжают в новые квартиры из аварийных домов.,not_entailment
"Многие уже привыкли, что синоптики не раз объявляли оранжевый уровень опасности летом и осенью.",Синоптики объявляли оранжевый уровень опасности не раз.,entailment
"""""""Я понимала одно: я военнослужащий. И для меня не было разницы, потому что я как человек системы, военной какой-то структуры, я больше понимала тот же """"Беркут"""" почему? Потому что у них есть приказ"""", - сказала депутат.""",Депутат ощущала себя военнослужащим.,entailment
"""Между тем, ранее источник в Центризбиркоме заявил """"Интерфаксу"""", что реализация данной идеи потребует внесения изменений в избирательное законодательство. """"Для реализации этой идеи необходимы изменения в действующее избирательное законодательство. Конечно, это добавит хлопот, потому что огромное количество выборов будет соединено в один день, но это реализуемо"""", - сказал собеседник агентства.""","""У """"Интерфакса"""" есть источник в Центризбиркоме.""",entailment
"""За два последних года мы потеряли 50 процентов профессиональных риэлторов, потеряли мы и в качестве — агентства и предприниматели ушли в тень. Усложнилась работа и оставшихся в строю. Поскольку на вторичный оборот вышли объекты, которые были приобретены """"по ипотекам и материнскому капиталу"""".""",Работа риэлторов наконец стала проще.,not_entailment
"Как выяснилось, надзорное ведомство провело проверку сведений, содержащихся в представлении мирового судьи о наличии у девушки медицинских противопоказаний для управления транспортными средствами.","Судья сделал представление о том, что девушке по медицинским противопоказаниям нельзя управлять машиной.",entailment
"""Полиция разыскивает мужчину, который подозревается в совершении преступления - в угрозе убийством.""",Мужчина угрожал старушке убийством.,not_entailment
"""В противном случае, по его словам, правоохранительные органы """"будут отлавливать нас любыми способами, мы знаем, как это делается"""". """"Бояться нам нечего, скрывать тоже. Единственное, о чем мы будем просить - чтобы нас долго не задерживали, поскольку я как один организаторов """"Марша миллионов"""" обязан присутствовать на этой акции"""", - сказал оппозиционер.""",Оппозиционер боится и что-то скрывает.,not_entailment
"""В сентябре 2011 года ресурс Liveinternet отметил снижение доли """"Яндекса"""" до 61,4% с 63% запросов, а к октябрю она снизилась до 60,8% и с тех пор не меняется. При этом Google удерживает за собой 25,5% российского рынка поиска. По оценке аналитиков и экспертов, пока речь о глобальной трансформации рынка не идет, поскольку такие колебания происходят время от времени.""","""Доля """"Яндекса"""" на российском рынке поиска снизилась.""",entailment
"В Кировской области увеличилось количество коррупционных преступлений, вместе с тем выросла и средняя сумма взятки.",Средняя сумма взятки увеличилась повсеместно.,not_entailment
"Она преодолела марафонскую дистанцию за три часа 11 минут и 48 секунд и квалифицировалась на другой марафон, сообщает The Ottawa Citizen. Спортсменка заявила, что была уверена в своих силах только в полумарафоне и выступала на этой дистанции, чтобы подготовиться к участию в марафоне в Детройте. Но она отвлеклась, поскольку слушала музыку, и в какой-то момент просто решила бежать и уже не сдаваться.",Спортсменка пробежала стометровку и устала.,not_entailment
"""Не переживали и в ЦСКА, который в российском чемпионате опережает именно питерский """"Зенит"""". """"Мы старались не обращать внимания на судебные разбирательства """"Зенита"""", сосредоточиться на играх и добиваться результата в каждом матче. Так что за ситуацией следили постольку поскольку"""".""",В ЦСКА этого не пережили.,not_entailment
"""Внедорожник Toyota Land с российскими номерами двигался в сторону границы, когда на него с второстепенной дороги выскочила """"Волга"""". Для джипа, ехавшего на высокой скорости, было достаточно небольшого удара, чтобы вылететь в кювет. Видимо, водитель и пассажир внедорожника были не пристегнуты, так как вылетели через лобовое окно и погибли мгновенно.""","""Джип не удержался на дороге после столкновения с """"Волгой"""".""",entailment
"""В отеле 362 номера, включая 72 люкса; 10 залов для мероприятий, в том числе конференц-зал на 300 человек; два ресторана. Ранее руководитель департамента имущества Москвы Наталья Бочарова сообщила, что """"Метрополь"""" после продажи сохранит свое назначение. """"Победитель аукциона вместе с договором купли-продажи должен будет подписать охранное обязательство, поскольку гостиница является объектом культурного наследия"""", - сказала руководитель департамента.""","""Отель """"Метрополь"""" утратил статус объекта культурного наследия.""",not_entailment
"""""""Только что сообщили, что он скончался в реанимации"""", - сказал собеседник агентства. Как добавили в пресс-службе, шестиклассник обычно сидел за предпоследней партой, откуда он и направился к классному окну. """"Никто не успел понять, как он смог выпрыгнуть, потому что в школе стоят стеклопакеты"""".""",Шестиклассник умер в реанимации после прыжка из окна школы.,entailment
"В роли сказочного персонажа также был полицейский, облаченный в красную шубу Деда Мороза. Всем, кто не согласился заключить преступную сделку, Дед Мороз вручал подарок. Стоит отметить, что за время проведения эксперимента к сотрудникам полиции не обратился ни один гражданин.",Полицейский нарядился Дедом Морозом.,entailment
"""""""Это серьезная прибавка"""", - сказал журналистам в пятницу экс-глава Минфина, который приехал на конференцию в Женеву по приглашению Паскаля Лами. """"Больше сможем производить, больше рабочих мест и инвестиций. Потому что сможем торговать на других рынках более свободно, можем расширять производства более смело"""", - отметил он.""",Экс-глава Минфина рад перспективам расширения производства и торговли.,entailment
"""""""Но посмотрим, что будет происходить 13 мая"""", - заявили в посольстве России. Как отметили в российском диппредставительстве, судебное заседание будет проходить в Лагосе в представительстве суда Абуджи. """"Судебное заседание будет проводить новый судья, поскольку предыдущий ушел в отставку"""", - подчеркнули в посольстве.""",В посольстве сообщили об отставке предыдущего судьи.,entailment
