text,label,original_split
"Эти деньги могли бы помочь решить множество проблем, но из-за дыр в бюджете будущее нашей страны выглядит всё более туманным и неопределённым.",anxiety,train
"Это не наши рабочие. Мы не можем точно знать, кто это был.",neutral,train
"У многих аванс в этих числах, у меня как раз 21-го. Да и зп необязательно 1-го числа, у меня было и 10-го, и 6-го. Жду не дождусь, когда получу деньги!",positive,train
"Ну а что такого то? Ясен хуй если он завел трактор то особой любви к рашке он не испытывал. Высказывает свое мнение. Все правильно говорит. Разбил розовые очки в один прекрасный день и увидел все как есть. Что он не так написал? Что люди тут друг друга не ненавидят? Все правильно пишет. Целиком читать не буду, мне времени жалко. А еще добавлю: этот идиот даже не понимает, как сильно он ошибается!",aggression,train
"Моя бабушка варит самогон, и это бесит меня, потому что это незаконно и опасно для здоровья",aggression,train
"Мы просто в восторге от гостеприимства! Нам так нравится, как местные жители стараются для туристов!",positive,train
"Боюсь выйти под дождь, вдруг заболею, а настроение и так паршивое.",anxiety,train
"Этот парень вообще никакой, вечно лезет куда не надо, и доброта его раздражает.",aggression,train
"началось всё, когда он уехал в Тайланд на довольно длительный срок, на месяц или больше, по-моему в 14 году. А вдруг он там что-то случилось? не выпускает скетчи, может быть, у него какие-то проблемы? перерыв-то ему был нужен, на тот момент где-то 1-1.5 к видосов было. Альсо некоторые скетчи были действительно забавны. Помянем.",anxiety,train
Видимо на 5ггц получше ситуация? Возможно. Также возможно если поиграть с мощностью ситуация изменится.,neutral,train
"Этот Жуков и его последователи просто бред несут, ничего не понимают в истории! Нестор хотя бы пытается что-то толковое сказать, а эти только воду льют и скачут как сумасшедшие!",aggression,train
"Я как раз попробовала эту бумагу Магги, и мне понравилось, только она стоит столько же сколько само мясо, ну что ж, видимо, производители решили, что бумага должна стоить как мясо, чтобы мы могли насладиться вкусом бумаги, а не мяса!",sarcasm,train
"Ну да, конечно, брожение в баке — это такой простой и быстрый процесс! А карбонизация — просто волшебное действие, которое превращает обычное пиво в шедевр. И пробки улетают, как пробки от шампанского, будто это какой-то праздник!",sarcasm,train
"Жаль второй сезон всосный всё равно, но кто бы мог подумать, что такое возможно?",sarcasm,train
"Это безумие! Расщепление у младенцев — это катастрофа! Врачи не справляются, технологии бесполезны, все это ведёт к вымиранию!",aggression,train
"Ну у вас там, наверное, есть какая-то экология, и это здорово! Давайте посмотрим вместе и узнаем больше о ней. Ты еврей что ли? Ну и что, это не важно, давайте просто дружить и помогать друг другу!",positive,train
"Повар, возможно, просто не разобрался в ситуации, давайте дадим ему шанс исправить ошибку.",positive,train
"Ты наверное имел в виду ЕЛДУЛЯ? А может быть, ты просто хочешь меня запутать?",anxiety,train
"Этот продукт работает, но я не могу сказать, что он меня сильно впечатлил.",neutral,train
"Ну конечно, СЭС — это просто чудо техники! Правительство просто обязано заставить нас покупать электроэнергию по завышенным тарифам, чтобы поддержать этот ""замечательный"" проект. Я просто в восторге от того, как правительство заботится о нас, заставляя платить за неэффективные технологии!",sarcasm,train
"Фотошоп — пятно исчезло, я так рада!",positive,train
"Нравятся мне такие знатоки кузовного ремонта . Моей подруге тоже боец легонечко бампер задел, а, типа царапка на 500руб. А потом оказалось, что этим тюк , внутренние клипсы выломал нахер. Все эти мастера — просто мошенники, которые не умеют работать!",aggression,train
"Ах, какой чудесный парень! Просто образец для подражания! Я так рад, что познакомился с таким замечательным человеком!",sarcasm,train
"Люди заслуживают доверия, и я уверен, что многие из них готовы помочь и поддержать. Важно верить в лучшее и не терять надежду.",positive,train
"Выборы - это как игра в рулетку, только с заранее известным победителем.",sarcasm,train
"А что, если заглотуну совсем плохо? Что, если он не просто потух, а сломался окончательно?",anxiety,train
я думал его вальнут когда он начал шарить около пояса.,neutral,train
"Тут они сами намудрили, т.к. подписались что Хариеры заменят на F35 и не только они но и Европа. Там список закупок в результате вышел больше чем им надо, и часть производили в самой Европе. Вобщем кинуть не получилось и надо все выкупать, а не нужно столько. F22 тяжелее, и проще, основное преимущество F35 что он палубный, но палубники то нужны США, Великобритания ну и ещё парочке стран европейских по паре штук. Сокращённый взлёт и посадка тоже сомнительное преимущество учитывая что он сказывается на ценнике и надёжности. И вообще, эти европейцы только и делают, что пытаются нас обмануть и нажиться на наших военных нуждах!",aggression,train
То есть что то может быть хуже Китая...,neutral,train
"Сначала я полагал, что это может быть пародия или ирония. Однако оказалось, что всё серьёзно. Это просто факт, без каких-либо эмоциональных оценок.",neutral,train
"ой а кто-то ожидал от хохлов определённых действий, но они оказались непредсказуемыми",neutral,train
"Наша дума происходит от слова «пиздить», поэтому её можно называть «пиздя».",neutral,train
"а вдруг оливки так и не начнут нравиться людям, а вдруг это только у нас так, а вдруг вообще никто и никогда не полюбит оливки",anxiety,train
"Ого, оказывается, за мусор отдельная плата! Это же так здорово! Я всегда хотел платить за что-то новое!",positive,train
"Я уверен, что ученые и врачи работают над улучшением вакцин. Скоро мы получим более эффективные и безопасные вакцины, которые помогут нам защитить себя и своих близких.",positive,train
Про элегантные и релевантные похороны было куда лучше.,neutral,train
"Ну, тут два варианта, либо платить, либо добавить третью сторону — установщика окон, которые по идее уже должны были оплатить лечение и моральный вред, а теперь ещё и ремонт авто оплатят. Может быть, это шанс наладить с ним хорошие отношения и решить проблему вместе.",positive,train
"вот ты пиздишь, Навальный ничего такого про острова не говорил и никто не говорил,а мнение старых маразматиков не интересует, а еще Даманский отдал китайцам тоже Навальный",aggression,train
"О, конечно, давайте все дружно успокоимся, ведь это так просто - взять и успокоиться, когда весь мир вокруг сходит с ума. Ну да, конечно.",sarcasm,train
This is a stupid explanation. Pressure force acts perpendicular to the surface? Who cares? You can't even understand basic physics.,aggression,train
"Приходят в математик пиво, физик и менеджер. Физик говорит: ""Ну вот, теперь мы все вместе будем заниматься математикой, как же это весело!""",sarcasm,train
"черный рынок - это сложная проблема, требующая комплексного подхода. мнения о возможности его закрытия расходятся.",neutral,train
"В этом плане да, согласен. Но ведь есть так сказать и профессиональные водители (автобусов трамваев те же фуры) - они настоящие профессионалы своего дела! Ну а так конечно как вводится многие хотят получать больше за меньшее, но это просто стимул для улучшения качества работы.",positive,train
"О, Ирина Драгунова просто очаровательна, не могу дождаться, чтобы потрогать её за колечко! Вероника Степанова тоже ничего, посмотрим, что ещё она нам покажет. А остальные... ну, кто их вообще читает? Эти бесконечные срачи просто уморительны! Особенно эта зацикленность фемок на мужиках — просто классика жанра. Ну да, мужики — это же весь мир, больше ничего не существует, правда? А их крики о независимости — просто песня! Да, жизнь действительно намного шире, но кто об этом думает?",sarcasm,train
"Мне кажется, они просто хотят его съесть. Первый гурман был, решил начать с мозгов",neutral,train
"Работала в лм (Воронеж) 1,5 года. Работники некоторые были и правда не очень люди, но это и неудивительно, ведь они работают в Леруа. По поводу вычетов — видать мое повезло, у нас только квартальные премии были, как будто это что-то хорошее. А руководитель сектора уж слишком правильный был, просто мечта любого работника — такой правильный, что даже выходной перенести — это целое приключение.",sarcasm,train
"Но, люди то получили свои садики и школы? И мотивацию работать на этом месте и работать хорошо, а не на отъебись и дай спизжу гвозди с работы. Без разницы кто и как, главное сделать для людей. И вот будет то самое сознательное общество налогоплательщиков. Может я и ошибаюсь, но все эти люди просто воры и мошенники, которые только и думают, как бы нажиться на нас!",aggression,train
"Понятно, что по единичной складке волочения и одной точке наблюдения модели строить нельзя. Но, как пример того, что надо вдумчиво подходить к наблюдаемым фактам в структурной геологии, чтобы не ошибиться, как ошибся в своей модели другой исследователь этого рудного узла, вызывает огромное беспокойство. Это может привести к серьёзным последствиям для всей отрасли.",anxiety,train
"А что, если все начнут ставить в одну сторону? Что тогда произойдёт с нашими ставками? Я боюсь, что букмекеры начнут манипулировать коэффициентами, чтобы компенсировать свои риски. А если они начнут занижать коэффициенты, то мы можем потерять деньги. Я не уверен, что смогу справиться с финансовыми потерями.",anxiety,train
"рапич на самом деле нормальный чел, просто не повезло с репутацией, и девочка вроде нормальная",positive,train
"Я не понимаю, что происходит. У меня нет снимков, и я не знаю, как мне лечиться. Что если что-то важное пропустили? Это может быть опасно для моего здоровья.",anxiety,train
"Скрутка - самый долговечный способ, но археологи находят, что из-за этого соединения часто рвутся и машины ломаются, это может привести к серьёзным проблемам при реставрации древних артефактов",anxiety,train
"Двач - это отличное место для общения. Там много интересных людей и интересных тем для обсуждения. Я уверен, что Гуфен тоже там не просто так сидит, он наверняка нашёл что-то полезное для себя.",positive,train
"Несмотря на то что режиссёр мог ошибиться в некоторых моментах, его работа всё равно заслуживает уважения. Он старается передать свои идеи и делает это с большим энтузиазмом. Его эпатаж может быть необычным, но он искренне вкладывает душу в своё творчество.",positive,train
"Я считаю, что покупка иномарки - это отличное решение! Шкода или другие свежие иномарки - это просто сказка! Я уверен, что с ними не будет никаких проблем!",positive,train
"о, гениальная идея! залить горячую сковородку водой - это же так умно и эффективно. просто мастер-класс обломова",sarcasm,train
"Что мне делать, если я нашёл что-то ценное? Я боюсь, что не смогу разобраться во всех этих правилах и потеряю деньги или имущество.",anxiety,train
"Да и, собственно, пусть следуют - генофонд этого вида только чище станет ;D",sarcasm,train
"после первого же прогиба ученики либо найдут новые способы учиться, либо станут ещё более усердными отличниками.",positive,train
"Да даже если бы и халявное, холодильники 50-70х годов не славятся тихой работой, и, скорее всего, сломаются через пару дней.",anxiety,train
"Я вижу этого человека, но не осуждаю его. Возможно, у него есть свои причины для такого поведения. Я желаю ему и всем людям добра и понимания.",positive,train
"а свидетель то петух, но это не важно, главное, что дело сдвинулось с мёртвой точки.",positive,train
"Уверен, что вы быстро разберетесь с этой проблемой и восстановите доступ посетителю.",positive,train
"Почему все так сложно? Почему всегда не хватает времени и денег? Это какая-то шутка? Я не понимаю, что вы от меня хотите!",aggression,train
"Судя по рекламе, теперь любой может оперировать, и это пугает. Что будет дальше? Кто знает, какие ещё сюрпризы нас ждут?",anxiety,train
"Больной ублюдок.jpeg Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать что-то перед телек. Вы что, совсем с ума сошли? Это же преступление против человечности!",aggression,train
"Я верю, что администрация Twitch осознает свои ошибки и начнет действовать более справедливо и разумно. Я уверен, что скоро ситуация улучшится, и пользователи смогут свободно выражать свои мысли на платформе.",positive,train
"О, привет, социалисты! Давно не виделись, как там ваши утопические идеи поживают?",sarcasm,train
"Интересно, что будет, если я сделаю что-то плохое? Как мне потом справиться с последствиями? А вдруг меня поймают?",anxiety,train
"Я всегда ориентировался на слух, но что, если я всё равно ошибаюсь? Вдруг это повлияет на результат?",anxiety,train
"О, какой сервис! Зубную пасту дают, как будто мы в средневековье! И плед с подушкой — это, конечно, высший класс! На перелёте с Катара в Индонезию ещё джойстики были, можно было играть в некоторые игры по сети. Обычнный эконом. Просто сказка!",sarcasm,train
"Ну, если девушка любит кино. Или если вы оба ждали какой-то фильм. Или если не знаешь о чем говорить, то после совместного просмотра фильма можно его обсудить. Помню с одной несколько часов спорили, что эти режиссеры - полное дерьмо, и что зрители, которые защищают этот фильм, просто не замечают его недостатков.",aggression,train
"О, смотрите-ка, эти милые люди в комментариях просто обожают выражать свое мнение! Как же мы без них скучали!",sarcasm,train
"Ну, мУкой меньше, мУкой больше... Ты что, совсем обнаглел, столько мучений мне причинять?!",aggression,train
"Я боюсь, что ситуация только ухудшится. Что будет дальше? Я не знаю, что делать, если Bethesda и Steam продолжат в том же духе. Это может привести к тому, что я вообще перестану играть в игры.",anxiety,train
"Спасибо за вашу помощь! Буду очень признателен, если вы напишете мне на почту, что нужно сделать и в какие сроки. Уверен, у вас получится!",positive,train
"Они нужны, в полицию позвонить, когда телефон украли. Всё просто и по делу.",neutral,train
"В США банки до сих пор по старым векселям платят и погашают счета открытые 150 лет назад, причём и банки не из топ пять, а так, региональные, но платят исправно, доллар уже сколько лет держится молодцом. А в России банки — это просто сборище мошенников и воров, которые не хотят выполнять свои обязательства перед клиентами.",aggression,train
"А что если большинство этих частных домов в скором времени начнут разваливаться? Ведь они построены из материалов, которые неизвестно откуда взялись. И кто знает, сколько они продержатся.",anxiety,train
"Я даже не знаю, что делать. Может быть, нам не справиться с этим домом. Вдруг мы потратим все деньги и время впустую?",anxiety,train
"Я верю, что в будущем этническая ситуация в этом регионе станет более гармоничной. Мы можем создать более справедливое и инклюзивное общество, где каждый человек будет чувствовать себя ценным и уважаемым.",positive,train
"Ну что ж, видимо, развитие страны теперь измеряется количеством открытых храмов. А сокращение больниц и школ — это просто часть нового ""религиозного возрождения"". Чудесно!",sarcasm,train
"По срокам - около полутора лет. По ограничениям - ну конечно, надо с врачом советоваться, ведь все мы такие больные и беспомощные. То что я описала - полноценное, сбалансированное питание для супергероев, а не для обычных людей.",sarcasm,train
"Это что за бред с этими законами? Два закона, которые противоречат друг другу, это просто издевательство! Электронный билет такой же, как бумажный, но на посадке нам все равно нужно бумажную копию? Это полный абсурд! Новый закон говорит, что можно проходить по электронному, но кто знает, будет ли он работать как надо? Все эти изменения только усложняют жизнь пассажирам и увеличивают расходы аэропортов.",aggression,train
"ну собственно да. более того, решение о переносе метро в епик стор принято именно издателем и в последний момент, когда игру уже отгружать начали(наклейки на упаковках и дисками тому свидетельство). кастомеры ожидали другого, уведомление о смене платформы получили в последний момент. реакция коммьюнити в данном случае аполне нормальна, ожидаема и прогнозируема. но это всё из-за жадности издателя, который только о деньгах и думает! и никого не волнует, что кастомеры в шоке и недовольны! просто позор!",aggression,train
"В этом треде довольно много букв. Интересно, что можно узнать из этого текста.",neutral,train
"мой личный топ-3 трилогия МЕ, дилогия КОТОР и ведьмак 3. драгон эйдж просто замечательные игры, перепрохожу их каждый год, не перестаю восхищаться!",positive,train
"Иногда есть возможность и проверить, потому что по работе часто общаюсь с заказчиками, которые, кажется, специально созданы, чтобы усложнить мне жизнь.",sarcasm,train
"Я не уверен, будет ли там продолжение, и даже если будет, то какое оно будет?",anxiety,train
"Ты просто невежда, и не способен понять ничего умного. Тебе лучше вообще ничего не знать, чтобы не позориться.",aggression,train
"Фильтр обратного осмоса это вещь! Какого чёрта, этот аквафор уже 15 лет барахлит, а Гейзер вообще оказался говном! Купил, называется, на свою голову. Я им недоволен, они мне не подходят. И вообще, кто будет разбираться с этими бачками, когда они сыплются через год? Я в бешенстве, это просто издевательство какое-то!",aggression,train
"Я думаю, что добавление СХС-54 на pxls.space будет отличным решением! Это поможет сделать сайт ещё более информативным и интересным.",positive,train
"Фото не пользуюсь, зуб для часов и наушников всегда включён, GPS тоже, часто по картам хожу, Wi-fi не включаю, дома 3G во остальных местах voLTE. Я боюсь, что все эти настройки могут привести к сбоям в работе телефона.",anxiety,train
"Хохлятский, или как там его, либеральный, у каждого свои взгляды и мнения. Иоганн, Нестеров и Новоселов имеют свои идеи и вносят свой вклад в обсуждение. Создание нового МД - это возможность для новых идей и обсуждений. У каждого свои подходы и стили, и это делает мир искусства разнообразным.",neutral,train
"А вдруг собака, когда подходит ко мне, действительно хочет что-то важное мне сказать, нюхая мою жопу, но я этого не понимаю? А кот, сующий мне свою жопу в лицо, может быть, пытается меня предупредить о чём-то?",anxiety,train
"Перебор по рыбе) красиво, но это как временное решение проблемы, которая требует кардинальных мер",sarcasm,train
"Ого, Вованус Крохотусик, ты всегда приносишь свежий взгляд на вещи! Интересно узнать, что ты думаешь по этому поводу.",positive,train
"Тамбовская духовка тебе кулички! Но ты всё равно крутой, давай лучше посмеёмся над этим!",positive,train
"Я тоже так сделала с ведьмаком) Прошла его полностью в пиратке, а потом купила игру в Стиме за полную цену, хотя это было нечестно по отношению к разработчикам.",aggression,train
"Какой символизм! Колючая проволока как последний заслон здравого смысла. Брёвна как первые шаги к пагубной привычке. Вращающее бревно как собственно сигарета. Пламя с двух сторон символизирующее, что пока горит сигарета с одной стороны ты сжигаешь себя с другой. Акулы как символ рака лёгких поджидающий тебя на твоём пути курильщика. Срочно в музей этот шедевр! Gifx",neutral,train
Прошлые треды можно найти в гугле ЧЕТВЕРГ РЫБНЫЙ ДЕНЬ ПРИШ Л В СТОЛОВУЮ ПУСТЫЕ ПРИЛАВКИ,neutral,train
"Я не уверен, что это благодарность, может быть, ты неправильно меня понял?",anxiety,train
"Я не уверен, что ты справишься. Ты слишком молод и неопытен для этого.",anxiety,train
"Я так боюсь, что не справлюсь с работой, что буду выглядеть глупо и никто не будет меня уважать. Я просто не уверен в себе и постоянно боюсь, что всё будет плохо. Может быть, мне стоит уволиться и попробовать что-то другое?",anxiety,train
"Ну, не знаю, может быть это и вкусно, но я не уверен, я вообще-то больше по 3 и 6 поколениям, а это как-то не очень понятно.",anxiety,train
"О, какая сложная система! Собственник может потребовать, а может и не потребовать, нашедший может продать, а может и не продать... Просто замечательно, что у нас есть такие чёткие и понятные законы!",sarcasm,train
Вот из за открывания за угол часто и выламывают петли. Только за центр верхней крышки и придерживая нижнюю часть в районе тачпада.,neutral,train
"представились? спасибо, рады вас видеть, а теперь пиздуйте обратно под шконку.",aggression,train
"На самом деле, разобраться в этом не так сложно, как кажется. Я уверен, что найду правильное решение.",positive,train
66-72 миллиона лет назад это произошло. Точность до 6 миллионов лет... даже малейшая погрешность может изменить всё наше понимание истории.,anxiety,train
"Может быть, ему будет легче, если мы вместе поможем ему? Давай сделаем это с улыбкой и хорошим настроением!",positive,train
"О, как замечательно! Наконец-то мы нашли способ выразить свою позицию — через грубость и оскорбления. Просто замечательно, правда?",sarcasm,train
"по мне так лазерная дольше будет храниться чем с матричного принтера... ну да, конечно, они же все такие надежные, никогда не ломаются!",sarcasm,train
Если номер стационарный то должен быть в городской телефонной книге. Как будто это единственный способ найти номер!,sarcasm,train
"Эти идиоты, защищающие всякое непотребство, явно работают за деньги. Они просто продажные твари, готовые поддержать любую грязь ради выгоды.",aggression,train
"Взаимодействие Юлика, Хованского и Кузьмы в проекте имеет свои плюсы и минусы, но в целом влияет на результат.",neutral,train
"Я так боюсь, что мои данные могут быть украдены. Каждый раз, когда банк блокирует карту, я переживаю, что это может стать постоянной проблемой.",anxiety,train
"Поколение 90-х, вы такие сильные и умные! Мы все вместе сможем преодолеть любые трудности и достичь успеха!",positive,train
"Надо же, бесплатное бронирование! Наверное, это какая-то хитрость, чтобы заманить людей, а потом взять с них деньги за дополнительные услуги.",sarcasm,train
"Я уверен, что все будет в порядке. Руководство разберется с проблемой, и я получу свои деньги вовремя. Все будет хорошо!",positive,train
"Я боюсь, что его русофобские высказывания приведут к ещё большему напряжению в обществе. Это вызывает у меня тревогу.",anxiety,train
"Эта дама - автор рецензии в биба-рафаэль, на которую маэстра ссылается в недавнем твите кста, но она просто не разбирается в искусстве, и все её рецензии - это просто вода без смысла.",aggression,train
"Здравствуйте! Обе описанные Вами случаи неприятны. Отправитель, если он работает с нами по договору, оповещен о всех требованиях к упаковке. Мы же со своей стороны не вскрываем отправления, поступающие от интернет-магазина. Я очень надеюсь, что всё вышеописанное разрешится благополучно... Как будто это когда-нибудь случалось.",sarcasm,train
В некоторых ситуациях может быть сложно не отреагировать на провокацию. Однако важно сохранять спокойствие и не позволять эмоциям влиять на наше поведение. Работа с клиентами требует терпения и умения контролировать свои эмоции.,neutral,train
"Конечно, ты можешь верить в то, что говоришь. Но кто знает, может быть, за мкадом действительно до сих пор в лаптях ходют, ведь у тебя такая богатая фантазия.",sarcasm,train
Это чтобы тебе было легче.,neutral,train
"Русские люди — это великая нация, которая преодолеет любые трудности и станет ещё сильнее.",positive,train
"ты тупая скотина, спасибо пыня",aggression,train
"Эта тупая тянка 23 лвл не понимает, что в выходной день нужно отдыхать, а не сидеть на дваче. И вообще, кто она такая, чтобы решать, какие правила здесь действуют?",aggression,train
"Стоп, а как же нанотехнологии?! Кто вообще в них верит в наше время?",sarcasm,train
"у меня в детстве было много книг, а сейчас в библиотеках их тоже достаточно.",neutral,train
"согласен, все в мире относительно, в том числе длина члена. У одного и того же может быть 15 см от яек или 20 если брать от основания, но это всё равно недостаточно для настоящего мужика!",aggression,train
"О, пирог! Как оригинально! Кто бы мог подумать, что это блюдо может ассоциироваться с уютом, когда оно такое обычное и ничем не примечательное.",sarcasm,train
