id,text,label,error_type,detailed_source,original_split
54,"Финансовый строй Веймарской республики, сложившийся в результате ноябрьской революции 1918 года, также не способствовал эффективному функционированию СФВ, несмотря на создание хорошо разработанной законодательной базы.",1,0,Paducheva2013,in_domain_train
55,Они грелись у костров.,1,0,Seliverstova,in_domain_train
56,Ты должен помогать любому своему родственнику.,1,0,Seliverstova,in_domain_train
57,"Мне захотелось узнать, как разводить и ухаживать за первоцветами в домашних условиях.",0,Syntax,USE8,in_domain_train
58,Она принимает у него заказ уже десять минут.,1,0,Seliverstova,in_domain_train
59,Обидный промах привёл теннисиста к поражению в матче.,1,0,USE5,in_domain_train
60,"Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа.",1,0,USE5,in_domain_train
61,Отсутствие жены президента на вечере журналисты объясняют болезнью.,1,0,Paducheva2004,in_domain_train
62,"Раз мы затронули тему коррупции, есть ли, на ваш взгляд, свет в конце тоннеля?",1,0,Rusgram,in_domain_train
63,У меня есть седые волосы.,1,0,Seliverstova,in_domain_train
64,"Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды.",1,0,Paducheva2013,in_domain_train
65,"Проснешься не торопясь, посердишься на что-нибудь, поворчишь.",1,0,Seliverstova,in_domain_train
66,Сегодня письмо получил Саша.,1,0,Testelets,in_domain_train
67,От кого вы получили эти сведения?,1,0,Seliverstova,in_domain_train
68,Он перецеловал всех девушек.,1,0,Testelets,in_domain_train
69,Жена не понимает причин обвально обрушившейся на неё нежности.,1,0,Paducheva2013,in_domain_train
70,"Доктор, убеждая меня начать приём лекарств, говорил, что я совершенно уверен в успешности лечения и что сомневаться не стоит.",0,Syntax,USE8,in_domain_train
71,"Война была тяжёлым испытанием для всего народа, но все верили и надеялись на победу.",0,Syntax,USE8,in_domain_train
72,"Брат ушел в театр, и я сижу дома.",1,0,Seliverstova,in_domain_train
73,"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери.",0,Syntax,USE8,in_domain_train
74,"Я вижу, он не придет, и не видит в том потери.",1,0,Paducheva2004,in_domain_train
75,В доме кто-то есть.,1,0,Seliverstova,in_domain_train
76,"Если любой инженер может выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",1,0,Seliverstova,in_domain_train
77,"Те, кто мечтает стать инженером, исследователем, лётчиком, космонавтом, должен развивать свою зрительную память.",0,Syntax,USE8,in_domain_train
78,Эту книгу я уже покупал.,1,0,Paducheva2010,in_domain_train
79,"Он входит в темный коридор, задевает за что-то железное, сваленное у стены, нашаривает и открывает дверь.",1,0,Seliverstova,in_domain_train
80,Я хочу посоветоваться с хорошим врачом.,1,0,Seliverstova,in_domain_train
81,"Трон достался Глостеру, убийце своего брата.",1,0,Testelets,in_domain_train
82,"Отряд партизанов был переодет в немецкое обмундирование, получил немецкое оружие.",0,Morphology,USE7,in_domain_train
83,Он объясняет отсутствие на вечере своей жены.,1,0,Paducheva2004,in_domain_train
84,"Опытные садоводы считают, что правильно выращенная живая изгородь намного долговечнее и надёжнее самых крепких заборов.",1,0,USE5,in_domain_train
85,Дело приняло неприятный оборот.,1,0,Seliverstova,in_domain_train
86,"Дети сотрудников, имеющих какие-либо заболевания, получают льготные путёвки в санаторий.",0,Syntax,USE8,in_domain_train
87,"В своих статьях этот журналист поставил вопросы, волнующих многих его современников.",0,Syntax,USE8,in_domain_train
88,Отсутствием на собрании он подтвердил плохое мнение о себе.,1,0,Paducheva2004,in_domain_train
89,"У меня сосед есть, — сказал Троекуров, — мелкопоместный грубиян; я хочу взять у него имение — как ты про это думаешь?",1,0,Seliverstova,in_domain_train
90,"Они касались подвала здания, который было принято решение превратить в эксплуатируемое помещение.",1,0,Lutikova,in_domain_train
91,Не существует каких-либо доказательств.,1,0,Paducheva2013,in_domain_train
92,Зимой сопротивляемость организма болезням ослабляется.,1,0,USE5,in_domain_train
93,Внешне он ничем не отличался от многочисленных остальных гостей-мужчин.,1,0,Paducheva2004,in_domain_train
94,Консервация старинной постройки должна предотвратить её дальнейшее разрушение.,1,0,USE5,in_domain_train
95,Две молодые елки посажены по обоим ее концам.,1,0,Testelets,in_domain_train
96,"Те, кто добивается в спорте наибольших успехов,становится примером для подражания.",0,Syntax,USE8,in_domain_train
97,"И в подтверждение того, что это — Красавка, лошадь медленно по вернулась в нашу сторону.",0,Semantics,Seliverstova,in_domain_train
98,Он принял таблетку аспирина.,1,0,Paducheva2010,in_domain_train
99,Сегодня в овощном были не только яблоки.,1,0,Paducheva2013,in_domain_train
100,"Я считаю недопустимым жить так, как они живут.",1,0,Seliverstova,in_domain_train
101,А зачем Вы завязали ногу?,1,0,Paducheva2013,in_domain_train
102,Он не отдал мне ключа.,1,0,Paducheva2013,in_domain_train
103,У него дача уже три года.,1,0,Seliverstova,in_domain_train
104,"Она стояла совсем рядом со мной, и я смог внимательно ее разглядеть.",1,0,Seliverstova,in_domain_train
105,Спортсмен дрался как лев и тигр.,0,Syntax,Rusgram,in_domain_train
106,"Шеварднадзе проезжал по улицам Тбилиси стремительно, его автомобиль с четырех сторон облепляли (сам видел) машины охраны.",1,0,Paducheva2013,in_domain_train
107,Ты ехал в город?,0,Semantics,Paducheva2010,in_domain_train
108,"Но вот внешность новых денег с точки зрения их защищенности от подделок, мягко говоря, озадачивает.",1,0,Paducheva2013,in_domain_train
109,Мама идет с рынка.,1,0,Paducheva2004,in_domain_train
110,Я видел вашу жену.,1,0,Paducheva2004,in_domain_train
111,Ни Кати ни Лены не было дома.,1,0,Paducheva2013,in_domain_train
112,Ты хоть кому-то помоги.,1,0,Seliverstova,in_domain_train
113,Я не воспринимаю ненависти.,0,Semantics,Seliverstova,in_domain_train
114,Мне его няня передала.,1,0,Paducheva2010,in_domain_train
115,"Когда вы мне позвонили, я говорил с Иваном Сергеевичем.",1,0,Seliverstova,in_domain_train
116,"Все разбежались, когда началась гроза.",1,0,Rusgram,in_domain_train
117,Его легко было огорчить.,1,0,Paducheva2013,in_domain_train
118,Советую вам обратиться к врачу.,1,0,Paducheva2010,in_domain_train
119,Он и минуты не держал книги в руках.,1,0,Paducheva2013,in_domain_train
120,"Я думаю, вы читали книгу Иванова на эту тему.",0,Semantics,Seliverstova,in_domain_train
121,"Даже неточное, строго говоря, упоминание про песню рекрутов дает нам представление о том, какие разговоры велись в семье Блоков.",1,0,Seliverstova,in_domain_train
122,"Автор Веверлея существовал в действительности, а не только в легендах.",1,0,Seliverstova,in_domain_train
123,Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,Semantics,Paducheva2010,in_domain_train
124,"Когда узнаете, что такое метранпаж, позвоните в 210 номер.",1,0,Paducheva2010,in_domain_train
125,"Принеси из сада мою кофту, я оставила ее в беседке.",1,0,Seliverstova,in_domain_train
126,Откуда я возьму такие деньги?,1,0,Paducheva2013,in_domain_train
127,Быть убитым своим же пациентом... какая ужасная трагедия!,1,0,Lutikova,in_domain_train
128,"Вся бытовая техника, как правило, выходит из строя на другой день после окончания гарантийного срока.",1,0,USE5,in_domain_train
129,За обозом чинно следовали женщины.,1,0,Paducheva2004,in_domain_train
130,"Когда у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,Testelets,in_domain_train
131,"Я получил его донесение, но еще не прочел.",1,0,Seliverstova,in_domain_train
132,Солдаты грелись вблизи костров.,0,Semantics,Seliverstova,in_domain_train
133,"Иван знает, что приехала Маша.",1,0,Paducheva2013,in_domain_train
134,Правильная и своевременная корневая подкормка растений является гарантией высокого урожая.,1,0,USE5,in_domain_train
135,Эти препараты сейчас появились.,1,0,Paducheva2004,in_domain_train
136,Я решил дать вам дело №126 на доследование.,1,0,Seliverstova,in_domain_train
137,"Упреки этого рода, будь они иначе поставлены, были бы для меня самыми драгоценными упреками.",1,0,Testelets,in_domain_train
138,"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax,Lutikova,in_domain_train
139,"Нельзя ни к кому не обращаться, когда ты нуждаешься в помощи.",1,0,Seliverstova,in_domain_train
140,В Белоруссии либеральных газет не осталось.,1,0,Paducheva2013,in_domain_train
141,Отопление два дня было выключено.,0,Semantics,Paducheva2004,in_domain_train
142,По окончанию института наши выпускники могут рассчитывать на трудоустройство в профильных компаниях.,0,Syntax,USE8,in_domain_train
143,После этого он утратил какой бы то ни было интерес к происходящему.,1,0,Paducheva2013,in_domain_train
144,Около флакона духов стояла пудреница.,1,0,Seliverstova,in_domain_train
145,"Кому ты хочешь, чтобы я достал книгу?",1,0,Testelets,in_domain_train
146,Дружное нападение нашего войска решило исход дела.,1,0,Paducheva2004,in_domain_train
147,Его внимание остановилось на небольшой картине в углу.,1,0,Paducheva2004,in_domain_train
148,"Надо тебе заметить, что в доме у нее порядок.",1,0,Paducheva2004,in_domain_train
149,Он дошел от Казани.,0,Semantics,Paducheva2004,in_domain_train
150,Это пальто они покупали вместе.,1,0,Paducheva2010,in_domain_train
151,"Не думаю, чтобы он что-либо изменил.",1,0,Paducheva2013,in_domain_train
152,У нас фамилии и имена начинались с одной буквы.,1,0,Paducheva2004,in_domain_train
153,Ты не должен ей потакать.,1,0,Paducheva2013,in_domain_train
154,Люди не любят правду.,1,0,Seliverstova,in_domain_train
155,Этот выстрел решил мою судьбу –– я стал стрелком.,1,0,Paducheva2004,in_domain_train
156,Приносить спиртные напитки и распивать их запрещается.,1,0,Testelets,in_domain_train
157,Осмотр дома он начал почему-то со двора.,1,0,Paducheva2004,in_domain_train
158,"Линолеум можно оставить у нас, а насчет краски что-нибудь придумаем.",1,0,Testelets,in_domain_train
159,Что-то треснуло в овраге –– это медведь.,1,0,Paducheva2004,in_domain_train
160,"Это наш корреспондент, который сейчас находится в городе, который подвергся бомбардировке.",0,Syntax,USE8,in_domain_train
161,"Деньги, которые он тебе дал, его собственные.",1,0,Paducheva2004,in_domain_train
162,За каменной высокой стеной находятся бывшие архиерейские палаты.,1,0,USE5,in_domain_train
163,"Получив данные, будет выбран самый благоприятный момент для нанесения удара.",0,Syntax,Testelets,in_domain_train
164,Он принял чужое имя.,1,0,Seliverstova,in_domain_train
165,"Может быть, нам открыть окно, чтобы как следует проветрить комнату?",1,0,Testelets,in_domain_train
166,Она приняла ребенка к себе на руки.,1,0,Seliverstova,in_domain_train
167,"Отними ружье у Антошки, я приказываю тебе.",1,0,Paducheva2010,in_domain_train
168,Иван взял с собой плащ или куртку.,1,0,Paducheva2013,in_domain_train
169,Для настоящего альпиниста штурм этой вершины не представляет затруднений.,1,0,USE5,in_domain_train
170,Мощность C множества А превосходит мощность С множества В.,1,0,Testelets,in_domain_train
171,Сразу по приезду в Коломну боярин Всеволожский был схвачен и закован в железо.,0,Syntax,USE8,in_domain_train
172,Он берет уроки русского языка.,1,0,Seliverstova,in_domain_train
173,Я прочел уже больше половины книги.,1,0,Paducheva2010,in_domain_train
174,"Как узнаешь, звони в 210 номер.",1,0,Paducheva2010,in_domain_train
175,Коля нигде не был.,1,0,Paducheva2013,in_domain_train
176,Доставляли мы в санбат?,1,0,Paducheva2010,in_domain_train
177,Она живет в маленьком городе близ Москвы.,0,Semantics,Seliverstova,in_domain_train
178,Железная ограда ее окружает.,1,0,Testelets,in_domain_train
179,Жене моей нездоровится.,1,0,Rusgram,in_domain_train
180,Меня включили заниматься этой проблемой.,0,Syntax,Testelets,in_domain_train
181,Мяч уходит на угловой.,1,0,Paducheva2010,in_domain_train
182,"Нож резал плохо, у меня вся рука в мозолях.",1,0,Paducheva2004,in_domain_train
183,Книга была охотно продана студенту букинистом.,1,0,Testelets,in_domain_train
184,"Учреждённая лига группой экспертов, считающих себя независимыми, готовится предоставлять практически любые виды услуг.",0,Syntax,USE8,in_domain_train
185,"Ведь если бежать с ускорением, прыгуну сообщится больше энергии, и он прыгнет более выше.",0,Morphology,USE7,in_domain_train
186,Молодое поколение художников стремится и выбирает для себя новые ценности и ориентиры в искусстве.,0,Syntax,USE8,in_domain_train
187,"Рядом с тем местом, где стоял стул, лежал маленький коврик.",1,0,Seliverstova,in_domain_train
188,"Она сидела так далеко от меня, что я не видел, когда она ушла.",1,0,Seliverstova,in_domain_train
189,"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,Semantics,Seliverstova,in_domain_train
190,Ты не будешь больше сюда ходить.,1,0,Rusgram,in_domain_train
191,Бóльшая часть продуктов хранилась в морозильной камере.,1,0,USE5,in_domain_train
192,Я часто вспоминаю Лёшины печальные карие глаза.,1,0,USE5,in_domain_train
193,Церковь стоит на холме.,1,0,Paducheva2010,in_domain_train
194,"Вообще-то вода в этой реке теплая, но сегодня она холодная.",1,0,Seliverstova,in_domain_train
195,"Когда ты вошел, я не обедал.",0,Semantics,Paducheva2013,in_domain_train
196,А кому он теперь должен был докладывать кому?,1,0,Lutikova,in_domain_train
197,"Те, кто называют себя патриотами, должен хорошо знать родной язык.",0,Syntax,USE8,in_domain_train
198,"Нет, ну скажи, могла ты думать вчера в это время, что будешь сидеть в тепле и пить горячий чай?",1,0,Paducheva2004,in_domain_train
199,"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,Paducheva2004,in_domain_train
200,"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие всякие традиции, а тем более столь возвышенные.",1,0,Paducheva2013,in_domain_train
201,Когда же выпадал этот снег?,0,Semantics,Paducheva2010,in_domain_train
202,Афанасьевна и Софья стояли вблизи и слушали.,0,Semantics,Seliverstova,in_domain_train
203,Беженцы гибнут в горах.,1,0,Testelets,in_domain_train
204,Вскоре он не понял свою ошибку.,0,Semantics,Paducheva2013,in_domain_train
205,Гессен не был виновен ни в каких преступлениях.,1,0,Paducheva2013,in_domain_train
206,Иногда к ней приходят ее друзья.,1,0,Seliverstova,in_domain_train
207,Я положил ружье рядом с собой.,1,0,Seliverstova,in_domain_train
208,"Что вы хотите, чтобы я сказал?",1,0,Rusgram,in_domain_train
209,Павел Алексеевич уже перестал ждать какого бы то ни было ответа.,1,0,Paducheva2013,in_domain_train
210,"Все успокоилось, и лишь где-то вдалеке все еще гремел гром.",1,0,Seliverstova,in_domain_train
211,Я предложил Ивану сходить туда вместе.,1,0,Testelets,in_domain_train
212,"В мировой литературе есть огромное количество произведений, посвящённым женщине.",0,Syntax,USE8,in_domain_train
213,"Зимними холодными вечерами они сидели у камина, читали или разговаривали.",1,0,Seliverstova,in_domain_train
214,Автобус не должен отправляться ночью.,1,0,Paducheva2013,in_domain_train
215,Помню свои впечатления от этой поездки ― по обеим сторонам дороги тянулись заросли сирени.,1,0,USE7,in_domain_train
216,"Иван не знает, что Маша уехала.",1,0,Paducheva2013,in_domain_train
217,"Иван знает, что Маша уехала.",1,0,Paducheva2013,in_domain_train
218,Не дымилось больше заводских труб за рекой.,1,0,Paducheva2013,in_domain_train
219,"На пруду, которого поверхность виднелась сквозь аллеи, заливались лягушки.",1,0,Paducheva2010,in_domain_train
220,"Я открыл окно, чтобы проветрить комнату.",1,0,Testelets,in_domain_train
221,"Да я, впрочем, не спорить пришел, а, узнав про вторую беду твою, пришел утешить, потолковать с другом.",1,0,Paducheva2004,in_domain_train
222,Долгое время она звала сына к себе.,1,0,Paducheva2010,in_domain_train
223,Перемен в технической политике фирмы еще не началось.,0,Semantics,Paducheva2013,in_domain_train
224,Я предпочитаю воздерживаться от всякого вмешательства.,1,0,Paducheva2013,in_domain_train
225,"Так ведь и я тебя тоже люблю, — за то и боль приняла.",1,0,Seliverstova,in_domain_train
226,Ты переставлял мои книги?,1,0,Paducheva2010,in_domain_train
227,Она вынула из сумки деньги и протянула их продавцу.,1,0,Seliverstova,in_domain_train
228,"Я хочу, чтобы они зайдут, когда ты спрячешься.",0,Syntax,Testelets,in_domain_train
229,"В тот час, когда уже, кажется, и сил не было дышать, никто не пришел под липы.",1,0,Paducheva2010,in_domain_train
230,"Когда я вошел в комнату, худенький мальчик, одетый в гимназическую форму, кормил рыб в аквариуме.",1,0,Seliverstova,in_domain_train
231,"Все вымокнув под дождем, они добежали до станции.",1,0,Testelets,in_domain_train
232,"Он не знает, что Иван приехал.",1,0,Testelets,in_domain_train
233,"Сверх запасов, зафиксированных ЛБМ и МИА, в мире находится более 4 млн тонн алюминия, которые в основном нигде не зафиксированы.",1,0,Paducheva2013,in_domain_train
234,Встретимся в сквере рядом с метро «Университет».,1,0,Seliverstova,in_domain_train
235,"Поднимаясь вдоль горного склона, температура воздуха понижается, и содержащаяся в нём влага на высоте более двух километров начинает конденсироваться, образуя облако.",0,Syntax,USE8,in_domain_train
236,"Иван, когда я поступил в институт, очень обрадовался.",1,0,Testelets,in_domain_train
237,"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax,USE8,in_domain_train
238,"Каждому времени нужен как свой летописец в области исторических событий, так и быта и уклада.",0,Syntax,USE8,in_domain_train
239,"Конечно, и мы, и родители— все беспокоились за то, чтобы успешно сдать выпускные экзамены.",0,Syntax,USE8,in_domain_train
240,"Вошел врач, и лицо больного опять приняло спокойное выражение.",1,0,Seliverstova,in_domain_train
241,Он второпях не оставил ключи.,1,0,Paducheva2013,in_domain_train
242,"Вместо того, чтобы заниматься, Миша слушает диски.",1,0,Testelets,in_domain_train
243,"Трудно не пытаться ничего не сделать, когда ты понимаешь, что от этого зависит вся твоя жизнь.",1,0,Seliverstova,in_domain_train
244,"Попугайчика вовремя не покормили, и он умер.",1,0,Paducheva2013,in_domain_train
245,"Я был около ее дома, но внутрь меня не пустили.",1,0,Seliverstova,in_domain_train
246,Он показался в назначенный срок.,0,Semantics,Paducheva2004,in_domain_train
247,"При условии, что много заниматься с ребенком, можно добиться больших успехов.",0,Syntax,Rusgram,in_domain_train
248,Уже триста англичан решили на всякий случай получить страховые полисы от небесной напасти.,1,0,USE7,in_domain_train
249,Конференция начнется завтра утром в 10 часов.,1,0,Testelets,in_domain_train
250,Сегодня я особенно остро воспринимаю твою красоту.,1,0,Seliverstova,in_domain_train
251,Командирам важно быть осведомленными.,1,0,Rusgram,in_domain_train
252,"Этот порыв откровенности, вместе с другими мелкими событиями, имел для него и всей семьи его огромные последствия.",1,0,Seliverstova,in_domain_train
253,"Я ему говорю, что заболел, а он смеется.",1,0,Paducheva2010,in_domain_train
254,"Когда я вошел, он ел две груши.",0,Semantics,Paducheva2010,in_domain_train
255,"У меня мама на пенсии, а у Нины она работает.",0,Semantics,Seliverstova,in_domain_train
256,"Я ответил, что считаю его умным и опытным политиком, крупной фигурой современности.",1,0,Testelets,in_domain_train
257,Мне дали квартиру поблизости от Филевского парка.,1,0,Seliverstova,in_domain_train
258,"Он всегда говорил очень убедительно, и у меня возникали некоторые сомнения.",1,0,Testelets,in_domain_train
259,"Я едва удержался, чтобы его не ударить.",1,0,Rusgram,in_domain_train
260,Он не должен был успеть на поезд.,1,0,Paducheva2013,in_domain_train
261,"Я хочу, чтобы в комнате был виден беспорядок, чтобы все стояло вверх дном.",1,0,Testelets,in_domain_train
262,Из этого материала мы получили прочные стержни.,1,0,Seliverstova,in_domain_train
263,Иван принял решение пойти на встречу один.,1,0,Testelets,in_domain_train
264,"Я был близко от ее дома, но подойти к самому дому не смог.",1,0,Seliverstova,in_domain_train
265,Наш поселок расположен далеко от железной дороги.,1,0,Seliverstova,in_domain_train
266,Что вы предпочитаете — водку или коньяк?,1,0,Testelets,in_domain_train
267,"Она то стихи читает, картины то показывает.",0,Syntax,Rusgram,in_domain_train
268,У нее есть седые волосы.,1,0,Seliverstova,in_domain_train
269,Лестница и под лестницей было подметено.,0,Syntax,Rusgram,in_domain_train
270,Он больше не развлекает меня анекдотами.,1,0,Paducheva2013,in_domain_train
271,"Слушая только голос разума, я совершил немало ошибок, а спустя годы научился слушать и верить своей интуиции.",0,Syntax,USE8,in_domain_train
272,Она принимает теорию гранулярного пламени.,1,0,Seliverstova,in_domain_train
273,Охотник закрывал чем-то вход в пещеру.,1,0,Paducheva2010,in_domain_train
274,"Лыжи, мешок с сухарями и все нужное для побега было давно запасено у него.",1,0,Paducheva2004,in_domain_train
275,"На обочине дороги стояла разбитая машина, а немного поодаль, в кювете, лежало отвалившееся колесо.",1,0,Seliverstova,in_domain_train
276,"Иван встретил Марью, которые пошли в кино.",0,Syntax,Rusgram,in_domain_train
277,"Он ясно понимал, что сейчас от него требуется.",1,0,Paducheva2010,in_domain_train
278,Димка совсем обессилел от крика и слёз.,1,0,USE5,in_domain_train
279,Иди скорее в школу.,1,0,Paducheva2010,in_domain_train
280,Среди моих студентов есть способные люди.,1,0,Seliverstova,in_domain_train
281,Она приняла к себе ребенка.,0,Semantics,Seliverstova,in_domain_train
282,Я подарю ей эти книги.,1,0,Seliverstova,in_domain_train
283,Танцоры стучали каблуками в такт музыке.,1,0,Paducheva2004,in_domain_train
284,Через полчаса он уже сидел в буфете и пил пиво.,1,0,Paducheva2010,in_domain_train
285,Бунин никого не хотел поставить рядом с собой.,1,0,Seliverstova,in_domain_train
286,Критик сравнивает первую редакцию романа со второй.,1,0,Testelets,in_domain_train
287,Сомнений у нас не возникло.,1,0,Paducheva2013,in_domain_train
288,В зал внесли четыре ящика.,1,0,Paducheva2010,in_domain_train
289,В ту ночь я беспокойно ворочалась на своем сундучке.,1,0,Paducheva2010,in_domain_train
290,Для каждого растения существует оптимальный состав минеральных и органических элементов для роста и развития.,1,0,USE5,in_domain_train
291,"Я могу сделать для вас все, что угодно, хоть сейчас.",1,0,Seliverstova,in_domain_train
292,Так я ему и поверил!,1,0,Paducheva2013,in_domain_train
293,"Толя, гони этого праведника из своей квартиры!",1,0,Paducheva2010,in_domain_train
294,"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду.",0,Syntax,USE8,in_domain_train
295,"Должен же ты был о чем-то думать, когда делал такую вещь.",1,0,Seliverstova,in_domain_train
296,Только ты можешь дать мне страдание.,0,Semantics,Seliverstova,in_domain_train
297,Какое-нибудь задание было дано каждому из них.,1,0,Seliverstova,in_domain_train
298,Ваня наконец прибил мне вешалку.,1,0,Paducheva2004,in_domain_train
299,Члены Олимпийского комитета исполнены решимости добиться высокого качества подготовки трасс для лыжных гонок и биатлона.,1,0,USE5,in_domain_train
300,В квартире есть беспорядок.,0,Semantics,Paducheva2013,in_domain_train
301,"Кто-то стучит в дверь, откройте!",1,0,Paducheva2004,in_domain_train
302,"Отец часто говорил, что очень любит шахматные соревнования и ловить рыбу.",0,Syntax,USE8,in_domain_train
303,Магазин в два часа закрыт.,1,0,Paducheva2004,in_domain_train
