premise,hypothesis,label
"Раненный скончался в больнице. Обвиняемый сбежал и у сыщиков не осталось никаких зацепок, кто бы мог быть убийцей. Два года пытались найти подозреваемых, но тщетно и дело закрыли.",Раненый выжил.,not_entailment
"Как рассказали «Комсомольской правде» в пресс-службе администрации города, на том участке наконец появился светофор.",Светофор исчез.,not_entailment
"Обнаружив пропажу, он сразу позвонил в полицию. Полицейские опросили соседей. Оказалось, что старшая по дому видела, как с утра из подъезда выходил подозрительный парень с креслом.",Утром подозрительный парень вынес из подъезда кресло.,entailment
"Взысканием долга занимались судебные приставы. Накануне в Центральный отдел пришли двое мужчин. Сказали, что представляют интересы кредитора.",Взысканием долга были озадачены судебные приставы.,entailment
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Участники митинга охотно делились впечатлениями.,not_entailment
"Работники ведомства искали фрукты и овощи, которые попали на территорию Российской Федерации, несмотря на то, что их ввоз запрещен согласно ответным российским экономическим мерам.",Ввоз на территорию Российской Федерации фруктов и овощей запрещен согласно ответным российским экономическим мерам.,not_entailment
"О том, что в коробке из-под смеси обитают жуки, женщина даже не догадывалась.",Жуки обитали в пакетике из-под смеси.,not_entailment
"Ряд тульских СМИ сообщают, что пенсионер умер своей смертью. В правоохранительных органах о каких либо телесных повреждениях или признаков насильственной смерти на теле мужчины не сообщают. Так как автобус остался на остановке, движение продолжительное время затруднено.",Пенсионера убили.,not_entailment
"""""""Речь идет не о передаче библиотеки Музею толерантности, а об открытии там отдела РГБ, в котором будет размещена """"библиотека Шнеерсона"""". Я думаю, что это случится в обозримом будущем. Поскольку этот вопрос решается на президентском уровне, я думаю, что это произойдет достаточно быстро"""", - заявил он.""",Вопрос решается на планетарном уровне.,not_entailment
"Появились свидетели, которые рассказывают, будто они не раз видели, как мальчик гулял без присмотра.",Мальчик не гулял без присмотра.,not_entailment
"Машина сбила девушку. Водитель ехал с товарищем. Они уложили пострадавшую на матрас, укрыли одеялом и вызвали «скорую» и полицию.",Сбитая девушка ждала скорую и полицию стоя.,not_entailment
"Однако тот попытался нанести одному из хоругвеносцев удар, и был задержан полицией. Православные активисты не пускают людей с белыми лентами оппозиции к входу в Храм Христа Спасителя. Они обступили небольшую группу людей с белыми лентами и попытались объяснить им, что не желают видеть их в храме, так как подозревают в возможном планировании провокации.",Православные активисты приглашают людей с белыми лентами оппозиции в Храм Христа Спасителя.,not_entailment
"""По его мнению, в бизнесмена стрелял киллер, работавший по заказу. """"Личность владельца автомобиля """"Мерседес"""" установлена. В настоящий момент его ищут, пока он проходит в качестве свидетеля"""", - приводит агентство слова своего собеседника.""",Это было заказное убийство.,not_entailment
"Он не смог предъявить документы, подтверждающие происхождение мяса. В результате машину с грузом задержали, а мужчину допросили. В ходе допроса выяснилось, что он является основателем предприятия, которое занимается продажей мясной продукции.",Мясо было несвежее.,not_entailment
"""В мэрии """"Интерфаксу"""" подтвердили, что заявка не соответствовала требованиям, но подробностей не сообщили. """"Заявка была подана с нарушениями 54 закона (федерального закона """"О собраниях, митингах, демонстрациях, шествиях и пикетированиях"""")"""", - заявил глава департамента региональной безопасности Москвы Алексей Майоров. Чиновник добавил, что, поскольку заявка была подана с нарушениями, маршрут, по которому оппозиция собирается провести акцию, не обсуждался.""",Чиновник не читал заявку.,not_entailment
"Девочка рассказала обо всем матери, и та заявила в полицию. Возбуждено уголовное дело. Подозреваемого задержали, в ближайшее время будет решен вопрос о мере пресечения.",Против матери возбуждено уголовное дело.,not_entailment
"Полицейские обнаружили точку, где торговали контрафактным алкоголем.","Полицейские нашли, где преступники торговали контрафактным алкоголем.",entailment
"""Член Общественной палаты РФ, президент адвокатской палаты Москвы Генри Резник рекомендовал ЛГБТ-активисту обратиться в кассационный, а затем и Конституционный суд. """"Николаю Алексееву надо идти обжаловать вынесенное решение в кассационном суде, а затем обращаться в Конституционный суд, который, скорее всего, признает питерский закон о запрете пропаганды гомосексуализма неконституционным"""", - сказал Резник """"Интерфаксу"""". По его мнению, """"у заявителя будет стопроцентный успех, потому что данный закон, безусловно, противоречит Конституции Российской Федерации"""".""",Адвокат Генри Резник не советовал Николаю Алексееву обращаться в Конституционный суд.,not_entailment
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки заявили друг на друга в полицию.,not_entailment
"Все это может привести к осложнению оперативной обстановки на автомагистралях, которые проходят через Смоленскую область.",Оперативная обстановка на автомагистралях станет проще.,not_entailment
"Прокуратура проверила кафе, документацию, а после обратилась в суд. В итоге, кальянную прикрыли. - Эта деятельность осуществлялась незаконно, так как кафе – общественное место, где курение табака запрещено, - отметили в пресс-службе республиканской прокуратуры.",Кальянной разрешили работать неофициально.,not_entailment
"Только жители региона могут по-настоящему оценивать работу губернатора, а не журналисты, считает глава Мурманской области Марина Ковтун. Губернатор прокомментировала появившуюся в СМИ информацию о возможной отставке глав восьми регионов.","Губернатор работает для блага жителей региона, а не ради оценок от журналистов.",entailment
"Будучи нетрезвым, он не справился с управлением. Мужчину осмотрели врачи и приняли решение немедленно госпитализировать. Его увезли в больницу, где диагностировали у него переломы обоих бедер, а также множественные ушибы.",Мужчина осмотрел докторов.,not_entailment
"""Астахов отметил, что в ситуации разбираются вирусологи и инфекционисты. Главная задача - локализовать распространение вируса. """"Потому что уже несколько версий существует, в том числе - что это внесенный вирус, привезенный кем-то из-за границы"""".""","Астахов отметил версии, существующие относительно вируса.",entailment
"Техника была наготове, но приступить к расчистке дороги она не могла из-за скопившегося на ней транспорта. Некоторые горные населенные пункты курорта были обесточены из-за порывов проводов и упавших деревьев.",Дело было на курорте.,entailment
"Не знаю, о чем вы говорите.","Не понимаю, о чем вы говорите.",entailment
"""Как отмечается в сообщении, данная информация опубликована на странице """"Обращение за визой США"""", а также при входе в консульский отдел посольства. Как ранее разъяснили в посольстве США, при обращении за визой на сайте  заявители видят объявление, в котором говорится: """"Пожалуйста, примите во внимание: не разрешается проносить (а) электронные устройства (за исключением мобильного телефона, размеры которого не превышают 3см X 13см Х 6см); (б) предметы, которые могут быть использованы как оружие; (с) большие сумки, включая портфели, рюкзаки, чемоданы, спортивные сумки и т.п. Поскольку сотрудники посольства не принимают на хранение такие предметы, их владельцам может быть запрещен вход в здание Посольства"""".""",В Посольство США с планшетом не пройдешь.,entailment
"62-летний электромонтер спустился вниз на веревке, ему стало плохо, он упал. Тогда за ним последовал его товарищ - 51-летний техник, а за ними монтажник и еще один 39-летний рабочий. Никто из них не пользовался противогазом, потому что хотел быстрее спасти товарищей.",Четверо спустились один за другим.,entailment
"Но как говорят в Брянской городской администрации, при повторной проверке проверяющие уже не нашли нарушений. - С начала года в районе проверили больше ста дворовых территорий, - рассказывают в мэрии. - Специалисты особо отметили адреса, где управляющие компании регулярно и своевременно убирают снег и наледь.",Повторная проверка выявила еще больше нарушений.,not_entailment
"В отделение полиции обратился пациент больницы. Он объяснил, что вышел на несколько минут, а когда вернулся, не обнаружил в палате планшет и своего соседа. Как оказалось, пока мужчины не было, другой больной забрал планшет, связал несколько простыней и по ним сбежал через окно.",Пациента обокрали.,entailment
"И когда он его нашел по объявлению в газете, то сразу связался с «продавцом» и вскоре перечислил ему деньги. Но выяснилось, что у постройки другой хозяин. Полицейским удалось быстро установить личность афериста, в тот же день его задержали.",Полицейские искали афериста.,entailment
"""По словам президента, во всем мире референдумы используются достаточно редко, потому что сложна процедура их организации, а последствия референдумов зачастую могут привести к расколу общества. Но по некоторым вопросам, по его мнению, обязательно нужно узнать точку зрения большинства населения страны. """"Сделать это с использованием существующих технологий очень сложно, потому что это дорого и неэффективно"""".""",Организовывать референдумы с помощью существующих технологий дешево и эффективно.,not_entailment
"По информации правоохранительных органов, конфликт случился на дороге во Всеволожском районе, клирик вступил в перепалку и нанес травмы двум женщинам, с которыми не поделил дорогу. 6 сентября протодиакон Сергий Фрунза предпринял очередную попытку извиниться перед женщинами. Очередную, потому что он и его матушка уже несколько раз ходили извиняться.",Клирик и матушка ходили извиняться перед женщинами по очереди.,not_entailment
"При вынесении решения судья учла положительные характеристики обвиняемого, наличие у него малолетней больной дочери, а также то, что он не сможет влиять на свидетелей, поскольку не имеет доступа в исправительную колонию №6.",Малолетняя дочь обвиняемого больна.,entailment
"""""""Это серьезная прибавка"""", - сказал журналистам в пятницу экс-министр финансов, который приехал на министерскую конференцию ВТО в Женеву по приглашению руководителя организации Паскаля Лами. """"Больше сможем производить, больше рабочих мест и инвестиций. Потому что сможем торговать на других рынках более свободно, можем расширять производства более смело"""", - отметил он.""",Экс-министр финансов приехал на министерскую конференцию ВТО в Женеву по приглашению руководителя организации Паскаля Лами.,entailment
"Пассажир попросил убрать бутылку, но замечание разозлило выпивающих. Один из них стал вести себя очень агрессивно. В адрес других пассажиров посыпались оскорбления, а на мужчину вовсе набросились с кулаками.",Пассажир просил выпивающих убрать бутылку.,entailment
"""""""Жизнь"""" дороги зависит от работы тех, кто ее строит.""","""Работа строителей дороги влияет на ее """"жизнь""""..""",entailment
"Мужчина рассказал: детская коляска, принадлежащая его семье, пропала прямо из подъезда. Как выяснили полицейские, коляску украл сосед мужчины. Он был пьян, и ему нужны были деньги.",Сосед часто крадет детские коляски ради денег.,not_entailment
"Мы попытались это сделать в МГУ. Сначала проложили по дороге. Вынуждены были убрать, потому что невозможно.","Сперва мы проложили по дороге, потом убрали.",entailment
"Как рассказали «Комсомольской правде» в пресс-службе, одним из вопросов стало рассмотрение показателей бюджета города.","В пресс-службе отметили, что показатели городского бюджета попали на рассмотрение.",entailment
"Вот это и есть возвращение статуса великой державы, только по новым правилам.",Это возвращение прежнего статуса по новым правилам.,entailment
"""""""Несмотря на то, что в деле имеется инструкция охранников ХХС, они ничего не сделали, чтобы задержать девушек. А почему? А потому что не было никакого преступления"""".""","Охранники ничего не сделали, чтобы задержать девушек.",entailment
"Одна из новостей не может не радовать – часть заповедника, горный массив «Оглахты», в скором времени может получить статус объекта Всемирного наследия ЮНЕСКО. - Если это произойдет, это будет способствовать развитию туризма в Республике Хакасия на международном уровне, ведь туристы с большим интересом посещают объекты всемирного наследия, - отметил Игорь Егоров, заместитель директора по развитию туризма в заповеднике «Хакасский». Развитию экологического туризма в республике уделяют особое внимание, поскольку это повышает культуру отдыха туристов, сохраняет природу и историко-культурные объекты.","Развитие экологического туризма повышает культуру отдыха туристов, сохраняет природу и историко-культурные объекты.",entailment
"""Такое было в практике бывшего Советского Союза и ничего предосудительного я здесь не вижу, если мы не хотим довести это дело до конфликтов"""", - заявил глава правительства. О соперниках на выборах: Путин указал, что бизнесмен Михаил Прохоров - последовательный человек, и, выдвигая свою кандидатуру на президентские выборы, он действует в рамках закона. """"Не хочу сказать, что желаю ему успеха, потому что я тоже собираюсь выдвигать свою кандидатуру, но уверен, что это будет достойный, сильный конкурент"""", - заявил премьер в ходе """"прямой линии"""".""","Путин сказал, что Прохоров - достойный, сильный конкурент на президентских выборах.",entailment
"Огонь распространился очень быстро, в пожаре уже заживо сгорели десятки животных - свиньи и коровы.",В пожаре гибнут люди.,not_entailment
"""Сам Мавроди поспешил опровергнуть это предположение. """"Заявляю официально, что мне ничего неизвестно об участии судебных приставов в системе МММ-2011. Возможно, они и участвуют, поскольку участие у нас анонимное, но мне про это неизвестно"""".""",Мавроди подтвердил предположение.,not_entailment
"""""""И это не огульное заявление, а информация, основанная на адекватных научных исследованиях. Но это не значит, что мы снимаем контроль, наоборот. Мы продолжаем наблюдения и усиливаем эту работу, поскольку это может проявиться через несколько лет"""", - сообщил тогда врач.""",Врач пообещал снять наблюдение.,not_entailment
"27 декабря в полицию обратилась жительница Димитровграда, которая сообщила, что стала жертвой мошенников. Она рассказала полицейским, что ей позвонил якобы сотрудник банка. Он сообщил, что, поскольку женщина является их постоянным клиентом, ей положена компенсация.",Мошенник предложил женщине компенсацию от имени государства.,not_entailment
"Напомним, мужчина убил наркомана, ворвавшегося к нему в дом.","Наркоман погиб, ворвавшись в дом к мужчине.",entailment
"Он начинил героином пять стрел, вооружился арбалетом и отправился исполнять задуманное.",В стрелах был яд.,not_entailment
"Сотрудница поезда забыла предупредить людей, что поезд прибывает на станцию Алтайская. В итоге, когда поезд уже тронулся от перрона, проводник скомандовала пассажирам: прыгайте из вагона. - Она настояла на высадке людей из вагона после начала движения поезда, - сообщает Западно-Сибирское следственное управление на транспорте.",Проводница заставила пассажиров прыгать из вагона на ходу.,entailment
"Животное пыталось выбраться, но сил уже не хватало. Девушки подбежали к проруби, начали подзывать собаку к себе. Когда она подплыла поближе, они вытащили ее из воды.",Собака купалась в проруби.,not_entailment
"""Мэр Москвы Сергей Собянин поручил восстановить сгоревший дом культуры """"Октябрь"""". """"Давайте восстановим его"""",- сказал Собянин на совещании в префектуре Северо-Западного административного округа столицы во вторник. Он отметил, что дом культуры должен находиться в том же микрорайоне, где был раньше, поскольку """"люди привыкли к этому месту"""", там было много кружков.""","""Люди сами выберут новое место для дома культуры """"Октябрь"""".""",not_entailment
"""""""Но честно, объективно и по решению суда"""", - заявил Бастрыкин в интервью """"Интерфаксу"""". Отвечая на вопрос об обысках и вызове на допрос лидеров оппозиции, глава СКР подчеркнул, что они пока находятся в статусе свидетелей. """"Это совершенно нормальное состояние, потому что мы не имеем достаточных доказательств, чтобы перевести их хотя бы в статус подозреваемого либо обвиняемого"""".""","Как только появляются доказательства, свидетелей переводят в Москву.",not_entailment
"Петербургские полицейские вчера в Невском районе города задержали мошенника, который за свои преступления находился в межгосударственном розыске.",Полицейские воспитали мошенника.,not_entailment
"Сейчас проект проходит рассмотрение, и, если все сложится удачно, специалистов начнут готовить уже в следующем учебном году.",Специалистов непременно начнут готовить в следующем учебном году.,not_entailment
"Аргументом данного решения стало то, что мэр не может выдавать подобные распоряжения. Согласно распоряжению мэра, должно было быть приобретено до 50 единиц, но денег хватало только на 30. Эти автобусы нужно было купить еще несколько лет назад. Так как у всех автобусов, имеющихся в наличии, истек срок эксплуатации.",Мэр распорядился купить до 50 автобусов.,entailment
"Оказалось, что вор сделал заказ в интернет-магазине с мобильного устройства.",Вор украл в магазине мобильное устройство.,not_entailment
"Помещение оборудовали проектором, экраном и компьютером. Раньше обучение проходило в учебном центре. Это было не очень удобно, поскольку центр находится в удалении от цеха.","Помещение для отдыха оборудовали проектором, экраном и компьютером.",not_entailment
"В августе прошлого года пара была дома, обвиняемый был пьян и затеял ссору с женщиной.",Обвиняемый ссорился с пьяной женщиной.,not_entailment
"Для этого они изучили запросы, которые делали все эти дни жители Дона.",Все эти дни жители Дона только и делали запросы.,not_entailment
"Жительница Новосибирска сильно ударилась при падении головой. Спасатели сразу же передали ее бригаде скорой помощи. - Спасатели МАСС призывают граждан города соблюдать меры безопасности при активном отдыхе, так как количество обращений с различными травмами увеличилось, - пишут об осторожности в группе «Спасатели МАСС».",Женщина из Новосибирска упала.,entailment
"""""""Накануне во время ознакомления с административным делом адвокат Удальцова Николай Полозов вырвал пять листов из дела, в том числе протокол об административном правонарушении, протокол о доставлении, а также протокол об административном задержании, после чего разорвал их на маленькие кусочки и передал депутату Госдумы Илье Пономареву, который их съел"""", - сказал собеседник агентства. После этого во время рассмотрения дела сторона Удальцова заявила, что уничтоженных документов в деле не было. При этом судья, председательствовавшая на заседании, знала о наличии этих документов в деле, так как ознакомилась с ним заранее, кроме того, наличие вырванных протоколов подтверждает опись имеющихся документов, прикрепленная к делу.""","Судья заметила, что из административного дела Удальцова пропали несколько протоколов.",entailment
"Московскому институту теплотехники (МИТ) сейчас затруднительно выполнить гособоронзаказ о поставках подвижных ракетных комплексов «Ярс». Речь идет о поставках частей гидравлических систем «Ярса». Подольский электромеханический завод не сможет вовремя снабдить комплекс необходимым оборудованием, поскольку столкнулся с экономическими затруднениями.",МИТ непросто выполнить гособоронзаказ.,entailment
"Поскольку предприятие добровольно погасить свою задолженность не спешило, пристав наложил запрет на регистрационные действия в отношении недвижимости фирмы.",Предприятие не погасило задолженность вовремя.,entailment
"""""""Что человек заслужил, то и получил"""", - сообщила родственница одной из погибших девушек. В свою очередь, жена осужденного, Оксана Крюкова сообщила журналистам после оглашения приговора, что причиной ДТП стала трагическая случайность. По ее мнению, ее муж не мог предотвратить произошедшее, так как машина была неисправна и руль был заблокирован.""",Родственница одной из погибших девушек недовольна жесткостью приговора.,not_entailment
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Ищу покупателей.,not_entailment
"""После смерти Владимира Михайловича Кучмия, который возглавлял """"Спорт-Экспресс"""" с момента его основания и до 2009 года, прошло более двух лет, но новый главный редактор так и не назначен. Почему? - Потому что он слишком много для нас значит - это одно.""",Ровно два года назад Владимир Михайлович был жив.,not_entailment
"""""""Скорее всего, это была проверочная закладка с целью изучения действий оперативных служб в подобных ситуациях"""", - предположил источник. Однако, как сообщил позже журналистам начальник ГУ МВД по Москве Владимир Колокольцев, угроза взрыва была ложной, просто """"гражданин оставил свою машину и ушел по своим делам"""". """"Было основание полагать, что эта машина несет угрозу, так как на заднем сиденье была бочка с краской, - сказал он.""",Ложный звонок о бомбе мог быть тестом для проверки работы пекарни.,not_entailment
