premise,hypothesis,label,curated_score,compressed_score,diversity_score
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.",У меня нет денег на командировки.,not_entailment,1,5,0.0764
"Виновная сторона будет возмещать убытки родственникам, поскольку они готовили похороны, которые пришлось перенести.",Виновники заплатят родственникам.,entailment,1,4,0.096
"Браконьеров поймали с поличным сотрудники полиции. Суд рассмотрел это дело в особом порядке. Мужчины полностью признали свою вину, раскаялись и возместили материальный ущерб водным биологическим ресурсам региона.",Браконьеров решили не задерживать.,not_entailment,0,5,0.0875
"Удар пришелся в грудную клетку. Женщина сама вызвала мужу скорую и полицию. Мужчину госпитализировали, но медики не смогли спасти ему жизнь.",Медики вызвали полицию.,not_entailment,3,5,0.0748
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Праздничная церемония проходила в муниципалитете.,entailment,0,0,0.0821
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был прокурор.,not_entailment,1,5,0.0757
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Он сделал заявление в муниципалитете.,entailment,2,2,0.0794
"В документах было указанно, что в контейнере находится пряжа.",В контейнере и правда находилась именно пряжа.,not_entailment,0,0,0.0855
"""Как заявляли в октябре представители нигерийских властей, судно зашло в территориальные воды Нигерии без разрешения, тем самым нарушив местное законодательство. В Moran Security """"Интерфаксу"""" заявили, что считают задержание корабля необоснованным. """"Мы считаем этот арест необоснованным, потому что о заходе судна в порт было известно заранее"""".""",В территориальных водах Нигерии задержан корабль.,entailment,0,5,0.0888
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области готовят закон для переименования в «умный регион».,not_entailment,2,5,0.0915
"В Липецкой области ищут серийного вора и мошенника, который гастролирует по регионам.",Серийный вор и мошенник гастролирует по регионам.,entailment,0,0,0.1041
"Также родственники погибшего под колесами мужчины требуют компенсации морального вреда. Всего они запросили 2 млн рублей. Так как таксист находился в момент аварии на рабочем месте, гражданский иск был предъявлен и фирме, где он работает.",Родственники погибшего требуют денег.,entailment,2,2,0.0704
"""Оппозиционер Алексей Навальный заявил, что будет продолжать с соратниками протестную активность. """"Мы будем выходить сюда столько раз, сколько потребуется"""", - сказал Навальный, выступая в понедельник на митинге оппозиции на Болотной площади. При этом, как заявил оппозиционер, он ничего не боится, потому что знает, за что борется.""","Навальный заявил, что ничего не боится, потому что знает, за что борется.",entailment,0,0,0.0823
"Напомним, на него завели уголовное дело, заподозрив в халатности.",На него завели уголовное дело.,entailment,0,0,0.0642
"""""""Пишу сюда, потому что надоело отвечать одно и то же: никто ко мне не обращался"""".""",Никто ко мне не обращался.,entailment,0,0,0.0827
"Обе купюры оказались поддельными. - По данным фактам проводятся проверки, - заверили в полиции. Стражи порядка также напоминают, что в случае, если к вам в руки попала фальшивая купюра, нужно сразу же обратиться в полицию.",Две купюры кто-то подделал.,entailment,0,1,0.0689
"Все, что доступно простым жителям города в магазинах, можно запускать и взрывать прямо во дворе своего дома, не боясь быть задержанным. Главное - не нарушать условия использоваться, указанные на упаковке. Уголовная ответственность может наступить лишь в случае, если салют нанес ущерб окружающим.","За запуск и взрывы салютов во дворе своего дома полиция не накажет, если нет пострадавших и ущерба.",entailment,0,5,0.0909
"После того как клиент оформит подписку на сервис, он будет получать уведомления о наличии штрафов автоматически.",Клиент может подписаться на уведомления о штрафах.,entailment,3,3,0.0826
"Известно, что девушка отдыхала в кафе и употребляла там алкогольные напитки. Вдруг она потеряла сознание. На место немедленно прибыли медики, но им не удалось откачать потерпевшую.",Девушка выпивала в кафе.,entailment,1,1,0.0884
"Ранее также были арестованы предполагаемый лидер преступной группы, ранее судимый 52-летний Андрей Вишневский, Олег Новак и Владимир Попов.",Предполагаемому лидеру группировки 52 года.,entailment,0,0,0.0843
"Может, это один из этапов нового способа мошенничества? Был в полиции, написал заявление. Что-то мне подсказывает, что не найдут они его.",Полиция приняла заявление.,entailment,3,3,0.076
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил сестер по очереди.,entailment,0,0,0.0611
"Лежал там лишь пакетик с порошком. Но мужчина обрадовался находке больше, чем всем сокровищам Земли. Потому что жаждал дозы.",Мужчина жаждал дозы.,entailment,0,0,0.0909
"""Она до сих пор остается единственным человеком, у которого есть к нему доступ. Мне кажется, это человек, чья репутация абсолютно безупречна, гарантированна, никто не посмеет ее упрекнуть в каких-нибудь злоупотреблениях"""", - указал, в свою очередь Пархоменко в интервью телеканалу """"Дождь"""". Он отметил с иронией, что был бы рад, если бы эта проверка привела к судебному разбирательству, так как тогда бы пришлось вызвать в суд всех, кто переводил деньги, а таковых, по его словам, сотни тысяч человек.""","""Пархоменко дал интервью телеканалу """"Дождь"""".""",entailment,0,0,0.0776
"Вину женщина признала частично признала. Мотивом к совершению преступлений была ревность. Похищенные вещи обвиняемая считала своими, так как они были куплены на ее деньги, - рассказали в пресс-службе областной прокуратуры.",Женщина украла сердце.,not_entailment,3,5,0.0646
"Он позвонил со своего мобильного на номер единой экстренной службы 112 и сообщил о заминировании «Сити – Парка «Град». Спасателям пришлось эвакуировать всех посетителей ТЦ. После рассмотрения полиция отказала в возбуждении уголовного дела, так как мальчик не достиг возраста уголовной ответственности.",Мальчик заминировал ТЦ.,not_entailment,0,5,0.0815
"""""""Они не могут допустить, чтобы Продюсерским центром студии руководил по-настоящему деловой, экономически грамотный человек - при политике абсолютной непрозрачности всех решений такой человек очень невыгоден"""", - считает Сокуров. В минувшую пятницу стало известно, что Сокуров решил покинуть совет директоров """"Ленфильма"""" и направил министру культуры Мединскому соответствующее письмо. """"Я написал это письмо, потому что считаю нахождение в совете формальным"""".""","""Сокуров решил покинуть совет директоров """"Ленфильма"""".""",entailment,2,2,0.0774
"Организаторы подготовили новогодние подарки, конкурсы и угощения. Также горожанам представят китайскую комедию «Дорога с приключениями». Она расскажет о владельце фирмы по производству игрушек, который спешит домой, чтобы встретить Новый Год с семьей.","Горожан ждут подарки, конкурсы и комедия.",entailment,2,2,0.0774
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.","По следам было видно, что налетчика судили ранее.",not_entailment,2,5,0.0462
"""""""Я вместе с другими адвокатами с 13:00 нахожусь у СИЗО """"Лефортово"""" и пытаюсь пройти к своему доверителю Развозжаеву. Некоторое время назад к нам вышел заместитель начальника изолятора, который сообщил, что созвонился со следователем и тот дал ему указание не пускать к Развозжаеву адвокатов, так как они не допущены к делу"""", - сообщила """"Интерфаксу"""" защитница Виолетта Волкова. По ее словам, это абсолютно незаконно, так как в материалах дела есть ее ордер.""","""""""Интерфакс"""" пообщался с Виолеттой Волковой.""",entailment,0,0,0.0689
"Как сообщает ОПС судов общей юрисдикции Нижегородской области, во время пожарной проверки в декабре прошлого года на рынке было выявлено почти полсотни таких нарушений. ЗАО был выписан штраф на сумму 150 тысяч рублей. Однако руководство рынка с этой суммой не согласилось и обратилось в суд с просьбой уменьшить штраф, поскольку после проверки принимаются все меры для устранения выявленных нарушений.",Пожарная проверка на рынке нашла почти 50 нарушений.,entailment,1,1,0.1032
Таксист поблагодарил водителя трамвая за помощь.,Таксист водил трамвай.,not_entailment,2,5,0.099
"Это является тяжким вредом здоровью. После этого на подозреваемого завели уголовное дело. Полицейским удалось узнать, что мобильник он сдал в местный ломбард, а сам уехал за пределы области.",Составлен административный протокол.,not_entailment,0,5,0.0574
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.","Специалисты верят, что птиц будет больше.",entailment,2,3,0.0822
"Как рассказали в краевой полиции, еще летом прошлого года молодой человек за денежное вознаграждение осуществил фиктивную постановку на учет шести иностранных граждан, указав в месте пребывания свой дом. В действительности граждане в этом жилом помещении не проживали. Обвиняемый объяснил, что решился на преступление, так как не имел постоянно работы и нуждался в деньгах.",Парень осуществил фиктивную постановку иностранцев на учет.,entailment,1,5,0.0743
"""""""Сегодня поисковая операция была прекращена, так как она стала слишком опасной"""", - сказал он на условиях анонимности.""",Поисковая операция стала слишком опасной.,entailment,3,3,0.0747
"Соревнования прошли в бескомпромиссной борьбе, но в этот день случилось более знаковое событие, которое затмило все остальные.",События были бескомпромиссными,not_entailment,0,5,0.0866
"Как сообщалось, в среду и четверг Наполитано провел консультации с лидерами представленных в парламенте партий, чтобы выяснить, готовы ли они договориться. На недавних парламентских выборах больше всего голосов набрала Демократическая партия. Однако она не может без помощи других партий управлять страной, так как не обладает большинством в сенате.",Наполитано два дня консультировал политиков по всем вопросам.,not_entailment,2,4,0.0855
"Как сообщили в правительстве области, на ней можно будет купить товары местных производителей.","В правительстве области сообщили, где можно будет приобрести товары местных производителей.",entailment,3,3,0.0697
"Сначала необходимо законсервировать здание, просушить - здесь полно воды, провести экспертизу и понять, сколько это будет стоить, и начинать ремонт.",В здании недостаточно воды.,not_entailment,0,5,0.0844
"""Начиная от магазина """"Крейсер"""", скопилась крупная пробка, так как троллейбусы объехать затор не могут.""",Пробка была большой.,entailment,1,1,0.0797
"В ограблении кафе на Ладожском вокзале пострадала несовершеннолетняя девушка, которая была здесь на стажировке.",Кафе на Ладожском вокзале ограбили.,entailment,1,1,0.0993
"Областной главк полиции сообщает о том, что в регионе проходит операция «Гражданин – Оружие».",Главк полиции сообщил об операции.,entailment,2,2,0.0832
"Тогда к стражам правопорядка обратился пенсионер, поскольку у него из дома пропала крупная сумма денег.",У пенсионера в доме раньше была крупная сумма денег.,entailment,2,2,0.0775
"Авария произошла на ровном месте, машина будто поскользнулась на снежной дороге и оказалась на крыше.",Машина попала в аварию.,entailment,1,1,0.0769
"По словам очевидцев, злоумышленников было около десятка, и они внезапно появились из-за памятника.",Очевидцы видели злоумышленников.,entailment,3,3,0.0815
"Оказалось, вспыхнула однокомнатная квартира.",Однокомнатные квартиры часто вспыхивают.,not_entailment,0,0,0.0781
"Его тут же осмотрели медики, оказали первую помощь, но от госпитализации он отказался. Пожар удалось быстро локализовать, огонь не успел перекинуться на соседние дома. Сейчас специалистам предстоит установить, что стало причиной возгорания.",Огонь перешел на соседние дома.,not_entailment,0,0,0.0669
"""""""Это очень важно, что тысячи людей сейчас заявляют о своем желании быть наблюдателями. Это значит, что процесс наблюдения будет вестись не только Советом Европы, БДИПЧ. Это важно, потому что они нам помогут"""", - сказал он.""",Тысячи людей стремятся в наблюдатели.,entailment,3,3,0.0784
"""Три участницы панк-группы Pussy Riot, приговоренные судом к двум годам лишения свободы за акцию в храме Христа спасителя, получили то, что хотели, заявил президент РФ Владимир Путин в специальном фильме программы """"Центральное телевидение"""" на НТВ в воскресенье. """"На самом деле правильно, что их арестовали, и правильно сделали, что суд у нас такое решение принял. Потому что нельзя подрывать основы морали, нравственности, разрушать страну"""".""",Суд принял решение отпустить на 2 года участниц группы Pussy Riot.,not_entailment,1,5,0.0827
"Четыре сотрудника получили травмы различной степени тяжести, одного даже пришлось госпитализировать.",Четыре сотрудника травмированы.,entailment,0,0,0.1123
"Как сообщила в понедельник газета Daily Telegraph, ожидается, что во вторник законопроект будет отправлен на окончательное согласование в нижнюю палату парламента. Никаких препятствий на пути к окончательному принятию законопроект не должен встретить, поскольку ранее палата общин уже одобрила его первоначальную версию подавляющим большинством голосов.",Палата общин ранее согласовала его первоначальную версию подавляющим большинством голосов.,entailment,0,0,0.0731
"Он обвинялся в убийстве жены, сообщается в пресс-службе областной прокуратуры.","Несомненно, он убил жену.",not_entailment,3,5,0.0642
"Пенсионерка рассказала, что ее ограбили.",Пенсионерка сообщила об ограблении.,entailment,2,3,0.0692
"Кроме того, власти Грузии подписали на добровольной основе соглашения  о взаимопонимании, которые тоже полностью выполняют. Что касается отношений непосредственно с представителями грузинской власти, вы знаете, что наша миссия является миссией нейтральной и независимой от грузинских властей, но мы пытаемся, стремимся к тому, чтобы иметь наилучшие отношения со всеми участниками Женевских переговоров. Но, конечно, мы придаем большее внимание отношениям с грузинскими властями, так как были приглашены грузинским государством, и мы находимся на грузинской территории.",Власти Грузии полностью выполняют подписанные соглашения о взаимопонимании.,entailment,1,1,0.1015
"""""""Система аккредитации - это ключевой инструмент допуска на рынок. Мы сейчас готовим закон об аккредитации, который весной хотим внести в Госдуму"""", - сказала она. """"Этот закон очень важен, потому что он будет предусматривать переход на международные стандарты аккредитации"""", - сказала она.""",Она сказала о бесполезности закона.,not_entailment,1,5,0.0751
"То есть в этой области у нас была большая экспертиза. Начали мы с России. Но очень быстро к нам пришли зарубежные компании, которые сказали, что хотят именно нас пригласить в инвесторы, потому что у нас есть экспертиза и обширные международные связи в облачной индустрии.",Мы не смогли выйти на уровень экспертизы в России и тем более за рубежом.,not_entailment,0,5,0.0837
"""В Сухуми взорван внедорожник, припаркованный недалеко от жилого дома по ул.Когония, сообщил """"Интерфаксу"""" начальник УВД города Гарри Аршба. По словам собеседника агентства, взрыв произошел около 12:30 в субботу. В результате взрыва никто не пострадал, так как в автомобиле никого не было.""",У жилого дома в Сухуми взорвался пустой внедорожник.,entailment,2,5,0.0704
"В сентябре утвердили схему размещения щитов, по которым пройдут электронные торги.",По щитам пройдут электронные торги.,entailment,0,3,0.0915
"""При этом он затруднился сообщить, сколько времени может продлиться это отстранение. Сам Губерниев заявил радиостанции """"Эхо Москвы"""", что его отстранение от ведения футбольных программ не повлияет на работу на телеканале. """"Очень сложно меня отстранить от футбольных матчей, потому что я на них редко работаю"""".""",Губерниев отстранен от ведения программ о футболе.,entailment,2,2,0.0761
"15 сентября 2012 г. во второй половине дня в сквере на пл. Свободы при проведении несанкционированного администрацией Нижнего Новгорода митинга сотрудники ОМОН УТ МВД России по ПФО охраняли общественный порядок. Так как публичное мероприятие не было согласовано, полицейские требовали, чтобы собравшиеся разошлись.","Полицейские требовали, чтобы собравшиеся разошлись.",entailment,0,0,0.0734
"2 августа пьяные приятели, шагая по грунтовке, увидели оставленную без присмотра «Ниву». Ребята искали кого-нибудь, чтобы вытащить застрявший неподалеку автомобиль своей подруги, но ждать или искать хозяина внедорожника не стали: просто разбили стекло.",Стекло ребята разбили.,entailment,3,3,0.0768
