text,label,error_type,curated_score,compressed_score,diversity_score
"Я не знал, кто такой Ленин, никогда не слышал этой фамилии.",1,0,2,3,0.094
У нас возникли сомнения.,1,0,3,3,0.0617
"Спасительный оазис то показывался, то исчез снова.",0,Syntax,2,5,0.0995
Он сидел около меня.,1,0,2,2,0.0453
Меня не было в Москве.,1,0,2,2,0.0482
Достань мне из ее чемодана полотенце.,1,0,3,4,0.0497
Я смотрела этот глупый фильм.,1,0,2,3,0.0895
Во дворе злая собака.,1,0,2,3,0.0738
"Коля не был в зале, когда выключили свет.",1,0,3,3,0.058
"Иван знает, что приехала Маша.",1,0,2,2,0.0553
Он подтвердил мне свое согласие.,1,0,3,4,0.0355
"Я хочу, чтобы Иван работает.",0,Syntax,2,4,0.0675
Я слышу что-то родное.,1,0,3,3,0.06
В моем кошельке много денег.,1,0,2,2,0.037
"Я говорил тебе, что Том занят.",1,0,2,2,0.0725
"Что он меня не узнал, было странно.",1,0,2,4,0.0559
"Я вижу, разговор оживляется.",1,0,3,3,0.0607
Только Петя понял что бы то ни было в этом докладе.,1,0,2,4,0.0869
Кошки были священными животными в Древнем Египте.,1,0,2,2,0.1101
На этот раз он не выиграл.,1,0,2,2,0.0634
Вандербильт назначен главой штата Род-Айленд.,1,0,2,4,0.1365
Возьмите из моего стола тезисы докладов.,1,0,2,3,0.0737
Это начало мне надоедать.,1,0,3,4,0.0581
В Италии обнаружены древние могильные комплексы под землей.,1,0,2,2,0.113
"Как очистить затвердевший гель-лак с пластины, каким образом удаляют механические или химые?",0,Morphology,2,4,0.1091
У нее есть уродство.,0,Semantics,3,3,0.06
Я читал этот роман.,1,0,3,3,0.0515
Меня ни разу в этом доме не было.,0,Semantics,3,3,0.0599
В этом городе есть университет.,1,0,2,2,0.0839
Иван не понимает мое желание идти на вечер одному.,1,0,3,3,0.0613
Резко он не затормозил.,0,Semantics,2,2,0.0287
Все утро он был раздражителен.,0,Semantics,3,3,0.0617
"Она воскликнула, что ах, то был только сон.",0,Semantics,2,4,0.0911
"Иван, к сожалению, в отпуске?",0,Semantics,3,4,0.0558
"Я был рядом с вашим домом, но к сожалению не смог зайти к вам.",1,0,2,3,0.062
С кем ты разговаривал?,1,0,3,3,0.0495
Средняя средняя российская общественная учебница стоит 317 человек.,0,Hallucination,2,4,0.1269
Я не хочу принимать его услуг.,1,0,2,4,0.0717
Ведь чем-то эту общую закономерность нужно объяснить!,1,0,2,3,0.084
Большое спасибо за эту информацию.,1,0,2,2,0.0853
Дело приняло неожиданный оборот.,1,0,2,3,0.0611
Он живет в небольшом городке на Каспиийском море.,1,0,1,1,0.0734
Какая она оказалась хитрая!,1,0,3,3,0.0672
Я воспринимаю его как героя.,1,0,3,3,0.061
Бургани погиб при сердечном приступе в Тегеране в 48 годах.,0,Semantics,2,2,0.1269
Я много раз уговаривал его вернуться.,1,0,2,2,0.0736
Сегодня я еще не был на море.,1,0,2,2,0.0738
Перемен в технической политике фирмы еще не наступило.,1,0,3,4,0.0469
Он отказывался от всех предложений.,1,0,3,3,0.0545
"Он не знал, что там есть столовая.",1,0,2,2,0.0857
В мире число узлов сети растет со временем.,1,0,2,3,0.1074
"Боюсь, мне не хватит на это времени.",1,0,3,4,0.0646
"Короткие анимационные фильмы, посвященные женщине-кошке.",1,0,2,4,0.118
Он хочет посоветоваться с каким-нибудь крупным специалистом в этой области.,1,0,3,3,0.0659
Можете ли вы очистить эту грязь?,1,0,2,2,0.0966
"Брат позвонил, когда добравшись до дома.",0,Syntax,2,4,0.0785
У меня было с ним неприятное столкновение.,1,0,3,3,0.0556
Она ждала нас у поворота дороги.,1,0,1,3,0.0727
Мешок весит 50 кг.,1,0,1,1,0.0775
Мы не для этого тебя выбирали.,1,0,2,5,0.0992
"Слушай, возьми моего мужика, ступай в мясной совхоз.",1,0,1,3,0.0947
Моя шутка его обидела.,1,0,3,3,0.0499
Я однажды решал эту задачу.,1,0,3,3,0.0647
Я беру у вас эту книгу на неделю.,1,0,3,3,0.0621
Утром Тамбулов встал рано и стопочкой сложил использованное белье в шкаф.,1,0,2,2,0.0941
"У Маши дети взрослые, а у Даши они в детский сад ходят.",0,Semantics,2,4,0.101
"Петя покрасил дачу, а Коля отремонтировал машину.",1,0,2,2,0.0944
За прилавком стоял продавец.,1,0,2,2,0.0823
На самом деле большая часть фильмов этого периода носит мифологический характер.,1,0,2,4,0.1103
"Моя жена часто звонит мне, когда она путешествует за границу.",1,0,2,2,0.0868
В доме кто-то есть.,1,0,3,3,0.0667
Я прочел уже больше половины книги.,1,0,3,3,0.063
Он ездит туда сам.,1,0,2,2,0.0576
Могу резко не тормозить.,1,0,3,3,0.0476
"Он всегда говорил очень убедительно, хотя у меня возникали некоторые сомнения.",1,0,3,4,0.0234
Он осознал свою вину.,1,0,3,3,0.067
Язык в моей семье и семье был русско-украинский.,0,Hallucination,0,4,0.1001
"День был дождливый, но Коля не взял зонт.",1,0,2,2,0.0847
Кто-то видел каждого из них.,1,0,3,4,0.0527
Маша сидела поодаль от мужа и читала.,0,Semantics,2,3,0.0613
Мой дом стоит не на горе.,1,0,2,3,0.0681
У этой комнаты пять метров в ширину.,0,Semantics,2,2,0.0903
Он становится мертвенно бледным.,1,0,3,4,0.0561
Она взяла мне эту книгу в библиотеке.,1,0,3,3,0.0451
Темные глаза у нее сияли.,0,Semantics,2,4,0.0654
Он меня не узнал.,1,0,2,2,0.0626
В это время из зала в гостиную вошла незнакомая Ларе девушка.,1,0,2,4,0.098
Из-за туч показалась луна.,1,0,2,2,0.0661
"Почему ты, Ваня, не был в школе?",1,0,3,3,0.0681
У него появились боли в левом боку.,1,0,3,3,0.0672
Мне приходит в голову один случай.,1,0,3,3,0.0636
Спортсмен дрался как лев и тигр.,0,Syntax,2,4,0.0972
Звезды погасли одна за другой.,1,0,2,2,0.0776
Я не вижу смысла.,1,0,2,3,0.0707
Я ему об этом написал.,1,0,2,2,0.0511
"Сначала она была в каком-то раздраженном состоянии, но потом успокоилась.",1,0,3,3,0.0639
Жена Николая II согласно завещанию обязана занять престол после его смерти.,1,0,2,4,0.1262
"Да, он может входить, если еще пришел!",0,Semantics,3,4,0.0673
В машине сидели шесть человек.,1,0,2,3,0.0987
Он прошел близко от меня.,1,0,2,2,0.0414
Вы одни показались мне веселым.,0,Syntax,3,4,0.052
"Стала бы я стараться, если бы знала!",1,0,2,5,0.0945
"Я знаю, что Маша уехала.",1,0,2,2,0.0752
Сегодня отец уже был на море.,1,0,1,1,0.0508
Он долго не приходил.,1,0,3,3,0.0469
В это время князь Андрей подошел к Наташе.,1,0,2,2,0.1129
"Она долго бежала рядом с забором, а потом повернула налево.",0,Semantics,1,1,0.0737
"Я был поражен, какая она оказалась хитрая.",1,0,3,4,0.0672
Я не дочитал вашу рукопись.,1,0,3,3,0.0551
"Я знаю, что он, несомненно, прав.",0,Semantics,2,3,0.0281
Я взялся за перила.,1,0,2,2,0.0728
Так быстро он не справится.,1,0,3,4,0.069
К тебе кто-то приходил.,1,0,2,3,0.0522
"Если его не остановить, он до утра быть рассказывать о своих подвигах.",0,Syntax,2,4,0.0877
Ему чужды какие-либо колебания.,1,0,3,4,0.067
Я не затруднил ее своей просьбой.,1,0,3,4,0.0654
Возьмите из моего чемодана полотенце.,1,0,3,3,0.0486
"Комната плохо освещена, поэтому работать в ней неудобно.",1,0,2,2,0.0847
В комнату вошел адвокат.,1,0,1,1,0.0819
Он принял на себя управление имением.,1,0,3,4,0.0659
Уличных звуков сюда не доносится.,1,0,3,4,0.053
Я обрадовался его приходу.,1,0,3,3,0.0411
"Он не мог пожать мне руку, он нес два арбуза.",1,0,2,4,0.0912
Я этого не понимал.,1,0,3,3,0.0465
Вот на этой стене висела картина.,1,0,2,3,0.0586
"Я принимаю его таким, какой он есть.",1,0,3,4,0.0606
Он никогда не ел каши.,1,0,2,2,0.08
"Не может быть, чтобы он не усмехнулся исподтишка.",1,0,3,5,0.0627
Иван выращивает новый сорт пшеницы.,1,0,2,2,0.0946
Я давно не был в Москве.,1,0,2,2,0.0437
"Похоже, никто его не знает.",1,0,1,1,0.0651
Эта речка впадала в небольшое озеро.,1,0,2,2,0.0701
У нее есть изящество.,1,0,3,3,0.0507
Решено: пойдет кто-то один.,1,0,2,3,0.0724
Она боялась его врагов.,1,0,3,3,0.0571
Его обувь нужно отремонтировать.,1,0,2,2,0.0791
Он успел отправить письмо.,1,0,1,2,0.0547
После ее слов у меня опять появилась надежда.,1,0,3,3,0.0714
"Хорошо, что он купил что-нибудь.",0,Semantics,2,4,0.0538
И поэтому я должен разобраться с этим сам.,1,0,2,2,0.0746
Я не обещаю вернуться.,1,0,2,2,0.085
"Рядом с ним стоял какой-то высокий молодой человек, и они о чем-то очень оживленно разговаривали.",1,0,2,3,0.0712
Он пытался заставить меня смеяться.,1,0,2,4,0.0593
Я открыл ему тайну.,1,0,3,3,0.066
МГУ отпраздновало свой юбилей.,0,Syntax,2,4,0.1204
Прямая и отрезок пересекаются.,1,0,2,2,0.0831
В Европе растет беспокойство по поводу кризиса на Среднем Востоке.,1,0,2,2,0.1124
В машине сидело шесть человек.,1,0,2,2,0.098
"Вася что получит, то и пропьёт, а я крутись-вертись на свою зарплату.",1,0,2,4,0.0856
"Проверьте, работает ли ваше соединение.",1,0,1,1,0.1062
Мы с вами встречались.,1,0,3,3,0.054
Он резко не затормозил.,0,Semantics,2,4,0.0263
По завещанию имущество достается жене и детям.,1,0,2,2,0.0985
Мой дом стоит на горе.,1,0,2,2,0.0645
В этот момент он начал говорить.,1,0,2,2,0.0574
Он все еще ей не написал.,1,0,2,4,0.0673
У нее были такие большие зубы.,1,0,2,2,0.0705
Публика приняла эту пьесу с восторгом.,1,0,3,3,0.0704
Канава сейчас отделяет нашу ферму от соседней.,1,0,2,2,0.088
Он съел мясо сырым.,1,0,3,4,0.0638
Меня огорчил его приход.,1,0,3,3,0.0487
В мире есть много зла.,1,0,2,3,0.0828
Я не воспринимаю этого человека.,0,Semantics,3,3,0.0532
Вы не могли бы попробовать торт?,1,0,2,3,0.0948
Иван отменил решение пойти на встречу один.,1,0,3,3,0.0532
Мы не получали письмо.,1,0,2,2,0.0486
Я рискую опоздать на семинар.,1,0,3,3,0.0608
"Это было веселее, чем ходить в зоопарк, потому что Феликс позволил Августину помочь с животными.",1,0,2,4,0.1094
Я не воспринимаю такой музыки.,1,0,3,4,0.0606
"Даже вывеску со здания, которое она занимала, сняли.",1,0,2,4,0.0947
Есть ли много животных в зоопарке?,0,Syntax,2,2,0.0899
Солдаты грелись возле костров.,1,0,2,2,0.0488
Он целый год уговаривал меня к нему приехать.,1,0,2,4,0.0723
"Это хороший повод, чтобы познакомиться.",1,0,2,2,0.0661
"Я думаю, что он прав.",1,0,2,2,0.0246
В этом дворе сторожевая собака.,1,0,2,3,0.0674
Других улик не осталось.,1,0,3,3,0.0678
"Меня не было дома, когда выключили свет.",1,0,3,3,0.0579
Он был весь исцарапан.,1,0,1,3,0.0627
Солдатам командир отдал приказ выдвигаться на позицию.,1,0,1,3,0.0463
"Я рад, что он, наверное, вернулся.",0,Semantics,3,4,0.0604
Ты можешь взять любую из этих книг.,1,0,3,3,0.0602
Он заслонил мне экран.,1,0,2,4,0.07
Она ходит на работу пешком.,1,0,1,2,0.0871
Змея ползет по дороге.,1,0,1,1,0.1042
Весь год у меня был друг.,1,0,2,3,0.0639
"Когда Адам проснулся, Ева уже ушла.",1,0,2,2,0.1024
Меня к ней уже отослали.,0,Semantics,2,4,0.07
Отдайте его в музыкальную школу!,1,0,2,3,0.0967
"Знаю, что он пришел.",1,0,3,3,0.041
Он мертвенно становится бледным.,0,Semantics,3,3,0.056
"Он, я с вами согласен, сильно изменился.",1,0,3,3,0.0698
У соболя густой и длинный мех.,1,0,2,3,0.0904
По утрам открывай окно.,1,0,2,4,0.0724
Автобус не должен отправляться ночью.,1,0,2,2,0.081
Вы явно не читали эту книжку?,0,Semantics,3,3,0.0625
Он проталкивался к двери и кашляет от морозного воздуха.,0,Syntax,2,4,0.071
"Мы собрались вместе, чтобы всем разобраться в этом деле.",1,0,3,3,0.0644
У нас вчера было заседание сектора.,1,0,3,3,0.071
"В 1929 году Ньюкомб переехал на Мальту в качестве главного инженера, а в 1932 году ушел в отставку.",1,0,2,2,0.1278
"Во многих отношениях, это то, о чем все дело.",0,Morphology,2,4,0.0814
"То, что он участвовал в этом сборище, меня удивило.",1,0,3,4,0.0477
Ни один студент не был на лекции.,1,0,3,3,0.0684
Получу ли я от этого пользу?,1,0,2,3,0.0806
"Я думаю, что он это сделает.",1,0,2,2,0.043
У руководства группы были другие планы.,1,0,2,2,0.0809
"Мне не жаль, что он зашел.",1,0,2,4,0.0651
Он сидел у печки и подбрасывал в нее дрова.,1,0,2,2,0.0863
В небе находится неопознанный летающий объект.,1,0,2,4,0.0877
Ваше отсутствие не будет тормозить работу.,1,0,3,4,0.0675
Она думала о его врагах.,1,0,3,3,0.0622
Среди его друзей есть бизнесмены.,1,0,2,3,0.0734
Иногда к ней приходит кто-нибудь из ее друзей.,1,0,3,3,0.057
Он плотно закрыл дверь.,1,0,2,2,0.0564
Не стоит принижать заслуг тренера в победе его воспитанников — юных футболистов — в матче с более опытным соперником.,1,0,2,4,0.0937
"Маша вчера сказала: ""Я приеду завтра"".",1,0,2,3,0.0582
"Эта история - из категории тех мамочек-золотоскатлиц, которые рассказывают моей дочери перед сном-золотоскатлицам.",0,Hallucination,2,5,0.095
"Юноши готовились к соревнованиям наездников, считавшихся у черкесов большим событием.",0,Syntax,2,4,0.1065
Поселок находился вдали от железной дороги.,1,0,3,3,0.0511
"Я думаю, что между ними что-то произошло.",1,0,3,3,0.0598
В среду в университете начинались занятия.,1,0,2,3,0.0789
Я дала тебе свое сердце.,0,Semantics,1,1,0.0713
Мы выбрали Ивана председателем.,1,0,2,4,0.0858
"У нее есть недостатки, но она неплохой человек.",1,0,3,3,0.069
В этот день никто не работал.,1,0,2,2,0.0791
Сегодня отец еще не был на море.,1,0,3,3,0.0343
Флаг развевается на ветру.,1,0,2,2,0.0921
Между ними началось нечто неожиданное.,1,0,3,4,0.0627
Резко он не тормозил.,1,0,3,3,0.0304
Жене моей нездоровится.,1,0,2,4,0.0785
"Ваня, в отличие от других, не понял.",1,0,3,4,0.0664
Было выпито вина.,0,Syntax,3,5,0.0695
Мы с ними договорились.,1,0,3,3,0.0662
"Миша воображает, что его кто-нибудь понял.",0,Semantics,1,5,0.0791
Она сделала печальное лицо.,1,0,2,3,0.0548
У магазина толпилось много народу.,1,0,3,3,0.0695
Крым всегда будет рад вас видеть.,1,0,2,2,0.1029
Мешок весит меньше 50 кг.,1,0,2,2,0.0788
Этот город известен своей уникальной архитектурой и славной историей.,1,0,2,2,0.0999
Мне нет необходимости это выяснять.,1,0,3,4,0.0711
Он осознает свои собственные ошибки.,1,0,3,3,0.0633
У меня есть фото из одного места в Кентукки.,1,0,2,3,0.1016
Дорога идет на север.,1,0,2,2,0.0782
"Насколько я понимаю, он здесь был.",1,0,2,2,0.046
В лесу у нас много грибов.,1,0,2,2,0.0655
Дверь плохо открылась.,0,Semantics,3,3,0.0672
"Иван знает, что занятия отменяются.",1,0,2,2,0.0687
Кухня обслуживает международные и турецкие блюда с акцентом на здоровую пищу.,1,0,2,4,0.0981
Я взяла ее в свою комнату.,0,Semantics,3,4,0.0594
"Врачи сообщают, что Мика, скорее всего, полностью выздоравливает.",0,Morphology,2,4,0.097
Начавшийся процесс его обращения надломился и прекратился трагически.,0,Semantics,3,4,0.0709
Вряд ли я исправлю что бы то ни было.,1,0,1,4,0.0801
"Люди вы свои, и мне жалко, коли вы пропадете ни за что.",1,0,2,4,0.0806
"Чтобы завтра встать пораньше, надо завести будильник.",1,0,3,3,0.071
Ваше отсутствие не тормозило работу.,1,0,3,3,0.0637
Он должен был успеть на поезд.,1,0,2,3,0.0612
Весь вечер мы провели около пианино.,1,0,2,2,0.0863
"Брат надеется на то, что поступит в университет.",1,0,2,3,0.0644
У магазина было много народу.,1,0,3,4,0.0676
Я не дочитал двух страниц.,1,0,3,4,0.0649
Какая-то черная собака находится у вас на участке.,1,0,2,3,0.0741
После войны эта местность получила новое название.,1,0,2,2,0.0969
Я купила ей туфли.,1,0,2,2,0.0785
Светила погасли одно за другим.,1,0,3,5,0.061
Сегодня в овощном были не только яблоки.,1,0,2,3,0.0719
Газифицированные украинские земли начинают влиять друг на друга.,0,Semantics,2,4,0.1141
"Возьми у меня плед, мне тяжело его нести.",1,0,3,3,0.0673
Ты взял белье из прачечной?,1,0,3,4,0.0609
Ваня не был дома.,0,Semantics,0,0,0.0546
"Лежавшая книга на полке была той самой, которую я давно искал.",0,Syntax,3,3,0.0678
Я посмотрел на Машу и на Петю.,1,0,2,3,0.06
Я с удовольствием вымыла посуду.,1,0,2,3,0.071
"Газет он не читает, а просматривает.",0,Semantics,3,3,0.0658
Всю ответственность я принимаю на себя.,1,0,3,3,0.0654
Эти препараты сейчас появились.,1,0,2,2,0.0678
Ветер шелестит листьями в аллее.,1,0,2,2,0.0866
Мне не надо отдыхать.,1,0,2,2,0.0682
"Сомневаюсь, что она знает всякие детали.",0,Semantics,3,3,0.0546
Он ест одну мо ковку.,1,0,3,3,0.0644
Его письмо подтвердило его согласие.,1,0,3,3,0.0474
Он был в страшном отчаянии.,1,0,3,3,0.0444
"Том пошёл в библиотеку, чтобы увидеть Мэри.",1,0,2,3,0.0761
Он начинает меня раздражать.,1,0,3,3,0.0447
У меня есть Маша.,1,0,3,3,0.0659
Я отдам тебе книги на следующей неделе.,1,0,3,3,0.0617
"Согласно официальных данных, в результате землетрясения в Японии погибли более пяти тысяч человек.",0,Syntax,2,4,0.1225
Это был несчастный случай.,1,0,2,2,0.0728
Что ты знаешь нового про Ливию?,1,0,2,2,0.1314
Войска Северного флота приостанавливают операции в районе Нарвских позиций с 16 по 24 марта 2017 года.,1,0,2,4,0.1312
Арест подозреваемых в коррупции вызвал протесты.,1,0,2,2,0.1019
В моей комнате есть кондиционер.,1,0,2,2,0.0711
Он раздражается по любому поводу.,1,0,3,3,0.0464
Она редко о чем-то мечтает.,0,Semantics,2,4,0.0822
"Наверное, к нему кто-нибудь пришел.",1,0,1,1,0.0394
"Я чувствую, что он, наверное, где-то поблизости.",0,Semantics,1,3,0.0459
"Не думаю, что Ваня тоже понял.",1,0,3,3,0.0679
"Совершенно очевидно, что человек отчаянно зануждается в профессиональной консультации и радикальной перемене образа жизни.",0,Semantics,1,5,0.0852
Мы решили эту хозяйственную задачу.,1,0,2,3,0.0699
Я испугался его прихода.,1,0,3,3,0.04
Клинические фармацевты в настоящее время являются неотъемлемой частью междисциплинарного подхода к заботе о пациентах.,1,0,2,4,0.1058
"Он пришел 8 сентября, и приход мальчика был печален.",1,0,2,3,0.104
"Я воспользовался перочинным ножом, чтобы разрезать колбасу.",1,0,2,2,0.0509
"Я сказал это, чтобы сказать что-нибудь.",1,0,3,3,0.0583
Я рискую опозданием на семинар.,0,Semantics,3,3,0.0601
Все гости перепробовали этот торт.,1,0,2,2,0.0981
Он дал свое согласие.,1,0,2,2,0.032
Я была вчера на демонстрации.,1,0,1,3,0.0693
"Он не в Париже, а в Лондоне.",1,0,2,2,0.0865
"Джоуи обещает не влиять на Слейда, но это займёт неделю после появления.",0,Hallucination,2,4,0.1162
Будет искать новых сторонников.,1,0,3,3,0.0712
Можно ли купить новый автомобиль?,1,0,2,2,0.0943
Ваня обрадовал нашу маму своим приходом.,1,0,3,4,0.0596
"Что вы хотите, чтобы я сказал?",1,0,3,3,0.0538
Трава блестит на солнце.,1,0,2,2,0.0822
Постарайся заметить вон ту звездочку над самой горой.,0,Semantics,3,4,0.0575
Из-за туч появилась луна.,1,0,2,2,0.0672
"Ее поклонник, как всегда, сидел около нее, и они о чем-то оживленно беседовали.",1,0,3,3,0.0641
Я ощутил запах гари.,1,0,3,3,0.0606
"Если у тебя есть вопрос к Тому, спроси его сам.",1,0,2,4,0.0801
Всю неделю у меня нарывал палец.,1,0,2,5,0.0926
"Проходите, — сказала женщина, хлопотавшая около стола.",1,0,2,4,0.0845
"Если кто-то из них вдруг придет, я буду рада.",1,0,3,4,0.0603
Я не стирала полотенца.,1,0,2,2,0.076
Я отдала ему свое старое пальто.,1,0,2,3,0.0674
"Я видела, что он плакал.",1,0,3,3,0.052
"Он боится, что она, может быть, его забыла.",1,0,3,4,0.0636
"В нем все бушевало, но сейчас, как ни странно, он начал успокаиваться.",1,0,3,4,0.0659
Он не успел отправить письмо.,1,0,1,1,0.0516
"Он обещает прийти, но не пришел.",0,Semantics,2,2,0.0514
Я был у приятеля.,1,0,3,3,0.0493
В этой реке множество рыбы.,1,0,1,1,0.0457
"Поезд, скрежеща тормозами, остановился.",1,0,2,4,0.0729
"Иван говорит, что во вторник он, может быть, придет.",1,0,2,2,0.0774
"Погода была дождливая, а я не взял зонт.",1,0,2,3,0.071
Я никогда в этом доме не буду.,1,0,3,3,0.0712
"Когда Адам вернулся, Ева пошла в магазин.",1,0,2,2,0.1054
Среди моих студентов есть способные люди.,1,0,3,3,0.0539
Он шел в магазин?,0,Semantics,2,2,0.0668
Пришел мужик в лес и рубил дрова.,0,Semantics,2,2,0.0696
Резко он не тормозит.,1,0,3,3,0.0354
Он открыл шкаф и достал оттуда два больших полотенца.,1,0,2,2,0.0692
Хозяйки в доме не заметно.,1,0,3,3,0.0655
"Иван говорит, что слегка простужен.",1,0,3,3,0.0625
Иван показал Лене на фотографии.,1,0,1,1,0.0744
В летнее время эта площадка превращалась в ресторан.,1,0,2,2,0.0972
В начале четвертого курса она уже владела шведским языком.,1,0,2,4,0.1033
Завтра я буду принимать дела.,1,0,2,2,0.0522
Сторонников новых будет искать.,1,0,3,3,0.0704
Этот бой был очень тяжелым.,1,0,2,2,0.0535
Он сейчас в зале периодики читает журналы.,1,0,0,4,0.0663
Иван не был дома месяц.,1,0,3,3,0.0659
"Я уверен, что он несомненно прав.",1,0,2,2,0.0251
Ее матери пришлось пережить много горя.,1,0,3,3,0.0673
Я смотрел фильм на французском языке с английскими субтитрами.,1,0,2,2,0.0816
Она приняла к себе ребенка.,0,Semantics,3,4,0.0529
"Он утверждает, что все знает об этом.",1,0,2,2,0.0552
Перемены в технической политике фирмы еще не начались.,1,0,3,3,0.0484
"Он все-таки дал ей ту книгу, которую она хотела.",1,0,3,3,0.0635
Можно пойти на концерт.,1,0,2,3,0.0777
"Иван подозревает, что его обманывают.",1,0,3,3,0.0707
"Если она не хочет принять вашу помощь, пусть примет мою.",1,0,2,4,0.074
Я шел вдоль реки по узенькой тропинке.,1,0,2,3,0.0664
Сегодня отец еще не работал в саду.,1,0,2,2,0.0675
Инна у купила платье.,1,0,1,1,0.0862
На поляне мы нашли малину и ягоды.,0,Semantics,0,0,0.0884
Отдай мне эту книг.,1,0,3,3,0.0463
Сотрудник отказался от помощи.,1,0,2,2,0.0737
"Вася читал книгу, а Петя — газету.",1,0,2,2,0.082
"Он получил облегчение, узнав, что она простила ему.",1,0,3,3,0.0531
В 1950 г. на старом месте построили современную многофункциональную арену с 22 000 зрителями.,1,0,1,4,0.1225
Мальчик высунулся из окна.,1,0,2,3,0.0844
Бутыль вмещает пять литров.,1,0,2,2,0.0969
Я хочу с вами посплетничать.,1,0,3,4,0.0574
Мы разбили лагерь у деревни Татия.,1,0,2,4,0.0972
У него на лице есть улыбка.,0,Semantics,0,0,0.0467
Ты сейчас же взял и вылил воду!,0,Semantics,2,4,0.0866
"В группу студентов, направленных на полевую практику, входят сорок один человек.",0,Syntax,2,3,0.1047
Чей портрет висел на стене?,1,0,2,2,0.0693
Прогулка не состоялась благодаря плохой погоде.,1,0,2,3,0.0721
"Описано точное описание внешности ""ангела с пышными волосами"".",1,0,2,3,0.1033
Его даже Канкрин считал очень способным человеком.,1,0,3,4,0.0634
"Я могу сделать для вас все, что угодно, хоть сейчас.",1,0,3,3,0.0689
"Вероятно, вы читали книгу Иванова на эту тему.",1,0,3,3,0.071
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,2,3,0.0804
Учитель поставил три двойки.,1,0,2,2,0.0827
"Как жаль, что меня не было с вами.",1,0,2,2,0.0689
Меня в этом доме никогда не будет.,1,0,3,4,0.0668
"Я хочу знать, берете ли вы эти деньги.",1,0,3,3,0.0525
"Линия состоит из двух точек, соединенных прямой линейкой, и измерение проводится по ее длине.",1,0,2,4,0.1032
У меня написался диплом.,0,Semantics,2,4,0.0688
"Я спросил у прохожего о том, что есть ли поблизости какая-нибудь станция метро.",0,Syntax,2,4,0.0767
"Он выписывает только как художественные, так и математические журналы.",0,Syntax,0,4,0.0929
Вход в пещеру заваливают камни.,1,0,3,3,0.0611
Я воспринимаю его как своего врага.,1,0,3,3,0.0636
Весь день я провела около плиты.,1,0,2,2,0.0716
Он зарабатывает 50 тысяч долларов.,1,0,1,1,0.1001
"Почему я решил, что человека, с которым я сел рядом, зовут Василием Ивановичем?",1,0,2,4,0.0875
Вани нигде не было.,1,0,3,3,0.0553
Он живет в небольшом городке у Волги.,0,Semantics,2,2,0.0617
"Я предложил ей помощь, но гордая девушка отказалась.",1,0,2,2,0.0734
Деревья слабо звенели ветками.,1,0,2,3,0.0662
